Peak	Maximum Z of Overlapping 1kb Regions	Weighted Average Z of Overlapping 1kb Regions	Z of Most Highly Overlapping 1kb Region
peak_HP_PP_39_enhancer_HES4_6030.5_ISG15_7391.5	3.9608288594391134	3.7320602055392706	3.9608288594391134
peak_MN_SKM_131_enhancer_TMEM240_10576.5_SSU72_23687.5	3.238947322194341	2.988808124765824	3.238947322194341
peak_SKM_132_enhancer_TMEM240_11656.5_SSU72_22607.5	3.2530224532240024	3.248826782740858	3.2530224532240024
peak_MN_163_enhancer_NADK_17554.0_GNB1_93980.0	1.2733908491839865	1.2445276057311627	1.2427684464236544
peak_MN_PP_165_enhancer_NADK_54829.5_GNB1_56704.5	1.289956465116529	0.8969884597751485	0.6363164163317389
peak_PP_239_enhancer_SKI_39547.0_FAAP20_73493.5	5.007183017220733	4.920786080618337	5.007183017220733
peak_CM_HP_MN_PP_SKM_244_enhancer_SKI_50694.5_FAAP20_84641.0	3.299213978457732	1.5712943209380001	1.2337962799982356
peak_MN_SKM_291_enhancer_ACTRT2_36209.0_PRDM16_83914.0	4.402157037065847	4.090493678062059	4.402157037065847
peak_MN_293_enhancer_ACTRT2_20397.5_PRDM16_68102.5	5.761224121281506	4.930957497582935	5.761224121281506
peak_CM_PP_431_enhancer_C1orf174_39767.0_DFFB_82653.0	4.217437153796575	3.3732045016004433	2.610818462005013
peak_MN_435_enhancer_C1orf174_78667.0_DFFB_121553.0	3.887857385318398	3.101798562020325	3.887857385318398
peak_HP_436_enhancer_C1orf174_82008.5_DFFB_124894.5	2.480802445814261	1.7359751494514972	1.7236977764345287
peak_MN_440_enhancer_C1orf174_155148.5_DFFB_198034.5	2.98864553505848	2.3896365188734867	2.2961960628363647
peak_MN_441_enhancer_C1orf174_156978.0_DFFB_199864.0	3.7377125104582847	3.6595381347052154	3.7377125104582847
peak_SKM_446_enhancer_C1orf174_317624.0_DFFB_360510.0	2.1371415576897297	2.133445806980733	2.1371415576897297
peak_MN_447_enhancer_C1orf174_368598.5_AJAP1_385836.5	2.8240505836957883	2.6298149514948115	2.8240505836957883
peak_PP_449_enhancer_AJAP1_370653.0_C1orf174_383782.0	1.9099981015338736	0.7238424063776289	0.206391935336314
peak_MN_467_enhancer_AJAP1_48429.5_C1orf174_802864.5	3.567634460302937	3.4156589643218083	3.567634460302937
peak_SKM_473_enhancer_AJAP1_140379.5_C1orf174_894814.5	2.887238350160017	1.8542507708993314	1.3465708684640458
peak_PP_474_enhancer_AJAP1_149205.0_C1orf174_903640.0	-1.1590190128561089	-2.1343745336989297	-2.619601652108172
