1-Dec	DEC1
6-Sep	SEPTIN6
GLTPD1	CPTP
APITD1	CENPS
PTCHD2	DISP3
C1orf64	SRARP
C1orf234	TEX46
C1orf63	RSRP1
C1orf172	KDF1
ADC	AZIN2
ADPRHL2	ADPRS
UTP11L	UTP11
KIAA0754	MACF1
LEPRE1	P3H1
CCDC23	SVBP
NRD1	NRDC
ZCCHC11	TUT4
SELRC1	COA7
C1orf123	CZIB
C1orf177	LEXM
PPAP2B	PLPP3
C1orf168	FYB2
WDR78	DNAI4
FAM73A	MIGA1
WDR63	DNAI3
CYR61	CCN1
TMEM56	TLCD4
FAM212B	INKA2
FAM19A3	TAFA3
C1orf51	CIART
KIAA0907	KHDC4
C1orf85	GLMP
DARC	ACKR1
C1orf204	VSIG8
RFWD2	COP1
C1orf27	ODR4
TROVE2	RO60
C1orf106	INAVA
C1orf186	RHEX
DIEXF	UTP25
TMEM206	PACC1
C1orf95	STUM
ADCK3	COQ8A
ERO1LB	ERO1B
FBXO18	FBH1
PTPLA	HACD1
C10orf113	NEBL
ARMC4	ODAD2
KIAA1462	JCAD
C10orf10	DEPP1
C10orf25	ZFAS1
H2AFY2	H2AW
C10orf11	LRMDA
WAPAL	WAPL
FAM35A	SHLD2
C10orf129	ACSM6
C10orf12	LCOR
FAM178A	SLF2
MGEA5	OGA
OBFC1	STN1
PPAPDC1A	PLPP4
C10orf137	EDRF1
ATHL1	PGGHG
PIDD	PIDD1
MRVI1	IRAG1
DCDC5	DCDC1
C11orf74	IFTAP
PLAC1L	OOSP2
DAK	TKFC
C11orf48	LBHD1
METTL12	CSKMT
C11orf83	UQCC3
C11orf85	MAJIN
SSSCA1	ZNRD2
SUV420H1	KMT5B
ORAOV1	LTO1
C11orf30	EMSY
C11orf82	DDIAS
CCDC67	DEUP1
MRE11A	MRE11
C11orf88	HOATZ
C11orf34	PLET1
ZNF259	ZPR1
AMICA1	JAML
H2AFX	H2AX
TMEM136	TLCD5
C11orf63	JHY
SRPR	SRPRA
C12orf5	TIGAR
LEPREL2	P3H3
H2AFJ	H2AJ
LRMP	IRAG2
KIAA1551	RESF1
TENC1	TNS2
C12orf10	MYG1
WIBG	PYM1
TMEM194A	NEMP1
XRCC6BP1	ATP23
FAM19A2	TAFA2
CCDC41	CEP83
C12orf52	RITA1
GCN1L1	GCN1
SETD8	KMT5A
C1QTNF9B-AS1	PCOTH
NUPL1	NUP58
SPG20	SPART
SPERT	CBY2
LECT1	CNMD
RNF219	OBI1
CTAGE5	MIA2
C14orf166	RTRAF
ERO1L	ERO1A
KIAA0247	SUSD6
C14orf169	RIOX1
CCDC176	BBOF1
C14orf1	ERG28
KIAA1737	CIPC
C14orf142	GON7
APOPT1	COA8
C14orf79	CLBA1
C14orf80	TEDC1
C15orf41	CDIN1
LINC00594	DISP2
CASC5	KNL1
CASC4	GOLM2
C15orf43	TERB2
SQRDL	SQOR
NARG2	ICE2
PTPLAD1	HACD3
KIAA1199	CEMIP
MESDC2	MESD
EFTUD1	EFL1
FAM154B	SAXO2
FAM103A1	RAMAC
C15orf38	ARPIN
TMEM8A	PGAP6
C16orf11	PRR35
NARFL	CIAO3
C16orf59	TEDC2
TCEB2	ELOB
MKL2	MRTFB
KIAA0430	MARF1
FOPNL	CEP20
C16orf52	MOSMO
CCDC101	SGF29
C16orf58	RUSF1
CCDC135	DRC7
CCDC79	TERB1
CIRH1A	UTP4
FUK	FCSK
MTSS1L	MTSS2
C16orf47	ZFHX3
KARS	SYK
TLDC1	MEAK7
RNMTL1	MRM3
C17orf85	NCBP3
C17orf74	SPEM2
LRRC48	DRC3
C17orf103	NATD1
C17orf96	EPOP
TTC25	ODAD4
G6PC	G6PC1
C17orf53	HROB
C17orf104	MEIOC
C17orf72	PRR29
STRA13	CENPX
HEXDC	HEXD
C17orf62	CYBC1
SOGA2	MTCL1
