RNA17_CM_Hyb1_total	RNA19_CM_Hyb2_total	RNA3_CM_Hyb1_total	RNA4_CM_Hyb2_total	gene	mean	bins
0	0	0	0.0118651612031273	FCN1	0.00296629030078183	1
0.0122353048129498	0	0	0	CD84	0.00305882620323745	1
0.0123514120902978	0	0	0	PTPRC	0.00308785302257445	1
0	0.0130321632280593	0	0	LY9	0.00325804080701482	1
0	0	0.0145103388780549	0	OR1A1	0.00362758471951373	1
0	0	0	0.0155550869401054	VAX1	0.00388877173502635	1
0.0158751922113908	0	0	0	POTEC	0.0039687980528477	1
0	0	0	0.0158844112931069	CD180	0.00397110282327673	1
0	0	0.0167904131235273	0	ZNF208	0.00419760328088183	1
0	0	0.0175279194337927	0	GABRR3	0.00438197985844817	1
0.017556239696721	0	0	0	FCRL3	0.00438905992418025	1
0	0	0.0177962835198362	0	RNF17	0.00444907087995905	1
0	0	0.0178662599697801	0	MGAT4D	0.00446656499244502	1
0	0	0	0.0181481240091372	PSG1	0.0045370310022843	1
0.0186093255618489	0	0	0	MROH2B	0.00465233139046223	1
0	0.0211173386019983	0	0	LIPN	0.00527933465049958	1
0	0	0	0.0211543334608388	SPATA31A3	0.0052885833652097	1
0	0	0	0.0218261438083224	FHL5	0.0054565359520806	1
0	0	0	0.0220831109171768	GAB4	0.0055207777292942	1
0.0224011367050149	0	0	0	OR8G1	0.00560028417625372	1
0	0	0.022443135278608	0	C12orf40	0.005610783819652	1
0	0	0	0.0231923861950875	FCRL4	0.00579809654877188	1
0.0244046866473815	0	0	0	BEND2	0.00610117166184538	1
0	0	0.0245726953124189	0	CA1	0.00614317382810472	1
0	0	0	0.0245789907751378	DNAJC5B	0.00614474769378445	1
0	0	0	0.0248503569443361	OR51D1	0.00621258923608402	1
0	0	0.0252110276244439	0	OR51B5	0.00630275690611097	1
0.0252593678438212	0	0	0	ADAM7	0.0063148419609553	1
0.0254524041456171	0	0	0	DCAF8L2	0.00636310103640427	1
0	0	0	0.0256248308550818	LILRB5	0.00640620771377045	1
0	0	0.0258032329713268	0	OPALIN	0.0064508082428317	1
0	0	0.0263542643108146	0	MUC21	0.00658856607770365	1
0	0	0.0267706814490948	0	OR2H1	0.0066926703622737	1
0	0	0	0.0268754755848746	SLC10A2	0.00671886889621865	1
0.027058003833656	0	0	0	LMX1A	0.006764500958414	1
0	0	0.0270605643018191	0	SERPINB11	0.00676514107545477	1
0.0133566579433652	0.0140159547432702	0	0	ZNF727	0.00684315317165885	1
0	0.0279297835970019	0	0	OR2C3	0.00698244589925047	1
0	0	0.0281186285600337	0	DAZL	0.00702965714000842	1
0	0.0282518460089026	0	0	CYP11B1	0.00706296150222565	1
0	0	0	0.0284553866021902	LILRB4	0.00711384665054755	1
0	0	0	0.0287186102741084	FSCB	0.0071796525685271	1
0	0	0.0287576883000345	0	OTP	0.00718942207500863	1
0	0	0.0288990241488638	0	RBMXL3	0.00722475603721595	1
0.029651151098154	0	0	0	LILRB2	0.0074127877745385	1
0	0	0.0302730843521865	0	OR51I2	0.00756827108804663	1
0.0303586450519706	0	0	0	MC2R	0.00758966126299265	1
0.0305470045977476	0	0	0	ADGRE1	0.0076367511494369	1
0	0	0	0.0308015200852993	SLC15A5	0.00770038002132483	1
0	0.0310659514544953	0	0	TRIM10	0.00776648786362383	1
0.0310751224050083	0	0	0	ZNF705G	0.00776878060125208	1
0	0.0314690848287724	0	0	MROH9	0.0078672712071931	1
0	0.0314857616092858	0	0	OR10D3	0.00787144040232145	1
0	0	0	0.0317688225862138	CNGA2	0.00794220564655345	1
0.0318799960709038	0	0	0	OR5K1	0.00796999901772595	1
0	0	0	0.0325616069473164	P2RY13	0.0081404017368291	1
0	0	0.0327635937498918	0	SERF1B	0.00819089843747295	1
0	0	0.0328281525553103	0	C2orf78	0.00820703813882757	1
0.032874944416853	0	0	0	FAM9B	0.00821873610421325	1
0	0	0	0.0329067409390825	NEUROD1	0.00822668523477063	1
0.0175889633494642	0	0.0155268289112954	0	PLA2G2F	0.0082789480651899	1
0	0	0.0332540667102195	0	KRT74	0.00831351667755488	1
0	0.0124739937343528	0.0209871351104178	0	GLRA3	0.00836528221119265	1
0	0	0.0335104674927656	0	ADAM30	0.0083776168731914	1
0.00899926456678457	0.00944347646137205	0.00794418855049828	0.00715511747670109	CR1	0.008385511763839	1
0	0	0	0.0335818139534986	PLA2G2D	0.00839545348837465	1
0.0336516332968352	0	0	0	SCN10A	0.0084129083242088	1
0.0339441684783724	0	0	0	RXFP2	0.0084860421195931	1
0	0.0184428471695553	0.0155147795329691	0	KCNC2	0.0084894066756311	1
0.0165916111419561	0.0174105881777941	0	0	KCNG4	0.00850054982993755	1
0	0	0.0346008046143717	0	PRAMEF12	0.00865020115359292	1
0	0	0	0.0348154846130432	NBPF6	0.0087038711532608	1
0	0	0.0354222978493692	0	SLCO1B7	0.0088555744623423	1
0	0.0356196835471956	0	0	TMPRSS12	0.0089049208867989	1
0.0357781188132228	0	0	0	NKX2-1	0.0089445297033057	1
0	0	0	0.035812586797665	TRIM42	0.00895314669941625	1
0.0361897558465485	0	0	0	GAGE1	0.00904743896163713	1
0	0	0.0363101069854413	0	PRLHR	0.00907752674636032	1
0	0	0.0252173876213219	0.0113563122110658	TRPM8	0.00914342495809693	1
0	0	0.0369680933916124	0	GPR15	0.0092420233479031	1
