RNA15_PP_Hyb1_total	RNA16_PP_Hyb2_total	RNA24_PP_Hyb1_total	RNA25_PP_Hyb2_total	gene	mean	bins
0	0	0.010717920563652	0	CD84	0.002679480140913	1
0.0108204979986162	0	0	0	POTEM	0.00270512449965405	1
0	0	0	0.0108520869668069	PIK3CG	0.00271302174170173	1
0	0.0109819204668782	0	0	OR5AU1	0.00274548011671955	1
0.0116945258214502	0	0	0	FCRL3	0.00292363145536255	1
0	0	0	0.0122320300910517	FAM9B	0.00305800752276293	1
0	0	0.0125134798557587	0	ZNF99	0.00312836996393967	1
0	0.00628509965330287	0.00675113011751168	0	MUC17	0.00325905744270364	1
0	0	0.0130725296279124	0	FCN1	0.0032681324069781	1
0	0	0	0.0135979434076578	OR2G6	0.00339948585191445	1
0	0	0	0.0138482260143394	MROH2B	0.00346205650358485	1
0	0	0	0.0140000756433387	MUC22	0.00350001891083468	1
0	0	0.0140721172955879	0	CYP4F8	0.00351802932389697	1
0	0.0145933895711092	0	0	LILRB4	0.0036483473927773	1
0	0.0146396590370924	0	0	POTEB3	0.0036599147592731	1
0.014921798525886	0	0	0	OR8G1	0.0037304496314715	1
0	0.0149477127235317	0	0	OR52A1	0.00373692818088292	1
0	0	0	0.0150610286500903	MGAT4D	0.00376525716252257	1
0	0	0	0.0151367801863222	CYSLTR1	0.00378419504658055	1
0	0	0	0.0157979856200329	TOPAZ1	0.00394949640500823	1
0.0162563990405935	0	0	0	BEND2	0.00406409976014837	1
0	0.0163070756146882	0	0	GOLGA8F	0.00407676890367205	1
0	0	0.0164692603049309	0	MYH1	0.00411731507623272	1
0.0169733779361732	0	0	0	IDO2	0.0042433444840433	1
0	0	0	0.017421222926867	ANKRD62	0.00435530573171675	1
0	0	0	0.0175664905768721	GIMAP1	0.00439162264421802	1
0.0180023130187002	0	0	0	CLEC7A	0.00450057825467505	1
0.0184087105670174	0	0	0	ACSM2A	0.00460217764175435	1
0	0.0185101160966084	0	0	SPATA31A7	0.0046275290241521	1
0	0	0.0190905224820245	0	TMCO5A	0.00477263062050612	1
0.0192766909144783	0	0	0	GIMAP6	0.00481917272861958	1
0.0194707515612684	0	0	0	OPALIN	0.0048676878903171	1
0.0196227085193428	0	0	0	ZNF729	0.0049056771298357	1
0	0	0.0196658118193099	0	TESPA1	0.00491645295482747	1
0.0198865519505283	0	0	0	MUC21	0.00497163798763208	1
0.0202224374124273	0	0	0	MC2R	0.00505560935310683	1
0	0	0.0202975966475545	0	OR1D2	0.00507439916188863	1
0.0208196774905751	0	0	0	OR51D1	0.00520491937264377	1
0	0	0	0.0211884473968457	CLEC4M	0.00529711184921143	1
0	0.021195081295841	0	0	SPATA31A1	0.00529877032396025	1
0.0214349791271252	0	0	0	TRIM31	0.0053587447817813	1
0.022068370845042	0	0	0	PPP3R2	0.0055170927112605	1
0.0105055280708014	0	0	0.0117362751110384	TDRD15	0.00556045079545995	1
