RNA26_RPE_Hyb1_total	RNA27_RPE_Hyb1_total	RNA28_RPE_Hyb2_total	RNA29_RPE_Hyb2_total	gene	mean	bins
0	0	0.00557988573147445	0	MUC5AC	0.00139497143286861	1
0	0.0103685471293058	0	0	C5orf64	0.00259213678232645	1
0	0	0.0105674423361301	0	LOXHD1	0.00264186058403252	1
0	0.0132351244193369	0	0	ABCC12	0.00330878110483422	1
0	0	0	0.0137231520119533	OR56A1	0.00343078800298833	1
0	0	0	0.0137878991316134	ZNF727	0.00344697478290335	1
0	0	0.0153852475099188	0	LILRB4	0.0038463118774797	1
0	0	0	0.0154050881441511	FCN1	0.00385127203603777	1
0	0	0.015983885444552	0	TIGIT	0.003995971361138	1
0	0	0	0.0163877483299899	POTEC	0.00409693708249748	1
0	0.0164639421312471	0	0	OR2AG1	0.00411598553281177	1
0	0	0	0.0167086633558917	POU2AF1	0.00417716583897293	1
0	0.0167124905390929	0	0	FAM9B	0.00417812263477322	1
0	0	0.0171737248620156	0	FBXO40	0.0042934312155039	1
0	0	0.0172988355086649	0	SLC26A9	0.00432470887716623	1
0	0.0178499763292731	0	0	FCRL3	0.00446249408231827	1
0	0.0181282234803671	0	0	KLK2	0.00453205587009177	1
0	0.0184773467057954	0	0	IL19	0.00461933667644885	1
0	0	0	0.0191660614588979	CYTH4	0.00479151536472448	1
0.0192419653163154	0	0	0	KIF25	0.00481049132907885	1
0	0.0192690121044036	0	0	CD33	0.0048172530261009	1
0	0	0	0.0194304868413927	MYH4	0.00485762171034817	1
0	0	0	0.0196708134350557	SAG	0.00491770335876392	1
0	0.0203126935998256	0	0	CD180	0.0050781733999564	1
0.0204074628104995	0	0	0	MAS1	0.00510186570262487	1
0	0	0	0.0212766306585035	GPR174	0.00531915766462587	1
0	0	0	0.021853394809837	LILRA2	0.00546334870245925	1
0	0	0.0220566031361047	0	CD209	0.00551415078402618	1
0	0	0	0.0224364316387367	ZNF716	0.00560910790968417	1
0.0224769349016118	0	0	0	TESPA1	0.00561923372540295	1
0.0227065210582275	0	0	0	HRG	0.00567663026455687	1
0	0	0	0.0229068800387651	C18orf63	0.00572672000969127	1
0	0	0	0.0229924879696732	OPN5	0.0057481219924183	1
0.0230153592455806	0	0	0	SPATA31D3	0.00575383981139515	1
0	0.0235685460232981	0	0	CD28	0.00589213650582452	1
0.00828876002659234	0	0.00711784224614463	0.00854611849962117	WDFY4	0.00598818019308953	1
0	0	0	0.0240621261502302	CD99	0.00601553153755755	1
0	0.0243460239635888	0	0	ECE2	0.0060865059908972	1
0	0	0.0244802228420333	0	CLEC4M	0.00612005571050833	1
0	0	0.0246475560108269	0	SPATA31C2	0.00616188900270672	1
0	0	0.0246975764187636	0	NLRP4	0.0061743941046909	1
0.0252896853990029	0	0	0	ADAM7	0.00632242134975072	1
0	0	0.0253272232681494	0	ZNF729	0.00633180581703735	1
0.0125095067465221	0	0	0.012897915572969	RGSL1	0.00635185557987277	1
0	0	0.0254530316974552	0	TRIM10	0.0063632579243638	1
0.0107810631080002	0.00547415116602374	0.00925806829999679	0	OPRM1	0.00637832064350518	1
0	0.0255508982076812	0	0	PTPN20	0.0063877245519203	1
0	0	0.0257833279244614	0	MROH9	0.00644583198111535	1
0	0.0259015404553006	0	0	ROS1	0.00647538511382515	1
0.0140470399756821	0	0.0120626745437698	0	LAIR1	0.00652742862986298	1
0	0.0261604970060921	0	0	SLC13A1	0.00654012425152303	1
0	0.0264489656153943	0	0	TLR8	0.00661224140384857	1
0	0	0.0270739283211252	0	GABRA6	0.0067684820802813	1
