RNA17_CM_Hyb1_total	RNA19_CM_Hyb2_total	RNA3_CM_Hyb1_total	RNA4_CM_Hyb2_total	gene	mean	bins
0.0122353048129498	0	0	0	CD84	0.00305882620323745	1
0	0.0192277126720784	0.0485251089955922	0.0437052636938494	WBP2NL	0.02786452134038	1
0.0308276719645682	0.0485240308909458	0.0204100710265269	0.024510404467251	PGR	0.031068044587323	1
0	0.147063445932481	0	0	C7orf69	0.0367658614831202	1
0.0722871024857008	0.0379276298478916	0.0957182169143823	0	FAM217A	0.0514832373119937	1
0.0898406689682593	0.0269357960588109	0.124626427500863	0.0408173379618406	FYB1	0.0705550576224434	1
0	0.0842149286417041	0.0708445956987384	0.127615653025273	GZMB	0.0706687943414289	1
0.110082060314825	0.0770105407086484	0.0323920040605703	0.0875238268399188	EVI2A	0.0767521079809906	1
0.0724489737964493	0.0950314014023068	0.0479662785657005	0.100804526945827	PZP	0.0790627951775709	1
0.0930466278092443	0.19527898818972	0	0.0739793288490796	SRGN	0.090576236212011	1
0	0.0762201823691113	0.0641191305522257	0.231001522025221	TSPAN16	0.0928352087366395	1
0.0686081466488036	0.125990737684658	0.060564510470112	0.163646488717352	IL5RA	0.104702470880231	1
0.0105141825481755	0.143431238261354	0.102096468880234	0.167191909395227	ADH1B	0.105808449771248	1
0.141414606361349	0.037098740029174	0.124835122736085	0.140544556992397	STPG4	0.110973256529751	1
0.124779885447769	0	0.27537665160033	0.0496048722916418	CPA3	0.112440352334935	1
0.0724489737964493	0.152050242243691	0.127910076175201	0.115205173652373	SPESP1	0.116903616466929	1
0.196161934479473	0.0137229777472508	0.184708117853646	0.0831808229211963	ZNF536	0.119443463250392	1
0.0703922996542791	0.0984892368946908	0.248557955733742	0.0932789506934623	MEFV	0.127679610744044	1
0.104849764855417	0.110025244734671	0.154261920572407	0.194515401995466	ADGRG3	0.14091308303949	1
0.113388931285564	0.158647882928497	0.200190369554579	0.180306094544719	MLANA	0.16313331957834	1
0.188102568179153	0.328979137080411	0.110699584198139	0.0997041453037982	S100B	0.181871358690375	1
0.130940964435535	0.247327793436864	0.161825178472812	0.187394909547634	OMD	0.181872211473211	1
0.145924930468879	0.306255835859393	0.12881665532335	0.182319822404755	CCDC170	0.190829311014094	1
0.116840322659175	0.388257613405923	0.137522578890345	0.185794345401884	CD163	0.207103715089332	1
0.166689518219603	0.0874587323209846	0.294293595282394	0.309239402583567	ENKUR	0.214420312101637	1
0.22860917774667	0.319858046604157	0.201806980883418	0.121174755328842	C4orf45	0.217862240140772	1
0.140943140523996	0.285236142999911	0.133305998218688	0.312169353232918	STEAP4	0.217913658743878	1
0.309876552895603	0.23226595839219	0.234468470361814	0.105589730112584	HCRTR1	0.220550177940548	1
0.323741967723841	0.0754938146845263	0.476310631500571	0.0572000274519249	MAEL	0.233186610340216	1
0.172056484112644	0.232134877104623	0.195280121723091	0.341995822913669	MYOM3	0.235366826463507	1
0.239815213329134	0.29883759390542	0.105849609033403	0.357509635510244	CC2D2B	0.25050301294455	1
0.103875928030134	0.490515022965715	0.160470604682133	0.26325392751266	KYNU	0.254528870797661	1
0.175959204193015	0.41125412850394	0.183571467566317	0.3561123901485	ABCA6	0.281724297602943	1
0.129946075667884	0.4162578565066	0.259609479665975	0.348016063622462	ZBTB16	0.28845736886573	1
0.472445580771444	0.104371773661348	0.548757820218049	0.0593101733921804	F13A1	0.296221337010755	1
0.414376316195061	0.237180168290308	0.266032533681756	0.284534933628953	MPV17L	0.30053098794902	1
0.342729255580661	0.179823341878699	0.332802351646525	0.381495098344618	HK3	0.309212511862626	1
0.1970037335488	0.51682004311693	0.260860450237265	0.266276676158422	LHX6	0.310240225765354	1
0.137519816500165	0.494770011020588	0.606984795035079	0.156198548246582	PTGFR	0.348868292700603	1
0.426082709771017	0.34191111909579	0.309753019794794	0.318841410214537	C12orf60	0.349147064719035	1
0.528371060776628	0.277225968760304	0.457787211625227	0.225607228296083	TCP10L	0.372247867364561	1
0.346955943451092	0.227551252993957	0.38284842792386	0.551714090903591	IL1RL2	0.377267428818125	1
0.775375009332891	0.051934993143988	0.669906662066188	0.0524666918469288	CDH19	0.387420839097499	1
0.628574776818486	0.14841040505426	0.749088693404062	0.0999531981230417	KCNE1	0.406506768349962	1
0.362677305716219	0.553570018638844	0.509340567561828	0.235928254151687	ITGB2	0.415379036517144	1
0.417361436248066	0.288657284728588	0.510777784920934	0.452502143789562	ESR2	0.417324662421787	1
0.765119905701691	0.321154768414715	0.180111215371027	0.405553347789774	CSF3	0.417984809319302	1
0.463181248267572	0.274720689325054	0.5866507041651	0.368265230982498	PKD1L3	0.423204468185056	1
0.157371790363597	0.789001291766231	0.509378769227973	0.291953321092638	GCNT3	0.43692629311261	1
0.282785068940472	0.6491266194741	0.31203909639744	0.533985959412289	ZNF366	0.444484186056075	1
0.508248411327874	0.3200016094617	0.628125737626965	0.323277713498491	PLA2G5	0.444913367978757	1
0.148801243158805	0.624584832133742	0.52542299359222	0.532388691776589	COL4A2-AS2	0.457799440165339	1
0.519872790685456	0.495940168253107	0.417202523083973	0.432127586355298	MYO1H	0.466285767094459	1
0.345705466212569	0.624770216030661	0.339083190403392	0.580265950127974	CNGB3	0.472456205693649	1
0.33423183602081	0.894361050765299	0.177027847457355	0.504906735825639	C5AR2	0.477631867517276	1
0.591881780224449	0.451707348304849	0.6174874881929	0.299467760734288	HEATR4	0.490136094364122	1
0.511492077423774	0.432854671111192	0.509785860204312	0.511624782917654	ESR1	0.491439347914233	1
0.511873286988776	0.373013762912621	0.552274721165303	0.542638934461054	HR	0.494950176381939	1
0.28575185738329	0.719656390310555	0.20180019083662	0.781550874735274	SLCO5A1	0.497189828316435	1
0.885328617617594	0.265436926984612	0.707100806436142	0.134077205077185	TRIM61	0.497985889028883	1
0.817737306171566	0.237628125501833	0.655231835054358	0.300076135571591	KY	0.502668350574837	1
0.494704001939058	0.311473825199068	1.0480914760778	0.157331311855535	KCNK13	0.502900153767865	1
0.797682977708367	0.279019111977563	0.616142123612949	0.3699617860084	SLC26A5	0.51570149982682	1
0.641573631976489	0.144266205155942	0.809079113969404	0.510101094670424	OPN4	0.526255011443065	1
0.0891284896055492	1.07557145974389	0.3933952165719	0.566912826190192	SIGLEC9	0.531251998027883	1
0.316145991492983	0.70371476327759	0.498962922785471	0.609359344902402	COL4A4	0.532045755614611	1
1.00126007028247	0.100065064685006	1.09431782644375	0.151634262247292	ASB10	0.58681930591463	1
1.26965938101023	0.166541365540917	0.910653411984554	0.189277175632789	RAMP3	0.634032833542122	1
0.831916831471901	0.567437652531448	0.648704714110292	0.600806900319392	FOXP2	0.662216524608258	1
0.722675846131592	0.781681562003022	0.657578354793484	0.574583682730136	SYN3	0.684129861414559	1
0.949872778118461	0.464509217936748	1.00946769621582	0.388609877847909	OTOGL	0.703114892529734	1
0.999935652200081	0.604559765805244	0.806708654109178	0.458061833872029	LRRK2	0.717316476496633	1
0.890383849825276	0.567274218851041	0.842137527640437	0.695283119420548	IQCH	0.748769678934325	1
1.2410046386161	0.494529781425169	0.929102523905338	0.443388490522468	KCNC1	0.777006358617269	1
1.44586373744212	0.173613713582088	1.27000031166205	0.234490317086934	RBFOX1	0.780992019943298	1
0.781157176211225	0.504440495891513	1.08740533450987	0.788294992281211	C11orf65	0.790324499723455	1
0.859585480127464	0.530597295438466	1.13821119693613	0.683437523803799	YIPF7	0.802957874076465	1
0.265543593243676	1.28876118411181	0.512774491951077	1.14800782049123	LCP2	0.803771772449448	1
1.40234983778033	0.302723198307551	1.31575123931435	0.261223308441195	PDE1C	0.820511895960856	1
0.771637111031348	0.809725821556691	0.596023911172435	1.15033445327082	THRSP	0.831930324257824	1
0.718209805774949	0.929515598223561	0.824208722347965	0.894618103771353	IL20RA	0.841638057529457	1
1.09491968184893	0.463617825141514	1.47526209231383	0.336000432672647	UBE2QL1	0.84245000799423	1
1.38135568218765	0.561112512252369	0.993225201930439	0.45171421580677	AMZ1	0.846851903044307	1
0.730292969158395	1.07176661428614	0.775476505847869	0.875167370200047	NRG1	0.863175864873113	1
0.392348267209503	1.18763923554216	0.426276010792835	1.46375358096192	AGBL4	0.867504273626605	1
0.791872349956995	1.20866893135099	0.699033038677761	0.801309475480367	CACNA2D3	0.875220948866528	1
