RNA11_HP_Hyb1_total	RNA12_HP_Hyb2_total	RNA22_HP_Hyb1_total	RNA23_HP_Hyb2_total	gene	mean	bins
0	0.0291305420973203	0	0	C4BPA	0.00728263552433007	1
0	0	0	0.0337266092522192	DNASE1L3	0.0084316523130548	1
0.0182180878298724	0	0	0.0171149957399321	CNGB3	0.00883327089245112	1
0	0.0218004662870417	0	0.0152870799701015	ADGRF5	0.0092718865642858	1
0	0.0171724198043869	0	0.0240835357715131	CLEC7A	0.010313988893975	1
0.0422722730597905	0	0	0	SIGLEC9	0.0105680682649476	1
0	0.0475875919182414	0	0	HSD11B1	0.0118968979795603	1
0	0	0	0.0622709132259425	IL1RN	0.0155677283064856	1
0.0417681837374962	0	0.0161550924276505	0.0130797167702709	ABCB11	0.0177507482338544	1
0.0227138604028183	0.0304302977290679	0	0.0213385525232903	ECE2	0.0186206776637941	1
0.0345715628725226	0	0.040114753163606	0	PGLYRP2	0.0186715790090322	1
0.0162256564720435	0.0326068454593872	0	0.0304864093301027	ROBO4	0.0198297278153833	1
0	0.0295857068175909	0.0512485765128799	0	GBP7	0.0202085708326177	1
0.0624680696975444	0	0	0.029342836546275	FMO3	0.0229527265609549	1
0.0105659891643643	0.0283110127800043	0.02452027111535	0.0297786784032972	FGD2	0.0232939878657539	1
0	0	0.0635900704486346	0.0514847014707346	CIDEC	0.0287686929798423	1
0.0257340311080325	0	0.0895806454810665	0	CYP8B1	0.0288286691472748	1
0.0990598025007018	0.0221187946450603	0	0	IL33	0.0302946492864405	1
0	0.0641954845921615	0	0.060020826695994	TLR3	0.0310540778220389	1
0.0170728516005607	0.0457458087771635	0.00990515283154445	0.0641564109561408	CR1	0.0342200560413524	1
0.0352003427314199	0.047158734380063	0.0408443513286331	0.0165344936723972	GBP1	0.0349344805281283	1
0	0	0	0.149570180162016	FETUB	0.037392545040504	1
0.0379286178830959	0.0254069346682137	0.0880201540108219	0	CD69	0.0378389266405329	1
0.0415447092805754	0.0347865204894513	0.0361544782670636	0.0390292070712202	KCNJ15	0.0378787287770776	1
0.0936476424105734	0.0209103280965943	0	0.0586515634307701	TNFSF10	0.0433023834844845	1
0.0786338549377216	0.0526738206298544	0.0456209875839399	0	C8B	0.044232165787879	1
0	0.086273907650337	0	0.0907464162613668	TMEM71	0.044255080977926	1
0.0422843754891817	0.0592243530239689	0.0289925025056581	0.0469466483009812	NFIA	0.0443619698299475	1
0.0269477786866351	0.108307735544979	0.0312685745306884	0.0253161101060311	BIN2	0.0479600497170834	1
0.0613793404828158	0	0.142441757804942	0	APOF	0.0509552745719394	1
0.0276625922855853	0.0370602312543812	0.0641960021011197	0.0779629267700025	DAO	0.0517204381027722	1
0.0625499175105125	0.0628497064903605	0.0181447864433431	0.0734532063492793	ITGB2	0.0542494041983739	1
0.0477394870421901	0.0479682926535874	0.0553940169241439	0.0672733432550933	IL18R1	0.0545937849687537	1
0	0.0444425194443367	0.128306092319666	0.0623286070924274	C6	0.0587693047141075	1
0.0624862395840184	0.0418571489123799	0.0725052577541151	0.0587027428054915	CLEC4G	0.0588878472640012	1
0.0220268319173439	0.0811521407550694	0.0638965129085019	0.0724259309113585	HGF	0.0598753541230684	1
0.105524949253294	0.0212061417566699	0.110200298920711	0.00991354896184693	ABCG8	0.0617112347231305	1
0.0634084095896858	0.0424748754311576	0.091969110152984	0.0893536141227626	HLF	0.0718015023241475	1
0.135550193061924	0.0648570749778088	0.0898767175621589	0.0181918180787164	MS4A6A	0.077118950920152	1
0.0167259180699047	0.145652710486601	0.0388154899032463	0.109992230485593	ABCB1	0.0777965872363363	1
0.0722838801109877	0.0968404293141064	0.0838738479672435	0.0679071432588425	C4orf45	0.080226325162795	1
0	0.106596205896861	0	0.224244477516978	FGF21	0.0827101708534597	1
0.0482253124116706	0.129217190626246	0.0932628988920412	0.0604070726624603	C7	0.0827781186481045	1
0.0997343044056896	0.080169848446107	0.0810079634684556	0.0749563713148672	ADH1B	0.0839671219087798	1
0.0332756647598909	0.133740592900337	0.0772221425522453	0.0937825417124906	LAPTM5	0.0845052354812409	1
0.112136018165451	0.0417309122957784	0.115658543630042	0.0819359823893376	PARVG	0.0878653641201523	1
0.0531620122964255	0.160250420891717	0.0925289814991268	0.0499430907610195	SLC9A9	0.0889711263620722	1
0.062980853617665	0.105471179977105	0.0730791780001899	0.11833481663165	SLC2A2	0.0899665070566525	1
0.121410773601565	0.0290458739626922	0.150940422346993	0.0896181304463942	NLRC5	0.0977538000894111	1
0.0538415267393121	0.135248945451844	0.0937116827664089	0.126453652735138	CFH	0.102313951923176	1
0.0925981429697652	0.116302433696737	0.147737275740578	0.0652435441051551	STAB2	0.105470349128059	1
0.131828480418419	0.0883068716008604	0.183558966243481	0.0495385443704663	RGS1	0.113308215658307	1
0.122001772012736	0.140098858959041	0.0707817431896209	0.130988174437955	ALPK1	0.115967637149838	1
0.124706477374142	0.222762968979508	0	0.117155590034025	AZGP1	0.116156259096919	1
0.0621128638270592	0.11095210328509	0.120120025134275	0.175055924044672	MRC1	0.117060229072774	1
0.204047198059068	0.0683417182020399	0.118382021287944	0.0958461436276459	FAM83A	0.121654270294174	1
0.0229663985129202	0.246149032218537	0.0266488214837126	0.194182196695266	ADAMTSL2	0.122486612227609	1
0.0520920687899746	0.279155922329315	0.120888979708365	0.048937931562871	CD79B	0.125268725597631	1
0	0.164920456078149	0.0816218324029626	0.26433533695518	CAVIN2	0.127719406359073	1
0.193615984899729	0.043231988171669	0.27458480249801	0	HRG	0.127858193892352	1
0.12827448376764	0.150370823365478	0.130236716906295	0.120507556211542	CPB2	0.132347395062739	1
0.0793698368312274	0.0886113780546565	0.122794618797363	0.248546834686305	FFAR4	0.134830667092388	1
0.0419913392669772	0.225027174293608	0.0487242134790164	0.276141557536544	HCRTR1	0.147971071144036	1
0.145043593005219	0.224680584207452	0.126224867664097	0.110712312724645	MGLL	0.151665339400353	1
0.429655383379711	0.0575619511843048	0.0997092304634591	0.040364005953056	FAM180A	0.156822642745133	1
0.180387546309787	0.0836548186052744	0.273714138657603	0.0912504978915488	PECAM1	0.157251750366053	1
0.365975624684592	0.183864835554636	0	0.0859540160840204	THRSP	0.158948619080812	1
0.0400200617902115	0.107231652727841	0.046436862175605	0.451162510652637	TTPA	0.161212771836574	1
0.0853167957465669	0.285752339080147	0.1979929119608	0.0801509252443526	PRF1	0.162303243007967	1
0.137445740044693	0.178384965482391	0.199354667433339	0.13719371825055	NPAS2	0.163094772802743	1
0.0680696108016018	0.364777890901805	0.157967728871133	0.0639480449192902	RTP3	0.163690818873457	1
0.284069674961792	0.118929651207241	0.206010806742684	0.0667173652116627	CPN2	0.168931874530845	1
0.176219583041641	0.279010203354199	0.0743543851330791	0.150499649340253	TIE1	0.170020955217293	1
0.0591323126038688	0.178247165104164	0.137227126979712	0.305535415279119	IL15RA	0.170035504991716	1
0.285960321716946	0.11972119630679	0.207381926920672	0.0671614075758003	SDS	0.170056213130052	1
0.114452686036151	0.230002468770531	0.13280398303604	0.215045316745104	HAO2	0.173076113646956	1
0.0532015085908508	0.071275323408005	0.246927267120998	0.349861369082952	APOA5	0.180316367050701	1
0.139468313150739	0.264702761884111	0.134858837999701	0.19653541093784	IL2RB	0.183891330993098	1
0.0875577042481975	0.312808357128728	0.146750746764895	0.201070584858081	SYT12	0.187046848249975	1
0.196432377298168	0.178023461332698	0.147482994715207	0.238814579111239	ATOH8	0.190188353114328	1
0.272214552075563	0.175592586210804	0.198875647395204	0.142073420615694	ITGA4	0.197189051574316	1
0.189978503439915	0.229066837928344	0.264527495039244	0.142780353565815	TBXA2R	0.206588297493329	1
0.177055789854276	0.184493433283028	0.228272047764329	0.240261940196762	ACKR2	0.207520802774599	1
0.237174831355336	0.300096040889715	0.122312598703949	0.222814066227615	ENKUR	0.220599384294154	1
0.345483129910586	0.0561032662615057	0.413025564785284	0.0885175569145964	ATP2B2	0.225782379467993	1
0.280711420840678	0.223612608782085	0.176065175984354	0.235204865879864	ABCA6	0.228898517871745	1
0.233677692193461	0.191316613194148	0.39165457941291	0.146352450881276	ACSL5	0.240750333920449	1
0.17876684393191	0.263448000793593	0.2198760615852	0.342602986320583	LRRC7	0.251173473157822	1
0.264204594863173	0.432619201303193	0.102189017282856	0.248207197033003	APLNR	0.261805002620556	1
0.257176007609563	0.277549977444939	0.281833086904563	0.255026640432317	BIRC3	0.267896428097845	1
0.313312141501977	0.157406891303702	0.575618430604558	0.0735853292775692	AGXT	0.279980698171952	1
0.347280458599831	0.279155922329315	0.302222449270911	0.195751726251484	BLNK	0.281102639112885	1
0.274540181073298	0.444434660368701	0.238919881302218	0.171944647297363	CFI	0.282459842510395	1
0.46671234344961	0.0312632800262355	0.649853772301493	0.0219226623685944	KNG1	0.292438014536483	1
0.111355842675646	0.268534916368828	0.361789660607616	0.439375971912801	SMIM10L1	0.295264097891223	1
0.485251320370761	0.0464359076995037	0.683711244707488	0.0325621216142755	CYP4F2	0.311990148598007	1
0.385193094730786	0.129013082188183	0.574656169423112	0.206782817382459	ALDOB	0.323911290931135	1
0.25588263965176	0.342812043845119	0.395881010310187	0.320518840283663	TNFRSF1B	0.328773633522682	1
0.223468472631611	0.332651127972173	0.316921386701933	0.443201637256162	IFIT2	0.32906065614047	1
0.213043452772882	0.356774210885737	0.185402064826067	0.562904508456526	ADCY4	0.329531059235303	1
0.425160826075484	0.467884109852633	0.140951697008	0.313828149196788	COLEC10	0.336956195533226	1
0.204053658519999	0.519413503277827	0.426188770028083	0.230038027847963	ISLR	0.344923489918468	1
0.252582063249211	0.525395284633971	0.215954397662195	0.399643623297584	IL10RA	0.34839384221074	1
0.434536478064822	0.259180301120796	0.469674956464063	0.246053790791696	OAS3	0.352361381610344	1
0.439770095578005	0.331408367872789	0.19135599500408	0.464785124843275	TMEM204	0.356829895824537	1
0.374633172254657	0.447350064174027	0.283501110196354	0.351949403639505	DOCK2	0.364358437566136	1
0.3579467231711	0.479549718280796	0.207669877388487	0.448364409364687	HAND2	0.373382682051268	1
0.32477478082522	0.493122944030025	0.251232691149615	0.427153862635646	ACVRL1	0.374071069660126	1
0.60846211770163	0.244551340945404	0.211806805648398	0.438242134120226	DMGDH	0.375765599603914	1
0.185036771481357	0.433821768184899	0.644116475862139	0.260749392461602	THEM5	0.380931101997499	1
0.343987531945605	0.631161745441939	0.121478107289789	0.449612987502712	PDE2A	0.386560093045011	1
0.465666961755467	0.297078608506941	0.385951294630441	0.458303122918678	IRAK3	0.401749996952882	1
0.296387433702574	0.544708573008403	0.220455175603728	0.549743253570346	SP100	0.402823608971263	1
0.327082356409646	0.438199993790384	0.683147894466452	0.184366653256955	IGFBP1	0.408199224480859	1
0.132264962731475	0.472529357101969	0.42631186920004	0.621282072748501	CALCRL	0.413097065445496	1
0.67122315424123	0.279497736285892	0.399948357288828	0.340854635644789	ITIH3	0.422880970865185	1
0.38704371357987	0.543223629913652	0.278015613423337	0.519440708043788	NFAM1	0.431930916240162	1
0.379310531073581	0.277184355622656	1.04030497273272	0.0647897366822728	GLYAT	0.440397399027807	1
0.275583184524188	0.511207381743382	0.565747064500582	0.438133082182372	IFIT3	0.447667678237631	1
0.585760577204786	0.441426006014608	0.226560396417767	0.550293196360681	ADH6	0.45101004399946	1
0.434622497638436	0.399273649833328	0.331403511656006	0.664956167434737	ZEB1	0.457563956640627	1
0.358900678240808	0.377793235696512	0.713908571337416	0.38533657234421	GC	0.458984764404737	1
0.322767335936874	0.575396327812867	0.265788187635838	0.77762285495758	USH2A	0.48539367658579	1
0.869801916023458	0.197203644894529	0.574505034126695	0.301711767432834	KCND3	0.485805590619379	1
0.326927498344386	0.608322953841571	0.168598631152281	0.853145205297936	IL1R2	0.489248572159043	1
0.500303504578936	0.502701357097717	0.504137495448635	0.463826139375988	EML6	0.492742124125319	1
0.773797180655368	0.301358849808934	0.511575671459781	0.388830682241702	ESR2	0.493890596041446	1
0.424516499439132	0.628601650998649	0.324067961724711	0.629703681014914	ABCC3	0.501722448294352	1
0.530176929145744	0.625055738427792	0.196859290154904	0.657459129541385	TFR2	0.502387771817456	1
0.663516520397541	0.520658312424219	0.461942693199047	0.374004643934952	CMKLR1	0.50503054248894	1
1.04285287228085	0.349283684370782	0.378144836405716	0.306159025736165	CD14	0.519110104698378	1
0.543655828687584	0.504241347730917	0.533775323680188	0.510737860025041	USHBP1	0.523102590030933	1
0.589578570675418	0.567720787838341	0.299298719229937	0.657732515530071	KLKB1	0.528582648318442	1
0.395485441255257	0.132460307401291	1.00957431433915	0.594462532445596	ACMSD	0.532995648860323	1
0.771554795263378	0.426950762219625	0.700642625055537	0.25211746379173	INHBC	0.537816411582568	1
0.732843002840637	0.515655020785898	0.628827849500086	0.352913135411136	KYNU	0.557559752134439	1
0.285054838189193	0.850583717741537	0.390898671901378	0.730349926774233	SLC38A4	0.564221788651585	1
1.38301089070722	0.23160656324157	0.534920764288944	0.108272548157339	TM4SF5	0.564452691598768	1
0.516487966324146	0.403638190404294	0.617462085778378	0.779284684362511	ESR1	0.579218231717332	1
0.508194539481378	0.50547233118834	0.643285357828768	0.708901896666574	RASSF5	0.591463531291265	1
0.862761814015483	0.288965618395105	0.767507463406814	0.459295917805858	BHMT2	0.594632703405815	1
0.36160190488109	0.678225312725356	0.524476258539488	0.832282566781578	PDE7B	0.599146510731878	1
0.693738509224506	0.697063456214671	0.626089534664705	0.398281364804104	SLCO1B1	0.603793216226996	1
1.19992354757431	0.498899808030377	0.528120924064932	0.349842116311155	NNMT	0.644196598995194	1
0.506459526276853	0.601141230624409	0.546425388221041	0.934893015704828	MCTP1	0.647229790206783	1
1.12611289998715	0.541577497701793	0.636584468684719	0.379768873214236	ABCG5	0.671010934896974	1
0.713239348239892	0.716657758768736	0.662079883555505	0.670053219672244	C12orf60	0.690507552559094	1
0.838414888012044	0.540021307267946	0.636091608330383	0.757355260302011	ITIH2	0.692970765978096	1
0.637281790833152	0.576302537072171	0.739463293262082	0.838172772682859	ANGPTL3	0.697805098462566	1
0.224280708206098	1.23528276650256	0.202410277601562	1.15495183687501	PRKG1	0.704231397296308	1
0.687888862279396	0.829422927727736	0.558729277332864	0.743173340474133	GPER1	0.704803601953532	1
0.245685832216212	1.10265631557309	0.413364547609834	1.14250817399146	COL25A1	0.726053717347649	1
0.404407658208424	0.98797827036401	0.469250217189245	1.09506660178267	NAALADL2	0.739175686886087	1
0.783273030982504	0.514594641424686	0.803993935163216	0.8632044464789	DPYD	0.741266513512327	1
0.880441359384653	0.55403020576051	0.99065305974624	0.551420846353224	P2RX5	0.744136367811157	1
1.30868777049449	0.659178936635527	0.529717058327311	0.495591308452708	STAB1	0.748293768477509	1
0.501753501970557	1.03417088006297	0.53741949585048	0.942745377990887	PTH1R	0.754022313968724	1
1.5763038174308	0.553093521162957	0.609682576209131	0.282068525178588	HAMP	0.755287109995369	1
1.14146558084487	0.453590663601105	0.920406711320655	0.563438483674683	SLC38A11	0.769725359860328	1
0.272264640182824	1.04321188017789	0.492834328814116	1.37097657855356	MME	0.794821856932098	1
1.3396284629186	0.346709598261473	0.883195422897703	0.657860074348276	SLC22A7	0.806848389606513	1
0.879480178861307	0.569492557432055	1.29262785125936	0.550818858529694	MAT1A	0.823104861520604	1
1.05078762239603	0.78209172804762	1.01605873434231	0.493581594534652	SLC25A47	0.835629919830153	1
1.38598510767649	0.198946835890455	1.60821339457192	0.186009244023299	NAT8	0.844788645540541	1
0.552729910008204	0.678796594154538	1.38960119642471	0.822165644412589	IGFALS	0.86082333625001	1
1.57638748314124	0.414364779563777	0.926149270513274	0.562381654556789	NR1I2	0.86982079694377	1
1.26369230405797	0.555081496473528	0.91344039479543	0.778476488969257	SAMSN1	0.877672671074046	1
0.822644333604479	0.669141938001356	1.022728704152	1.01204427763406	PTGS2	0.881639813347974	1
0.991252847970077	0.960684439557414	0.832052286412136	0.75291195082276	HCLS1	0.884225381190597	1
1.63076016929557	0.211788743706776	1.33228832338859	0.500251042020833	ELN	0.918772069602942	1
0.748785768776619	1.25042530186818	0.770947658222622	1.04030943177979	SYN3	0.952617040161803	1
2.21182294107875	0.141106270267131	1.38507674283282	0.115438814214492	ASPG	0.963361192098298	1
0.447185036823179	1.66251472248591	0.337276227108911	1.55440072883334	TEK	1.00034417881283	1
0.849389892811384	1.22898361693518	0.74904134857098	1.22885831819758	STAMBPL1	1.01406829412878	1
1.16781187941513	0.366170172928148	1.902847909608	0.653592509070996	ANKS4B	1.02260561775557	1
0.926338997504203	1.1021161331787	0.866311372928754	1.31186915988501	GPR155	1.05165891587417	1
1.04940979206207	1.13447935324068	1.13327863991647	1.11276278744641	ADAMTS4	1.10748264316641	1
0.486630622782212	1.36116711429765	0.816463179532733	1.7668828368088	FOXP2	1.10778593835535	1
1.47969046297163	0.0391258504515394	2.6883719469711	0.256070365843204	CYP4F3	1.11581465655937	1
0.752314873622062	0.839911739070596	1.55189463756357	1.33499630584037	NAT2	1.11977938902415	1
0.427754253364756	1.71921756855778	0.551489106545681	1.83066841158771	UGT2B7	1.13228233501398	1
0.787997035084293	1.55055691521225	0.91434415830774	1.38803321709271	ZMYND12	1.16023283142425	1
1.25682728109401	1.08244371219963	1.40626265279638	0.927714303141696	C9orf147	1.16831198730793	1
1.00433703454818	1.48008757135894	0.874029018789087	1.32093521117995	DNAJC12	1.16984720896904	1
1.61464874237077	0.72697141404525	1.62783058605327	0.795741862061231	CYP2C9	1.19129815113263	1
1.17863890811991	1.30104866095427	1.24241661480819	1.04489158444276	DCN	1.19174894208128	1
1.24396699619	2.02887038413965	0.753090864527637	0.812970915469405	CCL2	1.20972479008167	1
1.54617728989312	1.58405030778146	0.949812737268344	0.769000960155596	PYY	1.21226032377463	1
1.7893536299498	0.88133805708453	1.58772659973661	0.642738948297069	DOK2	1.225289308767	1
1.70537116761222	0.723222687638325	1.9076294805973	0.576299342562192	ADAMTS2	1.22813066960251	1
2.20255414401902	0.105386216009346	2.55571077716666	0.0738996813494251	PRODH2	1.23438770463611	1
1.66918523878711	0.499587111452472	2.22528452844552	0.600555552285508	VCAM1	1.24865310774265	1
1.02889525609234	1.42564207925962	0.964906934349837	1.5756845257885	CEMIP	1.24878219887257	1
0.100669021410429	2.02303014940153	0.350430753737555	2.58501131533161	C4BPB	1.26478530997028	1
0.934826508096378	1.73351768717326	0.978890237515386	1.42443557412345	SLCO3A1	1.26791750172712	1
0.521840020464154	1.76920532095325	0.692013298873898	2.09103639802417	CORIN	1.26852375957887	1
1.18800789436168	1.1411488652982	1.48252977264638	1.26348098767913	IFITM10	1.26879187999635	1
1.8503086881543	0.826300817689715	1.62216752380899	0.862698863996028	ABCC2	1.29036897341226	1
1.55555127516634	1.28558993852477	1.21893924771955	1.11974626256832	SLC6A12	1.29495668099475	1
1.48196338125132	1.2599790322911	1.1574101440107	1.28513683055631	C11orf65	1.29612234702736	1
1.2836084799619	1.22122255283639	1.23039187227597	1.52046610578276	LRRC2	1.31392225271426	1
1.36535968985957	1.62843839577362	1.25583242522958	1.03240753096485	SLC5A10	1.3205095104569	1
1.22728189489982	1.71570644364545	0.80490561104382	1.55400420335908	ADRB2	1.32547453823704	1
1.46798504425377	1.40358104307016	0.960870402200137	1.4733970167422	MYO1F	1.32645837656657	1
0.639130358318647	1.79279040970083	0.602556710684719	2.28914500105654	HEY2	1.33090561994018	1
2.02349474119173	0.715382700485212	1.79356608957687	0.818474741329628	GPD1	1.33772956814586	1
1.30829320890708	1.56353396815499	1.32830635738518	1.32684448634613	ABLIM3	1.38174450519835	1
1.29138545453497	1.40159978534299	1.28980133760372	1.55104420988383	CPT1A	1.38345769684138	1
1.77410255900031	1.7285871226518	0.935709745340269	1.21213231090258	APOH	1.41263293447374	1
1.93200369726255	1.08934204978061	1.38700081195935	1.38411769895961	ABCB4	1.44811606449053	1
