RNA18_MN_Hyb2_total	RNA30_MN_Hyb1_total	RNA31_MN_Hyb2_total	RNA32_MN_Hyb1_total	gene	mean	bins
0.0213449780974802	0	0	0	GABRA1	0.00533624452437005	1
0	0.0134069024665227	0.00996909869095548	0	TFEC	0.00584400028936955	1
0.0136113840942732	0	0.0130525430300847	0	IL5RA	0.00666598178108947	1
0	0	0.0367318367794626	0	SOX17	0.00918295919486565	1
0.0371485563416253	0	0	0	TSPAN8	0.00928713908540632	1
0.0408403383383085	0	0	0	ADGRF5	0.0102100845845771	1
0.0499790643995504	0	0	0	GABRA6	0.0124947660998876	1
0.052003679276847	0	0	0	C1orf105	0.0130009198192118	1
0.0359449431161566	0	0.0172345778169238	0	SERPINA3	0.0132948802332701	1
0.041221265041464	0	0.0197644241019769	0	WNT2	0.0152464222858602	1
0	0.0612684456360679	0	0	MCHR2	0.015317111409017	1
0	0.035823574936823	0.0266376782332671	0	AQP9	0.0156153132925225	1
0.0661725756924827	0	0	0	RGS1	0.0165431439231207	1
0.00833757262853883	0.043009562041426	0.0159905156957913	0	P2RY6	0.016834412591439	1
0.0703148339517931	0	0	0	BCL2L14	0.0175787084879483	1
0.0180205262948646	0.023239825853066	0.0172806595757926	0.0169363798979526	DNAH3	0.0188693479054189	1
0.0507860894988488	0.0187129444405978	0.0139145630687258	0	NLRC5	0.0208533992520431	1
0.0519635839188849	0	0.0332200806031685	0	MRC1	0.0212959161305133	1
0.0142299853983201	0.0183514275408745	0.0136457464900426	0.0401216537249994	OASL	0.0215872032885592	1
0	0	0.0879315194741012	0	CIDEC	0.0219828798685253	1
0.0756035317099037	0	0.0144998972042099	0	AQP4	0.0225258572285284	1
0.0450663780292836	0.019372996476199	0.0288107285471813	0	SLFN11	0.023312525763166	1
0.0277524267419369	0	0.0266129984819701	0.0391241882756904	GCNT3	0.0233724033748994	1
0.0245637424483986	0.0316781589760243	0.0235552316404426	0.0230859447173914	DGKG	0.0257207694455642	1
0.0532044747130797	0	0.0510200645853281	0	GNGT2	0.026056134824602	1
0	0.0930837469241947	0.0173037929888794	0	FGF1	0.0275968849782685	1
0	0	0.112106967586235	0	C15orf56	0.0280267418965588	1
0	0.0189889013469806	0.014119758984863	0.0830307203910769	GBP1	0.0290348451807301	1
0	0.0595066828860705	0.0663719299753164	0	HDC	0.0314696532153467	1
0.125945841332013	0	0	0	RAMP3	0.0314864603330033	1
0.102846761419618	0	0.0246560483790041	0	TM4SF1	0.0318757024496555	1
0	0	0.0187740499095031	0.110400106001469	DAPP1	0.032293538977743	1
0.023542666437095	0.0607226957928333	0.0451521556639346	0	HEPACAM	0.0323543794734657	1
0.0611974651255731	0	0.0352109326142546	0.0345094311186831	TNNT2	0.0327294572146277	1
0.0332618227478315	0.0142984904282076	0.0212641305575865	0.0625214665696166	TLL1	0.0328364775758105	1
0.106145000933607	0	0.0407148070326573	0	FAM169B	0.0367149519915661	1
0.0765437459884085	0	0.0734010980277846	0	THRSP	0.0374862110040483	1
0.156691120820212	0	0	0	TNFSF10	0.039172780205053	1
0.0929733904715551	0.0184463613084954	0.0274326745991625	0.0201646035235472	FLT1	0.0397542574756901	1
0.0481233619013164	0.0206871233346345	0.0461475664501709	0.0452281762358749	ABCG2	0.0400465569804992	1
0.117697914591214	0	0.0564328022820034	0	CAVIN2	0.0435326792183044	1
0.0856375709565358	0.0368136165567415	0.0547477058987415	0	MAEL	0.0442997233530047	1
0	0.0499630372582981	0.0185757467308944	0.10923399149531	ZIC5	0.0444431938711256	1
0	0.0812877705779442	0.0402959500044981	0.0592397108424997	SLC6A7	0.0452058578562355	1
0.055924298055898	0.0515154982755256	0.00766117434962831	0.067576878540195	STEAP4	0.0456694623053117	1
0.0772677195102249	0	0.0740953474502314	0.0435714949739245	CD163	0.0487336404835952	1
0	0.0650150153832384	0	0.142142071962621	PIK3R6	0.0517892718364648	1
0.0718898862323133	0.123615215915331	0.0229794370892318	0	GCSAM	0.054621134809219	1
0.0400277762986154	0.103242106833517	0.0767687207880794	0	PRR35	0.0550096509800529	1
0.0739303642866241	0.0317809584315432	0.118158356073796	0	MLIP	0.0559674196979908	1
0.104551899697954	0.0449444502309957	0.0835494367700399	0	CD8B2	0.0582614466747474	1
0.086514256080092	0.0334714349438594	0.0912584750101869	0.0243928221116175	VWF	0.0589092470364389	1
0.0500625948692989	0.032281132289867	0.0640095740647125	0.0941014831098872	ADH1B	0.0601136960834414	1
0.0744664245207305	0	0.0178522662284274	0.157469386745414	HTR3B	0.062447019373643	1
0.0211291694781076	0.0544976557350681	0.060785014637634	0.119148010003937	SMC1B	0.0638899624636867	1
0.100629739966844	0	0.0643321307089356	0.0945756787134644	CRTAM	0.064884387347311	1
0.11915211375293	0.0838157653717134	0.0623236902733504	0	C3	0.0663228923494985	1
0.0797123221085673	0.0342664887405743	0.0764395822749431	0.074916689317969	FGR	0.0663337706105134	1
0.104653366991916	0.0449880686803658	0.066904416991164	0.0491786186477817	ACADL	0.0664311178278069	1
0.132345151384965	0.0371035617982399	0.0496610105501423	0.0486716225792478	ARHGEF28	0.0669453365781487	1
0.0324237264262643	0.0836292728996012	0.0155462545705609	0.137128762370578	PRRG4	0.0671820040667511	1
0.0729994783025114	0.147938019511065	0.020000670554629	0.0294033008324673	FRMPD2	0.0675853673001682	1
0.144647658415117	0.0466355190827454	0.0809135108775767	0	MYBPC1	0.0680491720938598	1
0.118271068426417	0	0.0226830452973465	0.133386808777768	GATA6	0.0685852306253829	1
0.161098643810673	0.0197864546560735	0.0735640166336172	0.0216295239263592	TFPI	0.0690196597566807	1
0.0566329653634105	0.073035616776822	0.0271538960405291	0.119758110890202	TTC16	0.0691451472677409	1
0.157653259281389	0.0338857499767902	0.0856689540607325	0	LRRK2	0.0693019908297279	1
0.167575492383015	0.0180092097778745	0.0937389624852112	0	NFIX	0.0698309161615252	1
0.0251715287928268	0.0973859369080861	0.0241380641693611	0.14194299343046	DLX1	0.0721596308251835	1
0.063852930689525	0.0274489021602611	0.142873098908653	0.0600114266398321	SFTA3	0.0735465895995678	1
0.095440313914742	0.0410275896579971	0.0406763696410758	0.119597943485188	IPCEF1	0.0741855541747507	1
0.0476934229758823	0.102511512534827	0.0686029192181842	0.0896482063771327	GABRA4	0.0771140152765065	1
0.141260110639297	0.0472301382419863	0.105358096808163	0.0147512950205735	COBLL1	0.0771499101775049	1
0.106886454984246	0.0125312786462611	0.16772404882387	0.027397085129041	TMEM144	0.0786347168958545	1
0.0555735051270201	0	0.106583659968608	0.156690317423235	LRRC18	0.0797118706297158	1
0.0789478214719012	0.0254533856623374	0.0883242145973108	0.129846819160524	CD226	0.0806430602230184	1
0.209958779884092	0	0.028762646556949	0.0845688395438488	KRT17	0.0808225664962225	1
0.0851962260264797	0.067613340093712	0.0816983341671565	0.0923892368995665	ALDH1L1	0.0817242842967287	1
0.0510484895609117	0.065833704745667	0.114222727436534	0.0959546461932858	TINAGL1	0.0817648919840996	1
0.0914474468694622	0.137589018732082	0.0584619328932287	0.0429729042186857	CNGB3	0.0826178256783646	1
0.0566835730385144	0.0243669606645548	0.0905938699375727	0.159820170273363	HNMT	0.0828661434785012	1
0.0506647384647951	0.0653388075102175	0.0809743366703807	0.142849977414041	FAM107A	0.0849569650148586	1
0.136430705147356	0.0439863100660257	0.0654146425237494	0.0961670963841237	GDA	0.0854996885303137	1
0.0934582762281212	0.103308576098019	0.0938888450803101	0.0627397591306882	MICAL2	0.0883488641342846	1
0.12782696698491	0.0659398377926728	0.0245157579188106	0.144164007552416	LYVE1	0.0906116425622024	1
0.158264103188432	0	0.182119526068234	0.029748531557282	ZIC4	0.092533040203487	1
0.0718898862323133	0.0927114119364979	0.206814933803086	0	FAM237A	0.0928540579929743	1
0.128191665892142	0.123989941070566	0.0768303219370713	0.0451797866036682	EDNRB	0.0935479288758619	1
0.192269213606296	0.0440811201676008	0.127014052948992	0.0240935948339075	OPRM1	0.0968644953891991	1
0.0542974971543151	0.140047450055133	0.11715347458634	0.0765462970614414	ROBO4	0.0970111797143074	1
0.0632982092911892	0.108841760902205	0.040466254559577	0.178470234754664	RAB44	0.0977691148769088	1
0.103667399873553	0.155974784549963	0.082842615924456	0.0487152938422171	KLF9	0.0978000235475473	1
0.0946916309698541	0	0.211875737124108	0.0889948167451251	CYS1	0.0988905462097718	1
0.238470128339048	0.0263604363304168	0.130673878360178	0.0192105726949254	DOCK2	0.103678753931142	1
0.0439424732471352	0	0.252829992424311	0.123896451478421	RIT2	0.105167229287467	1
0.120999584098373	0.260074651976262	0.0773544785319741	0	FEZF2	0.114607178651652	1
0.207109147276191	0.0593542970144033	0.06620196344529	0.129766065696989	GRHL3	0.115607868358218	1
0.300664889697143	0.0352497003712732	0.148528755392733	0	MME	0.121110836365287	1
0.277547644445966	0.0650789077190074	0.145174037486372	0	IL1R1	0.121950147412836	1
0.143952515483206	0.139234198943479	0.10353170494748	0.101469060181566	LHX2	0.122046869888933	1
0.206865464526684	0.124497368699257	0.119023327464944	0.038884015235324	FGF7	0.122317543981552	1
0.336650093776173	0.0299416780572594	0.144716129453565	0	PECAM1	0.127826975321749	1
0.131956472526272	0.204210158450436	0.101231000393092	0.0744106441331487	PTHLH	0.127952068875737	1
0.136329869445103	0.182577322491353	0.105591706778913	0.0887040179507659	GABRB2	0.128300729166534	1
0.116856121964098	0.263727195853172	0.140072966652502	0	PPP1R36	0.130164071117443	1
0.305734271466917	0	0.157867109027044	0.0663094067713612	MLC1	0.132477696816331	1
0.253928169580384	0.00909648861229375	0.250266632349365	0.0198876172114106	VGLL3	0.133294726938363	1
0.305740939462631	0.0328577445195981	0.195458778757288	0	KCNK1	0.133514365684879	1
0.178023601169607	0.204075306926035	0.113809670813937	0.055771129930304	PPP1R1B	0.137919927209971	1
0.212817898852319	0.251585141923593	0.136053505560875	0	IFIT3	0.150114136584197	1
0.209103799395908	0	0.100259324124048	0.294785623354708	WNT6	0.151037186718666	1
0.263182954804271	0.0251413960127177	0.317808680863114	0	CD34	0.151533257920026	1
0.295599861152604	0.0847143749419754	0.181101649209269	0.0463026760368003	EXPH5	0.151929640335162	1
0.103141874077924	0.166268672769903	0.0494535948835691	0.290810035320942	ZMYND15	0.152418544263085	1
0.276074831921326	0.112744292549505	0.16325636948955	0.0648664217289737	SYNPO2	0.154235478922339	1
0.295448006708366	0.059534195479617	0.194781008924445	0.0780956262015939	UNC13C	0.156964709328505	1
0.236381669391865	0.144400302406978	0.143164151878088	0.105233937397219	GBP2	0.157295015268538	1
0.248926198865351	0.0987762752359876	0.183620049189472	0.107977090676911	ANKRD63	0.15982490349193	1
0.08416705381554	0.180907375773685	0.29594186073394	0.0791034165698942	STPG4	0.160029926723265	1
0.397104258496661	0.0903737444143143	0.156800162098345	0	TEKT1	0.16106954125233	1
0.0693382390357959	0.0894207291054185	0.2260708509936	0.273700262795308	FGL2	0.164632520482531	1
0.369994267793686	0.0596445007311489	0.147834772833452	0.0869336912929735	CD9	0.166101808162815	1
0.0404785395452214	0.208809486343464	0.194083083523917	0.228259678624659	CSF3	0.167907697009315	1
0.174878094115302	0.193309866423057	0.0958275107974636	0.211316299644179	GRB7	0.168832942745	1
0	0.297342565543611	0.22109785525239	0.162519719867461	TSPAN16	0.170240035165865	1
0.220035156195866	0.170258469520993	0.168800958050184	0.124078473689212	ARHGDIB	0.170793264364064	1
0.0957850678170811	0.185291061340487	0.199013600657319	0.225056176295409	HLX	0.176286476527574	1
0.116477456630449	0.0375532290734356	0.307161950722881	0.246307430272234	EVI2A	0.17687501667475	1
0.224165532373911	0.108409041085709	0.197048493905168	0.184344423959422	RORB	0.178491872831053	1
0.105865726829442	0.159282319741676	0.152278814404393	0.298489978331087	HCLS1	0.178979209826649	1
0.121435618635664	0.0783035573787989	0.349349550343051	0.171194758968494	MAG	0.180070871331502	1
0.0200809738079087	0.284867466843988	0.0770260461091568	0.339711611092788	GATA2	0.18042152446346	1
0.396305877796655	0.0958290503753768	0.237521744996194	0	CLDN1	0.182414168292056	1
0.24402541151498	0.118013508065807	0.292508109587981	0.0860041558972747	GPA33	0.185137796266511	1
0.327580525729848	0.0226316752220979	0.364616442553069	0.0329863615770565	PLA2R1	0.186953751270518	1
0.154469029291606	0.124505011732512	0.259222270559662	0.217763853264608	RASAL3	0.188990041212097	1
0.129043055523808	0.228824612121136	0.216553661314785	0.181919399226976	C6orf223	0.189085182046676	1
0.108084058471534	0.221381785259431	0.0914527618699086	0.340596902659831	SP100	0.190378877065176	1
0.213488788610214	0.148250156148457	0.17322766446104	0.231513380184001	EMX1	0.191619997350928	1
0.184115153865262	0.0913232978097891	0.339530689852715	0.159727812938295	LMX1B	0.193674238616515	1
0.0610270681089247	0.334485144932187	0.0146303716612257	0.387150117056085	GAD2	0.199323175439606	1
0.298168670184582	0.164797501072144	0.217848984887645	0.120098709088342	RNF43	0.200228466308178	1
0.100613644359044	0.203899858305638	0.137832516130229	0.36473355557587	KCNJ10	0.201769893592695	1
0.180537132677833	0.218274607459736	0.281327864917139	0.127256777133788	HR	0.201849095547124	1
0.361063597834237	0	0.44807458280823	0	PLSCR4	0.202284545160617	1
0.547070997665168	0.153373828640316	0.13685477355948	0	TNFRSF1B	0.209324899966241	1
0.392543901638135	0.194706426277927	0.173735663477055	0.0851371785192779	FIBIN	0.211530792478099	1
0.228294335447168	0.184009629915247	0.35574708100986	0.0804599057711563	GPR4	0.212127738035858	1
0.384279819498385	0.0381214687238889	0.311809796029872	0.125017225299361	CDH5	0.214807077387877	1
0.356969432995492	0.129223516532857	0.348318877058186	0.052972662193889	COBL	0.221871122195106	1
0.277252283563821	0.105162672341763	0.187672353723309	0.321883430655825	PARP12	0.22299268507118	1
0.45697887903352	0.0392889360110597	0.360311548890373	0.0572648306641137	SP110	0.228461048649767	1
0.176770129136642	0.227968204143419	0.193728568969216	0.320403848455858	CNDP1	0.229717687676284	1
