RNA15_PP_Hyb1_total	RNA16_PP_Hyb2_total	RNA24_PP_Hyb1_total	RNA25_PP_Hyb2_total	gene	mean	bins
0.0255867339037835	0	0	0.0428764189097297	CNGB3	0.0171157882033783	1
0.0227884264496537	0.0278993864670632	0	0.0636453589858425	ROBO4	0.0285832929756398	1
0.0496574664571124	0	0.0653024060675438	0	CELA2A	0.028739968131164	1
0.0404521048704078	0.0330164351826883	0.0177322765135143	0.0301274420083144	PLEKHS1	0.0303320646437312	1
0.0110552090793425	0.0676732882939902	0	0.0494014101112446	LCP2	0.0320324768711443	1
0.0690116116636356	0.042244725162845	0.0453771065034762	0.0578223618233683	PIGR	0.0536139512883313	1
0.0327279277788713	0.10017026706365	0.0215195476334958	0.0731241612298561	CD34	0.0568854759264683	1
0.0483833813652044	0	0.127253822728158	0.0540516069899009	TSPAN16	0.0574222027708158	1
0.0203974287583434	0.0249721387793345	0.0536475688570033	0.136722209784622	CASP1	0.0589348365448258	1
0.023862604096284	0	0.125522752061498	0.133290818249376	GGT6	0.0706690436017895	1
0.0639126347638991	0.109545633696298	0.0504292602016264	0.0714001485318213	APOL3	0.0738219192984112	1
0.015950452854378	0.117166803813888	0	0.178190854931815	ECE2	0.0778270279000202	1
0.0178194404791764	0.152711737406533	0.0234335825222299	0.13934920554708	FAM169B	0.0833284914887548	1
0.0722276012272778	0.0294755726798529	0.158305705101499	0.0806892326497818	FAM217A	0.0851745279146029	1
0.100590804874227	0.0492604743275137	0.158739188006649	0.0674251509313033	STEAP4	0.0940039045349232	1
0.0853663326712921	0.167219500599328	0.0449046422890896	0.0953671970317513	MPEG1	0.0982144181478652	1
0.0941988030575757	0.115325593763321	0.0619384045061499	0.157851617790675	STPG4	0.10732860477943	1
0.110926016982873	0.0905362443195873	0.097249367467254	0.165228343720109	SPI1	0.115984993122456	1
0.134695877764917	0.054968434051178	0.236177035277617	0.150475813030813	ALOX5AP	0.144079290031131	1
0.186114854014267	0.195305539385222	0.139858096322311	0.0594053262581991	CUZD1	0.145170953995	1
0.297357522529647	0	0.260694756416817	0.0553656079482625	COL4A2-AS2	0.153354471723682	1
0.140203887636345	0.128736481235101	0.230470155243027	0.117471824299148	CD53	0.154220587103405	1
0.0944445219720623	0.231252844422318	0.0827999622843064	0.211017834634196	MYO1H	0.154878790828221	1
0.0965191190637924	0.192020249468607	0.0951961178662179	0.269566395704592	KCNJ10	0.163325470525802	1
0.324130043485866	0.0283446805420439	0.228347962284989	0.103457894778705	FGF7	0.171070145272901	1
0.214212826548395	0.163910133485941	0.105638290539509	0.209394812595239	IL22RA1	0.173289015792271	1
0.0738650945457038	0.312399610952302	0.0176612400634913	0.360080998332437	OAS2	0.191001735973484	1
0.173282084880206	0.381862036689093	0.136725506294416	0.193582484027695	EVA1C	0.221363027972853	1
0.264526359980199	0.210505102521082	0.260900459801681	0.177309742866398	CPB1	0.22831041629234	1
0.217907997806355	0.205215487124398	0.286561469470175	0.29961406327913	IL18R1	0.252324754420015	1
0.143721228736146	0.439887119113905	0.0630005429130512	0.37463651132473	GPR4	0.255311350521958	1
0.294877605740241	0.0722024778780134	0.193890451166144	0.494134804323234	HCRTR1	0.263776334776908	1
0.3062852000856	0.272711610796542	0.329549351550163	0.24884888976672	PLSCR2	0.289348763049756	1
0.0986009039847761	0.321906646469644	0.0432219410965573	0.697630784596015	PLVAP	0.290340069036748	1
0.824535089799818	0.299099495403981	0.0803193156409709	0	ASPN	0.300988475211192	1
0.392097162044724	0.300022641994734	0.45117640267459	0.10950806406401	PNLIP	0.313201067694515	1
0.135118121895842	0.661688986697566	0.0444220129048809	0.452842572130347	IL34	0.323517923407159	1
0.190886897046642	0.395490232145521	0.173788046203892	0.541326265292862	USHBP1	0.325372860172229	1
0.475730360150794	0.194142191743474	0.417075072809807	0.236205901323771	RAMP3	0.330788381506961	1
0.214538941830936	0.390615826571382	0.376174624450346	0.34414538336102	ALDH1L1	0.331368694053421	1
0.14595528550378	0.393117902966629	0.307103265686065	0.48916285969769	AZGP1	0.333834828463541	1
0.359710326687152	0.459532917467033	0.349637991267299	0.489210190404966	SMIM10L1	0.414522856456613	1
0.5713504889286	0.167878144292039	0.661195517638291	0.31914276358603	ADGRF5	0.42989172861124	1
0.404380990039759	0.417719579253047	0.357292449079725	0.550576605225827	ESR2	0.432492405899589	1
0.36104049710184	0.23800765259273	0.547833329252204	0.589492875790815	ACMSD	0.434093588684397	1
0.286211316671918	0.398184586089941	0.393492611380093	0.712151829866422	ADGRL4	0.447510086002094	1
0.105555123913173	0.956293831688001	0.055524407957794	0.754695373499069	C1orf127	0.468017184264509	1
0.461298172814947	0.455449640984312	0.508789351988869	0.465468681855031	GFI1	0.47275146191079	1
0.532158678531018	0.483979278241374	0.49987076605825	0.42464450361447	ACVRL1	0.485163306611278	1
0.536320813446903	0.445554193731235	0.71788702698656	0.288876878240972	IL15	0.497159728101418	1
0.428806205284654	0.524978329115532	0.704880830105518	0.344311329159154	HLX	0.500744173416215	1
