RNA26_RPE_Hyb1_total	RNA27_RPE_Hyb1_total	RNA28_RPE_Hyb2_total	RNA29_RPE_Hyb2_total	gene	mean	bins
0	0	0.0171737248620156	0	FBXO40	0.0042934312155039	1
0	0	0	0.0229068800387651	C18orf63	0.00572672000969127	1
0	0.0243460239635888	0	0	ECE2	0.0060865059908972	1
0.0125095067465221	0	0	0.012897915572969	RGSL1	0.00635185557987277	1
0.0107810631080002	0.00547415116602374	0.00925806829999679	0	OPRM1	0.00637832064350518	1
0	0	0.0257833279244614	0	MROH9	0.00644583198111535	1
0	0	0	0.0318078391395424	EXD1	0.0079519597848856	1
0.0178092459383805	0.0180855085334294	0	0	MYH2	0.00897368861795247	1
0	0	0	0.0364951011045327	KBTBD13	0.00912377527613317	1
0	0	0.0403472218163142	0	UBQLN3	0.0100868054540785	1
0	0	0	0.0429914707016618	TMEM212	0.0107478676754155	1
0.0461055956257544	0	0	0	CXCR1	0.0115263989064386	1
0.0469747916485312	0	0	0	HTR3B	0.0117436979121328	1
0.0240555187022555	0.0244286754347149	0	0	FGF23	0.0121210485342426	1
0.0246518068370798	0	0	0.025417223056712	ADIPOQ	0.0125172574734479	1
0	0	0	0.0513593184700432	CYLC2	0.0128398296175108	1
0.0265015567189645	0	0	0.0273244059929449	SYCP1	0.0134564906779773	1
0.0109412912221318	0.0222220319096335	0.00939566167175895	0.011281008380411	IYD	0.0134599982959838	1
0	0	0.0554114093584327	0	C9orf57	0.0138528523396082	1
0	0	0.0554114093584327	0	CCDC105	0.0138528523396082	1
0	0	0.0185231823140727	0.0444801403492459	TDRD1	0.0157508306658296	1
0	0.0315863778666149	0	0.0320696320542711	DNAJB8	0.0159140024802215	1
0.0643072374609927	0	0	0	OOSP2	0.0160768093652482	1
0	0	0	0.0654500609394279	TNP2	0.016362515234857	1
0.0330439112922559	0	0	0.0340698947355926	TERB1	0.0167784515069621	1
0	0	0	0.0701222608505209	ARRDC5	0.0175305652126302	1
0.0348520318609684	0	0	0.0359341558062768	C4orf17	0.0176965469168113	1
0.0105268021953324	0.0427603889782029	0.0180794514842649	0	ADH1B	0.01784166066445	1
0	0.0741115850169368	0	0	AICDA	0.0185278962542342	1
0	0.077218207460638	0	0	ACTL7A	0.0193045518651595	1
0	0.0391606623550379	0	0.039759798924428	ATP6V0D2	0.0197301153198665	1
0	0	0	0.0828446554484892	FGF6	0.0207111638621223	1
0.0449717015643515	0	0.0386187410721009	0	FAM71F1	0.0208976106591131	1
0	0	0	0.0865880065465321	FGF21	0.021647001636633	1
0	0	0.0645364511078943	0.0221389789465565	NCKAP1L	0.0216688575136127	1
0	0.0867613770337689	0	0	TEX36	0.0216903442584422	1
0.0223132571627101	0.045318774778119	0.0191611584811585	0	SLC5A1	0.0216982976054969	1
0	0	0.0487113973863073	0.0389905966770575	CPNE6	0.0219254985158412	1
0	0	0	0.0888926302949189	ICOS	0.0222231575737297	1
0	0	0.0649485298484098	0.0259937311180383	PTPN22	0.022735565241612	1
0.0937747391594128	0	0	0	C17orf64	0.0234436847898532	1
0	0	0.0368454066769646	0.0589851438566006	ZNF99	0.0239576376333913	1
0	0	0.0439737336236523	0.0527975649673976	RTP1	0.0241928246477625	1
0	0	0.044415075840678	0.053327467535501	HEMGN	0.0244356358440447	1
0	0	0	0.100879230927999	BRDT	0.0252198077319997	1
0.0211478566766891	0	0.0363207783035875	0.0436089568505198	MEI4	0.0252693979576991	1
0.0506132409123795	0	0	0.0521847360883117	C16orf82	0.0256994942501728	1
0	0.0695873963879186	0	0.0353260226164455	GDF2	0.026228354751091	1
0	0	0	0.104978723698086	C12orf40	0.0262446809245215	1
0	0	0.0310749589028938	0.074621007876041	FAM217A	0.0264239916947337	1
0.0571727986100505	0	0.0490962411713395	0	KPNA7	0.0265672599453475	1
0	0.0372837912318042	0.0315277999490823	0.0378542127065474	GHSR	0.0266664509718585	1
0.0445519833554298	0.0226215438302016	0.0286937359984575	0.0114838204968875	ABCG8	0.0268377709202441	1
0	0.109130187036788	0	0	KRTAP4-6	0.027282546759197	1
0.0177063344750476	0	0.0380125902868836	0.0547683002519842	TNR	0.0276218062534789	1
0	0	0	0.113765264075736	C22orf42	0.028441316018934	1
0	0.118448916999806	0	0	C16orf90	0.0296122292499515	1
0.0592184171552521	0	0	0.0610570952404379	DDX4	0.0300688780989225	1
0.0423193951637664	0.0429758668621916	0.0363411146856164	0	CRTAM	0.0304090941778936	1
0	0.0425313436733695	0.0359652184125476	0.0431820498107936	TTLL8	0.0304196529741777	1
0.0637647129604781	0.0647538511382516	0	0	KRT35	0.0321296410246824	1
0	0	0	0.132683097432257	C3orf84	0.0331707743580643	1
0.0715291228036152	0	0.061424508670515	0	VIP	0.0332384078685325	1
0.0453676109018528	0.0921427349530302	0	0	KLHL40	0.0343775864637208	1
0	0.0383646608876412	0.0648836029608572	0.0389516190729151	OTOP2	0.0355499707303534	1
0	0	0.109544693381453	0.0328815214733666	DAZL	0.0356065537137049	1
0.0602891037722574	0	0.0517723191931753	0.0310805128523846	CFAP97D1	0.0357854839544543	1
0	0	0.143878590506551	0	CATSPER4	0.0359696476266377	1
0.108526157923162	0	0	0.0372985988633753	GHRHR	0.0364561891966343	1
0.146667088801721	0	0	0	JCHAIN	0.0366667722004302	1
0.0220786094729757	0.0672632993128401	0.0379193169397337	0.0227641302507923	SNTN	0.0375063389940855	1
0.0258430954282494	0.026243981610169	0.0221923515483853	0.0799365002310132	KIF4B	0.0385539822044542	1
0.0268509496274722	0.0272674699590616	0.0461156609660218	0.0553692944680595	MUC2	0.0389008437551538	1
0	0	0.157028784262526	0	NUPR2	0.0392571960656315	1
0.0648034636431724	0.065808715246534	0.0278244773486042	0	MUC13	0.0396091640595777	1
0.0281533795986417	0	0.0725288151796123	0.0580550329465201	RBM46	0.0396843069311935	1
0	0.126426442888519	0.0356361077023302	0	C8B	0.0405156376477123	1
0	0.0805966729603159	0	0.0818297576743565	CLEC9A	0.0406066076586681	1
0	0	0.0741774066611552	0.0890619495907187	GSC2	0.0408098390629685	1
0	0	0.0761500557237124	0.0914304331934441	DDI1	0.0418951222292891	1
0	0.055862371336153	0	0.113434069711614	EVI2B	0.0423241102619418	1
0	0.0266695268296992	0.0902087989277427	0.054155111808116	CTAGE1	0.0427583593913895	1
0.0340052968337523	0.0690655952752317	0	0.0701222608505209	PRKAG3	0.0432982882398762	1
0	0	0.0386647522806856	0.139269827844899	PRF1	0.0444836450313962	1
0.0543497888991995	0.055192879829248	0.0466720260032437	0.028018650248758	RIPPLY2	0.0460583362451123	1
0.0319812862182595	0.032477389936195	0.0549268526052278	0.0659485522357226	CPLX4	0.0463335202488512	1
0.0930818223675945	0.0945257367190569	0	0	MOGAT3	0.0469018897716628	1
0	0.0870895214249707	0.0736443617570093	0.0294739810483657	KCNU1	0.0475519660575864	1
0.0210614266475441	0.0427762761745537	0.108517012345643	0.0217153648221843	NR1I2	0.0485175199974813	1
0.0679698199302938	0.0345120945215262	0.0583680133349918	0.0350401105628952	TMPRSS12	0.0489725095874268	1
0.0284429652894456	0.173305088796505	0	0	CEACAM5	0.0504370135214876	1
0	0.107050067246686	0.0452616672444288	0.0543439371630955	RBMXL2	0.0516639179135526	1
0.0202128114893439	0.0205263589452329	0.104144602862649	0.0625212028014717	C12orf50	0.0518512440246744	1
0.0446177330357064	0.0906197145405835	0.0766295523359042	0	SIGLEC9	0.0529667499780485	1
0.150662670622897	0	0.0646895988324028	0	UBL4B	0.053838067363825	1
0.0878184815210922	0	0.037706369575045	0.0905451656373496	MEP1B	0.0540175041833717	1
0.116459845550827	0	0.100008059828214	0	GPR6	0.0541169763447602	1
0.102345889996597	0.0519667557318038	0.0439439612921536	0.026380909238957	SPATA31E1	0.0561593790648778	1
0.0576378544197916	0.0390213005672975	0.0494956005301303	0.0792366099561554	APOL3	0.0563478413683437	1
0	0.226564146914683	0	0	ASZ1	0.0566410367286707	1
0.0341075991707973	0.0346366869205208	0.0878680922768649	0.0703332183139701	BOD1L2	0.0567363991705383	1
0.0579471810088066	0	0.0497612298710791	0.119492776731734	GIMAP6	0.0568002969029049	1
0.179199672777234	0	0.0512949664082014	0	RFPL4B	0.0576236597963588	1
0.105137860566056	0	0.0902854833781449	0.036134098558831	AQP9	0.057889360625758	1
0.13238400238642	0.0268875168901941	0.0454730715753229	0.0272988810924377	SPIB	0.0580108679860937	1
0.118344112362975	0	0	0.122018589601063	MBD3L1	0.0600906754910095	1
0.129569896735691	0	0.111266109991733	0	APOF	0.060209001681856	1
0.131219513476539	0	0.112682692410609	0	SIX6	0.060975551471787	1
0	0.0853148183207197	0.0721436430105715	0.0866200880606286	CLEC2L	0.06101963734798	1
0.0525851853635112	0.0267004516057076	0.112891751209145	0.05421790762422	NLRP11	0.0615988239506459	1
0	0	0.188417175476739	0.0646357803913842	C13orf42	0.0632632389670308	1
0.0492982540031438	0.0500629839433901	0.0529176248737723	0.101657840058979	WDR87	0.0634841757198213	1
0	0	0	0.254116975734388	REC114	0.063529243933597	1
0	0.0948371888993503	0.160391838950192	0	C10orf62	0.0638072569623856	1
0.0367738111072754	0.0746885159414929	0.0315789316389122	0.113746813659895	LMNTD1	0.0641970180868939	1
0.115608762383137	0.0782680811174788	0.066184803700045	0	ETNPPL	0.0650154118001652	1
0	0	0.0775759731018058	0.186284954323216	RNF148	0.0659652318562555	1
0.0497908035325999	0.151689522165759	0.064135603585485	0	F13A1	0.066403982320961	1
0	0.0827992429513206	0.105024645353577	0.0840660257733321	CATSPERD	0.0679724785195574	1
0.0555753233547696	0.112874850317462	0.0477244344327286	0.0573008866852051	SPI1	0.0683688736975413	1
0.0576378544197916	0.0585319508509463	0.0989912010602605	0.0594274574671166	DAND5	0.0686471159495288	1
0.170846382826597	0	0	0.105690604735821	UBE2L5	0.0691342468906045	1
0.106006226875858	0	0.0910311792826239	0.0819732179788347	LRTM2	0.0697526560343291	1
0.0181630342268071	0	0.187166638082857	0.0749079197935395	NEUROD2	0.0700593980258009	1
0.0926255389246161	0	0	0.19100295561735	TMEM95	0.0709071236354915	1
0.0478976170864935	0.145921859725997	0.041131324986382	0.0493847946082883	C8A	0.0710838991017902	1
0.140836844277926	0	0	0.14520970041965	CCDC182	0.071511636174394	1
0.163010294239727	0.124154220694261	0	0	APOBEC4	0.071791128733497	1
0.0999767721726015	0.101527643142691	0.0858534799318926	0	HIGD2B	0.0718394738117963	1
0	0.0801199355071756	0.0451671752460061	0.162691452801417	VAV1	0.0719946408886497	1
0.0729560229367632	0.0555658046929591	0.0469873775302926	0.112831861812566	TAF1L	0.0720852667431452	1
0.0546642524801013	0.0416341661007032	0.0821486166465	0.112723055774174	FAM186A	0.0727925227503696	1
0	0.0512838963580451	0.0867330478777428	0.156205535195303	PRR35	0.0735556198577727	1
0.0975676933250689	0.0990811939103367	0	0.100597081616023	CCDC70	0.0743114922128572	1
0.0437061139721396	0.110960242216472	0.0562979064626636	0.0901262982558352	MRC1	0.0752726402267776	1
0	0.12799593921491	0.10823551555616	0.0649771033006216	KRT27	0.0753021395179229	1
0.139967481041642	0.106604025299825	0.0300487179761624	0.036078336061055	ADGRG3	0.0781746400946711	1
0.123500718566155	0.0418055001175785	0.106054298739397	0.0424451012483	ABRA	0.0784514046678576	1
0	0.0834292371911676	0.0705491639440335	0.169411317156258	RNF113B	0.0808474295728648	1
0.193690762489288	0.0655651180659518	0	0.0665682282675503	CCDC42	0.0814560272056975	1
0.170486706231173	0.0741991497253349	0.0836587293170924	0	ZNF541	0.0820861463184001	1
0.145324229537834	0.105413246039014	0.0356556843958126	0.0428104042621565	NYAP2	0.0823008910587043	1
0.121802384662366	0.0742150928172398	0.0627575287340565	0.0753505428692426	RASAL3	0.0835313872707262	1
0.14512185657429	0.0453455483748764	0.124621110787314	0.0230196551472663	ARPP21	0.0845270427209367	1
0.111698186841113	0.113430884062868	0	0.115166314125929	TNFRSF17	0.0850738462574775	1
0	0.168898309032486	0	0.171482360153279	RIT2	0.0850951672964413	1
0.134648051833409	0.0957157281789405	0.0809388270426798	0.0416486254766574	GABRA1	0.0882378081329217	1
0.0478976170864935	0.097281239817331	0.164525299945528	0.0493847946082883	TSKS	0.0897722378644102	1
0.0936585374999835	0.0475556990185094	0.0804277953265314	0.144849825077842	RAX2	0.0916229642307166	1
0.0552772596995271	0	0.142405430876791	0.170980705272284	CCDC185	0.0921658489621505	1
0	0	0.379316284062726	0	SMCP	0.0948290710156815	1
0.143066451311349	0.0132077948059896	0.145193530016744	0.0804592007602283	MYO1G	0.0954817442235777	1
0.197859789954154	0.100464526460568	0.0849544906132341	0	CLRN3	0.095819701756989	1
0	0.0804558681508115	0.0680348331535753	0.245060395886412	CALR3	0.0983877742976997	1
0.0873953822653537	0.0850531248296929	0.112574113982771	0.108881623186765	GRIN2B	0.0984760610661456	1
0.159944029593788	0.1624251314232	0.0457831395451522	0.0274850244151936	SMC1B	0.0989093312443335	1
0.111369017331758	0	0.286909173603437	0	LYZL4	0.0995695477337988	1
0.103152924082551	0.0611059543003017	0.110726188008302	0.124081683503636	DOCK2	0.0997666874736977	1
0.201231202775524	0.163482211322416	0	0.0414958497826831	IL22RA1	0.101552315970156	1
0.182860741360855	0.139273000794933	0.0392571960656316	0.04713460033783	HEPACAM2	0.102131384639812	1
0.221779459396968	0.112609885880097	0.0380899241951355	0.0457331020492247	BCL2L14	0.104553092880356	1
0.086976340348086	0.220813861380536	0.112034345503759	0	C11orf16	0.104956136808095	1
0.13177875975637	0.078063389312929	0.0660117128728558	0.147192901481174	ST8SIA3	0.105761690855832	1
0.110608448432907	0.224648482583046	0.094983264627089	0	HUS1B	0.107560048910761	1
0.286056332154071	0.145246863739039	0	0	GCG	0.107825798973278	1
0.188432675308139	0.127570467948821	0.0539378649544411	0.0647611129295392	BTLA	0.108675530285235	1
0	0.236411390808647	0.199913441976933	0	TMEM270	0.109081208196395	1
0.17998993416715	0.223400215304626	0.0171737248620156	0.0206198286889784	NRAP	0.110295925755692	1
0.123815427350269	0.0419120303326579	0.106324549955697	0.170213045268028	C5orf47	0.110566263226663	1
0.0996983669738209	0.033748306411787	0.128421605772372	0.188455503036201	LCP2	0.112580945548545	1
0.076521098571632	0.0777081177941491	0.0919958050350113	0.205132223932457	GRM1	0.112839311333312	1
0.12729078552814	0.129265360019249	0.109308959104902	0.0874953658965706	LMOD2	0.113340117637215	1
0.1577921498173	0.0801199355071756	0.135501525738018	0.0813457264007086	ACTRT2	0.113689834365801	1
