sample_id	seqprep	species	dataOrg	seq_type	read1	read2
RNA19_CM_Hyb2_humreffed	yes	human	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA19_CM_Hyb2_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA19_CM_Hyb2_R2.fastq.gz
RNA19_CM_Hyb2_chpreffed	yes	chimp	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA19_CM_Hyb2_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA19_CM_Hyb2_R2.fastq.gz
RNA20_SKM_Hyb1_humreffed	yes	human	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA20_SKM_Hyb1_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA20_SKM_Hyb1_R2.fastq.gz
RNA20_SKM_Hyb1_chpreffed	yes	chimp	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA20_SKM_Hyb1_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA20_SKM_Hyb1_R2.fastq.gz
RNA21_SKM_Hyb2_humreffed	yes	human	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA21_SKM_Hyb2_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA21_SKM_Hyb2_R2.fastq.gz
RNA21_SKM_Hyb2_chpreffed	yes	chimp	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA21_SKM_Hyb2_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA21_SKM_Hyb2_R2.fastq.gz
RNA22_HP_Hyb1_humreffed	yes	human	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA22_HP_Hyb1_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA22_HP_Hyb1_R2.fastq.gz
RNA22_HP_Hyb1_chpreffed	yes	chimp	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA22_HP_Hyb1_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA22_HP_Hyb1_R2.fastq.gz
RNA23_HP_Hyb2_humreffed	yes	human	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA23_HP_Hyb2_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA23_HP_Hyb2_R2.fastq.gz
RNA23_HP_Hyb2_chpreffed	yes	chimp	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA23_HP_Hyb2_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA23_HP_Hyb2_R2.fastq.gz
RNA24_PP_Hyb1_humreffed	yes	human	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA24_PP_Hyb1_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA24_PP_Hyb1_R2.fastq.gz
RNA24_PP_Hyb1_chpreffed	yes	chimp	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA24_PP_Hyb1_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA24_PP_Hyb1_R2.fastq.gz
RNA25_PP_Hyb2_humreffed	yes	human	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA25_PP_Hyb2_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA25_PP_Hyb2_R2.fastq.gz
RNA25_PP_Hyb2_chpreffed	yes	chimp	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA25_PP_Hyb2_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA25_PP_Hyb2_R2.fastq.gz
RNA26_RPE_Hyb1_humreffed	yes	human	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA26_RPE_Hyb1_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA26_RPE_Hyb1_R2.fastq.gz
RNA26_RPE_Hyb1_chpreffed	yes	chimp	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA26_RPE_Hyb1_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA26_RPE_Hyb1_R2.fastq.gz
RNA27_RPE_Hyb1_humreffed	yes	human	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA27_RPE_Hyb1_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA27_RPE_Hyb1_R2.fastq.gz
RNA27_RPE_Hyb1_chpreffed	yes	chimp	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA27_RPE_Hyb1_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA27_RPE_Hyb1_R2.fastq.gz
RNA28_RPE_Hyb2_humreffed	yes	human	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA28_RPE_Hyb2_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA28_RPE_Hyb2_R2.fastq.gz
RNA28_RPE_Hyb2_chpreffed	yes	chimp	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA28_RPE_Hyb2_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA28_RPE_Hyb2_R2.fastq.gz
RNA29_RPE_Hyb2_humreffed	yes	human	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA29_RPE_Hyb2_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA29_RPE_Hyb2_R2.fastq.gz
RNA29_RPE_Hyb2_chpreffed	yes	chimp	Fraser	paired-end	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA29_RPE_Hyb2_R1.fastq.gz	/scratch/users/banwang3/celllines/data/second_run/hiseq/fastqs/RNA29_RPE_Hyb2_R2.fastq.gz
