Peak.Chpreffed	Peak.Humreffed	ATAC11_SKM_Hyb1_Human_chpreffed_all_peaks.txt	ATAC11_SKM_Hyb1_Chimp_chpreffed_all_peaks.txt	Sum Human	Sum Chimp	Binomial p-value
peak_CM_HP_MN_PP_SKM_17864_promoter_MAGI3	peak_CM_HP_MN_PP_SKM_17864_promoter_MAGI3	99	322	99	322	1.292598264014875e-28
peak_CM_HP_MN_PP_SKM_157152_promoter_ZNF558_MBD3L1_ZNF557	peak_CM_HP_MN_PP_SKM_157152_promoter_ZNF558_MBD3L1	134	11	134	11	4.935136788675153e-28
peak_CM_HP_MN_PP_SKM_167123_promoter_ZNF667	peak_CM_HP_MN_PP_SKM_167123_promoter_ZNF667	11	111	11	111	5.846728714479002e-22
peak_CM_MN_PP_135758_enhancer_CDRT15L2_12392.5_ADORA2B_147341.0	peak_CM_MN_PP_135758_enhancer_CDRT15L2_34404.0_LGALS9B_146594.0	12	88	12	88	1.9113575360277063e-15
peak_CM_HP_MN_PP_SKM_93040_enhancer_SMIM2_19209.0_SERP2_231822.0	peak_CM_HP_MN_PP_SKM_93040_enhancer_SMIM2_19266.5_SERP2_231750.5	66	10	66	10	2.960046439225788e-11
peak_CM_HP_MN_PP_SKM_160553_enhancer_ZNF728_746011.5_ZNF99_917357.0	peak_CM_HP_MN_PP_SKM_160553_enhancer_UQCRFS1_1419532.0_VSTM2B_1732552.0	43	5	43	5	1.3680484300948594e-08
peak_CM_HP_MN_PP_SKM_145414_enhancer_ACTG1_31813.5_FSCN2_47573.0	peak_CM_HP_MN_PP_SKM_145414_enhancer_ACTG1_31091.0_FSCN2_46914.5	2	35	2	35	1.0244548320770264e-08
peak_CM_HP_MN_PP_SKM_28522_enhancer_TRAF5_56000.5_RD3_113336.5	peak_CM_HP_MN_PP_SKM_28522_enhancer_TRAF5_56061.5_RD3_109197.5	29	1	29	1	5.774199962615967e-08
peak_CM_HP_MN_PP_SKM_165617_enhancer_CD37_3611.5_SLC6A16_13731.0	peak_CM_HP_MN_PP_SKM_165617_enhancer_CD37_3606.5_SLC6A16_13731.5	15	60	15	60	1.5877990745379462e-07
peak_CM_HP_MN_PP_SKM_99572_enhancer_MCF2L_90064.5_ATP11A_195189.5	peak_CM_HP_MN_PP_SKM_99572_enhancer_MCF2L_83434.0_ATP11A_195759.5	30	2	30	2	2.4633482098579407e-07
peak_CM_HP_MN_PP_SKM_136722_promoter_RNF135	peak_CM_HP_MN_PP_SKM_136722_promoter_RNF135	13	54	13	54	4.46583468018233e-07
peak_MN_SKM_324306_enhancer_PCM1_37345.0_FGL1_64901.0	peak_MN_SKM_324306_enhancer_PCM1_37310.5_FGL1_64801.0	28	2	28	2	8.67992639541626e-07
peak_CM_HP_MN_PP_SKM_115716_enhancer_SKOR1_16869.5_PIAS1_213808.5	peak_CM_HP_MN_PP_SKM_115716_enhancer_SKOR1_16859.0_PIAS1_214019.0	69	21	69	21	3.881817444056318e-07
peak_CM_MN_PP_SKM_167175_promoter_PEG3_ZIM2	peak_CM_MN_PP_SKM_167175_promoter_PEG3_ZIM2	20	65	20	65	1.029887431251981e-06
peak_CM_HP_MN_PP_SKM_298543_promoter_ULBP3	peak_CM_HP_MN_PP_SKM_298543_promoter_ULBP3	35	85	35	85	5.732969902850976e-06
peak_CM_HP_MN_PP_219300_enhancer_PLXNB2_7494.5_DENND6B_26539.0	peak_CM_HP_MN_PP_219300_enhancer_PLXNB2_7330.5_DENND6B_26756.5	6	35	6	35	4.873598300036974e-06
peak_CM_HP_MN_PP_SKM_225434_enhancer_LRRC2_7985.0_TDGF1_19413.5	peak_CM_HP_MN_PP_SKM_225434_enhancer_LRRC2_7957.0_TDGF1_19479.0	7	37	7	37	5.299581744111492e-06
peak_CM_HP_MN_PP_SKM_139187_promoter_EFCAB13	peak_CM_HP_MN_PP_SKM_139187_promoter_EFCAB13	43	7	43	7	2.098677427397888e-07
peak_CM_HP_MN_PP_SKM_165442_promoter_HSD17B14	peak_CM_HP_MN_PP_SKM_165442_promoter_HSD17B14	54	12	54	12	1.6944941229476377e-07
peak_PP_SKM_82679_enhancer_NUDT4_198640.0_EEA1_258334.0	peak_PP_SKM_82679_enhancer_NUDT4_193633.5_EEA1_255337.5	39	7	39	7	1.831543272601266e-06
peak_CM_HP_MN_PP_SKM_311432_enhancer_HIP1_209826.0_CCL26_243086.0	peak_CM_HP_MN_PP_SKM_311432_enhancer_SPDYE5_32960.0_POM121C_41661.0	21	63	21	63	4.968015141912969e-06
peak_CM_MN_PP_SKM_688_enhancer_ARHGEF16_146080.5_PRDM16_246127.5	peak_CM_MN_PP_SKM_688_enhancer_ARHGEF16_141224.5_PRDM16_244228.5	53	16	53	16	9.095063055186201e-06
peak_MN_SKM_324307_enhancer_PCM1_39991.5_FGL1_67547.5	peak_MN_SKM_324307_enhancer_PCM1_40276.5_FGL1_67767.0	31	5	31	5	1.2913485988974571e-05
peak_CM_HP_MN_PP_SKM_241074_enhancer_FAM131A_9414.0_CLCN2_16271.0	peak_CM_HP_MN_PP_SKM_241074_enhancer_FAM131A_9409.5_CLCN2_16269.0	16	51	16	51	2.168923876071706e-05
peak_CM_HP_MN_PP_SKM_12895_promoter_SLC35D1	peak_CM_HP_MN_PP_SKM_12895_promoter_SLC35D1	19	56	19	56	2.2429642158970264e-05
