Peak.Humreffed	Peak.Chpreffed	ATAC11_SKM_Hyb1_Human_humreffed_all_peaks.txt	ATAC11_SKM_Hyb1_Chimp_humreffed_all_peaks.txt	Sum Human	Sum Chimp	Binomial p-value
peak_CM_HP_MN_PP_SKM_17864_promoter_MAGI3	peak_CM_HP_MN_PP_SKM_17864_promoter_MAGI3	90	309	90	309	3.357679547005034e-29
peak_CM_HP_MN_PP_SKM_157152_promoter_ZNF558_MBD3L1	peak_CM_HP_MN_PP_SKM_157152_promoter_ZNF558_MBD3L1_ZNF557	127	11	127	11	3.60917488644731e-26
peak_CM_HP_MN_PP_SKM_167123_promoter_ZNF667	peak_CM_HP_MN_PP_SKM_167123_promoter_ZNF667	10	105	10	105	3.958305129534734e-21
peak_CM_MN_PP_135758_enhancer_CDRT15L2_34404.0_LGALS9B_146594.0	peak_CM_MN_PP_135758_enhancer_CDRT15L2_12392.5_ADORA2B_147341.0	17	83	17	83	1.3097998650070218e-11
peak_CM_HP_MN_PP_SKM_93040_enhancer_SMIM2_19266.5_SERP2_231750.5	peak_CM_HP_MN_PP_SKM_93040_enhancer_SMIM2_19209.0_SERP2_231822.0	87	12	87	12	3.369757074208766e-15
peak_CM_HP_MN_PP_SKM_160553_enhancer_UQCRFS1_1419532.0_VSTM2B_1732552.0	peak_CM_HP_MN_PP_SKM_160553_enhancer_ZNF728_746011.5_ZNF99_917357.0	52	4	52	4	1.1008055578187737e-11
peak_CM_HP_MN_PP_SKM_145414_enhancer_ACTG1_31091.0_FSCN2_46914.5	peak_CM_HP_MN_PP_SKM_145414_enhancer_ACTG1_31813.5_FSCN2_47573.0	2	31	2	31	1.3085082173347473e-07
peak_CM_HP_MN_PP_SKM_28522_enhancer_TRAF5_56061.5_RD3_109197.5	peak_CM_HP_MN_PP_SKM_28522_enhancer_TRAF5_56000.5_RD3_113336.5	29	1	29	1	5.774199962615967e-08
peak_CM_HP_MN_PP_SKM_165617_enhancer_CD37_3606.5_SLC6A16_13731.5	peak_CM_HP_MN_PP_SKM_165617_enhancer_CD37_3611.5_SLC6A16_13731.0	16	57	16	57	1.5256583158538737e-06
peak_CM_HP_MN_PP_SKM_99572_enhancer_MCF2L_83434.0_ATP11A_195759.5	peak_CM_HP_MN_PP_SKM_99572_enhancer_MCF2L_90064.5_ATP11A_195189.5	31	2	31	2	1.3085082173347473e-07
