RNA17_CM_Hyb1_total	RNA19_CM_Hyb2_total	RNA3_CM_Hyb1_total	RNA4_CM_Hyb2_total	gene	mean	bins
0	0	0	0.00927464060813277	ADGRG4	0.00231866015203319	1
0.0120597741149452	0	0	0	OR52A1	0.0030149435287363	1
0.0128188544754038	0	0	0	PTPRC	0.00320471361885095	1
0	0	0.0141123378738567	0	MUC17	0.00352808446846417	1
0	0	0.0150122343465599	0	OR1A1	0.00375305858663997	1
0	0	0	0.0161679979714835	VAX1	0.00404199949287088	1
0	0	0.00874553169725382	0.00787538845364217	ZNF208	0.004155230037724	1
0.0179982292810578	0	0	0	FCRL3	0.00449955732026445	1
0	0	0.0182097480010598	0	GABRR3	0.00455243700026495	1
0	0	0.018488948986635	0	RNF17	0.00462223724665875	1
0	0	0.0185285893989701	0	MGAT4D	0.00463214734974253	1
0	0	0.0189449241625933	0	PRLHR	0.00473623104064832	1
0.0193114936690265	0	0	0	MROH2B	0.00482787341725662	1
0	0	0	0.0210093040007399	MS4A2	0.00525232600018498	1
0	0	0.0221827839285638	0	CHIA	0.00554569598214095	1
0.0223659000715695	0	0	0	PIWIL1	0.00559147501789238	1
0.0127079527388371	0	0	0.0100990976839287	CD84	0.00570176260569145	1
0	0	0.0232417110860681	0	C12orf40	0.00581042777151702	1
0	0	0.0233148639536951	0	OTP	0.00582871598842378	1
0	0.0233547287823965	0	0	PRR27	0.00583868219559912	1
0.0235444678373124	0	0	0	ACTR3C	0.0058861169593281	1
0	0	0	0.0240934871731911	FCRL4	0.00602337179329778	1
0	0.0134829314652644	0.0113561667615019	0	LY9	0.00620977455669158	1
0.0251844061243091	0	0	0	OR8G1	0.00629610153107728	1
0.0253309849053732	0	0	0	BEND2	0.0063327462263433	1
0	0	0.0254990201293425	0	CA1	0.00637475503233562	1
0	0	0	0.0255363293090754	DNAJC5B	0.00638408232726885	1
0	0	0	0.025854472946647	OR51D1	0.00646361823666175	1
0.0259233264893065	0	0	0	SPATA31D3	0.00648083162232663	1
0.0261482952772644	0	0	0	ADAM7	0.0065370738193161	1
0.0264901801118183	0	0	0	DCAF8L2	0.00662254502795457	1
0	0	0.0267762754624415	0	OPALIN	0.00669406886561038	1
