RNA11_HP_Hyb1_total	RNA12_HP_Hyb2_total	RNA22_HP_Hyb1_total	RNA23_HP_Hyb2_total	gene	mean	bins
0	0.00582556296868529	0	0	TNR	0.00145639074217132	1
0	0.00812731807641717	0	0	PTPRC	0.00203182951910429	1
0.0059202071031135	0.00392907524557094	0	0	CSMD1	0.00246232058717111	1
0	0.0119033591318927	0	0	FCRL5	0.00297583978297318	1
0.0121400418610618	0	0	0	CD84	0.00303501046526545	1
0	0.00506100976880077	0	0.00711880947826369	PGR	0.00304495481176612	1
0	0	0	0.0123391021228682	OR56A1	0.00308477553071705	1
0	0.01267922477987	0	0	TIFAB	0.0031698061949675	1
0	0.0127399324224549	0	0	FAM9C	0.00318498310561372	1
0	0	0	0.0127722113747129	ACSM2A	0.00319305284367822	1
0	0.0129413105448178	0	0	C10orf53	0.00323532763620445	1
0	0.0131144384450829	0	0	CCDC155	0.00327860961127073	1
0	0.0137535766672542	0	0	C10orf90	0.00343839416681355	1
0	0	0	0.0146465400879832	SLC14A1	0.0036616350219958	1
0	0.0152202502158358	0	0	HTR5A	0.00380506255395895	1
0	0.0159058763463954	0	0	GCSAML	0.00397646908659885	1
0	0	0.00886054382276985	0.007130434396783	MUC17	0.00399774455488821	1
0	0.0160084067053107	0	0	MS4A1	0.00400210167632768	1
0	0.016032520939642	0	0	ADIPOQ	0.0040081302349105	1
0	0	0.00907480226921592	0.00730285674770172	ST18	0.00409441475422941	1
0	0.00703124998173992	0	0.00989014669021515	SNTG1	0.00423034916798877	1
0	0.0176925017351024	0	0	OR5AU1	0.0044231254337756	1
0	0.0179439125256542	0	0	SUCNR1	0.00448597813141355	1
0	0	0	0.0182603231102143	TREM1	0.00456508077755358	1
0.0183429684786337	0	0	0	MYH13	0.00458574211965842	1
0	0	0	0.0184240496359915	RXFP1	0.00460601240899788	1
0	0.0186304388113319	0	0	MUCL1	0.00465760970283298	1
0	0	0	0.0187436942102521	CYSLTR1	0.00468592355256302	1
0.011415392219772	0.00757607533114869	0	0	EPHA5	0.00474786688773017	1
0	0.0190156010225922	0	0	CYP4F11	0.00475390025564805	1
