RNA18_MN_Hyb2_total	RNA30_MN_Hyb1_total	RNA31_MN_Hyb2_total	RNA32_MN_Hyb1_total	gene	mean	bins
0.00594517610345009	0	0	0	RP1	0.00148629402586252	1
0.00754563422095265	0	0	0	ADGRF1	0.00188640855523816	1
0	0.00816503008285085	0	0	PGR	0.00204125752071271	1
0	0	0.00916848903474544	0	BSND	0.00229212225868636	1
0.00977325005645096	0	0	0	COL6A5	0.00244331251411274	1
0.0100725064463196	0	0	0	STAB2	0.0025181266115799	1
0.0101535156276073	0	0	0	MUSK	0.00253837890690182	1
0	0.0108305467516352	0	0	MAS1	0.0027076366879088	1
0.0108668718494376	0	0	0	ITK	0.0027167179623594	1
0	0	0.0110073635999565	0	GBP5	0.00275184089998913	1
0	0	0.0123165761912986	0	MYH6	0.00307914404782465	1
0.0130935525283272	0	0	0	SAMD9L	0.0032733881320818	1
0	0	0.0132599425179425	0	C5AR2	0.00331498562948562	1
0	0	0.0133170465175	0	SCN10A	0.003329261629375	1
0	0	0.0138283718194056	0	PLEKHG7	0.0034570929548514	1
0	0.0140664023229546	0	0	ABCA4	0.00351660058073865	1
0	0	0.0140736018909048	0	MYH2	0.0035184004727262	1
0	0	0.0143736161642643	0	OR2G6	0.00359340404106608	1
0	0	0.0148226431816273	0	PTPN7	0.00370566079540682	1
0.0148360326011775	0	0	0	IL19	0.00370900815029437	1
0.0152651139362116	0	0	0	MYH13	0.0038162784840529	1
0	0.0153665824405072	0	0	KIAA1210	0.0038416456101268	1
0.015508382684199	0	0	0	IL7R	0.00387709567104975	1
0.0156959840876369	0	0	0	PIK3C2G	0.00392399602190923	1
0.0160079673217297	0	0	0	ASPA	0.00400199183043242	1
0.0161435108501149	0	0	0	SCIN	0.00403587771252872	1
0.0161742550709167	0	0	0	VAX1	0.00404356376772918	1
0.016392787732868	0	0	0	TDRD9	0.004098196933217	1
0	0	0.0164726288113235	0	C10orf71	0.00411815720283088	1
0.0164737254963172	0	0	0	UNC45B	0.0041184313740793	1
0.0164853533244423	0	0	0	CMKLR1	0.00412133833111058	1
0.0165554664698945	0	0	0	DTHD1	0.00413886661747362	1
0	0.0170203069738951	0	0	MYPN	0.00425507674347377	1
0	0	0.0170326669038642	0	DSG3	0.00425816672596605	1
0	0.0170444424063595	0	0	CYP4F8	0.00426111060158988	1
0	0.0173871557716834	0	0	WNT9B	0.00434678894292085	1
0	0	0.0176703431032207	0	DMBX1	0.00441758577580518	1
0	0	0.0177349928307812	0	SPTA1	0.0044337482076953	1
0	0	0.017773657962312	0	TRIM29	0.004443414490578	1
0.0177778301217155	0	0	0	TDRD1	0.00444445753042888	1
0.00913578107662964	0	0.00876950823869012	0	IFI44L	0.00447632232882994	1
0.0179141893172799	0	0	0	CYSLTR2	0.00447854732931998	1
0.0180352311369913	0	0	0	TNFSF14	0.00450880778424782	1
0	0.0182893195145538	0	0	KCNG4	0.00457232987863845	1
0.0184410772383764	0	0	0	HOXA13	0.0046102693095941	1
0	0.0187749777959462	0	0	ZNF366	0.00469374444898655	1
0	0	0.0188002078089822	0	ATP1B4	0.00470005195224555	1
0.0188427787998416	0	0	0	OAS1	0.0047106946999604	1
0.00489918177616103	0	0.0141082895666546	0	ABCA13	0.00475186783570391	1
0	0.0191916665894375	0	0	OAS2	0.00479791664735937	1
0.0193221297393205	0	0	0	TNS4	0.00483053243483013	1
0	0.0197238936412286	0	0	PLA2G4F	0.00493097341030715	1
0	0	0.0199637113198676	0	CDC20B	0.0049909278299669	1
0	0.0204556514379931	0	0	TIFAB	0.00511391285949827	1
0.0206185162855031	0	0	0	SERPINB13	0.00515462907137578	1
0	0	0.0206867338520981	0	CCDC190	0.00517168346302452	1
0.020937359320846	0	0	0	C12orf40	0.0052343398302115	1
0	0	0.0209574646526864	0	DUSP27	0.0052393661631716	1
0	0	0.0210114787368428	0	MYBPC3	0.0052528696842107	1
0.0110926736273587	0	0.0106479448170085	0	OR5AU1	0.0054351546110918	1
0	0	0.0217609782210253	0	MOGAT2	0.00544024455525632	1
0.0217818832570797	0	0	0	IL12RB1	0.00544547081426992	1
0.0218788049858582	0	0	0	TLR1	0.00546970124646455	1
0	0	0.0219958281208843	0	ADGRG7	0.00549895703022108	1
0.0221013714903276	0	0	0	HKDC1	0.0055253428725819	1
0.0222513986637167	0	0	0	GABRA1	0.00556284966592917	1
0.0223391911261632	0	0	0	LMX1A	0.0055847977815408	1
0	0	0.0223577639613177	0	NLRP5	0.00558944099032942	1
0.0223712876651376	0	0	0	CYP8B1	0.0055928219162844	1
0	0	0.0224248540257177	0	F11	0.00560621350642942	1
0.0226973997302271	0	0	0	PON3	0.00567434993255678	1
0.0228193691474389	0	0	0	OR51M1	0.00570484228685973	1
0	0.0228512182223664	0	0	CNR2	0.0057128045555916	1
0.0100163500900198	0.012887038474284	0	0	ABCB5	0.00572584714107595	1
0	0	0.0234143580284191	0	ADAM18	0.00585358950710478	1
0	0.0235634988923049	0	0	CYP4F12	0.00589087472307622	1
0.0238627068428135	0	0	0	UGT2A1	0.00596567671070338	1
0.0241589080138647	0	0	0	F9	0.00603972700346618	1
0	0.0139423973842533	0.0104021565072318	0	TFEC	0.00608613847287127	1
0.0245783997078702	0	0	0	ANXA13	0.00614459992696755	1
0	0	0.02464330619644	0	FOXN1	0.00616082654911	1
0.0246627500764558	0	0	0	HTN1	0.00616568751911395	1
0.0249525900880381	0	0	0	SERPINB5	0.00623814752200953	1
0	0	0.0250424438002919	0	CNGA1	0.00626061095007297	1
0.0250933379773341	0	0	0	MC2R	0.00627333449433352	1
0.0251914513387123	0	0	0	SLA	0.00629786283467808	1
0	0	0	0.0252589841830089	IYD	0.00631474604575223	1
0	0	0.0257322786940732	0	HOXB13	0.0064330696735183	1
0	0	0.0258733385022635	0	RBMXL3	0.00646833462556588	1
0.0259434871673465	0	0	0	FGG	0.00648587179183662	1
0.0259434871673465	0	0	0	FMO1	0.00648587179183662	1
0	0	0.0259632285028504	0	OR1A1	0.0064908071257126	1
0	0	0.0261068387915124	0	C3orf85	0.0065267096978781	1
0	0.0261071693852405	0	0	SLC34A1	0.00652679234631012	1
0	0	0.0261639653534195	0	SAMD9	0.00654099133835487	1
0	0	0.0261907100609945	0	REG4	0.00654767751524863	1
0	0	0.0262366855613941	0	PPP3R2	0.00655917139034853	1
0	0	0.0263059522583881	0	SLC2A2	0.00657648806459702	1
0	0	0.0265238069354763	0	LINGO4	0.00663095173386908	1
0.0135827998385599	0	0.0130382365875029	0	HLA-DQA1	0.0066552591065157	1
0.0266997705886295	0	0	0	DPEP2	0.00667494264715738	1
0	0	0.0267692511190583	0	SLC10A2	0.00669231277976457	1
0	0	0.0268815921009728	0	RXFP2	0.0067203980252432	1
0.0114932025945272	0	0	0.0161168384652981	MUC5AC	0.00690251026495632	1
0.0141121597114222	0	0.0135463733004298	0	MSR1	0.006914633252963	1
0	0.0276633850056726	0	0	SIGLEC6	0.00691584625141815	1
0	0	0.0277465938269942	0	LILRA1	0.00693664845674855	1
0.0187614212851922	0	0.00900461805892612	0	TMPRSS4	0.00694150983602958	1
0.0142673331230322	0	0.0136953254808866	0	IL5RA	0.0069906646509797	1
0.00958769471363041	0	0.0184066073991883	0	OR52A1	0.00699857552820468	1
0.0279959536378827	0	0	0	LAX1	0.00699898840947067	1
0.0283098476635196	0	0	0	FAM216B	0.0070774619158799	1
0.0284737876530371	0	0	0	HOXC11	0.00711844691325928	1
0	0.0284827980686368	0	0	SELE	0.0071206995171592	1
0	0	0.028505083041591	0	GGT6	0.00712627076039775	1
0.0286747996591819	0	0	0	IL33	0.00716869991479548	1
0	0	0	0.0288336571949325	RGSL1	0.00720841429873312	1
0	0	0.0290404764406882	0	AICDA	0.00726011911017205	1
0	0.0167990786652197	0.0125334718726548	0	SLC14A1	0.00733313763446863	1
0.0299047686586475	0	0	0	KBTBD13	0.00747619216466187	1
0.0299623147176442	0	0	0	ZG16	0.00749057867941105	1
0	0.0301776067912747	0	0	CEACAM5	0.00754440169781868	1
0.030209376649835	0	0	0	TFAP2B	0.00755234416245875	1
0.0156016194538435	0	0.0149761174430269	0	SLFN11	0.0076444342242176	1
0	0.0306157432118307	0	0	OR56A4	0.00765393580295767	1
0.0309039025106235	0	0	0	MYCT1	0.00772597562765587	1
0	0	0.0310301007781471	0	CPA6	0.00775752519453678	1
0.0310580110670262	0	0	0	C9	0.00776450276675655	1
0.0314871915367761	0	0	0	ETNPPL	0.00787179788419403	1
0	0.0316976286523332	0	0	GOLGA6L1	0.0079244071630833	1
0	0.0316976286523332	0	0	GOLGA6L6	0.0079244071630833	1
0.0318521981894356	0	0	0	C7orf65	0.0079630495473589	1
0.0320324009222063	0	0	0	LGSN	0.00800810023055157	1
0.0320708881873034	0	0	0	CMTM5	0.00801772204682585	1
0.03211498703665	0	0	0	TRIM60	0.0080287467591625	1
0	0.0321383443448255	0	0	KRT7	0.00803458608620638	1
0.0164043015433915	0	0.0157466183053284	0	GABRR3	0.00803772996217997	1
0	0	0.0324094655760192	0	BRS3	0.0081023663940048	1
0.0166025408369672	0	0.0159369097652115	0	SLC26A9	0.00813486265054468	1
0	0.0326180211260915	0	0	CFHR3	0.00815450528152288	1
0.0326423820019618	0	0	0	ADRB3	0.00816059550049045	1
0.0326995090268165	0	0	0	FCGR2C	0.00817487725670413	1
0.0328028431494434	0	0	0	OR4E2	0.00820071078736085	1
0	0.0328497971712619	0	0	CDH16	0.00821244929281548	1
0	0	0.033115580224832	0	FGB	0.008278895056208	1
0.0114376220971614	0	0.0219581271422246	0	OAS3	0.0083489373098465	1
0.0334009643509527	0	0	0	S1PR5	0.00835024108773818	1
0.0172876567893439	0	0.0165945579661076	0	XCR1	0.00847055368886288	1
0.0338855630357688	0	0	0	CXCL9	0.0084713907589422	1
0.03391631776715	0	0	0	RASSF9	0.0084790794417875	1
0	0	0.0341366544533099	0	PIWIL1	0.00853416361332747	1
0.0341581342923637	0	0	0	TNFSF11	0.00853953357309093	1
0	0.0196658062581229	0.0146722825996147	0	CYTH4	0.0085845222144344	1
0	0	0.0344646392193871	0	GJA3	0.00861615980484677	1
0	0.0344800366751713	0	0	DLX6	0.00862000916879282	1
0	0	0.0345044214116372	0	MYOZ2	0.0086261053529093	1
0.0345369675747189	0	0	0	SERPINB10	0.00863424189367972	1
0	0	0.0350574633498222	0	C18orf63	0.00876436583745555	1
0	0	0	0.0353257978873333	FCN1	0.00883144947183333	1
0.0353605213056831	0	0	0	CD3E	0.00884013032642078	1
0.0354275681796036	0	0	0	SERPINB7	0.0088568920449009	1
0.00752921480412756	0	0.00722735261515516	0.0211163316352636	PTPRQ	0.00896822476363658	1
0	0.0358798232387007	0	0	TMPRSS11B	0.00896995580967518	1
0	0.0205535923135512	0.0153346428264099	0	FAM9C	0.00897205878499028	1
0	0.0363353711758305	0	0	GDF2	0.00908384279395763	1
0	0	0.0365431912179483	0	TRAT1	0.00913579780448708	1
0.0102302340439788	0.026324443243462	0	0	LY9	0.0091386693218602	1
0.0366075616338616	0	0	0	TRIM15	0.0091518904084654	1
0	0	0.0371949362293012	0	HORMAD1	0.0092987340573253	1
