RNA15_PP_Hyb1_total	RNA16_PP_Hyb2_total	RNA24_PP_Hyb1_total	RNA25_PP_Hyb2_total	gene	mean	bins
0	0	0.0111135291838832	0	CD84	0.0027783822959708	1
0	0	0	0.0111697339264771	PIK3CG	0.00279243348161927	1
0	0.0112615766004159	0	0	OR5AU1	0.00281539415010397	1
0.0119528461862398	0	0	0	FCRL3	0.00298821154655995	1
0	0	0	0.0128466868518808	SCN10A	0.0032116717129702	1
0	0.00645335770080305	0.00699236608582489	0	MUC17	0.00336143094665698	1
0	0.0134493757981711	0	0	CYP4F8	0.00336234394954277	1
0	0	0	0.0138659383331568	OR2G6	0.0034664845832892	1
0	0	0	0.0142168593690329	MROH2B	0.00355421484225822	1
0	0.0149763142473871	0	0	LILRB4	0.00374407856184677	1
0	0	0	0.0154564211650108	MGAT4D	0.0038641052912527	1
0	0	0	0.0162124417654732	TOPAZ1	0.0040531104413683	1
0	0.0164632872988548	0	0	LAIR1	0.0041158218247137	1
0.0168226196917353	0	0	0	BEND2	0.00420565492293383	1
0	0	0.0170031112447664	0	OR8A1	0.0042507778111916	1
0.0170133273926226	0	0	0	PNLIPRP1	0.00425333184815565	1
0.0179733147742883	0	0	0	IDO2	0.00449332869357208	1
0	0	0	0.0180717754878975	GIMAP1	0.00451794387197437	1
0.018594265606376	0	0	0	CLEC7A	0.004648566401594	1
0	0	0.0193425191724766	0	TMCO5A	0.00483562979311915	1
0	0	0.0198391514214997	0	TNFSF14	0.00495978785537492	1
0.0199438110784462	0	0	0	GIMAP6	0.00498595276961155	1
0.0201497889878544	0	0	0	OPALIN	0.0050374472469636	1
0	0	0	0.0201795169723735	CLEC4M	0.00504487924309337	1
0	0	0.0203942854461934	0	TESPA1	0.00509857136154835	1
0	0.0208358958982211	0	0	CD209	0.00520897397455527	1
0.0209616257722159	0	0	0	MC2R	0.00524040644305397	1
0.0216057953349834	0	0	0	OR51D1	0.00540144883374585	1
0.0220452352401017	0	0	0	SLC22A12	0.00551130881002542	1
0.0228321043738911	0	0	0	PPP3R2	0.00570802609347278	1
0	0.0231668290495121	0	0	OR51M1	0.00579170726237802	1
0	0	0	0.0231929193728057	THEMIS	0.00579822984320142	1
0.0237854717311673	0	0	0	HOXC11	0.00594636793279182	1
0.0241087836731418	0	0	0	AQP9	0.00602719591828545	1
0	0.0244068446033717	0	0	LILRB2	0.00610171115084293	1
0	0.0244698137586952	0	0	FCRL4	0.0061174534396738	1
0	0.0246799370618533	0	0	CLEC12B	0.00616998426546332	1
0	0	0.0261094523280916	0	SLFN12L	0.0065273630820229	1
0.0261265928188684	0	0	0	C14orf180	0.0065316482047171	1
0.0263204494940843	0	0	0	CA6	0.00658011237352108	1
0.0264991961799524	0	0	0	ZNF80	0.0066247990449881	1
0	0	0	0.0266101474194295	HOXC12	0.00665253685485737	1
0	0.0127875149155592	0.0138555756186286	0	FCN1	0.00666077263354695	1
0	0.026754583393146	0	0	C11orf44	0.0066886458482865	1
0	0.0268835028709474	0	0	CPLX4	0.00672087571773685	1
0	0	0.0146537579300397	0.0123356037730736	ACSM2B	0.00674734042577833	1
0	0	0.0271009505177659	0	GOLGA6L1	0.00677523762944148	1
0	0	0.0271009505177659	0	GOLGA6L6	0.00677523762944148	1
