RNA26_RPE_Hyb1_total	RNA27_RPE_Hyb1_total	RNA28_RPE_Hyb2_total	RNA29_RPE_Hyb2_total	gene	mean	bins
0	0	0.00622866290018766	0	MUC5AC	0.00155716572504691	1
0	0	0.0110052573381536	0	LOXHD1	0.0027513143345384	1
0	0.0138309305841327	0	0	ABCC12	0.00345773264603318	1
0	0	0	0.0143324263549393	OR56A1	0.00358310658873483	1
0	0	0	0.015561914731846	KIAA1210	0.0038904786829615	1
0	0	0.0159891635509791	0	LILRB4	0.00399729088774477	1
0	0	0	0.0164116619971011	FCN1	0.00410291549927528	1
0	0	0.0168456783843538	0	TIGIT	0.00421141959608845	1
0	0.0173080356728028	0	0	OR2AG1	0.0043270089182007	1
0	0	0.0175767007061883	0	LAIR1	0.00439417517654707	1
0	0	0.017817943474987	0	FBXO40	0.00445448586874675	1
0	0	0.0179952679524348	0	SLC26A9	0.0044988169881087	1
0	0.0184532449561005	0	0	FCRL3	0.00461331123902513	1
0	0.0189525304889697	0	0	KLK2	0.00473813262224243	1
0	0.0191331167728093	0	0	IL19	0.00478327919320233	1
0	0	0.0196467545146199	0	SPATA31D1	0.00491168862865498	1
0	0	0	0.019915788127045	CYTH4	0.00497894703176125	1
0	0.0200035258705596	0	0	MYH1	0.0050008814676399	1
0	0	0	0.0202335932567319	MYH4	0.00505839831418298	1
0.021384728716186	0	0	0	MAS1	0.0053461821790465	1
0	0	0	0.0215710255241005	DTHD1	0.00539275638102512	1
0	0	0	0.0222695384252651	GPR174	0.00556738460631627	1
0.0224020879075167	0	0	0	KIF25	0.00560052197687917	1
0	0.0232589259301893	0	0	TNFSF14	0.00581473148254733	1
0.0235490890347522	0	0	0	TESPA1	0.00588727225868805	1
0	0	0.0236201009489972	0	CLEC4M	0.0059050252372493	1
0	0	0	0.0237930604051015	C18orf63	0.00594826510127537	1
0.0117663718042753	0	0	0.0120699352535944	C4orf54	0.00595907676446742	1
0.0238664239030805	0	0	0	HRG	0.00596660597577013	1
0	0	0	0.023975831599862	OPN5	0.0059939578999655	1
0	0.0246131228433872	0	0	HTR5A	0.0061532807108468	1
0	0	0.0247275635575948	0	DMBT1	0.0061818908893987	1
0.00868759496640429	0	0.00741338112368042	0.00891172831338306	WDFY4	0.00625317610086694	1
0	0	0.0252328364735487	0	NLRP4	0.00630820911838717	1
0.0258921797176775	0	0	0	SLC36A3	0.00647304492941937	1
0.00864770876301678	0.0175603026262032	0	0	AGBL1	0.00655200284730499	1
0.0264049531922822	0	0	0	ADAM7	0.00660123829807055	1
0	0	0.026431577334469	0	MROH9	0.00660789433361725	1
0.0130586397761765	0	0	0.0133955427569604	RGSL1	0.00661354563328423	1
0	0.0267320249208743	0	0	PTPN20	0.00668300623021858	1
0.0114717575063917	0.00582372565344066	0.00978918916940747	0	OPRM1	0.00677116808230996	1
0	0.0276713909780387	0	0	TLR8	0.00691784774450967	1
0	0	0.0281432386793638	0	GABRA6	0.00703580966984095	1
0	0.0282753429519785	0	0	SLC13A1	0.00706883573799463	1
0	0	0	0.028899643170109	CYP11B1	0.00722491079252725	1
0.0291987843617412	0	0	0	LINC02054	0.0072996960904353	1
0.0144623838691184	0	0	0.0148355023805605	ACSM2A	0.00732447156241972	1
0	0.029763151264422	0	0	GP2	0.0074407878161055	1
