RNA20_SKM_Hyb1_total	RNA21_SKM_Hyb2_total	RNA33_SKM_Hyb2_total	RNA7_SKM_Hyb1_total	RNA8_SKM_Hyb2_total	gene	mean	bins
0	0	0	0	0.0176225773092624	GABRR3	0.00352451546185248	1
0.0189214135720145	0	0	0	0	OR52K1	0.0037842827144029	1
0	0	0	0	0.0191017468169489	PIWIL1	0.00382034936338978	1
0	0	0	0.0194026409926112	0	MS4A2	0.00388052819852224	1
0	0	0	0	0.0194723666620585	SPATA31D1	0.0038944733324117	1
0	0	0	0.0198081624281481	0	TLR8	0.00396163248562962	1
0	0	0	0	0.0199841851406311	C1orf141	0.00399683702812622	1
0	0.0200482443711297	0	0	0	OR1A1	0.00400964887422594	1
0	0	0	0.0204759589772452	0	CYP11B1	0.00409519179544904	1
0	0	0	0	0.0215968534056917	ADIPOQ	0.00431937068113834	1
0	0	0	0	0.0234104450142872	CLEC4M	0.00468208900285744	1
0.024263460163691	0	0	0	0	SLC13A1	0.0048526920327382	1
0.0249124346403584	0	0	0	0	USP26	0.00498248692807168	1
0	0.0149771030729711	0	0	0.0108533121851681	CD84	0.00516608305162784	1
0	0	0.0261913551999814	0	0	CCDC155	0.00523827103999628	1
0.0267356099709044	0	0	0	0	F9	0.00534712199418088	1
0	0.0268241859608297	0	0	0	ZNF257	0.00536483719216594	1
0	0	0	0	0.0268774980654123	OR4E1	0.00537549961308246	1
0	0	0	0	0.0269063211196379	THEMIS	0.00538126422392758	1
0	0	0	0	0.0270513686728435	OR2H1	0.0054102737345687	1
0	0	0	0.0270529294893842	0	CLCA4	0.00541058589787684	1
0	0	0	0	0.0270623103077388	FCN1	0.00541246206154776	1
0	0	0	0	0.0278469971632212	PTCHD3	0.00556939943264424	1
0	0	0.0282876594849989	0	0	CNR2	0.00565753189699978	1
0	0	0.0285701015535895	0	0	ZNF716	0.0057140203107179	1
0.0290248747213608	0	0	0	0	OR5K1	0.00580497494427216	1
0.0290330254865171	0	0	0	0	CCR3	0.00580660509730342	1
0	0	0	0.0290876017578944	0	CA6	0.00581752035157888	1
0	0.0304816269650631	0	0	0	RGSL1	0.00609632539301262	1
0	0	0	0	0.0306538111717316	CCL14	0.00613076223434632	1
0	0	0	0.0315452594045929	0	OR4C11	0.00630905188091858	1
0	0	0	0.0318363747553182	0	KLRC1	0.00636727495106364	1
0	0	0	0.0318481311714021	0	ADAD1	0.00636962623428042	1
0	0	0	0.0319188524101247	0	GPR15	0.00638377048202494	1
0	0	0.0319710117943907	0	0	MS4A1	0.00639420235887814	1
0.032187610136204	0	0	0	0	IL23R	0.0064375220272408	1
0	0	0	0	0.0327440710526099	ELOA2	0.00654881421052198	1
0	0	0	0	0.0333202449456339	CCR4	0.00666404898912678	1
0	0	0.0335421751332494	0	0	DCAF8L2	0.00670843502664988	1
0	0	0	0.0336893512547488	0	HMGB4	0.00673787025094976	1
0.0173031972815878	0	0	0	0.0167967494186191	CD33	0.00681998934004138	1
0	0	0.0341112079071743	0	0	G6PC	0.00682224158143486	1
0	0	0	0.0342105272559131	0	GTSF1	0.00684210545118262	1
0	0	0	0.0342241028619671	0	FAM47A	0.00684482057239342	1
0	0	0	0	0.0342410705480209	CEACAM3	0.00684821410960418	1
0.0344736924833235	0	0	0	0	PADI4	0.0068947384966647	1
0	0	0	0	0.0355384482210515	CCDC196	0.0071076896442103	1
