RNA11_HP_Hyb1_total	RNA12_HP_Hyb2_total	RNA22_HP_Hyb1_total	RNA23_HP_Hyb2_total	gene	mean	bins
0	0.0056186505528956	0	0	TNR	0.0014046626382239	1
0	0.00689067601804071	0	0	LHX9	0.00172266900451018	1
0	0.00784821542107123	0	0	PTPRC	0.00196205385526781	1
0	0.00789125235582157	0	0	LY9	0.00197281308895539	1
0	0.00876613535336026	0	0	NEUROD1	0.00219153383834007	1
0.00574252049424901	0.00384669548144245	0	0	CSMD1	0.00239730399392286	1
0	0.0104445404239194	0	0	FAM9B	0.00261113510597985	1
0	0	0	0.0107637349208149	DMBT1	0.00269093373020373	1
0	0	0	0.0109091907981232	GPR179	0.0027272976995308	1
0	0.0113938937419447	0	0	OASL	0.00284847343548618	1
0	0.0115921441888805	0	0	FCRL5	0.00289803604722013	1
0	0.00489705567143409	0	0.00686789729004559	PGR	0.00294123824036992	1
0	0	0	0.0118466793710542	OR56A1	0.00296166984276355	1
0	0.0119462790935383	0	0	MYH1	0.00298656977338457	1
0.0121867308650928	0	0	0	TTC34	0.0030466827162732	1
0	0.0122639234669134	0	0	TIFAB	0.00306598086672835	1
0	0	0	0.0123136076732935	ACSM2A	0.00307840191832337	1
0	0.012397043242657	0	0	C10orf53	0.00309926081066425	1
0	0.0126945022901166	0	0	CD180	0.00317362557252915	1
0	0.0127146914614563	0	0	C10orf90	0.00317867286536408	1
0	0.0133393472340343	0	0	TIGD5	0.00333483680850858	1
0	0	0	0.0140504058594597	SLC14A1	0.00351260146486492	1
0	0.0142649561816775	0	0	TESPA1	0.00356623904541937	1
0	0	0.0143063060237975	0	TMC1	0.00357657650594937	1
0	0.0145036160008831	0	0	PSG1	0.00362590400022077	1
0	0.0150843687589897	0	0	MS4A1	0.00377109218974742	1
0	0	0	0.01562074533787	ACTR3C	0.0039051863344675	1
0	0.0156452356991479	0	0	ADIPOQ	0.00391130892478697	1
0	0	0.00865772006663822	0.00700958702991386	ST18	0.00391682677413802	1
0	0.0162862016705254	0	0	NLRP10	0.00407155041763135	1
0	0.00678796594154538	0	0.00951981272477735	SNTG1	0.00407694466658068	1
0	0	0.0168907085078363	0	DTHD1	0.00422267712695908	1
0.0169129028255279	0	0	0	KLK2	0.00422822570638198	1
0	0	0	0.0169496959574435	ZNF208	0.00423742398936088	1
0	0.0171131975217936	0	0	OR5AU1	0.0042782993804484	1
0	0	0	0.017129522132514	TREM1	0.0042823805331285	1
0	0.0172093850706484	0	0	SUCNR1	0.0043023462676621	1
0	0	0	0.0177533453347361	RXFP1	0.00443833633368403	1
0	0.0181194759457016	0	0	MUCL1	0.0045298689864254	1
0.0109238122490519	0.00731744523343649	0	0	EPHA5	0.0045603143706221	1
0.0183331363449271	0	0	0	FAM9C	0.00458328408623178	1
0	0	0	0.0183673125013906	GPR174	0.00459182812534765	1
0	0.0185325019910833	0	0	PIK3CG	0.00463312549777082	1
0	0	0	0.0185530455750395	C10orf71	0.00463826139375987	1
0	0.0188307874850513	0	0	OR2J3	0.00470769687126282	1
0	0.0190552010011602	0	0	MROH9	0.00476380025029005	1
0	0.0193160910014446	0	0	CYP4F11	0.00482902275036115	1
0	0	0	0.0194207111013549	TMCO5A	0.00485517777533873	1
0	0.0194571224933426	0	0	CASP1	0.00486428062333565	1
0	0.0195735688194725	0	0	ANKRD66	0.00489339220486812	1
0.0118519084017354	0.00793914145209986	0	0	RGSL1	0.00494776246345881	1
0	0.0198216085345402	0	0	DDX53	0.00495540213363505	1
0	0	0	0.0199940588235863	ARGFX	0.00499851470589657	1
0	0	0.0200026541613423	0	IL19	0.00500066354033557	1
0	0.0200090208510515	0	0	GABRA6	0.00500225521276287	1
0	0.0201603919810538	0	0	RPTN	0.00504009799526345	1
0	0.0202454808611089	0	0	TNFRSF13B	0.00506137021527722	1
0	0.0203026069357734	0	0	NXF3	0.00507565173394335	1
0	0.011972119630679	0	0.00839517594697503	CASR	0.00509182389441351	1
0	0.0206167446935189	0	0	SELP	0.00515418617337973	1
0	0.0211562596237521	0	0	CASP14	0.00528906490593802	1
0	0.0212499819788485	0	0	HTR1F	0.00531249549471212	1
0	0.0213066150371279	0	0	ZNF705D	0.00532665375928197	1
0.004836718562902	0.00647986662287293	0.00561223604463814	0.00454385873931196	C5orf64	0.00536816999243126	1
0	0	0	0.0214885040210051	DSG4	0.00537212600525127	1
0	0	0.0215038885575093	0	RIMBP3C	0.00537597213937733	1
0.0215430898204829	0	0	0	PNLIPRP1	0.00538577245512072	1
0	0	0	0.0217478480350517	BEND2	0.00543696200876293	1
0	0	0.0221891646927762	0	RNF17	0.00554729117319405	1
0.0133086167568985	0.00891493482596717	0	0	LAIR1	0.00555588789571642	1
0	0	0	0.0222562891227702	SERPINB13	0.00556407228069255	1
0	0	0	0.0222907035305147	ZNF804A	0.00557267588262868	1
0.0226898702672006	0	0	0	ZNF676	0.00567246756680015	1
0	0.0227337879874822	0	0	NKX2-1	0.00568344699687055	1
0	0	0	0.0229028631145347	CLCA2	0.00572571577863368	1
0	0.0229513361978887	0	0	DCANP1	0.00573783404947218	1
0	0	0	0.0231604349053569	SPATA31A1	0.00579010872633923	1
0	0	0.0169654308962532	0.00686789729004559	MUC17	0.0059583320465747	1
0	0.0242672644115956	0	0	CPA5	0.0060668161028989	1
0	0.0244072045387995	0	0	ZNF80	0.00610180113469987	1
0.0244789985972944	0	0	0	ITGAD	0.0061197496493236	1
0.0245461256501206	0	0	0	PASD1	0.00613653141253015	1
0.0245685832216212	0	0	0	PIGR	0.0061421458054053	1
0.0249104466245194	0	0	0	SPATA31A6	0.00622761165612985	1
0	0.0251934310155396	0	0	DCDC2C	0.0062983577538849	1
0	0.0252730730524696	0	0	HMX3	0.0063182682631174	1
0.0254595510416989	0	0	0	MUC6	0.00636488776042473	1
0	0.0254608772046642	0	0	IQCA1L	0.00636521930116605	1
0	0	0.0256559362040601	0	CD99	0.00641398405101502	1
0	0.0259008059684597	0	0	DCSTAMP	0.00647520149211493	1
0	0.0260225819097219	0	0	P2RY13	0.00650564547743048	1
0.0262048904232563	0	0	0	OR51M1	0.00655122260581407	1
0	0.0266786944680686	0	0	TREML4	0.00666967361701715	1
0	0	0	0.026773683969923	SMIM35	0.00669342099248075	1
0	0	0	0.0269308820076434	MORC1	0.00673272050191085	1
0.0271041750807287	0	0	0	ACSM5	0.00677604377018217	1
0.0271933786949184	0	0	0	FCRL1	0.0067983446737296	1
0	0.0275363333258251	0	0	RTL4	0.00688408333145627	1
0	0.0277594286189742	0	0	SIX6	0.00693985715474355	1
0	0.0278238356459324	0	0	EMCN	0.0069559589114831	1
0	0	0.0279579493224145	0	S100A7A	0.00698948733060363	1
0	0.0150370823365478	0.0130236716906295	0	PAX5	0.00701518850679433	1
0	0	0	0.0281243073808918	TRARG1	0.00703107684522295	1
0.00569532586664516	0	0.00660851209328334	0.0160514339686066	SCN1A	0.00708881798213378	1
0	0	0	0.0284976037510985	C1QTNF8	0.00712440093777462	1
0	0.0285073054597389	0	0	GTSF1	0.00712682636493472	1
0.0122116696049258	0.0163602635244159	0	0	ABCB5	0.00714298328233542	1
0	0	0.0285732549471169	0	TMPRSS15	0.00714331373677923	1
0	0.0285865868018995	0	0	KRT12	0.00714664670047487	1
0	0	0.0159300278731242	0.0128974967897035	KIAA1210	0.00720688116570693	1
0.0051071626970772	0.00342109352322086	0.00592604308098725	0.0143937830281438	OPRM1	0.00721202058235728	1
0	0.0291305420973203	0	0	C4BPA	0.00728263552433007	1
0	0	0.0291343006263029	0	SYCP1	0.00728357515657573	1
0.0293240092396745	0	0	0	ANKRD40CL	0.00733100230991863	1
0	0.0295857068175909	0	0	PDCD1LG2	0.00739642670439773	1
0	0.0298186651389893	0	0	UBQLN3	0.00745466628474733	1
0	0.0298310277696439	0	0	HORMAD1	0.00745775694241098	1
0.0300038675544491	0	0	0	NLRP13	0.00750096688861228	1
0	0	0	0.0301223925022806	SLC10A2	0.00753059812557015	1
0	0	0.0302295750859384	0	TMEM273	0.0075573937714846	1
0.0302403845284143	0	0	0	OR5K1	0.00756009613210358	1
0.018236646153638	0.0122160337827472	0	0	GAD2	0.0076131699840963	1
0	0	0	0.0305048412583555	FAM216B	0.00762621031458888	1
0	0	0.0305706495166357	0	NLRP5	0.00764266237915893	1
0	0	0	0.0305880614982237	FAM47C	0.00764701537455593	1
0	0	0	0.030662417162759	ZNF98	0.00766560429068975	1
0	0.0307489055471714	0	0	NXF2	0.00768722638679285	1
0.0308306101736302	0	0	0	PYHIN1	0.00770765254340755	1
0	0.0196162592640079	0.0113264756524286	0	GALR1	0.00773568372910912	1
0	0.00815140353238711	0	0.0228639435555998	ERICH3	0.00775383677199673	1
0.0186806688425961	0.0125134676487619	0	0	SNX20	0.0077985341228395	1
0.0234119106026433	0.00784137303622287	0	0	MUSK	0.00781332090971654	1
