RNA18_MN_Hyb2_total	RNA30_MN_Hyb1_total	RNA31_MN_Hyb2_total	RNA32_MN_Hyb1_total	gene	mean	bins
0.00572262356176473	0	0	0	RP1	0.00143065589044118	1
0.00725691333201902	0	0	0	ADGRF1	0.00181422833300476	1
0	0.00750286578535688	0	0	CCDC141	0.00187571644633922	1
0	0.00788737935892074	0	0	PGR	0.00197184483973019	1
0	0	0.00882828491800217	0	BSND	0.00220707122950054	1
0.0093743331723755	0	0	0	COL6A5	0.00234358329309387	1
0	0	0.00945085425363229	0	LY9	0.00236271356340807	1
0.00968344372741288	0	0	0	STAB2	0.00242086093185322	1
0.00979319505126325	0	0	0	MUSK	0.00244829876281581	1
0	0	0.0101642945369921	0	ZNF727	0.00254107363424802	1
0	0	0.0102124779668902	0	MUC6	0.00255311949172255	1
0	0.0103168579115661	0	0	OAS2	0.00257921447789153	1
0	0.0104301381442375	0	0	MAS1	0.00260753453605938	1
0.0104649304518914	0	0	0	ITK	0.00261623261297285	1
0	0	0.0105824498446051	0	GBP5	0.00264561246115128	1
0	0	0.0110139173165413	0	KIAA1210	0.00275347932913532	1
0.0111727412396359	0	0	0	SLC6A2	0.00279318530990897	1
0	0	0.0118353095844828	0	MYH6	0.0029588273961207	1
0	0	0.0122631121509348	0	LILRB5	0.0030657780377337	1
0	0	0.0124365549263413	0	TPH2	0.00310913873158532	1
0	0	0.0125087660160574	0	OR1A1	0.00312719150401435	1
0.0125681619287261	0	0	0	SAMD9L	0.00314204048218153	1
0	0	0.0128042925831529	0	SCN10A	0.00320107314578822	1
0	0.013148316873227	0	0	TTC34	0.00328707921830675	1
0	0	0.0131984820163301	0	GOLGA8G	0.00329962050408252	1
0	0	0.0132839354223245	0	PLEKHG7	0.00332098385558113	1
0	0	0.013536426183572	0	MYH2	0.003384106545893	1
0	0.0135590575547704	0	0	ABCA4	0.0033897643886926	1
0	0	0.0139055815853831	0	OR2G6	0.00347639539634577	1
0	0	0.0145907363841211	0	PTPN7	0.00364768409603027	1
0.0147557237751053	0	0	0	PIK3C2G	0.00368893094377632	1
0.0148877332323379	0	0	0	BMP10	0.00372193330808447	1
0.00774008249701908	0	0.00742229880143145	0	IFI44L	0.00379059532461263	1
0	0	0.0152924381694089	0	CATSPERB	0.00382310954235223	1
0.0153742271668762	0	0	0	ASPA	0.00384355679171905	1
0	0	0.0154459381761282	0	DSG3	0.00386148454403205	1
0.0154588607931174	0	0	0	SCIN	0.00386471519827935	1
0.0155256319610213	0	0	0	VAX1	0.00388140799025533	1
0.015773627837527	0	0	0	XCR1	0.00394340695938175	1
0.0158236234883591	0	0	0	UNC45B	0.00395590587208978	1
0	0	0.0158435170223606	0	C10orf71	0.00396087925559015	1
0.0158599290134824	0	0	0	CMKLR1	0.0039649822533706	1
0.0161855831755028	0	0	0	SLC38A11	0.0040463957938757	1
0	0	0.016320622932693	0	PIWIL1	0.00408015573317325	1
0.0163803058312781	0	0	0	TDRD9	0.00409507645781952	1
0	0.0164405255952082	0	0	CYP4F8	0.00411013139880205	1
0	0	0.016527213096398	0	GJA3	0.0041318032740995	1
0.0166596881331835	0	0	0	TIGD5	0.00416492203329588	1
0.0167279147040937	0	0	0	CYSLTR2	0.00418197867602342	1
0	0	0.0168207864697676	0	TCF23	0.0042051966174419	1
0	0.0168836341667573	0	0	MYPN	0.00422090854168933	1
0	0.0169801120762817	0	0	KCNG4	0.00424502801907042	1
0	0	0.0170033324949919	0	DMBX1	0.00425083312374798	1
0	0	0.0170504331390224	0	SPTA1	0.0042626082847556	1
0.0170971000362237	0	0	0	TDRD1	0.00427427500905593	1
0	0	0.0171659141602827	0	TRIM29	0.00429147854007068	1
0	0	0.0172552841579133	0	PSG11	0.00431382103947832	1
0	0	0.0172829701332971	0	PNLIPRP1	0.00432074253332428	1
0.0173882271266238	0	0	0	ZNF257	0.00434705678165595	1
0	0.0174243369298786	0	0	FCGR2B	0.00435608423246965	1
0.0177208356912624	0	0	0	HOXA13	0.0044302089228156	1
0.0178333712622329	0	0	0	PGA3	0.00445834281555822	1
0	0.0179395146935948	0	0	ACTR3C	0.0044848786733987	1
0	0	0.0180542403278062	0	ATP1B4	0.00451356008195155	1
0	0.018087913987923	0	0	ZNF366	0.00452197849698075	1
0.00471100171902446	0	0.0135527479556413	0	ABCA13	0.00456593741866644	1
0.0183317743350452	0	0	0	SERPINA1	0.0045829435837613	1
0	0	0.0183933594630991	0	GBP6	0.00459833986577477	1
0.018440869647115	0	0	0	TNS4	0.00461021741177875	1
0	0.0185988228086378	0	0	IL19	0.00464970570215945	1
0.0187996564415045	0	0	0	TNFSF14	0.00469991411037613	1
0	0.0189889013469806	0	0	PLA2G4F	0.00474722533674515	1
0	0	0.0190563664494956	0	CDC20B	0.0047640916123739	1
0	0	0.0191240321980957	0	PTPN20	0.00478100804952392	1
0	0.0194657369481183	0	0	ZNF208	0.00486643423702957	1
0	0	0.01952263005995	0	CD209	0.0048806575149875	1
0	0	0.019701163485281	0	FGB	0.00492529087132025	1
0	0	0.0197101759113951	0	PIGR	0.00492754397784878	1
0	0.0197527296609208	0	0	TIFAB	0.0049381824152302	1
0.0198065589134652	0	0	0	TLR1	0.0049516397283663	1
