RNA20_SKM_Hyb1_total	RNA21_SKM_Hyb2_total	RNA33_SKM_Hyb2_total	RNA7_SKM_Hyb1_total	RNA8_SKM_Hyb2_total	gene	mean	bins
0	0	0	0	0.0103801851850504	CD84	0.00207603703701008	1
0	0	0	0	0.0114244992136569	OR5AU1	0.00228489984273138	1
0.013974595041106	0	0	0	0	POTEM	0.0027949190082212	1
0	0	0	0.0140159574112461	0	RIMBP3C	0.00280319148224922	1
0	0	0	0.0168087087017551	0	SLAMF7	0.00336174174035102	1
0	0	0	0	0.0168452768521201	GABRR3	0.00336905537042402	1
0.00729386807663595	0.00977724045560163	0	0	0	RGPD6	0.00341422170644752	1
0	0	0	0	0.0181948132362957	PIWIL1	0.00363896264725914	1
0	0	0	0.0186621845062215	0	TLR8	0.0037324369012443	1
0	0.0189555557446676	0	0	0	OR1A1	0.00379111114893352	1
0	0	0	0	0.0191295527454483	C1orf141	0.00382591054908966	1
0	0	0	0	0.0192560861670958	SPATA31A7	0.00385121723341916	1
0	0	0	0.0193144291858256	0	CYP11B1	0.00386288583716512	1
0	0	0	0	0.0201655360805292	MROH5	0.00403310721610584	1
0	0	0	0	0.0202933278174147	ZNF676	0.00405866556348294	1
0	0	0	0	0.0208890223717419	ADIPOQ	0.00417780447434838	1
0	0	0.0215076719037108	0	0	MS4A4A	0.00430153438074216	1
0.0221351742857418	0	0	0	0	SLC13A1	0.00442703485714836	1
0.022358710587916	0	0	0	0	SPATA31A1	0.0044717421175832	1
0	0.0230593013464622	0	0	0	GOLGA8F	0.00461186026929244	1
0.0235022682826417	0	0	0	0	USP26	0.00470045365652834	1
0	0	0	0.0235673017567689	0	CLCA4	0.00471346035135378	1
0.0237139488879138	0	0	0	0	ZNF479	0.00474278977758276	1
0	0	0	0	0.0241560507638021	CLEC4M	0.00483121015276042	1
0	0	0	0.0248886302559995	0	TMPRSS11D	0.0049777260511999	1
0.0252506226105624	0	0	0	0	F9	0.00505012452211248	1
0	0.0252679612084008	0	0	0	ZNF257	0.00505359224168016	1
0	0	0	0	0.0253078540273027	OR4E1	0.00506157080546054	1
0	0	0	0	0.0253211950151927	FCN1	0.00506423900303854	1
0	0	0.0259216490630374	0	0	TIGD5	0.00518432981260748	1
0	0	0.0265567663905078	0	0	CNR2	0.00531135327810156	1
0	0	0	0.0266261845806563	0	SERF1B	0.00532523691613126	1
0	0	0.0268371161316744	0	0	ZNF716	0.00536742322633488	1
0.0272952933683244	0	0	0	0	RPTN	0.00545905867366488	1
0.0274259296259994	0	0	0	0	OR5K1	0.00548518592519988	1
0	0.0288171297638785	0	0	0	RGSL1	0.0057634259527757	1
0	0	0	0.0289406801409271	0	ACSM6	0.00578813602818542	1
0	0	0.029312657242353	0	0	MS4A1	0.0058625314484706	1
0	0	0	0	0.0293608233152937	CCL14	0.00587216466305874	1
0	0	0	0.0296808509885211	0	OR4C11	0.00593617019770422	1
0	0	0	0.0300430803090171	0	GPR15	0.00600861606180342	1
0	0	0	0.0300987362562365	0	ADAD1	0.0060197472512473	1
0.0303196084754279	0	0	0	0	IL23R	0.00606392169508558	1
0	0	0	0.0305170883379348	0	CA6	0.00610341766758696	1
