gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.16712294455515	0.120777251050912	0.226833803941756	0.226833803941756	0.101407077990438
A1CF	0.0311999667882103	0.874733832037498	0.924259527107563	0.924259527107563	0.413194401892885
A2M	-0.215465657501324	0.00617722266025368	0.0185471276012908	0.0185471276012908	0.0082915772802789
A2ML1	-0.0239671170033407	0.891195961775102	0.935825406312886	0.935825406312886	0.418364980502515
A3GALT2	-0.119871487787645	0.245732716084953	0.395906637828572	0.395906637828572	0.176991853072846
A4GALT	0.586952938520422	0.00124701598622468	0.00445540959468831	0.00445540959468831	0.00199181101051373
A4GNT	4.5208489527	9.26531763581255e-06	5.04932754740777e-05	5.04932754740777e-05	2.25732471748665e-05
AAAS	-0.344661788712637	4.09289477473793e-07	2.76414397412538e-06	2.76414397412538e-06	1.23572306547795e-06
AACS	-0.0402096802713656	0.625224558557495	0.764840437916279	0.764840437916279	0.341925377039182
AADAC	0.159890048158929	0.481614467063434	0.645020061302722	0.645020061302722	0.288359135742913
AADACL2	-0.0064509660531725	0.924844595697112	0.957215296359915	0.957215296359915	0.427927427591587
AADACL3	-0.020643384398256	0.742972028074155	0.848607176279324	0.848607176279324	0.379373676289884
AADACL4	0.233782116932813	0.0413708457850252	0.0938499089418264	0.0938499089418264	0.0419560262627477
AADAT	-0.492692793261544	1.97455304968939e-06	1.20554682015932e-05	1.20554682015932e-05	5.38945158475635e-06
AAGAB	-0.0358340225499649	0.718413153408356	0.834991856940471	0.834991856940471	0.373286886199222
AAK1	-0.17879276833827	0.0140725169918731	0.0380676430013691	0.0380676430013691	0.0170183119785056
AAMDC	0.247009133373275	0.0871220161548717	0.173995408244617	0.173995408244617	0.0777854342131936
AAMP	0.298624598622746	6.33139182850986e-07	4.17027675104516e-06	4.17027675104516e-06	1.8643410831462e-06
AANAT	-0.167203948856452	0.389341792099964	0.55540892985485	0.55540892985485	0.248298074130248
AARD	0.627818686461421	0.0272967096614324	0.0662441172480017	0.0662441172480017	0.0296147322288026
AARS2	0.491446285424477	9.14858559485467e-06	4.99056978405908e-05	4.99056978405908e-05	2.23105679362829e-05
AARSD1	-0.0877141358655845	0.314767144194918	0.475819364044447	0.475819364044447	0.212717198761986
AASDH	0.0742144673291685	0.639834835347477	0.774701982013857	0.774701982013857	0.34633402493042
AASDHPPT	-0.376713844580579	6.28771644771688e-06	3.54034480240874e-05	3.54034480240874e-05	1.58272715641223e-05
AASS	1.12406353182048	1.9802924980074e-42	1.64658380180853e-40	1.64658380180853e-40	7.36112735871869e-41
AATF	0.255566629650634	0.006836324894729	0.0203118544015334	0.0203118544015334	0.00908050637794533
AATK	-0.0572877989713581	0.481555769092615	0.644992878602836	0.644992878602836	0.288346983593985
ABAT	1.2569567952446	1.48591095653979e-33	8.23675261585555e-32	8.23675261585555e-32	3.68227751062394e-32
ABCA1	-0.250088719822341	1.22905018077846e-05	6.54583820966651e-05	6.54583820966651e-05	2.9263465775625e-05
ABCA10	-1.12812292844976	0.000433695475083322	0.00171922331826752	0.00171922331826752	0.000768586560243461
ABCA12	-0.0680093393570494	0.683380159093193	0.809112734173589	0.809112734173589	0.361717507318554
ABCA13	-0.227670227988445	0.28228271605908	0.439245923562007	0.439245923562007	0.196366876777641
ABCA2	-0.359540314812495	7.4499126865379e-15	1.18605434581128e-13	1.18605434581128e-13	5.30230959656549e-14
ABCA3	0.810708624967185	1.48786502790936e-12	1.92676800375987e-11	1.92676800375987e-11	8.61370350589049e-12
ABCA4	0.24132971735174	0.31090783400212	0.47171582310729	0.47171582310729	0.210882692226275
ABCA5	0.704288448350993	1.2271433963195e-06	7.73399642948682e-06	7.73399642948682e-06	3.45751808361032e-06
ABCA6	-0.0757459195346318	0.721379981443018	0.837240521080152	0.837240521080152	0.374292161673267
ABCA7	-0.32989862934506	3.3117687761267e-06	1.95379235559621e-05	1.95379235559621e-05	8.7345170930493e-06
ABCA8	-0.490637175565455	9.93346077225396e-16	1.72179986719069e-14	1.72179986719069e-14	7.69738418092941e-15
ABCA9	-0.198841914424556	0.167975875327836	0.294932343927068	0.294932343927068	0.131850838291256
ABCB1	-0.294482824176097	0.175316318380537	0.304856908947045	0.304856908947045	0.136287659970887
ABCB10	0.304359974210935	0.063005638681748	0.132961767470617	0.132961767470617	0.0594411595156311
ABCB11	-1.19762451870903	3.48933703913782e-05	0.000172271913313812	0.000172271913313812	7.70149380092455e-05
ABCB4	-0.462376045795559	0.0810902741699908	0.163937439210299	0.163937439210299	0.0732889736655835
ABCB5	0.0903050597201444	0.393870594824666	0.560027577281989	0.560027577281989	0.250362861352062
ABCB6	-0.790357680048862	1.00630036272799e-23	3.21939445569129e-22	3.21939445569129e-22	1.43924485229766e-22
ABCB7	-0.162720987872234	0.302046088477245	0.462123736081551	0.462123736081551	0.206594506337721
ABCB8	-0.0695743259200454	0.325987478793174	0.488646648265073	0.488646648265073	0.218451694188869
ABCB9	0.0950603439573536	0.176931310857656	0.307092931400763	0.307092931400763	0.137287283922045
ABCC1	-0.160104022843915	0.00906655132537083	0.0259196229518317	0.0259196229518317	0.0115874846715265
ABCC10	-0.140622741055798	0.0897134053558915	0.178069765582315	0.178069765582315	0.079606894088773
ABCC11	0.115015292313698	0.415902855059963	0.582319469288691	0.582319469288691	0.260328552496837
ABCC12	-0.010945047917315	0.897047295103562	0.939968672822199	0.939968672822199	0.420217246534931
ABCC2	-0.44086213688816	0.00401254903965838	0.0126467955845566	0.0126467955845566	0.00565380716580302
ABCC3	-0.0371722394422059	0.817067702650885	0.886679082732899	0.886679082732899	0.396393894263981
ABCC4	-0.0341921289248095	0.83077289313364	0.895786192018528	0.895786192018528	0.400465268660332
ABCC5	-0.10865977473064	0.0673910349030878	0.140783559979137	0.140783559979137	0.062937927233463
ABCC6	1.07609058228667	3.46944464685856e-07	2.36688839515176e-06	2.36688839515176e-06	1.05812816216514e-06
ABCC8	-1.34186374596583	0.00793914283345765	0.0230901892693948	0.0230901892693948	0.0103225735466514
ABCC9	0.113204106423322	0.532710205921249	0.6912926383878	0.6912926383878	0.309045500613336
ABCD1	-0.138306148721271	0.122897015641812	0.229966385329754	0.229966385329754	0.10280751266818
ABCD2	-0.376368639458769	0.128753618829695	0.238363214942652	0.238363214942652	0.106561353324338
ABCD3	-0.347914904766247	7.25157993444137e-05	0.000338138635699271	0.000338138635699271	0.000151166406444168
ABCD4	0.657569087380641	1.74176482370696e-24	5.77015423648561e-23	5.77015423648561e-23	2.57957354903944e-23
ABCE1	-0.229306290545952	0.0422468751701402	0.095553260888456	0.095553260888456	0.0427175174545164
ABCF1	-0.288048884661161	4.62947086367774e-05	0.000223438484558423	0.000223438484558423	9.98891851035538e-05
ABCF2	-0.195434616050724	0.0299858089590628	0.0717336059359662	0.0717336059359662	0.0320688329749638
ABCF3	-0.20704500162078	0.00701256292099401	0.0207803470044134	0.0207803470044134	0.00928994811499083
ABCG1	-0.825503330843323	2.88797678074161e-14	4.40967800084874e-13	4.40967800084874e-13	1.97136649465001e-13
ABCG2	-0.498747701449426	0.00150782372826604	0.0052788236687173	0.0052788236687173	0.00235992199649765
ABCG4	0.295526739207585	0.11333275205074	0.215113222222198	0.215113222222198	0.0961673389221212
ABCG5	-0.81953450397311	0.0145988059356549	0.0393266310337225	0.0393266310337225	0.0175811482725999
ABCG8	0.324018609496529	0.195424999340797	0.33195371044984	0.33195371044984	0.148401407637839
ABHD1	-0.787804696016771	0.0228316045923064	0.0571334372366476	0.0571334372366476	0.025541761523367
ABHD10	0.40919212355883	0.00804215160198853	0.0233614628687304	0.0233614628687304	0.0104438476361678
ABHD11	-0.435424349656087	0.00465894695146998	0.0144535783149039	0.0144535783149039	0.006461537557236
ABHD12B	-0.223302029014278	0.329364351086443	0.492872740631495	0.492872740631495	0.220340987895316
ABHD13	0.0355529760597373	0.810140078267966	0.88188739076644	0.88188739076644	0.394251746698208
ABHD14A	-0.402452591427645	1.32950139674798e-06	8.33531372145543e-06	8.33531372145543e-06	3.72633969866077e-06
ABHD14A-ACY1	-0.657819116678871	3.31057406415007e-18	7.08336330974071e-17	7.08336330974071e-17	3.16664960470319e-17
ABHD14B	2.17175391350908	1.51588789463174e-66	2.73772613744459e-64	2.73772613744459e-64	1.22391285210554e-64
ABHD15	-0.0141952013738068	0.913450688038956	0.950529821696875	0.950529821696875	0.424938655905987
ABHD16A	0.297870560832999	0.00232843299634215	0.00777811467910953	0.00777811467910953	0.00347724134664496
ABHD17A	-0.0237421203661869	0.79145826458983	0.874486581139508	0.874486581139508	0.390943181281638
ABHD17B	0.118689006805891	0.395040643574878	0.561060599482805	0.561060599482805	0.250824678599155
ABHD17C	0.102522530827393	0.476874979555629	0.640050515951442	0.640050515951442	0.286137478017049
ABHD18	-0.246448783166108	0.0504545591056403	0.110775787547495	0.110775787547495	0.0495228168468461
ABHD2	-0.0492712186681841	0.731588719226558	0.844810184127141	0.844810184127141	0.377676213774974
ABHD3	0.352250713539789	0.0430635361679282	0.0971648513536434	0.0971648513536434	0.0434379862609817
ABHD4	-0.459299190142817	2.12806249295598e-12	2.71190725581857e-11	2.71190725581857e-11	1.21237040429936e-11
ABHD5	-0.240429698353388	0.107803364903733	0.206155677664022	0.206155677664022	0.0921628281136395
ABHD6	1.01135523691188	1.20103732518384e-05	6.41418852584669e-05	6.41418852584669e-05	2.86749199097733e-05
ABHD8	-0.166731029640859	0.0821480404010608	0.165696948069679	0.165696948069679	0.0740755700591872
ABI1	0.0760777617899049	0.44545542403158	0.611363727899528	0.611363727899528	0.273312919672022
ABI2	-0.064573808140503	0.239186499906712	0.387627986533494	0.387627986533494	0.173290844568174
ABI3	-0.399143906714516	0.0417402561888178	0.0945729587140677	0.0945729587140677	0.0422792689336835
ABI3BP	1.42029941393463	1.19179420398988e-12	1.55898562696371e-11	1.55898562696371e-11	6.96951575612929e-12
ABL1	-0.121325156605644	0.0205493678892744	0.0522633529782333	0.0522633529782333	0.0233645683289178
ABL2	0.192737146625985	0.0153574831641259	0.0410347259345623	0.0410347259345623	0.0183447598235
ABLIM1	-0.210460091196969	0.162388080832298	0.28686056012403	0.28686056012403	0.128242310834533
ABLIM2	0.90312468887686	0.0014328932400034	0.0050465243990558	0.0050465243990558	0.00225607155733764
ABLIM3	-0.222002988447611	0.102035898075615	0.197169229645424	0.197169229645424	0.0881453958824499
ABO	-1.41426458823447	1.52036845317868e-61	2.34276225133845e-59	2.34276225133845e-59	1.04734246045415e-59
ABR	0.00436780738929942	0.944804756426354	0.969858645453584	0.969858645453584	0.433579693988051
ABRA	0.246170256451547	0.307778543758602	0.468501760102364	0.468501760102364	0.209445830823156
ABRACL	0.458043675850302	9.75434977540302e-06	5.2952184495045e-05	5.2952184495045e-05	2.36725135739992e-05
ABRAXAS1	0.153872734220183	0.254079913956456	0.405889883470861	0.405889883470861	0.181454908190086
ABRAXAS2	-0.446210615012889	0.0211738586644626	0.0535596581518545	0.0535596581518545	0.0239440874197962
ABT1	0.525393930410588	2.83477934532698e-07	1.96018747979053e-06	1.96018747979053e-06	8.76310678500274e-07
ABTB1	-1.41826027315154	4.72818976121105e-63	7.63602646435584e-61	7.63602646435584e-61	3.41372016759376e-61
ABTB2	0.0721069391684826	0.523795407143966	0.683576265270528	0.683576265270528	0.305595861111159
ACAA1	-0.34447346557543	7.61350710972069e-06	4.20784683826485e-05	4.20784683826485e-05	1.88113696056213e-05
ACAA2	-0.118373227622048	0.187935590076269	0.321934336656911	0.321934336656911	0.143922201267453
ACACA	0.364220453971016	8.19033395867229e-07	5.31182746823495e-06	5.31182746823495e-06	2.37467649434369e-06
ACACB	0.0975493182145419	0.185805886421944	0.31877381699111	0.31877381699111	0.142509276656258
ACAD10	0.801388606883553	2.77223482895604e-23	8.67084845198244e-22	8.67084845198244e-22	3.87634201752057e-22
ACAD11	0.32679406685994	0.00037675905971056	0.00151569944117331	0.00151569944117331	0.000677600290477829
ACAD8	0.497613199839177	2.86089065782608e-06	1.70637498184825e-05	1.70637498184825e-05	7.6284265333596e-06
ACAD9	-0.00758743477121414	0.936396504602572	0.964653808347939	0.964653808347939	0.431252848019206
ACADL	0.110983768548414	0.602818005364255	0.748830058286963	0.748830058286963	0.334767864413138
ACADM	0.467206103273954	0.00188097729642313	0.0064291604946526	0.0064291604946526	0.00287418527734818
ACADS	0.143121272321668	0.151320825681139	0.27144981182745	0.27144981182745	0.12135286610784
ACADSB	-0.634397179048572	3.5407365546843e-09	3.17174459586547e-08	3.17174459586547e-08	1.41794276694873e-08
ACADVL	0.063596238199132	0.16644152118038	0.292851486124055	0.292851486124055	0.130920581398983
ACAN	0.223990810170999	0.334719919598285	0.498488718706579	0.498488718706579	0.222851636294083
ACAP1	0.317710450624142	0.07034236644623	0.145851210089204	0.145851210089204	0.0652034431354569
ACAP2	-0.146927359806602	0.127685431136117	0.237025254350377	0.237025254350377	0.105963211990149
ACAT1	-0.0739533153984538	0.577178562338217	0.728839270207705	0.728839270207705	0.325830892186706
ACAT2	-0.202059015439388	0.0199186805465649	0.0509602678537859	0.0509602678537859	0.0227820182303577
ACBD3	0.0248744126818262	0.763558207233561	0.857496900822071	0.857496900822071	0.383347867853727
ACBD4	0.064544224776631	0.662732296462979	0.792880664676416	0.792880664676416	0.354460887234412
ACBD5	-0.105681798132818	0.334655098505311	0.498480581278397	0.498480581278397	0.22284799842001
ACBD6	0.135283246685234	0.0841564282479425	0.168956654177916	0.168956654177916	0.0755328364180793
ACBD7	2.57255185919191	3.48016813304295e-15	5.67503921966888e-14	5.67503921966888e-14	2.53705195057931e-14
ACCS	1.48476879733191	7.98128922255309e-78	2.00080199674629e-75	2.00080199674629e-75	8.94467581999254e-76
ACCSL	0.0234153312048325	0.625866663287974	0.764840437916279	0.764840437916279	0.341925377039182
ACD	0.0589748729812352	0.540111596378662	0.69830762626249	0.69830762626249	0.312181582670547
ACE	0.148347313296541	0.317459792952957	0.478764613550263	0.478764613550263	0.214033885874521
ACE2	0.26136156861547	0.274524897947667	0.430163278844016	0.430163278844016	0.192306439376903
ACER1	-0.0595087806942545	0.540975431889248	0.69904780381688	0.69904780381688	0.312512482393958
ACER2	0.120795335862482	0.437506232152308	0.603959800373371	0.603959800373371	0.270002960384502
ACER3	0.153602962029006	0.319331440941483	0.480786662577992	0.480786662577992	0.214937852037819
ACHE	0.461461726959093	0.00129002259441664	0.00458954024482566	0.00458954024482566	0.00205177472431222
ACIN1	-0.0199000584379986	0.697702183136784	0.819780205049652	0.819780205049652	0.36648644842121
ACKR1	0.10514559729152	0.642605831515721	0.777207993971021	0.777207993971021	0.347454348910219
ACKR2	0.166642280048264	0.468431267736195	0.632610080638187	0.632610080638187	0.282811197758188
ACKR3	0.0132598342063486	0.858482288859364	0.914799424164566	0.914799424164566	0.408965220085467
ACKR4	0.0970978079025202	0.565757953328719	0.719829602614133	0.719829602614133	0.321803079539505
ACLY	-0.0625753345356386	0.262426950828644	0.416058435540674	0.416058435540674	0.186000805383867
ACMSD	0.000574428644358655	0.999795805998283	1	1	0.447054522863251
ACO1	-0.663623733299001	1.2895391955603e-13	1.83551697700261e-12	1.83551697700261e-12	8.20576166361297e-13
ACO2	-0.107499169378216	0.0518050599345758	0.113237608883542	0.113237608883542	0.0506233852096072
ACOD1	-4.54472178956002	0.00119218487742202	0.00427496524363369	0.00427496524363369	0.00191114254724964
ACOT1	0.321443688669664	0.197584406768329	0.334775314847257	0.334775314847257	0.149662818645435
ACOT11	-0.0459800614858677	0.64543753620037	0.779574921474285	0.779574921474285	0.348512494555843
ACOT12	0.0120490762682777	0.944551449893396	0.969664821979676	0.969664821979676	0.433493044327403
ACOT13	-0.00998429649571033	0.94519723858096	0.970031334425382	0.970031334425382	0.433656895373942
ACOT2	0.329599758621248	0.187632530403894	0.321513566686778	0.321513566686778	0.14373409414922
ACOT4	0.776849364727256	0.00976050286189018	0.0276454310401868	0.0276454310401868	0.0123590149830196
ACOT6	-5.55120529442339	2.60978669251833e-39	1.82641572031408e-37	1.82641572031408e-37	8.16507408394952e-38
ACOT7	-0.115452287289553	0.406013312565977	0.572673349711613	0.572673349711613	0.256016211111825
ACOT9	-0.0989425728786373	0.198326352103722	0.335622657732393	0.335622657732393	0.150041627114651
ACOX1	0.113719540179252	0.167179892165019	0.293749709049447	0.293749709049447	0.131322136020319
ACOX2	0.602651011881626	2.33969844482728e-07	1.63808149559479e-06	1.63808149559479e-06	7.32311741424249e-07
ACOX3	0.613063961009495	2.32163672191535e-12	2.94963769903859e-11	2.94963769903859e-11	1.31864887416315e-11
ACOXL	-0.0119327916169319	0.955043337230263	0.976199360523338	0.976199360523338	0.436414339338172
ACP1	-0.0377527922798122	0.701033564184158	0.822016178723619	0.822016178723619	0.36748605056516
ACP2	-0.313307886882692	9.93970129668932e-06	5.38887098060664e-05	5.38887098060664e-05	2.40911914500672e-05
ACP4	-0.122606055624828	0.453295561567216	0.618480731540538	0.618480731540538	0.276494608338969
ACP5	2.37547723297542	1.40585119103874e-05	7.42070289273621e-05	7.42070289273621e-05	3.31745879102213e-05
ACP6	1.04689767348031	3.29039068754123e-19	7.66510429791159e-18	7.66510429791159e-18	3.42671954459992e-18
ACP7	-0.125993538498621	0.358376233700425	0.523305755492784	0.523305755492784	0.23394620483342
ACPP	1.04119179825357	5.63011164553879e-05	0.000267581650250338	0.000267581650250338	0.000119623586979626
ACR	3.02788102764898	1.05580279900945e-05	5.69286157693829e-05	5.69286157693829e-05	2.54501951600468e-05
ACRBP	-2.17513562569998	7.78426741791769e-27	3.06193338527741e-25	3.06193338527741e-25	1.36885116859425e-25
ACRV1	0.243413684921647	0.242880289736577	0.392338229065603	0.392338229065603	0.175396579795936
ACSBG1	0.38884148958531	0.00213149644221549	0.00719176662182631	0.00719176662182631	0.00321511179566441
ACSBG2	-0.071324901000566	0.694912044973755	0.818265753461806	0.818265753461806	0.365809405989206
ACSF2	-0.449059444756753	1.61327624904694e-11	1.87909763377201e-10	1.87909763377201e-10	8.40059096079408e-11
ACSF3	-0.658298970278755	9.4187646058917e-19	2.10649228123245e-17	2.10649228123245e-17	9.41716901701493e-18
ACSL1	0.539739355986675	1.19910388186175e-09	1.13179531920864e-08	1.13179531920864e-08	5.05974216407679e-09
ACSL3	-0.251839054665926	0.000998273036505342	0.00363630317092685	0.00363630317092685	0.00162562577906483
ACSL4	-0.370406100042198	0.000187347693034432	0.00080622389244333	0.00080622389244333	0.000360426037557206
ACSL5	0.86269919983059	0.00013786887737378	0.000608419775189177	0.000608419775189177	0.000271996812297764
ACSL6	-2.70734079515429	1.39683382780432e-06	8.74114045149084e-06	8.74114045149084e-06	3.9077663738219e-06
ACSM1	1.26111048671176	0.00650645436562824	0.0194245303101834	0.0194245303101834	0.00868382412966181
ACSM2A	1.77432041188068	5.24462003537344e-05	0.000250465277549424	0.000250465277549424	0.000111971635148669
ACSM2B	-0.163309876749352	0.452557185476589	0.618026003969143	0.618026003969143	0.276291320321507
ACSM3	-0.704456970037676	6.31372181674939e-15	1.01188236292102e-13	1.01188236292102e-13	4.52366586949394e-14
ACSM4	0.0308204756244254	0.587443837248852	0.736034131276674	0.736034131276674	0.329047387368961
ACSM5	-0.165854746916558	0.195765425871285	0.332229573904627	0.332229573904627	0.148524733642994
ACSS3	0.447016239517346	4.4368971656869e-06	2.56177809538938e-05	2.56177809538938e-05	1.14525448411583e-05
ACTA1	-0.0395474232525201	0.819765003667691	0.888196113923404	0.888196113923404	0.397072089919021
ACTA2	-0.338420681467024	0.0751689207239205	0.154137125195821	0.154137125195821	0.0689076989599309
ACTB	0.0636550529762671	0.104939784595894	0.201643819022152	0.201643819022152	0.090145781301272
ACTC1	0.053300412022554	0.366250404780083	0.53200223114125	0.53200223114125	0.237834003605036
ACTG1	-0.0544571370283761	0.141655722817642	0.257487914531346	0.257487914531346	0.115111136773865
ACTG2	0.382359526481289	0.102597895087604	0.198027378291358	0.198027378291358	0.0885290351159035
ACTL6A	0.630078055815741	0.00061839429519086	0.00235913160363322	0.00235913160363322	0.00105466045343387
ACTL6B	-0.0321193741387514	0.576642557625783	0.728326695584498	0.728326695584498	0.325601743383096
ACTL7A	0.0321910529021338	0.618956920310979	0.76155596172758	0.76155596172758	0.340457037103787
ACTL7B	0.0399596460593034	0.702908952607786	0.823410431580442	0.823410431580442	0.368109357610818
ACTL8	0.0392812260250728	0.763437279207349	0.857434752551246	0.857434752551246	0.383320084188167
ACTN1	0.000954094306373112	0.985582344891199	0.995300689321343	0.995300689321343	0.444953674770018
ACTN2	0.0781424510111984	0.225075640332595	0.370044093091843	0.370044093091843	0.165429885475538
ACTN3	-2.70467019909134	3.04593118635552e-18	6.53253055789686e-17	6.53253055789686e-17	2.92039733165019e-17
ACTN4	0.118857626646754	0.0308695415200873	0.0734397761149272	0.0734397761149272	0.0328315840702428
ACTR10	-0.287550879254699	0.000537584198522344	0.00208287524760814	0.00208287524760814	0.000931158800003132
ACTR1A	0.0578415394227805	0.376457277635498	0.54223277893541	0.54223277893541	0.242407616267784
ACTR1B	-0.432719358714187	1.00590177721717e-11	1.20421427299641e-10	1.20421427299641e-10	5.38349437239525e-11
ACTR2	0.0999578661190288	0.131897329141985	0.243070829522578	0.243070829522578	0.108665913714191
ACTR3	0.129280274007495	0.0721684993475653	0.148802125588228	0.148802125588228	0.0665226632558829
ACTR3B	-0.0521634010738555	0.760995996416697	0.855924605842843	0.855924605842843	0.382644966271988
ACTR6	-0.0390368637079806	0.797418788119949	0.874486581139508	0.874486581139508	0.390943181281638
ACTR8	-0.0614478367678262	0.450120068224743	0.615803263492936	0.615803263492936	0.275297634138467
ACTRT3	-0.807888940477215	0.00151090928972844	0.00528802509486953	0.00528802509486953	0.00236403553567579
ACVR1	-0.514573792468735	1.36261417492614e-09	1.27857361352287e-08	1.27857361352287e-08	5.7159211673901e-09
ACVR1B	0.190925770101495	0.0246423004857779	0.0608165405680351	0.0608165405680351	0.0271883095258364
ACVR1C	-0.744226116302262	0.030827262762938	0.07338179761891	0.07338179761891	0.0328056645213694
ACVR2A	-0.298620705790549	0.0108524513618994	0.0303686093455756	0.0303686093455756	0.0135764241610068
ACVR2B	-0.171072536202083	0.021586791123285	0.054440201757762	0.054440201757762	0.0243377384213954
ACVRL1	-0.75885872077842	3.58661338406299e-09	3.20770811494793e-08	3.20770811494793e-08	1.43402042081262e-08
ACY1	-0.688262937267811	1.69950836687218e-15	2.86595808533987e-14	2.86595808533987e-14	1.28123952438769e-14
ACY3	-0.336876285749748	0.177471809374878	0.307840184886962	0.307840184886962	0.137621346972776
ACYP1	-0.242464828915123	0.28068903685996	0.437373880981528	0.437373880981528	0.195529971675045
ACYP2	-0.302564307216889	0.0449404808746621	0.100736729850637	0.100736729850637	0.0450348106981808
ADA2	-0.123712748864503	0.499403455303108	0.660783081398377	0.660783081398377	0.29540606517066
ADAD2	0.0246393691007914	0.836674657713691	0.899367547088435	0.899367547088435	0.402066329642313
ADAL	0.099378196502367	0.445202367965502	0.611192637423819	0.611192637423819	0.273236432901037
ADAM10	-0.0275924364796281	0.703648921927081	0.823735536619278	0.823735536619278	0.368254697288835
ADAM11	-0.406842631165658	2.13388300409854e-09	1.94892327008369e-08	1.94892327008369e-08	8.71274962604353e-09
ADAM12	-0.521373976169551	3.69607469847517e-15	6.02126776290872e-14	6.02126776290872e-14	2.69183498677903e-14
ADAM15	0.554766099108205	4.04708102404407e-13	5.49957709383853e-12	5.49957709383853e-12	2.45861081363565e-12
