gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	1.73560439703917	4.20140275453688e-15	1.69313122161788e-14	1.69313122161788e-14	4.06387768425257e-15
A1CF	-1.59042939202838	7.53934031076145e-11	2.39756452379437e-10	2.39756452379437e-10	5.75466853389733e-11
A2M	3.53836795296029	9.75656958487039e-05	0.000195945055574842	0.000195945055574842	4.70310114492676e-05
A2ML1	-1.05516709919433	0.0244348778160691	0.0370438714239415	0.0370438714239415	0.0088913228045152
A3GALT2	0.927491934990912	0.122293872051428	0.163987075203357	0.163987075203357	0.039360411462259
A4GALT	0.0266855770893582	0.935507194088225	0.951125909475997	0.951125909475997	0.228290596090979
A4GNT	1.26469306957764	0.0409724014410656	0.0598598537093755	0.0598598537093755	0.0143676473840996
AAAS	0.384118038059379	4.16828829406353e-12	1.43121136629608e-11	1.43121136629608e-11	3.43521391530511e-12
AACS	-0.538151953432163	7.86225938097499e-16	3.28417215771923e-15	3.28417215771923e-15	7.88271681048175e-16
AADAC	9.87646959927077	2.16997017963134e-17	9.76210190632905e-17	9.76210190632905e-17	2.34311360997887e-17
AADACL2	0.20936651042096	0.389920914373632	0.46422494479809	0.46422494479809	0.111423932743714
AADACL3	-2.26909471589028	0.0150762043389039	0.0236056735063086	0.0236056735063086	0.00566586739168229
AADACL4	1.43705415413493	0.0439519689470806	0.0638490626492002	0.0638490626492002	0.0153251429982247
AADAT	-0.870271928792349	5.71676247583044e-09	1.61188970712877e-08	1.61188970712877e-08	3.86888064353196e-09
AAGAB	-1.18214931952338	9.17688900842119e-33	7.23499374503206e-32	7.23499374503206e-32	1.73655350812368e-32
AAMDC	0.821405410362848	4.41573613239671e-12	1.51323221406454e-11	1.51323221406454e-11	3.63208152286786e-12
AANAT	0.823779248921984	0.122936581972057	0.164765497416635	0.164765497416635	0.0395472494710959
AARD	0.743132118678716	0.136025362369945	0.180647318642038	0.180647318642038	0.0433592268322794
AARS2	-0.459888461779632	5.29858334375178e-12	1.80759140728892e-11	1.80759140728892e-11	4.33860665289061e-12
AARSD1	-0.0891923998302445	0.384756614471741	0.459211656560325	0.459211656560325	0.110220636157245
AASDH	-0.96070685203695	8.22585018133325e-16	3.43244060861409e-15	3.43244060861409e-15	8.23859285905793e-16
AASDHPPT	-0.0080853534618448	0.924689885584459	0.942358363777853	0.942358363777853	0.226186197279273
AASS	-0.867915977576691	9.23339623422655e-15	3.64610185706327e-14	3.64610185706327e-14	8.75142563213294e-15
AATF	-0.500624501942236	1.94692349855359e-06	4.53132260741116e-06	4.53132260741116e-06	1.08761450909936e-06
AATK	0.925562173275555	1.86981925704311e-26	1.19448984209981e-25	1.19448984209981e-25	2.86703153978655e-26
ABAT	1.83564023478112	1.2680928885995e-115	4.31586046496798e-114	4.31586046496798e-114	1.03589897864926e-114
ABCA1	0.627727589615334	8.91116051265085e-10	2.65729803354733e-09	2.65729803354733e-09	6.37808460505633e-10
ABCA10	3.59282603571041	9.99733892331031e-11	3.15460998306718e-10	3.15460998306718e-10	7.57173983269704e-11
ABCA13	-0.244082755349647	0.575260867024542	0.643388658116112	0.643388658116112	0.154427062512073
ABCA2	1.05746902432286	7.2163355804201e-33	5.70345289483824e-32	5.70345289483824e-32	1.36895089090442e-32
ABCA3	-0.897435293613191	8.00120494717399e-12	2.70002444650496e-11	2.70002444650496e-11	6.48063715026351e-12
ABCA4	0.345851411481012	0.286354559998529	0.354961735814742	0.354961735814742	0.0851984216298768
ABCA5	1.00223413501609	1.64797260327242e-06	3.85813471150566e-06	3.85813471150566e-06	9.26034991070918e-07
ABCA6	0.402218354537236	0.30506417652809	0.375024365514538	0.375024365514538	0.0900138825984906
ABCA7	-1.77320989276591	3.7654814082666e-115	1.27067009560487e-113	1.27067009560487e-113	3.04988046977326e-114
ABCA8	7.80931678074874	8.59408169137235e-95	2.18901176927359e-93	2.18901176927359e-93	5.25409724074232e-94
ABCA9	5.75276041260016	5.78252651450498e-67	9.64401641359309e-66	9.64401641359309e-66	2.3147705617475e-66
ABCB1	5.33579007946702	2.38798135334667e-34	1.98715055654932e-33	1.98715055654932e-33	4.76958708155781e-34
ABCB10	-0.727024954209772	1.50132610473611e-17	6.79637627703665e-17	6.79637627703665e-17	1.6312759184513e-17
ABCB4	0.267508220147925	0.31042319146632	0.380699552867723	0.380699552867723	0.0913760491538107
ABCB5	0.869835066738918	0.119089896593706	0.160157218257597	0.160157218257597	0.0384411637408165
ABCB7	-0.233263247730143	0.00113885779664479	0.00205436452387609	0.00205436452387609	0.000493091500369508
ABCB8	0.396224085577756	4.8368326374725e-06	1.0912223980126e-05	1.0912223980126e-05	2.61916754898802e-06
ABCB9	0.184980525394674	0.0345933600642926	0.0512372439532072	0.0512372439532072	0.0122980363037117
ABCC1	-0.0395686718581031	0.525419839378903	0.597226841671192	0.597226841671192	0.143347237551087
ABCC10	-0.778091275701084	4.6808064759796e-22	2.5408722038668e-21	2.5408722038668e-21	6.09863766965744e-22
ABCC11	0.299258231194884	0.250017569803624	0.314107916722694	0.314107916722694	0.0753926297571109
ABCC12	-3.90157638689081	7.60592172812245e-05	0.000154174875585739	0.000154174875585739	3.70052733282303e-05
ABCC2	2.94802531140333	1.40657794426755e-13	5.22828574513294e-13	5.22828574513294e-13	1.25490059454688e-13
ABCC3	3.2267423260956	6.45881106600375e-33	5.11491495182181e-32	5.11491495182181e-32	1.22768917518962e-32
ABCC4	-2.39650000680339	4.53792678442012e-99	1.23927505689989e-97	1.23927505689989e-97	2.9745256505127e-98
