gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	1.08877580701538	4.59395684804193e-07	1.09584796852437e-06	1.09584796852437e-06	2.82506941905157e-07
A1CF	5.32787960222465	5.23164351589936e-33	3.69892090932849e-32	3.69892090932849e-32	9.53572817085713e-33
A2M	8.65958289424078	1.54552266684757e-137	7.18261323592843e-136	7.18261323592843e-136	1.85166022883815e-136
A2ML1	2.87610924007957	0.000834412053253909	0.00150654835560805	0.00150654835560805	0.000388384503142517
A3GALT2	0.344693827716766	0.512623123090887	0.58226484087805	0.58226484087805	0.150106460293806
A4GALT	1.2769218418654	0.00502238784329001	0.00826525495767772	0.00826525495767772	0.00213076263243359
A4GNT	2.65086286416219	0.00284261183271512	0.00482903724552952	0.00482903724552952	0.00124491406085982
AAAS	0.204984828509105	0.147913673097952	0.193358002035529	0.193358002035529	0.0498472228054635
AACS	0.469543183291746	1.17671273026475e-05	2.51650593848599e-05	2.51650593848599e-05	6.48749112456869e-06
AADAC	9.67962558612247	2.44439554409556e-16	9.79113477264487e-16	9.79113477264487e-16	2.5241307387975e-16
AADACL2	0.169746268277096	0.470189044620433	0.541456649412923	0.541456649412923	0.139586207752738
AADACL3	0.0193261309760284	0.798475289906437	0.844994091335835	0.844994091335835	0.217837422277346
AADACL4	4.75968178218678	0.00312108629561409	0.00527841515029691	0.00527841515029691	0.00136076259211779
AADAT	-0.971182253863725	1.75802207389807e-14	6.45460911123489e-14	6.45460911123489e-14	1.66398253551865e-14
AAGAB	-1.04161720207229	7.85486943222541e-11	2.395803008171e-10	2.395803008171e-10	6.17632190491683e-11
AAMDC	2.23428848419533	2.50935552121922e-49	2.66780579627146e-48	2.66780579627146e-48	6.8775384793237e-49
AANAT	0.910929296924619	0.120333051630075	0.160195453774053	0.160195453774053	0.0412979984931279
AARD	1.58192225447871	0.00748927801801446	0.012070024824409	0.012070024824409	0.0031116230533828
AARS2	-0.233902316922884	0.0425974871106556	0.061287631043429	0.061287631043429	0.0157998022718475
AARSD1	-0.60933639212412	1.12503592166832e-07	2.79351990923235e-07	2.79351990923235e-07	7.20162640599773e-08
AASDH	-0.938463080401811	2.11967087757946e-09	5.90431982619135e-09	5.90431982619135e-09	1.52211929577549e-09
AASDHPPT	-1.52254542976716	4.22448923318145e-22	2.14380689247082e-21	2.14380689247082e-21	5.5266820455274e-22
AASS	1.90425396188523	3.38509477527552e-18	1.46921617581183e-17	1.46921617581183e-17	3.78760357958322e-18
AATF	0.127202509735701	0.344176460664909	0.413918028587172	0.413918028587172	0.106707061393775
AATK	-0.847022921936201	3.51094305227377e-05	7.21527396855952e-05	7.21527396855952e-05	1.86008008630105e-05
ABAT	-1.2285378493044	8.95488383134613e-14	3.1720286074307e-13	3.1720286074307e-13	8.17741262711476e-14
ABCA1	2.32271279963137	2.2594569503853e-57	2.8752448974719e-56	2.8752448974719e-56	7.41231143866589e-57
ABCA10	1.85209303744031	0.000606261084567452	0.00110987257292272	0.00110987257292272	0.000286122450820454
ABCA13	4.6611310715148	2.08929716266507e-07	5.08534289485431e-07	5.08534289485431e-07	1.31098903408924e-07
ABCA2	0.114011191539468	0.510470756369368	0.580110267534301	0.580110267534301	0.149551016524291
ABCA3	-3.59505872200356	9.72021461056639e-137	4.43945663851558e-135	4.43945663851558e-135	1.14448112757504e-135
ABCA4	7.34675930939354	4.70309869544197e-14	1.69081770335568e-13	1.69081770335568e-13	4.35888692970182e-14
ABCA5	-0.583564801903458	2.00114758667763e-05	4.20661813816349e-05	4.20661813816349e-05	1.08445592829414e-05
ABCA6	2.55304301226109	4.62466549342727e-06	1.02359606395395e-05	1.02359606395395e-05	2.63880576575943e-06
ABCA7	-1.05025834787988	2.61621109103246e-10	7.71609929131006e-10	7.71609929131006e-10	1.98919163682885e-10
