gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	2.0342060292349	5.89138141248968e-61	2.05345649495857e-59	2.05345649495857e-59	5.91494129220839e-60
A1CF	-1.99731885684597	0.00487492540164223	0.00965027579196682	0.00965027579196682	0.00277974307725741
A2M	3.11373984483621	1.90498482304323e-07	6.76750754972041e-07	6.76750754972041e-07	1.94936732039121e-07
A2ML1	-1.6148985185616	7.8138151151868e-05	0.000206026505376209	0.000206026505376209	5.93455321274639e-05
A3GALT2	1.27746080277587	0.0334902869225364	0.0561729232109322	0.0561729232109322	0.0161805007225681
A4GALT	0.763477624287117	0.0361147265510859	0.0601180837665437	0.0601180837665437	0.0173168965085061
A4GNT	1.99779262809484	0.00220487933985189	0.00463979243050521	0.00463979243050521	0.00133648313961601
AAAS	0.561966155974238	0.0011799547950434	0.00260583597504791	0.00260583597504791	0.00075060595865431
AACS	-0.0440173614879562	0.543082834689773	0.630192238812661	0.630192238812661	0.181525642473251
AADAC	1.21930821519013	0.0564043260791593	0.0897118341541237	0.0897118341541237	0.0258413184569894
AADACL2	0.325518568483373	0.423700358568797	0.515840176108193	0.515840176108193	0.148586754349717
AADACL3	-0.507346077736777	0.237507431915787	0.317404236874965	0.317404236874965	0.0914276699614957
AADACL4	3.24102385724157	0.000545511425157875	0.00127045596695545	0.00127045596695545	0.000365952357760027
AADAT	-0.0698873647465083	0.656069590779324	0.729813135207627	0.729813135207627	0.210221246938214
AAGAB	-1.03154168978518	2.6273843938702e-15	1.73420463273143e-14	1.73420463273143e-14	4.99534254388437e-15
AAMDC	0.439516584303986	9.70523977895709e-06	2.8497151495796e-05	2.8497151495796e-05	8.20854878136596e-06
AANAT	1.7029448375286	0.00644951291065566	0.012501043683166	0.012501043683166	0.00360090119555959
AARD	-2.37737400251054	3.6120289716865e-05	9.91872641257519e-05	9.91872641257519e-05	2.85706975374916e-05
AARS2	-0.225886725319124	0.0165171912930095	0.0295003124253871	0.0295003124253871	0.00849750732612869
AARSD1	0.410646015360428	8.44709744375623e-05	0.000221657861599904	0.000221657861599904	6.38481137311035e-05
AASDH	-0.967510377796785	1.61989856835131e-10	7.5792369282825e-10	7.5792369282825e-10	2.18318438109561e-10
AASDHPPT	-0.398558353757781	0.000629080823523832	0.00144970430753774	0.00144970430753774	0.00041758449186528
AASS	0.400199608486855	0.119774506264202	0.17444295817495	0.17444295817495	0.0502479530965085
AATF	0.010398287213168	0.905309452036515	0.931329858921752	0.931329858921752	0.268267745273757
AATK	0.188811034803324	0.307565381801673	0.395633229067318	0.395633229067318	0.113961378238366
ABAT	0.656093921189861	0.0138096161703736	0.0250223532872359	0.0250223532872359	0.00720763995001918
ABCA1	0.520404534118492	0.0404173102383862	0.0664796366479262	0.0664796366479262	0.0191493293802536
ABCA10	1.17254904287429	0.00134052587077693	0.0029266920590836	0.0029266920590836	0.000843027926442689
ABCA13	-0.472058713133414	0.223244652589655	0.300673714791965	0.300673714791965	0.0866084757807622
ABCA2	0.850729582107396	3.35710684163343e-19	2.81869287590712e-18	2.81869287590712e-18	8.11918972848412e-19
ABCA3	-0.826780305866746	2.36713068672818e-07	8.32187019129789e-07	8.32187019129789e-07	2.39709844078771e-07
ABCA4	-3.09920540354366	2.09622701364634e-11	1.05468287923061e-10	1.05468287923061e-10	3.03799341639922e-11
ABCA5	-0.0707831780550467	0.639883490457734	0.716498255316645	0.716498255316645	0.206385921813902
ABCA6	-0.215094679528818	0.392777088063927	0.485141361337276	0.485141361337276	0.139744020765823
ABCA7	-1.17610466712048	1.06716268025669e-31	1.6077235677725e-30	1.6077235677725e-30	4.63101630875602e-31
ABCA8	4.44824564905892	2.42969008042563e-36	4.34881690746452e-35	4.34881690746452e-35	1.25266820901091e-35
ABCA9	4.24084608812202	4.05231965837086e-79	2.03178450000462e-77	2.03178450000462e-77	5.85251553439351e-78
ABCB1	3.7029833860878	5.94764725013655e-34	9.80621425245542e-33	9.80621425245542e-33	2.82466084596845e-33
ABCB10	-1.05407171115774	1.16696675805064e-06	3.82270602894823e-06	3.82270602894823e-06	1.10112299890999e-06
ABCB4	-0.514434872366635	0.0413514144202417	0.0678265614855854	0.0678265614855854	0.0195373084467365
ABCB5	0.13704047184314	0.786525466405419	0.838432982095756	0.838432982095756	0.241508981501342
ABCB7	-0.0222653993050895	0.779384722491754	0.832496020113168	0.832496020113168	0.23979885120799
ABCB8	0.715225847970562	1.22247230368749e-06	3.99489777403838e-06	3.99489777403838e-06	1.15072249447816e-06
ABCB9	0.415218669151584	0.00892494256391285	0.0168112155855453	0.0168112155855453	0.0048424377864
ABCC1	0.194264055514587	0.0169000017470639	0.0301232059849539	0.0301232059849539	0.00867693059831285
ABCC10	-0.793868669686416	8.44962051580505e-06	2.5013646578172e-05	2.5013646578172e-05	7.20513199949344e-06
ABCC11	-0.494935514519107	0.00491481922763295	0.00972682565110175	0.00972682565110175	0.0028017931145395
ABCC12	-0.660092596939313	0.220678345420847	0.297873598481439	0.297873598481439	0.0858019077512576
ABCC2	0.782809995163807	8.08984834294655e-05	0.00021270479662993	0.00021270479662993	6.12692008681947e-05
ABCC3	-1.24664566436472	0.00864959626744471	0.0163273970397585	0.0163273970397585	0.00470307480006761
ABCC4	-1.70288235558678	2.48453963411516e-25	2.83687305636683e-24	2.83687305636683e-24	8.17155738290726e-25
ABCC5	0.210606300131066	0.219938643551255	0.297051733565911	0.297051733565911	0.0855651711689435
ABCC6	-0.956674998478082	2.45712173132261e-19	2.08174268644145e-18	2.08174268644145e-18	5.99641911382873e-19
ABCC8	-2.53698487169797	0.000979529756290695	0.00219184090475634	0.00219184090475634	0.000631355487945521
ABCC9	1.20900852494532	0.00140380484594535	0.00305393843710039	0.00305393843710039	0.000879680996885784
ABCD1	0.804254600795146	1.02441112093749e-18	8.39277853411362e-18	8.39277853411362e-18	2.41752345032225e-18
ABCD2	0.348451074779598	0.240154687376194	0.320354058007321	0.320354058007321	0.0922773601722812
