gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	1.45912641268621	6.28044155141932e-05	0.000334291945283026	0.000340919870280938	0.000158315930692605
A1CF	5.1614261731853	7.96953242512343e-09	8.64336554248773e-08	8.81473544641001e-08	4.09337550450641e-08
A2M	4.73916314013557	2.96325453836341e-31	1.93231472721313e-29	1.97062626078444e-29	9.15116887338614e-30
A2ML1	-4.79137211646973	1.41485929457568e-12	2.34082612589829e-11	2.38723711549743e-11	1.10858209998866e-11
A3GALT2	0.0817404491297335	0.86278938317076	0.912993789836794	0.923881591060841	0.4290309444798
A4GALT	-1.53466112823639	3.02208670790523e-10	3.87647912285621e-09	3.95333713048936e-09	1.83584560981821e-09
A4GNT	0.89576058522858	0.134359633258687	0.236663074631174	0.241355335783631	0.112080280274435
AAAS	-0.132979759278105	0.576117371420482	0.701742026853318	0.712814066741175	0.331015679121064
AACS	-0.128301232454808	0.297028432309301	0.436222023891864	0.444870891738036	0.206588572280981
AADAC	2.82746903353821	1.53221929012609e-06	1.15583918860673e-05	1.1787557307485e-05	5.47389069516272e-06
AADACL2	-8.06437379890984	3.36501534642996e-25	1.49839326211746e-23	1.52810154046165e-23	7.09617827120581e-24
AADACL3	-0.0511659791334463	0.734854285668116		0.834388770996502	0.387472383850535
AADACL4	1.88452063007676	0.0198988226647099	0.0499715035819375	0.0509622764152271	0.0236657963475166
AADAT	-0.510700656871771	0.0559429673859773	0.117561293356506	0.119892152493315	0.0556753635072005
AAGAB	-0.587578203008607	0.00190861238619997	0.00684596640711772	0.00698169971605576	0.00324215273064846
AAMDC	0.737120112191494	7.67898396959524e-05	0.000400927856502988	0.000408876955486589	0.000189873754478656
AANAT	-0.134297260081704	0.785474071017936	0.859022465673614	0.870495918627938	0.404239774607827
AARD	-0.269210462275444	0.59294424904277	0.715474927338399	0.726790896756993	0.337506221459541
AARS2	-0.705194411947917	7.0806616868457e-06	4.69983442885393e-05	4.7930169016493e-05	2.22577502151661e-05
AARSD1	0.277852076354967	0.1605313570239	0.272595467336836	0.278000151289809	0.129097352547573
AASDH	-1.18983740214144	4.08611309669784e-06	2.85697948012723e-05	2.91362411659558e-05	1.35302501824588e-05
AASDHPPT	-0.292137251808127	0.0686115161040001	0.138422068411759	0.141166529055919	0.0655547311211744
AASS	-0.301301761916254	0.336259119585892	0.476930579684075	0.486209585687098	0.225785381785717
AATF	-0.176001798730249	0.321767939139339	0.461849540669644	0.471006519050582	0.218725401263144
AATK	-0.852457760177284	0.00245600418644983	0.00851542274656742	0.00868425595982949	0.00403278360841873
ABAT	0.292058889886064	0.424186537682422	0.565811981323223	0.576487458736589	0.267708504310084
ABCA1	0.512232005226133	0.0272648329247639	0.0650325101212804	0.0663218938638197	0.0307984757347652
ABCA10	0.529021919521504	0.31040898955028	0.449978988200271	0.458900612027918	0.213103675736873
ABCA13	-0.623626273025893	0.239168840646033	0.3699698641656	0.377305166573503	0.175212487767253
ABCA2	0.528605407903449	0.00189087518243331	0.00679642290549428	0.00693117392748964	0.00321868962996668
ABCA3	-0.840336525940411	0.0355895613467544	0.0810555770260364	0.0826626462144256	0.0383867732853647
ABCA4	-4.6014824996613	5.86987666161559e-10	7.27202128547527e-09	7.41620188074071e-09	3.44392628680218e-09
ABCA5	-0.825357905926393	2.12877754696023e-05	0.000125575314418529	0.000128065065599493	5.94706903791956e-05
ABCA6	2.44880947440928	0.000239887982820488	0.00111203278175411	0.00113408078493422	0.000526642975663186
ABCA7	-1.24780702640366	0.000277734757895057	0.00126305695996337	0.00128809928274994	0.00059816588750015
ABCA8	4.2243194229265	5.73161525578354e-13	9.83779997372098e-12	1.00328516382625e-11	4.65904273430426e-12
ABCA9	4.90884325311319	1.30179126150912e-20	4.0821764206478e-19	4.16311273851627e-19	1.93326093675126e-19
ABCB1	0.415827863239589	0.324257403534671	0.464352810262598	0.473559420360201	0.219910914288435
ABCB10	-0.651895111393592	0.000243623852119984	0.00112700437378746	0.00114934921507718	0.00053373330960678
ABCB4	2.64415236425933	1.52321172639291e-06	1.14960071456821e-05	1.17239356800431e-05	5.44434616567445e-06
ABCB5	-1.17646296885847	0.0767238986334985	0.151493976967322	0.15449761115936	0.0717454018749984
ABCB7	0.0279911168891224	0.863644875801722	0.913526903038539	0.924423978449226	0.429282817637318
ABCB8	-0.171655934414243	0.410272784039062	0.552406163218037	0.56296949231778	0.261431048458357
ABCB9	-0.183228822606777	0.265216217515936	0.400522747091653	0.408463814069601	0.189681900399033
ABCC1	-0.292238150962232	0.260337943407432	0.394800705264651	0.402628322712632	0.186972022431327
ABCC10	-0.854867013836226	5.12321987675418e-05	0.000277626501318546	0.000283130934357201	0.000131479978986527
ABCC11	-0.554842162416636	0.0934991385530641	0.177421837691573	0.180939537264668	0.0840244694964233
ABCC12	0.0354684676611114	0.637966857928396	0.750563409135204	0.762107872222016	0.353906673082926
ABCC2	2.46772156432326	4.81945297714319e-27	2.39207562575721e-25	2.43950272671063e-25	1.13285313727264e-25
ABCC3	4.58291806423624	2.4413048848611e-11	3.54261979800375e-10	3.61285845809892e-10	1.6777345620343e-10
ABCC4	-0.672794836560328	0.00660416647201654	0.0198967590308095	0.0202912472271856	0.00942282327820432
ABCC5	0.119387905179189	0.526376208200705	0.660619520438717	0.671446505067577	0.311805464059553
ABCC6	2.04612377841893	4.10261602179588e-14	7.87429442114394e-13	8.03041613921474e-13	3.72915431383051e-13
ABCC8	-0.809381827432515	0.155229666119426	0.265414629344076	0.270676940570725	0.125696609376767
ABCC9	3.66332971655285	7.04267652944517e-07	5.6490022496862e-06	5.76100364173965e-06	2.67528745835175e-06
ABCD1	0.577276790930118	0.000129757325719948	0.000639958202957401	0.00065264649841546	0.000303075141160789
ABCD2	-0.181978438259808	0.675522886974419	0.779334087904088	0.791096431297629	0.367368342846296
ABCD3	-0.762909656506688	0.000354600544062858	0.00156070304411738	0.00159164672333665	0.000739126857379206
ABCD4	-0.17939136143796	0.43356819487347	0.574149062545929	0.584985814033866	0.271654959608029
ABCE1	-0.118695489530964	0.452267539937141	0.591423863896655	0.602189853376972	0.279644149261397
ABCF1	-0.276821427360226	0.0799493842010973	0.156691543356904	0.159798228432123	0.0742068957037132
ABCF2	-0.159130390956647	0.224953939221245	0.35277793748874	0.359772379752713	0.167070634783204
ABCF3	-0.569273057154667	0.00155499937295501	0.0057143752010148	0.00582767272665571	0.00270624716222062
ABCG1	-0.384394379728638	0.195132563104825	0.316851531151145	0.323133669304864	0.150056397569198
ABCG2	2.23296903088353	5.92941449875202e-19	1.65312924799732e-17	1.68590543905482e-17	7.82898598499827e-18
ABCG4	2.04166564052354	0.000152831184279034	0.000742942609790626	0.000757672752005916	0.000351847097663732
ABHD10	-0.470695925310449	0.00160459548489148	0.00587585071241393	0.00599234977369951	0.00278271967743355
ABHD11	-2.12438066131995	8.17111741476012e-21	2.5989156103885e-19	2.65044367735097e-19	1.23080962450903e-19
ABHD12B	0.388045899427296	0.466112135923767	0.604708036158487	0.61572359444584	0.285928930524821
ABHD13	-0.307948363927664	0.188142027193829	0.308060191145899	0.314168025542054	0.145892943454899
ABHD14A	0.720734470150765	0.0014790349449533	0.00547134099622531	0.00557981994186751	0.00259114960493784
ABHD14A-ACY1	1.18425068907005	0.000115356703642673	0.000577153844709811	0.000588596933449966	0.000273331886595977
ABHD14B	0.446933864301883	0.0162748390281518	0.0422738943756244	0.0431120485855742	0.0200203176490285
ABHD15	-0.549437757784356	0.00639725183068208	0.0193669715969658	0.0197509558268961	0.0091719234529417
ABHD16A	-0.431585980098279	0.0308145209444241	0.0721304158784695	0.0735605280700926	0.034159943373378
ABHD17A	-0.178123527880322	0.477445805977272	0.615025447044361	0.626235979793785	0.290810658506202
ABHD17B	-0.514120815550398	0.0206492052454109	0.0514579251278747	0.052478168879207	0.0243697445394103
ABHD17C	-0.734857649105818	0.000390881735790001	0.00170321237885891	0.00173698155595659	0.000806617259946003
ABHD18	-0.367321320461006	0.144035705365537	0.250395590420735	0.255360122819837	0.118583805258068
