gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.062862884137691	0.749288738593238	0.826474378591142	0.856647660625094	0.38850127653244
A1CF	-0.987782796837794	3.8180229450251e-11	3.33884394424533e-10	3.54515415270969e-10	1.60777525829812e-10
A2M	-1.74551971700071	3.19631526299044e-25	7.74312335681893e-24	8.22157800177589e-24	3.72859659299161e-24
A2ML1	-0.197045936543337	0.487970648104815	0.611030586811399	0.645419497433429	0.292706453513039
A3GALT2	-0.00360432450712058	0.993066185269141		1	0.45351349730991
A4GALT	0.741957512108453	0.000356248835924056	0.0012231157766838	0.0012986932145867	0.000588974901679866
A4GNT	4.5139107964189	0.00102953281670856	0.00323694910791419	0.00343696314163186	0.00155870917448672
AAAS	-0.539191274899009	1.89775178410933e-11	1.70841463265376e-10	1.8139791288962e-10	8.226640187929e-11
AACS	-0.308763936737437	0.000128029889271501	0.000479221281795751	0.000508832801291367	0.000230762543259647
AADACL3	-3.71587910159829	0.00528714475955939	0.0140042012553287	0.0148695336064688	0.00674353418923692
AADACL4	0.0428505779556325	0.722283837116667	0.80684162558049	0.836687535792838	0.379449090513021
AADAT	-0.684685614123783	1.70545038258068e-09	1.25939043775287e-08	1.33720932000361e-08	6.06442475350243e-09
AAGAB	0.147050257178705	0.0581146238635689	0.112389518643305	0.119334169369037	0.0541196564991249
AAK1	-0.562463368220354	1.28805964065912e-08	8.5839463707488e-08	9.11435623559091e-08	4.13348357213122e-08
AAMDC	0.0832588265499224	0.635812133856799	0.738263255455487	0.769505954360917	0.34898133656302
AAMP	0.0576640014249776	0.464453423803909	0.589052748944377	0.622364582212567	0.282250738281042
AANAT	-0.126590421345805	0.56293067834745	0.678063736326326	0.712099785171861	0.322946864006926
AARD	0.747015891684605	0.0220562784875877	0.0492063493042837	0.0522468544468598	0.0236946536836372
AARS2	0.554725910156837	5.09359390372448e-08	3.17226181604813e-07	3.36827876308168e-07	1.52755988175987e-07
AARSD1	-0.14511059906578	0.110367122253656	0.192105040084714	0.20397538548832	0.0925055904379452
AASDH	-0.161817110656365	0.219038183202924	0.333679786754107	0.354298164706223	0.160678999766402
AASDHPPT	-0.338850701979085	0.000212546979496454	0.000762636942760852	0.000809760974093553	0.000367237531346247
AASS	0.613655291898935	2.21572310461631e-09	1.61153828228993e-08	1.71111670060462e-08	7.76014519196598e-09
AATF	0.263614269398997	0.00153753128308972	0.00461644063654401	0.00490169470831046	0.00222298470991136
AATK	0.0931763877987637	0.374622906445716	0.502336347044467	0.532187024931369	0.241353998899582
ABAT	-0.294913445886005	0.0523661702796587	0.102866358918781	0.109222564931069	0.0495339074070477
ABCA1	0.428437964212036	3.3249450712511e-08	2.11551664178582e-07	2.24623634197693e-07	1.01869849923458e-07
ABCA10	-0.12090377977907	0.578570900266656	0.691456664505976	0.725073911553726	0.328830805436907
ABCA12	-0.505117604842622	0.0781055611217039	0.144170002255052	0.15307839801006	0.0694231196441406
ABCA13	0.108493157273919	0.699184698641592	0.789192810775023	0.818998092694465	0.371426689308013
ABCA2	-1.02228723344236	1.13248063984e-65	1.39116775292472e-63	1.47712927550785e-63	6.69898063714417e-64
ABCA3	0.950702200892246	1.05584942746319e-20	1.95169513244706e-19	2.07229215236111e-19	9.39812461465166e-20
ABCA4	0.463003385640976	0.149329880798661	0.245386082824933	0.260548712389912	0.118162357775543
ABCA5	0.839963937130215	5.40450121898783e-06	2.56903179516847e-05	2.72777460976641e-05	1.23708260314834e-05
ABCA6	-0.123298681077398	0.659431912935938	0.757553400773591	0.789482768462812	0.35804109139148
ABCA7	0.209820523100834	0.000328821529781581	0.00113720786657558	0.00120747697646462	0.000547607106517664
ABCA8	-0.819546590381507	0.0339684611138016	0.0715557604424006	0.0759772560559173	0.0344567111099296
ABCA9	-0.102306456902752	0.662567569099304	0.759829215342417	0.791706829844187	0.359049733246779
ABCB1	-0.115501369884046	0.485617906172798	0.608982929752088	0.643251767631211	0.291723358789212
ABCB10	0.316491197913709	0.00911070065543872	0.0225326634314362	0.0239249772284944	0.0108503000959544
ABCB11	-0.0830863713953002	0.478241181334988	0.601793891757311	0.635799772778016	0.288343778541404
ABCB4	-0.587030614785933	0.049893998353399	0.0990326041108623	0.105151918921635	0.047687814498999
ABCB5	-0.0212221501126237	0.814640906949264		0.882087883999092	0.400038761207126
ABCB6	-0.881564749929208	9.10472264521013e-29	2.71592309728343e-27	2.88374245923338e-27	1.30781612802801e-27
ABCB7	-0.31385617201801	0.0175796840108718	0.0404156572728575	0.0429129775479062	0.0194616145277326
ABCB8	0.027079195232982	0.72515853475982	0.809068032667378	0.839020124907203	0.380506951160063
ABCB9	-0.107226928626706	0.153216336665203	0.250874062585415	0.26637579941846	0.120805020392989
ABCC1	0.364913476865606	9.74240806831364e-09	6.59398300536925e-08	7.00143122132822e-08	3.17524355935936e-08
ABCC10	-0.0997394117854967	0.195626299209898	0.305166072790083	0.324022562384957	0.146948605474521
ABCC11	0.113871123747824	0.589237969783217	0.700581946560905	0.734302444090644	0.333016069502763
ABCC12	-0.766921081606638	0.0334012869905783	0.0705324145018967	0.0748906766376462	0.0339639326778445
ABCC2	0.000139755358408441	0.999529620054093	1	1	0.45351349730991
ABCC3	-1.32286101738259	0.000666598849303509	0.00217929770494217	0.00231395849512	0.00104941140975185
ABCC4	-0.178920092928153	0.0549440401263144	0.107255001252581	0.113882385472022	0.0516471989174119
ABCC5	-0.484550638941708	4.66905980891055e-10	3.66224243734608e-09	3.88853573326311e-09	1.76350343980671e-09
ABCC6	1.83993322879214	4.67523524190376e-23	1.0019003435294e-21	1.06380867832604e-21	4.82451594176276e-22
ABCC8	-0.387596144721658	0.160489542538101	0.260735605221715	0.276846695756535	0.125553713211239
ABCC9	0.464077493342701	0.147475736395246	0.24303041760877	0.25804748847441	0.117028018970069
ABCD1	0.0630483898364085	0.58814555204569	0.699577520392254	0.733355744797655	0.332586728595499
ABCD2	-0.456011558103652	0.134091595493261	0.225208631853845	0.23912447834491	0.108446178466608
ABCD3	0.0149342129171397	0.862135619166541	0.908120842253541	0.914060197868263	0.414538637087025
ABCD4	0.447803043124257	1.7123861749741e-07	9.95711394549793e-07	1.05723730855184e-06	4.79471389287863e-07
ABCE1	-0.317295695892743	0.00388267496609279	0.010593496352923	0.0112480781415402	0.00510115525598507
ABCF1	-0.103966282657904	0.251336032744843	0.371421184697575	0.394371638004957	0.178852860791466
ABCF2	-0.40565723801312	5.49004588499788e-06	2.60572576367058e-05	2.76673593200456e-05	1.25475208865638e-05
ABCF3	-0.121283024316855	0.119003538315876	0.204063992225322	0.216673292174377	0.0982642625076536
ABCG1	-0.702207790140048	0.000576058900502968	0.00190404553109043	0.00202169823873552	0.000916867438754233
ABCG2	-0.962810430151247	1.07356115091309e-05	4.83087035344539e-05	5.12937423273013e-05	2.32624044729678e-05
ABCG4	0.520888905483331	0.0610002930900936	0.117056035977681	0.124289035059951	0.0563667549673124
ABCG5	-2.60165079440201	1.90683486378662e-05	8.26348075275973e-05	8.77408875517371e-05	3.97916767706638e-05
ABCG8	-0.0931466358764918	0.60054058807794	0.709775281409389	0.743994827725007	0.337411696302052
ABHD1	-0.399465678375608	0.19319568355413	0.302554292223247	0.321249397517985	0.145690937777083
ABHD10	0.402876943547765	0.00161158535659267	0.00481285282316277	0.00511024338284029	0.00231756434865672
ABHD11	-0.505643218747426	9.46110577876507e-08	5.67048448922451e-07	6.02086889071239e-07	2.73054530747141e-07
ABHD12B	-0.519126342062043	0.109396809464916	0.190863299537257	0.202656916661411	0.0919076470291593
ABHD13	-0.278262596965371	0.0229570518114859	0.0509753722332752	0.0541251869139288	0.0245465028098884
ABHD14A	0.0789749948568686	0.521003801581387	0.640821531730623	0.676684018597748	0.306885335847989
ABHD14A-ACY1	-0.487569500932665	2.39546833025137e-05	0.000101830249101503	0.000108122432944452	4.90349827022948e-05
ABHD14B	1.69159974957	4.08016720574543e-19	6.79345662506237e-18	7.21323049767054e-18	3.27129738990107e-18
ABHD15	-0.708667827312729	1.47209057199481e-15	1.87478245009722e-14	1.99062696531379e-14	9.02776196878873e-15
ABHD16A	0.446091390234888	7.3016431340957e-06	3.3862346770222e-05	3.59547320203018e-05	1.63059562633677e-05
ABHD17A	-0.157108062312196	0.117305993515743	0.201751825029116	0.214218254061105	0.0971508695868748
ABHD17B	-0.0735423850472456	0.546707759972311	0.664307578756859	0.698986479800246	0.316999803026552
ABHD17C	0.0966628943288856	0.410771152656363	0.537936770972208	0.569264966431243	0.258169345822242
ABHD18	-0.237044412382798	0.0283168535459935	0.0610518562978226	0.0648243061068798	0.0293986977732192
ABHD2	-0.241513675403938	0.111428014993972	0.193692307734926	0.205660731852385	0.0932699177616907
ABHD3	0.00396760579499687	0.977568932242852	0.986165723370238	0.992122862553783	0.449941109157885
ABHD4	-0.801004963417187	1.45081805625188e-23	3.18791725289938e-22	3.38490156363555e-22	1.53509854617414e-22
ABHD5	-0.309642429633449	0.0399332159741971	0.0820058052406804	0.0870730186405917	0.0394887892050257
ABHD6	0.877178140572726	1.17878023753238e-05	5.27035226738475e-05	5.5960121344291e-05	2.53786703407364e-05
ABHD8	-0.274944397370679	0.0207550897532591	0.0466503609336688	0.0495329292267305	0.0224638519656188
ABI1	0.126991105560731	0.1847648037299	0.292225841746773	0.310282742679014	0.140717411787271
