gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-1.73123772979394	4.48793281871676e-15	1.79050531303801e-14	1.79050531303801e-14	4.6104033824056e-15
A1CF	1.59111626454043	8.11000093404727e-11	2.55808232430328e-10	2.55808232430328e-10	6.58685082616643e-11
A2M	-3.50935161755189	9.7565686183017e-05	0.000194772219675084	0.000194772219675084	5.01522388037498e-05
A2ML1	1.05668198685291	0.0248409145362107	0.0374351344299526	0.0374351344299526	0.0096392381044556
A3GALT2	-0.920929471563245	0.123335876089634	0.164528352352142	0.164528352352142	0.0423646926184705
A4GALT	-0.0246175724065693	0.935645617051454	0.952050894110263	0.952050894110263	0.245145246454516
A4GNT	-1.25781863067654	0.041524867967103	0.0603123013039	0.0603123013039	0.0155299197331264
AAAS	-0.384386192692385	3.59600404853678e-12	1.2294425145943e-11	1.2294425145943e-11	3.16571298978239e-12
AACS	0.537803168478783	6.96295346785332e-16	2.89087563856729e-15	2.89087563856729e-15	7.44376613971078e-16
AADACL3	2.26930660948771	0.0153945968634915	0.0239310887488515	0.0239310887488515	0.00616205781177769
AADACL4	-1.42442832166069	0.0444768682256187	0.0642262149099536	0.0642262149099536	0.0165377201789779
AADAT	0.874661533855993	5.73473298095959e-09	1.60824082723879e-08	1.60824082723879e-08	4.14108737663774e-09
AAGAB	1.18325651559553	8.34138766878336e-33	6.54615787759261e-32	6.54615787759261e-32	1.68558161770578e-32
AAMDC	-0.825583583493027	4.62430017073132e-12	1.57042472004085e-11	1.57042472004085e-11	4.04371402216329e-12
AANAT	-0.819268525369805	0.124046069877473	0.165370224715014	0.165370224715014	0.0425814678026085
AARD	-0.739878840841704	0.137106871875448	0.181108665713521	0.181108665713521	0.0466339864455267
AARS2	0.455936047194478	4.93723819816292e-12	1.67489096511019e-11	1.67489096511019e-11	4.3127059799686e-12
AARSD1	0.0891804593517909	0.384563593394921	0.457698776549261	0.457698776549261	0.117853656850937
AASDH	0.961838870426599	8.6403041879788e-16	3.57312816103977e-15	3.57312816103977e-15	9.20051006800713e-16
AASDHPPT	0.00854624270868586	0.924602398110202	0.943071659321561	0.943071659321561	0.242833167616224
AASS	0.868768857110175	8.75802156517411e-15	3.44257448526601e-14	3.44257448526601e-14	8.8643451295454e-15
AATF	0.509502636159302	1.92550535784037e-06	4.45133364144576e-06	4.45133364144576e-06	1.14618166878914e-06
AATK	-0.925686315416644	1.90689289177753e-26	1.20975008104015e-25	1.20975008104015e-25	3.11500659890783e-26
ABAT	-1.83620752199469	9.02279042198982e-116	3.06482559323183e-114	3.06482559323183e-114	7.89167291413635e-115
ABCA1	-0.625506350619885	8.43225273079342e-10	2.50688163888825e-09	2.50688163888825e-09	6.45501328762351e-10
ABCA10	-3.58789455438457	1.12461925332653e-10	3.51627972108676e-10	3.51627972108676e-10	9.05413002772724e-11
ABCA13	0.249417589222177	0.5760142633444	0.64389624846239	0.64389624846239	0.165797968886913
ABCA2	-1.05644726787285	5.38645749855219e-33	4.24838601202258e-32	4.24838601202258e-32	1.09392432945982e-32
ABCA3	0.896760962355683	8.14221013569003e-12	2.72916749369133e-11	2.72916749369133e-11	7.02738101498099e-12
ABCA4	-0.344267626430761	0.287841571244571	0.355261017220244	0.355261017220244	0.0914767794042449
ABCA5	-1.00135415878706	1.69344011288185e-06	3.93103065022772e-06	3.93103065022772e-06	1.0122079434324e-06
ABCA6	-0.399342166661446	0.306665387365547	0.375295817220291	0.375295817220291	0.096635575025427
ABCA7	1.77254312860752	1.30582699698387e-115	4.41650347990654e-114	4.41650347990654e-114	1.1372131897011e-114
ABCA8	-7.80795246277105	8.58678800889883e-95	2.16764711101047e-93	2.16764711101047e-93	5.58151238071876e-94
ABCA9	-5.7523592618177	1.01007256564816e-66	1.66513744653549e-65	1.66513744653549e-65	4.2875914747506e-66
ABCB1	-5.33509146028893	3.81844414595633e-34	3.13918824273159e-33	3.13918824273159e-33	8.08315059827491e-34
ABCB10	0.729891620546222	1.54780429495285e-17	6.95494804192098e-17	6.95494804192098e-17	1.79084171062982e-17
ABCB4	-0.266008071134648	0.311774725911681	0.380837368109749	0.380837368109749	0.0980624786362953
ABCB5	-0.863788943164736	0.12024364799247	0.160778086377961	0.160778086377961	0.0413990300869839
ABCB7	0.232720766854796	0.00112790664346662	0.00202287464725734	0.00202287464725734	0.000520873523691118
ABCB8	-0.396345046309808	4.74919788516462e-06	1.06503115841985e-05	1.06503115841985e-05	2.74236731909769e-06
ABCB9	-0.184840653206592	0.0344190964603305	0.0507461451234291	0.0507461451234291	0.0130667134812426
ABCC1	0.039756015315867	0.524344726009253	0.595147914690208	0.595147914690208	0.153245675337525
