gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.799229102395746	4.74658889465045e-05	9.90532638327316e-05	0.000103050253376819	3.30859618214878e-05
A1CF	6.86752950732572	3.35721116226213e-111	1.13536825816368e-109	1.18118254919232e-109	3.79237890700576e-110
A2M	4.36186729347119	0.000372352086191694	0.000711072067579565	0.000739765191957652	0.000237513660529071
A2ML1	4.3830533928198	8.40153378939937e-09	2.38240454500751e-08	2.47853914661197e-08	7.95775351255115e-09
A3GALT2	-0.516945535886724	0.329901783992189	0.394519837719319	0.410309636761182	0.131736589984191
A4GALT	1.60554185151804	8.37590296438601e-09	2.3755820846646e-08	2.47144138688365e-08	7.93496499920996e-09
A4GNT	0.887905183871034	0.135222093901119	0.17809308185252	0.185279479942752	0.0594869939550288
AAAS	-0.250476465913477	0.0909262748018247	0.124111286336721	0.129119415242284	0.0414558907244768
AACS	1.013498450765	6.71506870768886e-20	3.3480110044239e-19	3.48310968225009e-19	1.1183090792177e-19
AADACL3	3.83720330466484	0.0118609506240184	0.0188342427083285	0.0195942405949515	0.0062910499974709
AADACL4	0.263780729819213	0.34892389679466		0.431138130491013	0.13842391704805
AADAT	-0.0803948219366379	0.5457849138668	0.608274147959629	0.628417844672608	0.201763781606157
AAGAB	0.145699636533278	0.258865015649427	0.318773414921178	0.331636534792973	0.106477309557388
AAMDC	1.39862209453291	8.69850803561009e-16	3.64657088115135e-15	3.79371702373932e-15	1.21803462384502e-15
AANAT	0.197822295993465	0.703048053030556	0.752849572689871	0.771924299271089	0.247838865581161
AARD	0.543520872600393	0.31653008436924	0.381061183834499	0.396343044337185	0.127252388067415
AARS2	0.247727141697413	0.0332566473090346	0.0491677982758607	0.0511518134209474	0.0164231226075378
AARSD1	-0.556590563205315	6.44472084730369e-06	1.46064235455307e-05	1.51958208044296e-05	4.87886570393067e-06
AASDH	0.17414687716254	0.297393728774689	0.36089756746303	0.375370078044906	0.120518675734925
AASDHPPT	-1.50748989717882	2.18745890537566e-30	1.55980265436622e-29	1.62274368890769e-29	5.21008284578732e-30
