gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	0.259337197696697	0.159153312710955	0.24241013886665	0.252090255716103	0.0981839803206035
A1CF	-0.611188950910385	0.149249176728562	0.229825792462633	0.239002321801252	0.0930864986972746
A2M	-0.475446443864088	0.0554727687398879	0.100973130047066	0.105047589882266	0.0409138801038884
A2ML1	-0.157334019094324	0.683971850849158	0.762845098811179	0.779254223290691	0.303503525382132
A3GALT2	0.0812351324082074	0.831886202487509	0.879578641943117	0.889018813768561	0.34625458039917
A4GALT	0.81434997759815	2.06845251061425e-06	1.15340452242551e-05	1.199946611377e-05	4.6735457561634e-06
A4GNT	0.364676185473848	0.378916626867849	0.485142936254872	0.502591025617834	0.195748888541515
AAAS	0.187482143806482	0.278339546783465	0.380198692394112	0.394862534030629	0.153790852250424
AACS	0.512533412544618	8.36969464984555e-16	1.34457676962503e-14	1.39883302612243e-14	5.44816751914787e-15
AADACL3	0.271022038104866	0.477275519360877	0.582369362029089	0.60149948657653	0.234271703938419
AADACL4	0.174394319925544	0.511040949923491		0.633144873124842	0.246596932461319
AADAT	0.799440103279644	0.000484271808787498	0.00163409306550013	0.00170003186089308	0.000662127515798551
AAGAB	0.180751016558607	0.012565403481863	0.0286286668327539	0.0297838885545228	0.0116002132625133
AAMDC	-0.411757073826281	0.0166370205069037	0.0363704756330967	0.0378380942172198	0.0147371610514628
AANAT	0.514884619913367	0.235267197789558	0.331333540989821	0.344254486382245	0.134080056447318
AARD	-3.15369045860029	0.00025943776501587	0.000940057692652183	0.000977990827038492	0.000380907353371947
AARS2	0.236004971902297	0.0103314700577949	0.0241953265474339	0.0251716544692395	0.00980384275474783
AARSD1	0.481263892942065	0.0021633494189947	0.00619029967195588	0.0064400901594794	0.00250828293098854
AASDH	0.00914244788108216	0.947102751630979	0.962964238391546	0.967024928578874	0.376636361002573
AASDHPPT	-0.36263975837678	8.72302020842408e-07	5.22862396870527e-06	5.43960899357199e-06	2.1186160522528e-06
AASS	1.29500101634709	7.83189958479174e-08	5.44093869592356e-07	5.660491028034e-07	2.20464507095956e-07
AATF	0.528177235998812	1.17354586107698e-11	1.29115667990544e-10	1.34325733312647e-10	5.23171160212246e-11
AATK	-0.734767218826904	3.36606488062871e-06	1.80314680370178e-05	1.87590724229793e-05	7.30627366924014e-06
ABAT	-0.987599872901917	0.000159081786679072	0.000607129353503543	0.000631628189624278	0.00024600621536855
ABCA1	-0.0350233488464775	0.891281519267011	0.924996754548909	0.931869728328167	0.362944132083303
ABCA10	-2.37495272568502	4.16109056713434e-08	3.00397354839397e-07	3.12518965374029e-07	1.2171972240234e-07
ABCA13	-0.23355332938605	0.340739639194364	0.445392228767938	0.46192675679767	0.179910990490877
ABCA2	-0.201051924788865	0.0238141613212862	0.0493419238889643	0.051332965337153	0.0199931363635778
ABCA3	0.0920210187661689	0.304004547125563	0.407129123789532	0.42258421499512	0.164587877984481
ABCA4	-3.53255953675621	2.2473131271094e-30	8.4509036175405e-29	8.79191381842029e-29	3.42426997376828e-29
ABCA5	-1.01057479565784	8.22038931216896e-05	0.000334052756000156	0.000347532426646455	0.000135356746898835
ABCA6	-0.63735810212741	0.0425748481653099	0.080500810470918	0.0837491728700223	0.0326185838384702
ABCA7	0.564704609220783	9.14574519266039e-07	5.45389467761133e-06	5.67396980848008e-06	2.20989477928448e-06
ABCA8	-3.24517523908174	3.08118281647648e-07	1.96118907943894e-06	2.04032682756739e-06	7.94665420590788e-07
ABCA9	-1.34765086901772	0.000702161961367029	0.00228565511842924	0.00237788569475006	0.000926137670790861
ABCB1	-1.28497372155304	0.0189065561323332	0.0404830607723062	0.042116630069859	0.0164035629469395
ABCB10	-0.294962116744401	0.146960622434008	0.226995374408389	0.236058595548938	0.0919399777434781
ABCB4	-0.800799493537493	0.000176183956643167	0.000664796085928727	0.000691621885519686	0.000269372528518665
ABCB5	-0.598419654794287	0.120128831522377	0.191580076603415	0.199310700849501	0.0776274270272916
ABCB7	0.241763764924894	0.00601329397861021	0.0151397233558579	0.0157506402869337	0.00613455110185134
ABCB8	0.321181825524926	0.0728804398662573	0.126883981280457	0.132003993755226	0.0514128461184955
ABCB9	0.265448089423586	0.0652396474634724	0.115727264809354	0.120397082334901	0.0468921923580442
ABCC1	0.271586821664347	0.000182239075085728	0.000686153947215678	0.000713841577552489	0.000278026642494952
ABCC10	-0.0519018711079836	0.787918614846956	0.845776553651318	0.856966027432235	0.333770678020926
ABCC11	-0.727213066658406	0.000254695455194995	0.000925981528663476	0.000963346662782992	0.000375203751973355
ABCC12	2.90964179351574	1.15795201244579e-08	8.96760275212244e-08	9.32946275601174e-08	3.63363425149459e-08
ABCC2	-1.92052706158701	0.000104681729220947	0.000416879267816927	0.000433701147380883	0.00016891769496804
ABCC3	-4.70160714491493	2.04079648961272e-13	2.63681372080987e-12	2.74321422155036e-12	1.06842563342561e-12
ABCC4	0.736684435150124	2.10962253729004e-08	1.58148715762958e-07	1.64530320354835e-07	6.40811827096329e-08
ABCC5	0.37914647640835	3.50399634753189e-05	0.000155428147845187	0.000161699972293527	6.29788202340884e-05
ABCC6	-0.694118324786134	0.000275121296892542	0.00098882754282562	0.00102872863438636	0.000400668687914617
ABCC8	-3.47809967561481	3.80374163498654e-24	1.06090705343342e-22	1.10371669176076e-22	4.298749970939e-23
ABCC9	-1.5473535892708	0.0191425643160049	0.0409130700926122	0.0425639910925787	0.0165778008829761
ABCD1	-0.0473429687591605	0.681411014390996	0.761075392569853	0.777539494730697	0.302835673803691
ABCD2	-0.442631443569955	0.265364753714315	0.365862316291781	0.380001757928198	0.148002884983521
ABCD3	-0.225919571455515	0.0836793298515104	0.142148604266241	0.14788457361217	0.0575980060157901
ABCD4	0.379785562967844	0.00374552244715573	0.0100267509887822	0.0104313496593622	0.00406279658356
ABCE1	-0.0645730324739599	0.535164854123437	0.636313284551203	0.654983475548583	0.255102619856935
ABCF1	0.0454704798429071	0.513057605617821	0.616280637594327	0.634993071814864	0.247316767915864
ABCF2	0.259461389357158	0.000163907523843334	0.000623971301420218	0.000649149742504185	0.000252830500576482
ABCF3	0.251533325826948	0.0186665701636673	0.0400918680688847	0.0417096519891083	0.0162450533379194
ABCG1	-1.44835249431824	6.97891541396682e-14	9.41966645651218e-13	9.79976809959431e-13	3.81680852956342e-13
ABCG2	-0.89503532056397	0.00995421887901546	0.0234134007770463	0.0243581764914075	0.00948700977943184
ABCG4	0.798398784847669	4.71161127588691e-05	0.000203385001877734	0.000211591977543899	8.24107322203041e-05
ABHD10	-0.110428271889351	0.264758968655745	0.365441244672392	0.379563902192095	0.147832349161521
ABHD11	0.201334421629911	0.043679991816691	0.0823432393431747	0.0856659472878289	0.0333651281314352
ABHD12B	1.25354344169496	0.00317032325665919	0.00868535278559568	0.0090358234609422	0.003519267773161
ABHD13	-0.351219221346738	0.202162100588579	0.293910797710862	0.305506231955085	0.118988406675585
ABHD14A	-0.534231007885327	3.97009093822693e-05	0.000174363348963325	0.000181399245164134	7.06512826795866e-05
ABHD14A-ACY1	-0.140301655367654	0.237792194955824	0.334297834199497	0.347335176936031	0.135279922185276
ABHD14B	-0.528579609626725	0.00400164899271768	0.0106165194494407	0.0110449164107531	0.00430176823945686
ABHD15	-0.308223499283113	0.300202459200449	0.403068134653905	0.418403748089868	0.162959671931096
ABHD16A	-0.0461190236902007	0.675196292940603	0.756013803450344	0.772783065211911	0.30098314213426
ABHD17A	0.129493491181299	0.376621679723072	0.482736131284863	0.500095335782231	0.194776868575852
ABHD17B	-0.193103467729323	0.0953795712147581	0.158254086055702	0.164639942541379	0.0641238783012406
ABHD17C	-0.183148043917493	0.0340708271977338	0.066820017481596	0.069516333593508	0.0270751850765389
ABHD18	0.346638780500744	0.000345005946810522	0.00120700182780251	0.0012557066710227	0.000489071974344734
ABHD2	-0.924211090261675	0.00030515045497496	0.00108006542445714	0.0011236481398715	0.000437637887029916
ABHD3	-0.102377589805694	0.440866449382509	0.546545687659126	0.564893812077458	0.220014545071132
ABHD4	0.0893109474993619	0.62619325981077	0.714697131639064	0.731877333311829	0.285051199170148
ABHD5	-0.188482038611918	0.138375449786032	0.215629489167657	0.224284314004423	0.0873541367550118
ABHD6	-0.407630161379891	0.000301150674080425	0.00106916269142174	0.00111230546060659	0.000433220146270496
ABHD8	0.154463340922958	0.264808072470246	0.365441244672392	0.379563902192095	0.147832349161521
ABI1	-0.140852259039511	0.277825847258568	0.379771528439079	0.394418405834583	0.153617873434022
ABI3	0.234175946364403	0.561349285088758	0.659300845205451	0.677587712140286	0.263906506045941
ABI3BP	-2.09118891509623	3.14213769840887e-06	1.69158460067118e-05	1.75984328998847e-05	6.8542283977118e-06
ABL1	0.158817156831863	0.210121278289017	0.303323468668361	0.31526210109248	0.12278811746042
ABL2	-0.127297211139981	0.222660092568657	0.317333140318694	0.329765069764316	0.128436726077286
ABLIM1	-0.191163014616718	0.520924939395327	0.62330396618958	0.642052235256294	0.250066167183378
ABLIM2	-1.31030479072141	2.03027397907585e-07	1.33326028417418e-06	1.387059898737e-06	5.40231360447595e-07
ABLIM3	-0.468825917346389	0.0234462770645276	0.0486931405941014	0.05065800238959	0.0197302521494601
ABO	0.222551890865298	0.234747809720213	0.330817809223498	0.34371835056976	0.133871242552815
ABR	-0.160573766651912	0.234196374281749	0.330256211755336	0.343134561051712	0.133643868518112
ABRA	-0.113435363264782	0.760488467806029	0.824406535304565	0.836264082973615	0.325707695572241
ABRACL	-0.815292883961843	0.00396503304909697	0.0105360176838107	0.0109611662441814	0.004269149268592
ABRAXAS1	0.204367287087178	0.0160454401105691	0.0352505330840683	0.0366729598341696	0.014283365124241
ABRAXAS2	-0.0472930264204849	0.63657742903297	0.723707678024472	0.740930522972285	0.28857723072157
