gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.942944303655794	0.000268217318643245	0.000706338541577748	0.000706338541577748	0.000231640665881649
A1CF	5.58835487742248	8.67014901053185e-08	3.79714378971413e-07	3.79714378971413e-07	1.2452568621458e-07
A2M	-4.42857715113616	1.19070633012282e-15	1.15594064529887e-14	1.15594064529887e-14	3.79085728776163e-15
A2ML1	-0.0189188891226897	0.962468995058383	0.976627516954848	0.976627516954848	0.320280764858789
A3GALT2	-0.0281332106707772	0.949009437340261	0.966431882415271	0.966431882415271	0.316937150664159
A4GALT	-0.522867119930054	0.0900239721827308	0.139200374645345	0.139200374645345	0.0456501600518617
A4GNT	-1.44250917299759	0.0187273901000608	0.0346256365040743	0.0346256365040743	0.0113553275437354
AAAS	-0.556968553862336	0.00564689074194491	0.0117192729874067	0.0117192729874067	0.00384328482541525
AACS	0.802355839592291	1.10423865472379e-05	3.62705959123666e-05	3.62705959123666e-05	1.18947848581189e-05
AADACL3	1.00273423182335	0.105187689901101	0.159556982935438	0.159556982935438	0.052326021585449
AADACL4	0.298497575321057	0.297320159795885	0.386890133469293	0.386890133469293	0.126878943827253
AADAT	0.776785018774476	0.000363075791998824	0.000932260078492328	0.000932260078492328	0.000305730655550064
AAGAB	1.04540692425027	9.26489151754739e-09	4.54346582153002e-08	4.54346582153002e-08	1.49000994050086e-08
AAMDC	-0.296419606249934	0.0352270901259373	0.0607674066480877	0.0607674066480877	0.0199284078544291
AANAT	-0.589711275981096	0.284105308069125	0.37187883312552	0.37187883312552	0.121956052886581
AARD	-2.35058997607077	0.000137981931583521	0.000383874374317007	0.000383874374317007	0.000125889938673133
AARS2	0.304271502363698	0.0236100672231836	0.0426456330790178	0.0426456330790178	0.0139854506895555
AARSD1	0.0974974485840204	0.633844930507515	0.716538184451674	0.716538184451674	0.23498559459217
AASDH	0.0957719287621827	0.462614428432932	0.558539621984087	0.558539621984087	0.183170650250348
AASDHPPT	-0.0114678507546107	0.923542515957609	0.948201667872132	0.948201667872132	0.310958630751447
