gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.121856367373495	0.35663378900957	0.499548550251478	0.536809880329151	0.271383446070376
A1CF	0.382113417202368	0.012324832984113	0.0325872866438655	0.0353271094699739	0.0178595682735728
A2M	1.14564621114052	0.0157993051686477	0.0403195001060236	0.0437094198601606	0.0220972329721539
A2ML1	0.0308427650147789	0.681936364220778		0.826244216791739	0.417706549497883
A3GALT2	-0.0097695057936326	0.947554662897825	0.967998479254867	0.974805073766936	0.492811272407186
A4GALT	-1.20508875529419	7.33788443825819e-05	0.000338418510812062	0.000366871532103268	0.000185471363877012
A4GNT	-0.0232663625893183	0.810307047718371		0.887599393981326	0.448724569154598
AAAS	-0.346070177554164	0.00169476514428487	0.00572794519080192	0.00620953039155724	0.00313921896352999
AACS	0.434351357843018	8.69990915031828e-07	5.59306659383609e-06	6.06331168325415e-06	3.0652983104397e-06
AADAT	-0.560967197298864	5.30475032956214e-09	4.68444944733092e-08	5.07830124799824e-08	2.56732773253021e-08
AAGAB	-0.215212476942568	0.00564700459324357	0.0165114827500937	0.0178997093252608	0.00904917174283152
AAK1	-0.244581427251173	2.9150257936409e-05	0.000143870316717915	0.000155966419779549	7.88485943013564e-05
AAMDC	-0.626162270683675	0.0208384187567421	0.0510101781974082	0.0552989320331138	0.0279562938185044
AAMP	0.236495486277751	0.000499851752413074	0.00193092175271717	0.00209326676632142	0.00105824793731549
AANAT	0.133083371537963	0.413286015602046	0.556839407235368	0.597503327617626	0.302066929148105
AARD	-0.0969576633991717	0.493097928259922	0.630915043292618	0.674071967561848	0.340776092541751
AARS2	0.191369068157603	0.0518699306277692	0.109132460899024	0.118307928949133	0.0598103996073585
AARSD1	-0.0293719631256674	0.734952630761242	0.825466500014543	0.861362387283267	0.435460488977973
AASDH	-0.203024119910247	0.199787509520056	0.322771956725696	0.349153074084498	0.176513823465799
AASDHPPT	-0.337871357910803	2.1868640007135e-07	1.55690102962491e-06	1.68779971491821e-06	8.5326466537883e-07
AASS	0.445552303025325	0.00383881460329442	0.0117980465295974	0.0127899841996018	0.00646595771513244
AATF	0.0493473663246436	0.595037665629736	0.717576551008046	0.760145691361871	0.38429053710942
AATK	0.143134101330097	0.0311711375721651	0.0713282474514948	0.0773252720779898	0.0390916776568778
ABAT	0.286035284939035	7.42955526440408e-05	0.000342540391865802	0.000371339966213755	0.000187730374174473
ABCA1	0.103644244825126	0.337939047853022	0.48095046743586	0.517584206188833	0.261663934764015
ABCA10	-1.24782119105516	0.00508952435546034	0.0150975051236458	0.0163668495034682	0.00827423671271281
ABCA12	0.276835348827217	0.245840396785553	0.378870584630763	0.409413263531322	0.206978273678424
ABCA13	0.00392041279415156	0.975376677313925		0.992542770336912	0.501778538839688
