gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-1.08755561104715	4.55202347436482e-07	1.07202490592047e-06	1.07202490592047e-06	2.77902170500661e-07
A1CF	-5.3291533884108	8.1605160755595e-33	5.68019247633643e-32	5.68019247633643e-32	1.4724824109194e-32
A2M	-8.65849385692387	2.48072844154956e-138	1.16541132474264e-136	1.16541132474264e-136	3.02110832391478e-137
A2ML1	-2.86733245922604	0.000904294573317676	0.00160710009663421	0.00160710009663421	0.000416610288249779
A3GALT2	-0.340656807856312	0.515122968165059	0.580070300318988	0.580070300318988	0.15037224845369
A4GALT	-1.27451881330157	0.00493851081822219	0.00802808499360098	0.00802808499360098	0.00208112911590415
A4GNT	-2.63676121093998	0.00302684317118206	0.00506462964771798	0.00506462964771798	0.00131290939614349
AAAS	-0.205519976330762	0.14816405290268	0.191332900192583	0.191332900192583	0.0495994337053674
AACS	-0.46811171819136	1.31515412468774e-05	2.7656944097814e-05	2.7656944097814e-05	7.16953939386193e-06
AADAT	0.967423747630447	2.13506372191691e-14	7.71374621262642e-14	7.71374621262642e-14	1.99964273529589e-14
AAGAB	1.04344594745609	7.81697141432741e-11	2.35551814175947e-10	2.35551814175947e-10	6.1062350383229e-11
AAMDC	-2.23499084671669	7.68145294655585e-49	7.98933514996553e-48	7.98933514996553e-48	2.07108395222056e-48
AANAT	-0.902549335123502	0.12299555758087	0.161464515087791	0.161464515087791	0.0418566200784356
AARD	-1.57502216467945	0.00791168233070079	0.0125557090872134	0.0125557090872134	0.00325482998411823
AARS2	0.234058334564094	0.0434982042307862	0.0617121733832045	0.0617121733832045	0.0159977131452746
AARSD1	0.60965555652957	1.26224550932422e-07	3.086694605896e-07	3.086694605896e-07	8.0016716581286e-08
AASDH	0.939929604239247	2.32038159795387e-09	6.37099233382794e-09	6.37099233382794e-09	1.65155920169004e-09
AASDHPPT	1.54082541991963	3.93804188701845e-22	1.97570866977065e-21	1.97570866977065e-21	5.12165085506856e-22
AASS	-1.89983261708497	3.03816443419698e-18	1.30624914744288e-17	1.30624914744288e-17	3.38620372795651e-18
AATF	-0.126481094274748	0.345217182074111	0.410688945328157	0.410688945328157	0.106463337443943
AATK	0.838439178325872	3.43456522848465e-05	6.96893290714321e-05	6.96893290714321e-05	1.80656398025164e-05
ABAT	1.24307222019803	8.58616859943453e-14	3.00799822176769e-13	3.00799822176769e-13	7.7976661743098e-14
ABCA1	-2.32389286707805	2.53490062431303e-57	3.1892828329809e-56	3.1892828329809e-56	8.26761222366266e-57
ABCA10	-1.84763379057427	0.000605343558692858	0.00109545149589347	0.00109545149589347	0.000283975070640361
ABCA13	-4.65636439569307	2.20213936945171e-07	5.27839990537013e-07	5.27839990537013e-07	1.36832529017909e-07
ABCA2	-0.113108444911794	0.50991011101002	0.574958831865526	0.574958831865526	0.149047196983507
ABCA3	3.59563253369201	1.73477944328473e-136	7.88452124489348e-135	7.88452124489348e-135	2.04391293076639e-135
ABCA4	-7.34957741663734	6.1209404699846e-14	2.16061322380293e-13	2.16061322380293e-13	5.60098092116349e-14
