gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	0.801723497054902	4.80835876419673e-05	0.000103035301067918	0.000103035301067918	3.13119811710308e-05
A1CF	-6.86688830367846	7.68747342753024e-111	2.66580060482437e-109	2.66580060482437e-109	8.10125243279111e-110
A2M	-4.33511994907112	0.000372487696687951	0.000731359406508218	0.000731359406508218	0.000222256952020225
A2ML1	-4.38169325768675	8.86381795954112e-09	2.57792448872531e-08	2.57792448872531e-08	7.83420072680701e-09
A3GALT2	0.518215643775369	0.331489097617997	0.407810964812018	0.407810964812018	0.123931983690877
A4GALT	-1.60405958138398	8.39203807761412e-09	2.44487936560417e-08	2.44487936560417e-08	7.42988236728475e-09
A4GNT	-0.879711810735567	0.13652690194817	0.184770175995753	0.184770175995753	0.0561508552096474
AAAS	0.256214211263308	0.0912020612782516	0.128101496329569	0.128101496329569	0.0389294892088329
AACS	-1.01290768608903	1.14218892626682e-19	5.79468503477902e-19	5.79468503477902e-19	1.7609796528032e-19
AADAT	0.0833366062936862	0.546667000698169	0.624239832358974	0.624239832358974	0.189703777971662
AAGAB	-0.144925677703427	0.260068644633796	0.329444588015533	0.329444588015533	0.100116781626529
AAMDC	-1.40011130367783	1.11325199518859e-15	4.76771038474689e-15	4.76771038474689e-15	1.44888651024291e-15
AANAT	-0.194211644005851	0.704225593614458	0.767598561527635	0.767598561527635	0.233269874075687
AARD	-0.539535865061597	0.318158545942075	0.393903254574642	0.393903254574642	0.119705490861999
AARS2	-0.244628623749492	0.0342080087806087	0.0519118276091781	0.0519118276091781	0.0157757792892839
AARSD1	0.555871061170281	6.99050081515742e-06	1.6229117957148e-05	1.6229117957148e-05	4.93195856788625e-06
AASDH	-0.173772488463208	0.297565734545691	0.371535744582719	0.371535744582719	0.112908101574533
AASDHPPT	1.50698348457715	2.95278601635544e-30	2.16003327539296e-29	2.16003327539296e-29	6.56424745178564e-30
AASS	-3.00239871462786	5.65151651016364e-40	5.50530099106746e-39	5.50530099106746e-39	1.67303709686385e-39
AATF	-0.570343748900865	8.10773131418425e-07	2.04048113447737e-06	2.04048113447737e-06	6.20093368004851e-07
AATK	1.77885303934657	1.93739534890866e-23	1.13078523366014e-22	1.13078523366014e-22	3.43640728739237e-23
ABAT	2.92065185063283	9.0531971100904e-57	1.29492750470399e-55	1.29492750470399e-55	3.935228530891e-56
ABCA1	-1.77492741343766	3.26959014905364e-28	2.22639378855328e-27	2.22639378855328e-27	6.76591417348582e-28
ABCA10	1.63637115059098	0.00241368507098062	0.00429901797801789	0.00429901797801789	0.00130645292037229
ABCA13	-5.6755617312915	5.36926887657965e-14	2.12037811007755e-13	2.12037811007755e-13	6.44373712408039e-14
ABCA2	0.986612948995039	9.49373222653331e-12	3.32442932445873e-11	3.32442932445873e-11	1.01027965496271e-11
ABCA3	2.69895970154697	2.97301019014023e-64	4.94279031828292e-63	4.94279031828292e-63	1.50209254279181e-63
ABCA4	-6.68792371604631	1.1200535976408e-11	3.90164702198595e-11	3.90164702198595e-11	1.18569361007547e-11
ABCA5	1.54796095444761	2.8895398382865e-13	1.10146677408827e-12	1.10146677408827e-12	3.34730976017955e-13
ABCA6	-1.73780253790297	0.00163253098226269	0.00297249507520675	0.00297249507520675	0.000903328362815224
ABCA7	-0.693123868971214	5.4298545958079e-07	1.38353667773762e-06	1.38353667773762e-06	4.20450796510943e-07
ABCA8	-3.37411405631056	0.000272341981845745	0.000542564845689838	0.000542564845689838	0.000164883103715153
ABCA9	1.74189034085382	0.00221470426311978	0.00396530150233638	0.00396530150233638	0.00120503793060956
ABCB1	3.49207739939061	1.69957223699921e-09	5.19371965482034e-09	5.19371965482034e-09	1.57834887998386e-09
ABCB10	-0.505246815311462	0.000103595170308248	0.000215523971597415	0.000215523971597415	6.54968003258966e-05
ABCB4	0.5353157142969	0.0510367611641652	0.0750767715219674	0.0750767715219674	0.0228155052871448
ABCB5	0.0798884972805813	0.815307220706212	0.858800707932586	0.858800707932586	0.260985810860372
ABCB7	-0.215384716990598	0.099891797890101	0.139262891295738	0.139262891295738	0.0423213887364785
ABCB8	0.523005930001294	0.00125600886603029	0.00231908752403332	0.00231908752403332	0.000704760641584754
ABCB9	0.256843391738972	0.0284737724032573	0.043820285680108	0.043820285680108	0.0133167947868691
ABCC1	-0.668862637568544	0.000136459980935495	0.000280366220025555	0.000280366220025555	8.52020784279219e-05
ABCC10	-0.0991252909845633	0.491657348189163	0.571731778818053	0.571731778818053	0.173746808207319
ABCC11	0.519113330302905	0.03629050270193	0.0547475893653195	0.0547475893653195	0.0166375549893937
ABCC12	-3.55034490439574	1.56935127325837e-06	3.85857462544736e-06	3.85857462544736e-06	1.17260409555541e-06
ABCC2	0.384998441670305	0.152410067409466	0.20403690244394	0.20403690244394	0.0620059298250491
