gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	0.980426291960757	5.54340200493262e-07	1.44875368492302e-06	1.44875368492302e-06	3.35661004985821e-07
A1CF	-7.55029471153757	4.83206628850751e-27	3.94212439320512e-26	3.94212439320512e-26	9.13348797226814e-27
A2M	-5.34838987126912	1.67651179122926e-10	5.68282747944922e-10	5.68282747944922e-10	1.31665141063253e-10
A2ML1	-5.16909745615892	1.34035025105824e-14	5.97691162750557e-14	5.97691162750557e-14	1.38478761743862e-14
A3GALT2	0.742180620500346	0.197644844303329	0.253419589198543	0.253419589198543	0.0587146558305368
A4GALT	-0.823695455220169	0.00585709247530829	0.00987235622182203	0.00987235622182203	0.00228732119578415
A4GNT	-0.611092951018964	0.263451577618685	0.327147614208895	0.327147614208895	0.0757966644757191
AAAS	0.342470247777124	0.108466183106906	0.147326039335835	0.147326039335835	0.03413389518086
AACS	-0.530301679004484	4.86286377689765e-10	1.60238767354573e-09	1.60238767354573e-09	3.71256385731182e-10
AADAT	0.825870033750348	1.69316030486972e-06	4.23552004615025e-06	4.23552004615025e-06	9.81325486950482e-07
AAGAB	0.0281773378523575	0.79195466755158	0.832774837629364	0.832774837629364	0.19294517890419
AAMDC	-1.86179939021399	5.74945425210527e-28	4.92599644288015e-27	4.92599644288015e-27	1.14130161240045e-27
AANAT	0.306652065409082	0.557091702958386	0.626870988928123	0.626870988928123	0.145239420841404
AARD	-4.29080209428774	4.65405973714556e-10	1.53523009839017e-09	1.53523009839017e-09	3.55696681273676e-10
AARS2	-0.0591400265832309	0.495335532622046	0.567328098007209	0.567328098007209	0.131443958704349
AARSD1	0.969162311095484	2.83965047895794e-13	1.16669458833249e-12	1.16669458833249e-12	2.70310876242578e-13
AASDH	-0.211222840764358	0.181170705573673	0.234302997958713	0.234302997958713	0.0542855425214615
AASDHPPT	1.13454819748692	3.33664158922232e-25	2.51755835430419e-24	2.51755835430419e-24	5.83291815655398e-25
AASS	-1.76502953220156	1.06531335589094e-37	1.31237720715289e-36	1.31237720715289e-36	3.04064008159423e-37
AATF	-0.0883759692051203	0.378339039540116	0.449605037937283	0.449605037937283	0.104168762745018
AATK	0.926113235151688	4.67839639811557e-17	2.39405481238679e-16	2.39405481238679e-16	5.54677342794536e-17
ABAT	1.79998886787095	1.20823244051763e-23	8.58901746933446e-23	8.58901746933446e-23	1.98998509242845e-23
