gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	0.494272282463516	0.0133663375521845	0.0203825369740578	0.0203825369740578	0.00481637722051871
A1CF	-0.311385415279625	0.543663732102275	0.607818565890007	0.607818565890007	0.143627042045207
A2M	-4.77329856189893	9.54950794202089e-18	4.19741175980901e-17	4.19741175980901e-17	9.91845049063917e-18
A2ML1	-7.90441106834481	6.43299904335559e-47	7.5669013249639e-46	7.5669013249639e-46	1.78805274426118e-46
A3GALT2	0.407580780984239	0.435262755832592	0.503009588136634	0.503009588136634	0.118860764245751
A4GALT	-3.28795534369369	2.55847178725938e-10	7.63911440153132e-10	7.63911440153132e-10	1.80511663662382e-10
A4GNT	-0.732807652524203	0.196929284586224	0.247401674011578	0.247401674011578	0.0584608181279966
AAAS	-0.105497297685691	0.514413682235716	0.580377716400196	0.580377716400196	0.13714279121016
AACS	-0.60267596306572	7.65472857743229e-13	2.67558453712207e-12	2.67558453712207e-12	6.32238490849716e-13
AADAT	0.898746265264837	3.26835567666772e-05	6.61334034575467e-05	6.61334034575467e-05	1.56272704587121e-05
AAGAB	0.316667278296003	0.0500599556151566	0.0700830254406302	0.0700830254406302	0.0165605629812865
AAMDC	-1.7327880499774	8.72571621042185e-25	5.17546148357145e-24	5.17546148357145e-24	1.22295741824836e-24
AANAT	-1.04801347584911	0.0805622496626126	0.109238148118748	0.109238148118748	0.0258128872220582
AARD	-2.59557174189711	6.59850011365222e-05	0.000129640822030855	0.000129640822030855	3.06340227849675e-05
AARS2	-0.384218855479795	0.000176169776386674	0.000331738183973043	0.000331738183973043	7.83894681264459e-05
AARSD1	0.936712059178086	7.57034761259258e-12	2.49080488380054e-11	2.49080488380054e-11	5.88575206234759e-12
AASDH	-0.346191415133784	0.0067508178647531	0.0107034847805075	0.0107034847805075	0.00252922491162992
AASDHPPT	1.01547440490296	1.08911655014879e-16	4.54894193675521e-16	4.54894193675521e-16	1.07491134933476e-16
AASS	-2.18783121406519	3.3991168891148e-81	8.08316310380518e-80	8.08316310380518e-80	1.91004499059442e-80
AATF	-0.348736383321997	0.00296748713510819	0.0049033599407908	0.0049033599407908	0.00115866004084217
AATK	0.254062974585309	0.128644161730257	0.168404909458901	0.168404909458901	0.0397939457082164
ABAT	1.85328703127723	1.98924214328805e-19	9.41137597942438e-19	9.41137597942438e-19	2.22390063311203e-19
ABCA1	-1.65308469729262	4.02660662109958e-14	1.49774166860367e-13	1.49774166860367e-13	3.53915161006e-14
ABCA10	-0.849369884381877	0.0151064603427557	0.022838839069522	0.022838839069522	0.00539679944540483
ABCA13	-5.21712057929271	1.38064790110619e-09	3.92042755208749e-09	3.92042755208749e-09	9.26393901828846e-10
ABCA2	0.759378453768142	2.24627269920566e-10	6.74496505183686e-10	6.74496505183686e-10	1.59382985887426e-10
ABCA3	3.18275040495807	2.47661422314424e-32	1.94215528584619e-31	1.94215528584619e-31	4.58929744092467e-32
ABCA4	-11.2599431509092	1.73144794100442e-164	1.477694626095e-162	1.477694626095e-162	3.49178060859907e-163
ABCA5	-0.167078082689341	0.0844184426881551	0.114117926484991	0.114117926484991	0.0269659749556543
ABCA6	0.123224192680736	0.811531422167229	0.845719130814258	0.845719130814258	0.199842755678306
ABCA7	0.424530156486213	0.0295609113898824	0.0427965998276668	0.0427965998276668	0.0101128023850995
ABCA8	-8.33329902979545	1.29719003964742e-73	2.71121542708349e-72	2.71121542708349e-72	6.40658041712076e-73
ABCA9	0.357687112340331	0.463948127240195	0.531957839279286	0.531957839279286	0.12570121288837
ABCB1	-1.17140138437598	0.00135271448771687	0.00232287055223637	0.00232287055223637	0.000548892457707519
ABCB10	-0.466726542857866	0.000205329432796368	0.000383824622367706	0.000383824622367706	9.06974519510946e-05
ABCB4	2.92213312548658	5.9532566773882e-15	2.3071122370847e-14	2.3071122370847e-14	5.45168780413232e-15
ABCB5	-5.00856931247406	1.5296915697552e-06	3.46594718209135e-06	3.46594718209135e-06	8.19000553100552e-07
ABCB7	0.0754453183038195	0.599127253919563	0.660764798241965	0.660764798241965	0.156138194495799
ABCB8	0.160028602603066	0.299005478966511	0.360939978617283	0.360939978617283	0.0852898288961476
ABCB9	0.115517443696111	0.292899631454788	0.35437695033539	0.35437695033539	0.083738990550815
ABCC1	-0.849239171091486	2.63571385920058e-08	6.82336304432748e-08	6.82336304432748e-08	1.61235524193363e-08
ABCC10	0.066827493578412	0.648200182045574	0.705565875191958	0.705565875191958	0.166724653225214
ABCC11	-0.00126409304728085	0.992710138271489	0.995455186763784	0.995455186763784	0.235225266201089
ABCC12	0.287511397293715	0.409127159810164	0.476534341421165	0.476534341421165	0.112604684575674
ABCC2	-0.0399627928227674	0.909565841455439	0.93002865125389	0.93002865125389	0.219765028074286
ABCC3	-3.4079060389567	3.01761628379737e-06	6.67097731352643e-06	6.67097731352643e-06	1.57634661535802e-06
ABCC4	-1.58310442115872	8.93784551700058e-14	3.27336529274688e-13	3.27336529274688e-13	7.73493606340013e-14
ABCC5	0.795923518979215	2.37717968656417e-10	7.11856419980483e-10	7.11856419980483e-10	1.68211103938522e-10
ABCC6	-0.0573465273612403	0.831495560201127	0.863711866644784	0.863711866644784	0.204094424795809
ABCC8	6.7444279090569	1.01081195260338e-110	3.77812487004698e-109	3.77812487004698e-109	8.92767891628498e-110
ABCC9	-0.485235908358816	0.358076487204212	0.423951521882936	0.423951521882936	0.100179406282942
ABCD1	0.582956180210272	0.000377008869557171	0.000687105262087705	0.000687105262087705	0.000162362425081323
ABCD2	-1.60771520160483	0.00137497191392801	0.0023592447829512	0.0023592447829512	0.000557487659396679
ABCD3	-1.23879506403799	8.20920389201207e-22	4.30849983563681e-21	4.30849983563681e-21	1.01809507272728e-21
ABCD4	0.482110747089512	0.00278494454757143	0.0046166308557022	0.0046166308557022	0.00109090618686223
ABCE1	-0.167433192586327	0.111258924177955	0.147404880829818	0.147404880829818	0.0348316557024093
ABCF1	-0.366448324700057	1.18403272018575e-05	2.48927201963781e-05	2.48927201963781e-05	5.88212991656422e-06
ABCF2	-0.025762053276614	0.808837594162797	0.843655833889794	0.843655833889794	0.199355200261687
ABCF3	-0.569107460059634	3.68790294037246e-07	8.77669480557733e-07	8.77669480557733e-07	2.0739259782445e-07
ABCG1	-0.683575240367657	3.31671346673113e-05	6.70853881183984e-05	6.70853881183984e-05	1.58522236743322e-05
ABCG2	-5.62613052774193	7.03346221011281e-25	4.18466485173327e-24	4.18466485173327e-24	9.88832964858394e-25
ABCG4	3.33923875281869	4.73460402316341e-14	1.75725989378681e-13	1.75725989378681e-13	4.15239110506124e-14
ABHD10	0.582900319047656	0.000341120574363963	0.000624439259220591	0.000624439259220591	0.000147554498614943
ABHD11	-2.55760240093488	4.39366412823535e-72	8.9044153480147e-71	8.9044153480147e-71	2.10410624049402e-71
