gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.258684247641654	0.179496441997556	0.240928295497288	0.240928295497288	0.0699182885511793
A1CF	-0.250241453884132	0.595158117753609	0.669852663560037	0.669852663560037	0.194393737443322
A2M	-9.35470530971894	3.33851043244895e-46	1.18170961436131e-44	1.18170961436131e-44	3.42936530680545e-45
A2ML1	-4.58084659616756	1.97870754316398e-09	7.70908071977808e-09	7.70908071977808e-09	2.23720393288486e-09
A3GALT2	0.425540533105538	0.393365476095815	0.47306654958996	0.47306654958996	0.137285674353322
A4GALT	-2.10406931732645	4.73125183055776e-06	1.32268408773482e-05	1.32268408773482e-05	3.83847847831297e-06
A4GNT	-3.46469601323374	4.23979373075805e-05	0.000105613282458092	0.000105613282458092	3.06493678648268e-05
AAAS	-0.412164050190124	0.0146211691444611	0.0249041357575354	0.0249041357575354	0.0072272729378634
AACS	-0.206138862675432	0.246345240291253	0.31655002771679	0.31655002771679	0.0918639968506129
AADAT	0.936453444884681	5.68040048256533e-06	1.5748477208657e-05	1.5748477208657e-05	4.57026673203252e-06
AAGAB	0.919682040861884	8.16806163383348e-09	3.01122540962203e-08	3.01122540962203e-08	8.73868827436944e-09
AAMDC	-1.77025941172423	1.47704686039882e-20	1.30855789327835e-19	1.30855789327835e-19	3.79748373595202e-20
AANAT	-1.10126310667859	0.0820742936566464	0.119952934939911	0.119952934939911	0.0348107884147794
AARD	-3.444466339836	1.27535984706284e-12	6.49174220363797e-12	6.49174220363797e-12	1.8839277622289e-12
AARS2	0.0376203328886865	0.798137743380849	0.84540448756028	0.84540448756028	0.245339530509263
AARSD1	0.56153841320152	0.000585478690620681	0.00125074727371922	0.00125074727371922	0.000362971516516978
AASDH	-0.0924084636642855	0.598766383147255	0.673124711153174	0.673124711153174	0.195343297839696
AASDHPPT	1.44510605739055	4.94029062375957e-18	3.67697405824586e-17	3.67697405824586e-17	1.06707156446275e-17
AASS	-1.72543113735737	3.03981781104728e-05	7.7442257401838e-05	7.7442257401838e-05	2.24740314868387e-05
AATF	0.229001253763285	0.0148460667080748	0.0252675910446981	0.0252675910446981	0.00733274901567669
AATK	1.10576017053812	7.8207921526038e-11	3.44842161447473e-10	3.44842161447473e-10	1.00074479416919e-10
ABAT	0.848390476812035	0.00471875305799833	0.0087600585470659	0.0087600585470659	0.00254220161212187
ABCA1	-1.87930528713483	2.42540014245524e-08	8.56135041093689e-08	8.56135041093689e-08	2.48453577104389e-08
ABCA10	-0.312245146258479	0.426797548995962	0.506721071773396	0.506721071773396	0.147052342017727
ABCA13	-4.81372759322787	1.12770483642153e-06	3.3697338449927e-06	3.3697338449927e-06	9.77909310438497e-07
ABCA2	0.116342866712041	0.469003487207719	0.548939548227427	0.548939548227427	0.159304301102945
ABCA3	1.86852563051241	6.24552253248419e-05	0.000152291614514321	0.000152291614514321	4.41955936539514e-05
ABCA4	-9.43925551338871	2.79568053591501e-25	3.36577150413216e-24	3.36577150413216e-24	9.76759424365323e-25
ABCA5	0.19175294529699	0.105640293536693	0.150584224673906	0.150584224673906	0.0437001027640786
ABCA6	-0.337879939754069	0.484385373719274	0.56402982151908	0.56402982151908	0.163683554607164
ABCA7	0.447291005007586	0.1183237236781	0.166463180002444	0.166463180002444	0.0483082347323907
ABCA8	-8.58800836716086	1.24562971079574e-44	4.12400077957849e-43	4.12400077957849e-43	1.19680038368554e-43
ABCA9	0.811271818465401	0.0829851346927938	0.121111309058588	0.121111309058588	0.0351469528977129
ABCB1	1.24660362838534	0.00194124678839401	0.00383013526371805	0.00383013526371805	0.00111151951665097
ABCB10	-0.368360517605716	0.0361870464959454	0.0570042461311232	0.0570042461311232	0.016542844506544
ABCB4	1.98005449173325	7.03343022637824e-07	2.14678233931298e-06	2.14678233931298e-06	6.23004229315817e-07
ABCB5	-0.100935258097492	0.657485342873231	0.726691836622676	0.726691836622676	0.210888677130673
ABCB7	0.0642511525480403	0.682944921300245	0.7503504420694	0.7503504420694	0.217754492534082
ABCB8	-0.018441861081511	0.94009336194378	0.958118106958161	0.958118106958161	0.278049442595108
ABCB9	0.0174004692481036	0.893526936787998	0.922375999141379	0.922375999141379	0.267676949805903
ABCC1	0.184953602641801	0.481862864843065	0.561722365284502	0.561722365284502	0.163013922215106
ABCC10	0.330032226508377	0.169599999346548	0.229146454701994	0.229146454701994	0.0664991544777443
ABCC11	-0.158039927717416	0.456517147847434	0.536655679922887	0.536655679922887	0.155739476776816
ABCC12	0.0765195539065162	0.874321538377485	0.907828825451499	0.907828825451499	0.263455305828579
ABCC2	-0.681288121188509	0.194386589635308	0.258073354937136	0.258073354937136	0.074893848647465
ABCC3	-8.38506859158425	8.9064586988162e-29	1.31939265700303e-27	1.31939265700303e-27	3.82892662375905e-28
ABCC4	-1.7902779757701	4.17955610399887e-09	1.58495040408864e-08	1.58495040408864e-08	4.59958509496139e-09
ABCC5	1.20563573180401	1.34768175955045e-07	4.44558453730171e-07	4.44558453730171e-07	1.29012518772923e-07
ABCC6	-1.9833600095507	2.60088007026347e-11	1.1955332028542e-10	1.1955332028542e-10	3.4694818753913e-11
ABCC8	3.47219402320981	2.43611679611865e-10	1.03038618452574e-09	1.03038618452574e-09	2.99021907825809e-10
ABCC9	-5.49942615254183	2.03177579044246e-10	8.65321311138815e-10	8.65321311138815e-10	2.51119466880426e-10
ABCD1	0.13125656916362	0.574978963785428	0.651628686217023	0.651628686217023	0.189105071353732
ABCD2	-1.30363433070399	0.00611550456698578	0.011121863520544	0.011121863520544	0.00322760621059965
ABCD3	-0.527352180038464	0.00209071053738862	0.00410919847433009	0.00410919847433009	0.00119250469957984
ABCD4	0.446790678920648	0.000137243518240635	0.000320659304519031	0.000320659304519031	9.30565242812442e-05
ABCE1	-0.265444914069074	0.0723799437879562	0.107202149679	0.107202149679	0.0311104630491498
ABCF1	-0.0282213401212627	0.697165183075699	0.763027325620468	0.763027325620468	0.221433371348311
ABCF2	0.312681756637709	0.0825134545793106	0.120503060105273	0.120503060105273	0.0349704367863901
ABCF3	-0.464156474811743	1.15368249191227e-06	3.444009024632e-06	3.444009024632e-06	9.99464244164699e-07
ABCG1	1.2595526749764	5.9873190199019e-05	0.000146437183225176	0.000146437183225176	4.24966158924037e-05
ABCG2	-3.84411685156094	6.67364522624829e-06	1.83728562662413e-05	1.83728562662413e-05	5.33187130752296e-06
ABCG4	2.72140819186448	4.87889735429264e-26	6.20443883747049e-25	6.20443883747049e-25	1.80055125547215e-25
ABHD10	0.335737082290941	0.11565122769001	0.163038832685504	0.163038832685504	0.0473144763890169
ABHD11	-0.199459171882122	0.567566577533462	0.644369060976205	0.644369060976205	0.186998301074579
ABHD12B	-2.25929862480723	0.00159983651130574	0.00319012052007772	0.00319012052007772	0.000925784854682392
ABHD13	-0.277552500795699	0.20737086999996	0.272719057010477	0.272719057010477	0.0791440859285819
ABHD14A	-0.0943427692697139	0.532751372743177	0.611988827344701	0.611988827344701	0.177601436693294
ABHD14A-ACY1	-0.541466110460052	0.000697914680442738	0.00147170423074281	0.00147170423074281	0.000427094048271409
ABHD14B	-2.77784871313462	2.99216885101337e-41	8.35739961623044e-40	8.35739961623044e-40	2.42534849092349e-40
ABHD15	-3.93083074353236	3.35728426993647e-23	3.56178183389254e-22	3.56178183389254e-22	1.03364235198871e-22
ABHD16A	0.650353024072724	1.33758923768269e-12	6.79723647677191e-12	6.79723647677191e-12	1.97258333792882e-12
ABHD17A	-0.228378495309541	0.149681171773369	0.204937803991309	0.204937803991309	0.0594737138904082
ABHD17B	0.947575531155475	8.69537147467995e-08	2.91910613186262e-07	2.91910613186262e-07	8.47135469986278e-08
ABHD17C	1.89318286384273	3.48085988452733e-18	2.61865668688094e-17	2.61865668688094e-17	7.59943922202687e-18
ABHD18	-0.153713768331318	0.165361025343713	0.224011271094948	0.224011271094948	0.0650089050719631
ABHD2	-0.288409100935975	0.428717133607045	0.508724903944958	0.508724903944958	0.147633861576027
ABHD3	-0.930531018278144	5.77472860789653e-10	2.36563682332017e-09	2.36563682332017e-09	6.86516615571446e-10
ABHD4	-2.22002014061805	2.04894694606502e-31	3.43248887518548e-30	3.43248887518548e-30	9.96121053895195e-31
ABHD5	0.29451571311343	0.0775430186095888	0.114028598043364	0.114028598043364	0.0330915237856407
ABHD6	0.116396457545122	0.645783837973452	0.71612873160674	0.71612873160674	0.207823224718883
ABHD8	0.308577023911657	0.0733676760220225	0.108518605724081	0.108518605724081	0.0314925034958105
ABI1	-0.393943877330679	0.000332243371718811	0.000735435544141842	0.000735435544141842	0.000213426133613608
ABI3	0.130946486524494	0.798186869390334	0.84540448756028	0.84540448756028	0.245339530509263
ABI3BP	-7.37016970007714	3.71388383120978e-48	1.44803765012804e-46	1.44803765012804e-46	4.20225918444534e-47
ABL1	-0.111988885432628	0.505390897553046	0.584756719756714	0.584756719756714	0.169698577661051
ABL2	1.15446000061943	8.16770960013385e-17	5.56469943096355e-16	5.56469943096355e-16	1.61489649736501e-16
ABLIM1	0.0435497971194722	0.900657934621944	0.927153199200047	0.927153199200047	0.269063311052843
ABLIM2	2.4145121220725	3.28139135461525e-14	1.88095753069269e-13	1.88095753069269e-13	5.45860879943702e-14
ABLIM3	-1.90370288312749	6.40687544050973e-05	0.000156027933603536	0.000156027933603536	4.52798873673977e-05
ABO	-1.08827196110876	9.60291887137308e-05	0.000228465293018481	0.000228465293018481	6.63014788205968e-05
ABR	0.436917620655508	0.00288569570956658	0.00555027638542154	0.00555027638542154	0.00161071087583844
ABRA	-1.82728144798797	0.00916108378918571	0.0162059614428225	0.0162059614428225	0.00470303036042235
ABRACL	1.12231135751769	3.8989587188085e-05	9.76774361355775e-05	9.76774361355775e-05	2.83463557095708e-05
ABRAXAS1	-0.831317782831435	5.19289544414491e-08	1.78184632148658e-07	1.78184632148658e-07	5.17098437949804e-08
ABRAXAS2	-0.292972810832579	0.0818149465288947	0.11964219025006	0.11964219025006	0.0347206091485961
ABT1	0.365195182975529	0.0377832910415529	0.0593180293285984	0.0593180293285984	0.0172143130067965
ABTB1	0.299022428509575	0.128411851982928	0.178877663235559	0.178877663235559	0.0519109639971917
ABTB2	1.46687899998034	1.02330321699989e-10	4.47607745431443e-10	4.47607745431443e-10	1.29897434579953e-10
ACAA1	-0.321349381354581	0.0438888926584731	0.0679521436221996	0.0679521436221996	0.0197199651275565
ACAA2	-1.36505756736112	2.17462913116757e-24	2.48931838397886e-23	2.48931838397886e-23	7.2240946505492e-24
ACACA	1.42776506636894	5.44007777018094e-08	1.86416405767387e-07	1.86416405767387e-07	5.40987351536077e-08
ACACB	-0.812702250893588	0.000263332569389563	0.000591852952591436	0.000591852952591436	0.000171757930855495
ACAD10	-0.636231589902978	4.25379102883092e-10	1.76279303439171e-09	1.76279303439171e-09	5.11569103081942e-10
ACAD11	-1.59698312893051	5.80308992649359e-12	2.80601408406656e-11	2.80601408406656e-11	8.14315736570044e-12
ACAD8	0.368166251148281	0.0418720272800968	0.0651182509695128	0.0651182509695128	0.0188975589265553
ACAD9	-0.639868463053578	2.75807536850824e-06	7.9239861251213e-06	7.9239861251213e-06	2.29957028180615e-06
ACADM	0.5457279884046	8.23000600852079e-07	2.49269227726531e-06	2.49269227726531e-06	7.23388581450759e-07
ACADS	-0.0923785780218622	0.678294174707327	0.74609445165788	0.74609445165788	0.216519388267689
ACADSB	-1.25204612175156	1.62483909047356e-15	1.02047334864492e-14	1.02047334864492e-14	2.96145165938582e-15
ACADVL	-1.40468513499337	3.36274841699783e-15	2.06304078202559e-14	2.06304078202559e-14	5.98702117544096e-15
ACAN	-6.98224780589697	1.06882010139677e-21	1.03200593322798e-20	1.03200593322798e-20	2.99491964931017e-21
ACAP1	-1.34615996823098	0.000722627742436078	0.00152026943019762	0.00152026943019762	0.000441187850006148
ACAP2	-0.65788099823298	5.59170175588072e-06	1.55193717025907e-05	1.55193717025907e-05	4.50377946100134e-06
ACAT1	0.351480252152134	0.0504903546093665	0.0772081253741876	0.0772081253741876	0.0224060855005254
ACAT2	2.94815740562496	4.97823923499111e-31	8.19675360428012e-30	8.19675360428012e-30	2.3787284200225e-30
ACBD3	-0.934929317763135	3.91127917717337e-07	1.22697714355192e-06	1.22697714355192e-06	3.56073336224348e-07
ACBD4	-0.206358034121099	0.12197900280176	0.17100213917144	0.17100213917144	0.0496254575859575
ACBD5	0.472542271195511	0.00477145393527278	0.00884613508974903	0.00884613508974903	0.00256718134535073
ACBD6	1.12614108021676	2.46491639614776e-19	2.00137662143878e-18	2.00137662143878e-18	5.80806948509362e-19
ACBD7	-0.321308142650982	0.357612624332726	0.436003582142805	0.436003582142805	0.126529863180606
ACCS	-2.5441477398457	2.43097970510867e-25	2.94052836455743e-24	2.94052836455743e-24	8.53352281689007e-25
ACCSL	0.258059211671423	0.438986082844466	0.519265743024308	0.519265743024308	0.150692852330103
ACD	1.04411553101299	4.22672263783373e-16	2.75832256424816e-15	2.75832256424816e-15	8.00475479919307e-16
ACE	-0.440582847349268	0.147483806084233	0.202253725144258	0.202253725144258	0.0586947842136972
ACE2	-1.46702839719458	0.00221140448546353	0.00433034999435192	0.00433034999435192	0.0012566836942409
ACER1	-0.757314816677038	0.174604172960566	0.235142293552999	0.235142293552999	0.0682391692403344
ACER2	0.939881343606243	0.00444649128229431	0.00829774041285291	0.00829774041285291	0.00240803516793719
ACER3	0.472320507512878	0.0409982383129929	0.0638692766417399	0.0638692766417399	0.0185351019255542
ACHE	3.2279983249334	1.47385264860769e-22	1.49645237197035e-21	1.49645237197035e-21	4.34276051015758e-22
ACIN1	0.0844082122835426	0.544042439118287	0.622399460063682	0.622399460063682	0.180622641076713
ACKR1	3.46385573928012	7.57368638920079e-08	2.55483026593989e-07	2.55483026593989e-07	7.41421257161064e-08
ACKR2	-3.19336586455306	9.69606820974683e-05	0.000230538616062732	0.000230538616062732	6.69031648889289e-05
ACKR4	-2.132203594981	0.000951798794774437	0.00196051663788213	0.00196051663788213	0.000568949229121881
ACLY	1.35141781239749	1.10033986847064e-08	4.00080971821207e-08	4.00080971821207e-08	1.16104987892326e-08
ACO1	-0.831828594770631	1.43044320435473e-10	6.16834100633779e-10	6.16834100633779e-10	1.79007553045198e-10
ACO2	0.184772940558489	0.00681648578243174	0.0122948050475187	0.0122948050475187	0.00356799820966892
ACOD1	-2.28907430846912	0.00084409817102116	0.00175586135453311	0.00175586135453311	0.000509557503773952
ACOT1	-1.2145710176712	1.61621549586437e-06	4.76094006662865e-06	4.76094006662865e-06	1.38164253669889e-06
ACOT11	-4.49893469442812	9.91381509502681e-57	5.57860906556051e-55	5.57860906556051e-55	1.61893312512343e-55
ACOT12	0.550130419871346	0.294401852505978	0.36895099185812	0.36895099185812	0.107070951781462
