gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.148622032971452	0.420120304957742	0.551563750236008	0.573229451184625	0.259874544352572
A1CF	-0.455175301754769	6.47103955086417e-06	3.18754959206235e-05	3.31625971369638e-05	1.50343196824698e-05
A2M	-0.930517466778494	0.00930707151260063	0.0235108391292181	0.0244601837203032	0.0110890657937369
A2ML1	-1.39636770176726	0.00111933274067307	0.00356275690196099	0.00370661752623042	0.00168040134491998
A3GALT2	0.0160182312822332	0.825504100456433		0.891280107199681	0.40406334892662
A4GALT	1.06678419493251	3.2246985155303e-05	0.000140765631063173	0.00014644960898187	6.63931787282119e-05
A4GNT	-0.0419409962496044	0.753522457895604	0.836479677771585	0.856361953869732	0.388233144865226
AAAS	-0.430655034765835	6.92586445200206e-08	4.53127768664819e-07	4.71424622889719e-07	2.13721152702237e-07
AACS	-0.406824176124279	2.88612374588166e-07	1.7362980672411e-06	1.80640807775954e-06	8.18938167172727e-07
AADAC	0.0635618601730931	0.78954158375602	0.861823035774113	0.867307799182163	0.393195462410571
AADACL2	-0.0023352294349498	0.971259086524318		0.987781898203294	0.447812599622733
AADACL3	-0.0161243923467877	0.89736681392624	0.934342400339631	0.938600654202534	0.425516199204057
AADACL4	0.00327233050410097	0.917989738298487		0.952285390495016	0.431720197622569
AADAT	-0.299427789601869	0.000979984975359726	0.00316305224235084	0.00329077318506545	0.0014918776072465
AAGAB	0.0593294248762217	0.496901632507535	0.62337457839621	0.646636866310025	0.293153920557667
AAK1	-0.322010100172518	1.09157798817002e-05	5.1522098143763e-05	5.36025098604741e-05	2.43007887981987e-05
AAMDC	0.154078373727109	0.27549469328779	0.398103885136742	0.414178928990656	0.187768720238375
AAMP	0.137904527201697	0.0632560039493047	0.121928458370469	0.126851809758191	0.0575084831965334
AANAT	0.158231750290041	0.26583947977223	0.387760621488906	0.403418014516141	0.182890241402191
AARD	4.28499874894046	6.02617246428662e-08	3.97323833323136e-07	4.13367379451004e-07	1.87400802877533e-07
AARS2	0.473509556214219	7.92007217625582e-07	4.48801811738673e-06	4.66923988071961e-06	2.11680782270911e-06
AARSD1	-0.269746634519277	0.00751227536051689	0.0195048577337621	0.0202924447308769	0.00919961425104429
AASDH	0.12776041931286	0.375132441192619	0.506629602537405	0.526646321209661	0.238756003335981
AASDHPPT	-0.177132613494656	0.0237731701051723	0.0531890505318301	0.0553367721486476	0.0250870195492454
AASS	0.923681838307609	3.37148385070761e-22	8.8663436054358e-21	9.22435785147185e-21	4.181878283892e-21
AATF	-0.0356299030111114	0.666762485687676	0.769895155634933	0.790692008828694	0.358461563851846
AATK	0.323066629151528	0.000119955670817772	0.000471385791359106	0.000490419886606901	0.000222332687739661
ABAT	0.540177214565066	3.56215277672158e-11	3.60841159885341e-10	3.75411571494014e-10	1.70193472936665e-10
ABCA1	0.00214964889762459	0.968793677025598	0.982113981851603	0.986648377105367	0.447298715909624
ABCA10	-0.009169396704174	0.970261603475949	0.983192642542521	0.987749062593015	0.447797713543097
ABCA12	1.95747876782587	6.66698657803598e-08	4.37431256706814e-07	4.55094301196369e-07	2.06317773653202e-07
ABCA13	1.41549328865771	0.000124329057777856	0.000486912756715752	0.000506573815573662	0.000229656098846793
ABCA2	-1.06636911589319	1.61131667732779e-67	2.79762692352815e-65	2.91059235079888e-65	1.31952198093939e-65
ABCA3	0.97357940101025	1.75126794768669e-15	2.71119113627008e-14	2.82066637135078e-14	1.27875388556984e-14
ABCA4	0.160315169196897	0.303359848360249	0.430019442671666	0.447383205390557	0.202821935285418
ABCA5	0.673153707943511	7.20021029162286e-07	4.1067395117921e-06	4.27256561953276e-06	1.93697487332158e-06
ABCA6	2.21829950938686	1.90824111076415e-05	8.67465349535717e-05	9.02492748303122e-05	4.0914661879652e-05
ABCA7	0.326261100588073	1.80459665871566e-08	1.28251858487156e-07	1.33430542560583e-07	6.04909628753177e-08
ABCA8	-0.956102876758588	2.17912665909327e-07	1.3318076519447e-06	1.38558473679439e-06	6.28157191491452e-07
ABCA9	0.525568527700634	0.0910616315266238	0.165024934260426	0.171688479014114	0.0778352632827453
ABCB1	-0.419847621922915	0.0845050796278625	0.155024495394923	0.161284232249911	0.0731184803582264
ABCB10	0.243951351629028	0.0506176652834473	0.101161778874351	0.105246592141588	0.0477137211302266
ABCB11	-0.748313641205446	0.0352826235924168	0.0743453638453287	0.0773473566134686	0.0350655553640196
ABCB4	-0.257980782568883	0.27856580040642	0.401822581665398	0.41804778283254	0.18952267169228
ABCB5	0.0803605376375835	0.456427093395969	0.58547253551515	0.607665140431041	0.275486022503049
ABCB6	-0.713351810956629	2.00754593583686e-15	3.09016627511514e-14	3.21494415406325e-14	1.45750038737465e-14
ABCB7	-0.262061514778409	0.0490140226934095	0.0984487404441452	0.102424003884387	0.0464340959544456
ABCB8	-0.0299398315724057	0.736618222839661	0.823268961238563	0.842919106580549	0.382138807236798
ABCB9	-0.108837351504874	0.160382884580074	0.261216707415216	0.271764381486853	0.123204843477952
ABCC1	0.00366608119192309	0.955000731846901	0.973325558109696	0.977758245629942	0.44326835972043
ABCC10	-0.271728588818828	1.95713385811104e-05	8.87941568050548e-05	9.23795776409312e-05	4.18804382735524e-05
ABCC11	0.0671341658645273	0.756498022518637	0.838608648195004	0.857184755332284	0.388606163304407
ABCC12	-0.191869992801773	0.216876917686195	0.331118720676909	0.344488969384492	0.156174658800718
ABCC2	-0.572999258607835	0.0145210949968682	0.0347366105058416	0.0361392407188724	0.0163837861011088
ABCC3	-0.753446207924619	3.40776651651336e-13	4.23596658523027e-12	4.4070107552662e-12	1.99792580373338e-12
ABCC4	0.269159892724233	0.0271953794644818	0.0596770580536736	0.0620867590415348	0.0281471375605405
ABCC5	-0.285464650556878	0.000176641084293536	0.000670007890084033	0.00069706215058659	0.000316014308746271
ABCC6	1.93600870535436	3.77193497124134e-37	2.12214055681651e-35	2.20783050807956e-35	1.00092370709349e-35
ABCC8	-1.06371090484897	1.76353265130231e-05	8.0485476881228e-05	8.373540138278e-05	3.79615862994468e-05
ABCC9	1.04448686289063	9.0985831560495e-05	0.00036664542605623	0.000381450208231783	0.000172931099148116
ABCD1	-0.0840463469861133	0.390688402763388	0.522135874807187	0.542680211511672	0.246024994710767
ABCD2	-1.40492619328814	0.00640416623219897	0.0169606941676137	0.0176455503388705	0.00799964018716723
ABCD3	-0.230784312133519	0.00760753290548019	0.0197173088001266	0.0205134743626263	0.00929981840964184
ABCD4	0.607484346965838	1.06333130933739e-17	2.00345515191025e-16	2.08435270309905e-16	9.44944834687944e-17
ABCE1	-0.257448180886459	0.00940044612050453	0.0237318642132249	0.0246901335801056	0.0111933139528581
ABCF1	-0.256822391128684	0.000200556148876037	0.000752586599093974	0.000782975306755414	0.000354963183873194
ABCF2	-0.293916741922578	0.00077180729717291	0.00255953428372376	0.00266288576405991	0.00120722377953176
ABCF3	-0.13359166446544	0.0930331024241283	0.167881705950201	0.174660604338727	0.079182681341773
ABCG1	-0.800679514551055	1.15940399285507e-09	9.69994625524916e-09	1.00916205574986e-08	4.57505330324407e-09
ABCG2	-0.331447239350751	0.0275021228045066	0.0601811596319783	0.0626112157464299	0.0283849008976049
ABCG4	0.525291963016259	0.07706916256319	0.143500434491216	0.149294841086143	0.0676830695304853
ABCG5	-3.03152300247886	6.07129450392554e-08	3.99972225030133e-07	4.16122710613811e-07	1.88649936935448e-07
ABCG8	-0.0921332230527949	0.603023436481941	0.717804602202278	0.740565151652908	0.335736468095753
ABHD1	-0.771698428972002	0.0371973576091137	0.077740840449697	0.0808799392279966	0.0366670576864161
ABHD10	0.298339818993149	0.00823564509528426	0.0211214995796625	0.0219743649866074	0.00996211565286873
ABHD11	-0.0592052429061441	0.544497230672711	0.666818110251973	0.690131958508441	0.312872494408465
ABHD12B	-0.208757164534238	0.403434999276542	0.535360365986056	0.556428945225503	0.252258006468838
ABHD13	-0.332642761591242	0.00366479976939135	0.0103273162087892	0.0107443230935437	0.00487095710546836
ABHD14A	-0.0924343922375894	0.419509605031773	0.55112046151233	0.572814911397932	0.259686612036882
ABHD14A-ACY1	-0.56368132071139	1.93226158913352e-08	1.36723172128567e-07	1.42243919526091e-07	6.44865222772041e-08
ABHD14B	1.64878914175059	5.77449622766655e-23	1.59658887993376e-21	1.6610575706947e-21	7.5304326816356e-22
ABHD15	0.307959175980119	7.75555592814593e-05	0.000316554503467574	0.000329336663389594	0.000149305335167438
ABHD16A	0.359458188681519	1.8043527030834e-06	9.64731228367143e-06	1.0036861277847e-05	4.55022809089826e-06
ABHD17A	0.0584352416513838	0.551176984310764	0.672550046525043	0.696077443951024	0.315567890322183
ABHD17B	-0.00223438415682421	0.981609348567188	0.990565974083769	0.993616259736093	0.450457617323395
ABHD17C	0.184858716666027	0.101270629954049	0.180089962760795	0.187361818568068	0.0849407983641158
ABHD18	-0.323618684401062	0.0032852021321399	0.00935888476140842	0.00973678733553601	0.00441418905998489
ABHD2	0.152453193584563	0.119399414330679	0.206241157808887	0.214568973185823	0.0972752080752836
ABHD3	0.0741090158789161	0.540133126013923	0.662875435511675	0.686044379950245	0.311019383733287
ABHD4	-0.673903354132701	1.37487311097562e-22	3.68160466383471e-21	3.83026424399327e-21	1.73645679422201e-21
ABHD5	-0.273175288092484	0.047895475535514	0.0966353303221406	0.100537370042834	0.0455787873011297
ABHD6	0.242734888753959	0.157812583444872	0.258097820812757	0.268519557306837	0.121733796930112
ABHD8	-0.0705502263152875	0.472488342202058	0.600115571583154	0.62248699401242	0.282205534973948
ABI1	0.108698025212175	0.203724028504549	0.31548210302704	0.328220960472611	0.148799529356895
ABI2	-0.0185887455545459	0.804288407216269	0.871132607413543	0.876897777312182	0.397543095268128
ABI3	0.0319179184444777	0.762753656818634	0.842766066556075	0.857184755332284	0.388606163304407
ABI3BP	-0.614486958944393	0.063303403022626	0.121990696814219	0.126916561329167	0.0575378384311061
ABL1	-0.0243992346007257	0.720029085502177	0.810534693502765	0.830126182647113	0.37633911346449
ABL2	-0.149001037864355	0.0712425840388186	0.134591553115105	0.140026227830597	0.0634811279840638
ABLIM1	-0.404601949772764	8.49169626748013e-08	5.48900799163337e-07	5.71064874289026e-07	2.58893229744089e-07
ABLIM2	1.19432078571999	7.84526692668706e-06	3.80870490274251e-05	3.96249666570703e-05	1.79640458697845e-05
ABLIM3	-0.939908947896323	0.00175905747424006	0.00533198818031804	0.00554728862582293	0.00251487271117832
ABO	-1.48181763372706	1.23678804518046e-34	6.16370881652129e-33	6.41259332437859e-33	2.90716006452099e-33
ABR	-0.213346803713063	0.00309303505589456	0.00887091244183471	0.00922911117299692	0.00418403321027085
ABRA	-0.168154156869464	0.161944667068349	0.263123419113769	0.273748084330972	0.124104158528289
ABRACL	0.314261620044004	1.69731417888873e-05	7.77710898028273e-05	8.09114100202946e-05	3.66813250235042e-05
ABRAXAS1	0.114812287145224	0.296961020218181	0.423177971358483	0.440265482185617	0.199595103393078
ABRAXAS2	-0.242456688459034	0.125094120658603	0.214085295842551	0.222729849808572	0.100974955339615
ABT1	0.520099729591618	8.20552963530774e-08	5.31926094555221e-07	5.53404747781827e-07	2.50886981426277e-07
ABTB1	-0.769948511015319	1.25644130292745e-11	1.33121769805574e-10	1.38497096114686e-10	6.27878935260187e-11
ABTB2	-0.519515160910248	8.95925438876055e-05	0.000361572308461176	0.000376172243131188	0.000170538324714089
ACAA1	0.557256348173402	1.05449811631641e-16	1.82974659743967e-15	1.90362996781997e-15	8.63013875998114e-16
ACAA2	0.29667304594058	0.0150589310077979	0.0358796752225045	0.0373284612660465	0.0169229212540443
ACACA	-0.140422492218507	0.0460964776081286	0.0935898181740793	0.0973688831056146	0.04414234837184
ACACB	-0.219400986805805	0.012347262039288	0.0301620570610362	0.0313799712992102	0.0142261632341576
ACAD10	0.878953067340979	6.46072973509609e-23	1.7771959630766e-21	1.84895739045791e-21	8.38227970282377e-22
ACAD11	-0.208441471407252	0.136942094122326	0.230070127332556	0.23936013309343	0.108514322485136
ACAD8	0.910595800612534	1.05727471123556e-22	2.85960046270028e-21	2.97506832061076e-21	1.3487522712567e-21
ACAD9	0.046528938837231	0.607790001446962	0.72241333480781	0.745329165216988	0.337896241728625
ACADL	-0.0713185076059635	0.704733576424755	0.799054354225863	0.819522314160283	0.3715318316933
ACADM	0.304159328683409	0.0191261259447959	0.0440304470531251	0.0458083532572892	0.0207672946769888
ACADS	-0.297586716856604	0.000218089124195888	0.000813064403876515	0.000845895145892214	0.000383487999708497
ACADSB	-0.555197508373984	8.20430118733871e-09	6.141625001018e-08	6.38961778609657e-08	2.89674406525586e-08
ACADVL	0.0463394423493275	0.303330446505107	0.430015515339593	0.447379119476672	0.202820082929426
