gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-2.03537316714425	3.61905436743698e-61	1.2642032992537e-59	1.2642032992537e-59	4.10140014840412e-60
A1CF	2.01242626545399	0.00495940784255151	0.00982121998195571	0.00982121998195571	0.00318625596969108
A2M	-3.09458212972639	1.99671952395956e-07	7.08073630384053e-07	7.08073630384053e-07	2.29717268927599e-07
A2ML1	1.61706770495469	7.87414788603339e-05	0.000207789650507413	0.000207789650507413	6.74122986335379e-05
A3GALT2	-1.27542233656029	0.033325254271765	0.056002494332357	0.056002494332357	0.0181686472975765
A4GALT	-0.760289523085668	0.0364587271553279	0.0607034369795497	0.0607034369795497	0.0196937538118703
A4GNT	-1.9946029537459	0.00219778568162499	0.00463406813793415	0.00463406813793415	0.00150341070616236
AAAS	-0.549593337826265	0.00118173551694018	0.00261303621400211	0.00261303621400211	0.000847736050223904
AACS	0.0443349319442351	0.541077382260389	0.630397589330496	0.630397589330496	0.204517166500041
AADAC	-1.20572665272935	0.0569093855823405	0.0906148842361971	0.0906148842361971	0.0293977954236757
AADACL2	-0.329603167823168	0.423676919701773	0.516999689960844	0.516999689960844	0.167727975902455
AADACL3	0.508332925254035	0.238164691239727	0.318662311858256	0.318662311858256	0.103382237170066
AADACL4	-3.23414262323736	0.000545420855647207	0.00127147537102621	0.00127147537102621	0.000412499261669192
AADAT	0.070394996048493	0.655932365863153	0.732788994378924	0.732788994378924	0.237735567694598
AAGAB	1.03240109561093	2.43056011106106e-15	1.60429079755833e-14	1.60429079755833e-14	5.20473132689447e-15
AAMDC	-0.439715003802452	9.17457728825157e-06	2.70388895641518e-05	2.70388895641518e-05	8.7721101294832e-06
AANAT	-1.70139415406159	0.00642563792320844	0.0124852187226742	0.0124852187226742	0.00405052557229228
AARD	2.38403181632945	3.75902991375545e-05	0.000103081472479691	0.000103081472479691	3.34422767900939e-05
AARS2	0.224737300969431	0.0162014221822848	0.029021233423333	0.029021233423333	0.00941523338371246
AARSD1	-0.410944240326867	8.12995651162383e-05	0.000213936305953227	0.000213936305953227	6.94064315054055e-05
AASDH	0.970436286329603	1.5810294720323e-10	7.40625770229103e-10	7.40625770229103e-10	2.40278019027695e-10
AASDHPPT	0.397876455135112	0.000615635572130019	0.00142305290625866	0.00142305290625866	0.000461674906588335
AASS	-0.402285109269947	0.120067198436853	0.17504568445747	0.17504568445747	0.0567893151865043
AATF	-0.010186515528816	0.904995706963014	0.933541132299464	0.933541132299464	0.302864716522623
AATK	-0.189181886328455	0.307582045040069	0.396360387860131	0.396360387860131	0.128589488300712
ABAT	-0.651144848063747	0.0138921708465885	0.0252172411415804	0.0252172411415804	0.00818112060152635
ABCA1	-0.519051000901095	0.0407228620440124	0.0670452428760357	0.0670452428760357	0.0217511985013718
ABCA10	-1.17036780494307	0.00136188431140853	0.00297413976992678	0.00297413976992678	0.00096488731685428
ABCA13	0.474178169194214	0.223679065900442	0.30184709402459	0.30184709402459	0.0979269486924005
ABCA2	-0.851664705482408	2.63103323603121e-19	2.21844255986632e-18	2.21844255986632e-18	7.1971973571284e-19
ABCA3	0.83073321297599	2.34182759945247e-07	8.24203008540691e-07	8.24203008540691e-07	2.67392621387673e-07
ABCA4	3.10388696224241	2.28827735631196e-11	1.14840165144371e-10	1.14840165144371e-10	3.7257098652086e-11
