gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.258656800646841	0.159368431397758	0.244150774815839	0.253985946920281	0.0998654428820866
A1CF	0.620694368522331	0.149758431925182	0.231916833707146	0.241258921246588	0.0948612681594827
A2M	0.486186884900953	0.0556625870229647	0.101961210595007	0.106079170072465	0.0417095647546827
A2ML1	0.159466648159654	0.684526908263136	0.764326675744477	0.78165605862018	0.307341525868246
A3GALT2	-0.080083798907746	0.831945841119836	0.880046850490773	0.892108229189428	0.350770522885343
A4GALT	-0.813938242009132	2.08342605822892e-06	1.16973538741504e-05	1.21697808781663e-05	4.78507008719456e-06
A4GNT	-0.36626753051615	0.379264872259274	0.487302729478968	0.505835015497936	0.198890680608498
AAAS	-0.187907971203039	0.278381039176598	0.382207884919645	0.397358620266983	0.156238544207457
AACS	-0.512650720339023	6.3457213967988e-16	1.03572207028734e-14	1.07755230641795e-14	4.23685796847721e-15
AADAC	8.12977797847659	6.50098523355914e-08	4.60433710769972e-07	4.79029482161284e-07	1.88350938190404e-07
AADACL2	0.06809389163085	0.667295399991781		0.769852617144959	0.302700497792681
AADACL3	-0.270142335111617	0.477981628262379	0.5850491419421	0.605524552008492	0.238087887521136
AADACL4	-0.174071709837597	0.511249480692269	0.616342872571841	0.637013135143478	0.250468971351304
AADAT	-0.800960192049888	0.000487875452168801	0.00165886340591649	0.00172586076936811	0.000678596009644037
AAGAB	-0.181871337695471	0.0123002249820586	0.0282827418800284	0.0294250114185489	0.01156970231131
AAMDC	0.413415361156269	0.0166677640555399	0.0366642809901344	0.0381450600286179	0.0149983625460875
AANAT	-0.515203153386378	0.235450274595244	0.333300022701217	0.34656850013121	0.136268235208489
AARD	3.1681975368395	0.000266765720953367	0.00096963595503321	0.00100879713748104	0.000396651760202882
AARS2	-0.232197308365788	0.0102017509923446	0.024069830101938	0.0250419506212085	0.00984631441125861
AARSD1	-0.48090156010233	0.00216204992426861	0.0062273070688257	0.00647881249930718	0.00254742235717627
AASDH	-0.00847399505167474	0.947086371657644	0.963291511305847	0.966794527368439	0.380136636779871
AASDHPPT	0.361421802148334	8.08842386224177e-07	4.91319488443211e-06	5.1116265950883e-06	2.00985471816899e-06
AASS	-1.29060441372617	7.95512489021753e-08	5.55948961335101e-07	5.78402355924599e-07	2.27423635594226e-07
AATF	-0.528268671453602	1.03485124055937e-11	1.15397243810405e-10	1.20057851222267e-10	4.72058813850302e-11
AATK	0.73330323886081	3.36713214664775e-06	1.81701440495718e-05	1.8903990935648e-05	7.4329129226192e-06
ABAT	0.995440601942621	0.000160985278970863	0.000618243365218167	0.000643212675707111	0.000252906585997154
ABCA1	0.0373496990619045	0.891357880887128	0.925400906986929	0.931442613992111	0.366236519356587
ABCA10	2.37627039725502	4.36049955869883e-08	3.15942664232244e-07	3.28702801944576e-07	1.2924357150784e-07
ABCA13	0.234679222128446	0.341112905930584	0.447580680572149	0.464978432835395	0.182826166915053
ABCA2	0.199998458559463	0.0235506164785757	0.0492044266880744	0.0511916709943219	0.0201281959010378
ABCA3	-0.0937948477957426	0.303116000902019	0.408074734305898	0.424107421956435	0.166755980150953
ABCA4	3.53361959463386	2.59961880052457e-30	9.83029119198363e-29	1.02273121820637e-28	4.02130540267934e-29
ABCA5	1.01143500989186	8.33457855421517e-05	0.000340265517297555	0.000354007994496782	0.000139193390748177
ABCA6	0.63894863253761	0.0428007713368914	0.0814179284913074	0.0847061959442848	0.0333058654441535
ABCA7	-0.571688947390715	8.93545730071259e-07	5.37429059775536e-06	5.59134481643803e-06	2.19847646364191e-06
ABCA8	3.24994591263986	3.22735431443452e-07	2.06466883842613e-06	2.14805567309976e-06	8.44600001419827e-07
ABCA9	1.34911421349016	0.000709214364658111	0.00232175764359016	0.00241552765511697	0.000949768056056655
ABCB1	1.29030198414414	0.0190533735895417	0.0410193012311636	0.0426759686959556	0.0167798831625174
ABCB10	0.29083791796295	0.147141803009799	0.228629508195759	0.237863284889925	0.0935261284293657
ABCB4	0.79940309826924	0.000178092846735603	0.000675788479776404	0.000703081894191672	0.000276446730999119
ABCB5	0.606763798029154	0.120363675825795	0.193191413699377	0.200993933975119	0.0790293655079203
ABCB7	-0.243197251470311	0.00591602263882237	0.0150122679353931	0.0156185760663179	0.00614111148653415
ABCB8	-0.321108394193345	0.0729389594612114	0.127844020615985	0.133007322358478	0.0522975200594817
ABCB9	-0.270767546876855	0.0651830060925117	0.116413465522013	0.121115115599062	0.0476215901142429
ABCC1	-0.273676178699733	0.000174259525215742	0.00066279490706933	0.000689563543428679	0.000271131412957506
ABCC10	0.0531171701754105	0.787978860259558	0.846550847270413	0.863138249825322	0.339379735896686
ABCC11	0.728098701992481	0.000256498534761143	0.000937671240858097	0.000975541448072174	0.000383575862928109
ABCC12	-2.90738700469307	1.19547256327072e-08	9.32273320525105e-08	9.69925519174315e-08	3.81367720180924e-08
ABCC2	1.92816616974373	0.000107268863594064	0.000428762640021724	0.000446079295706309	0.000175395162474174
ABCC3	4.70556445264575	2.20449172020527e-13	2.85891511116943e-12	2.9743795756318e-12	1.16950460142243e-12
ABCC4	-0.734990095379807	2.07574870897509e-08	1.57063957538447e-07	1.63407379794205e-07	6.42506034338649e-08
ABCC5	-0.379446578835004	3.39414384912168e-05	0.000151837000243139	0.000157969318705534	6.21123970266796e-05
ABCC6	0.696209509667281	0.000276999760733977	0.00100064444188531	0.00104105797992571	0.000409336490824995
ABCC8	3.47965914647614	4.34519810458804e-24	1.22249707999616e-22	1.27187069381809e-22	5.00090385578525e-23
ABCC9	1.57384152094544	0.0193468257492673	0.0415464516406462	0.0432244093982085	0.016995526091936
ABCD1	0.0469235303060322	0.68117988397132	0.761866127828609	0.7793218970116	0.306423750354971
ABCD2	0.445790728152284	0.265906637665548	0.368358333661278	0.382992306212616	0.150589813114186
ABCD3	0.228473107841802	0.0835146790787478	0.14285676321644	0.148626392260398	0.0584388257186137
ABCD4	-0.382103840836899	0.00372695359130808	0.0100559290028989	0.0104620629424674	0.00411360770892458
ABCE1	0.066015415531452	0.534674006402501	0.637593848709	0.658053945931652	0.258742066431713
ABCF1	-0.0443380738525403	0.511644722240958	0.616678218672594	0.63736038994418	0.250605509434949
ABCF2	-0.2621150665148	0.000155547385245325	0.000598563577932703	0.000622738070803324	0.000244856118987677
ABCF3	-0.246197349269888	0.0185246505236477	0.0401078636691845	0.0417277204397472	0.0164070387858238
ABCG1	1.44507555858804	7.17532944806618e-14	9.7178641824563e-13	1.01103445254933e-12	3.97531456354855e-13
ABCG2	0.898642292852131	0.0100505868609937	0.0237682376896905	0.0247281776422034	0.00972294113847428
ABCG4	-0.797853114579774	4.73173985795366e-05	0.000205476946588852	0.000213775648954848	8.40550436713024e-05
ABHD10	0.108603818675796	0.2640829812794	0.366614794318533	0.38117899498066	0.149876832213242
ABHD11	-0.201183395374565	0.0433922201561018	0.082389130912847	0.085716622813955	0.0337031580033015
ABHD12B	-1.25102308728542	0.00321158189831364	0.00884342766051506	0.00920059168922081	0.00361760630839025
ABHD13	0.347850925917143	0.202528218816143	0.295937216533162	0.307830497261525	0.121036731812898
ABHD14A	0.536821060069016	3.94007674526157e-05	0.000174218675650828	0.000181254934266823	7.12681331569939e-05
