gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.981921971049158	5.13407186617305e-07	1.36524909220269e-06	1.36524909220269e-06	3.96668110665099e-07
A1CF	7.55465922924788	6.97315299196308e-27	5.66911988001336e-26	5.66911988001336e-26	1.64714196462912e-26
A2M	5.35589715803185	1.9250768564096e-10	6.5842848194048e-10	6.5842848194048e-10	1.91303977736427e-10
A2ML1	5.17082155975737	8.86758711339814e-15	4.0280488591126e-14	4.0280488591126e-14	1.17033480537462e-14
A3GALT2	-0.745688295611121	0.194482874323553	0.252810240001518	0.252810240001518	0.0734530869355116
A4GALT	0.824402720336757	0.00569715531700569	0.00975865789508443	0.00975865789508443	0.00283534221848471
A4GNT	0.619185084763791	0.259620498894495	0.326714822599296	0.326714822599296	0.0949257920381796
AAAS	-0.336452165731771	0.10858311865209	0.149434590688053	0.149434590688053	0.0434176716137616
AACS	0.533773173293034	3.13518717372976e-10	1.05955060470468e-09	1.05955060470468e-09	3.07848537620467e-10
AADAC	7.99471235327385	2.79523016303318e-07	7.59962165775733e-07	7.59962165775733e-07	2.20804216752017e-07
AADACL2	0.109132662110612	0.713724396123823	0.773379844013638	0.773379844013638	0.224702673895508
AADACL3	0.403399291002091	0.135294397442676	0.182188354905862	0.182188354905862	0.0529341575383095
AADACL4	0.121439444711569	0.653251498583346	0.721226682306453	0.721226682306453	0.209549764263301
AADAT	-0.828431461362663	1.64060757968422e-06	4.16546595391389e-06	4.16546595391389e-06	1.21026083768567e-06
AAGAB	-0.0327804673263604	0.790796972257034	0.839277847190407	0.839277847190407	0.243849096746856
AAMDC	1.86227814518554	3.33136790432252e-28	2.88706442046359e-27	2.88706442046359e-27	8.38825966319487e-28
AANAT	-0.306577477893901	0.554276315993757	0.62998196270057	0.62998196270057	0.183038946024384
AARD	4.29554358428099	4.73332189567041e-10	1.58115633059658e-09	1.58115633059658e-09	4.59399165988088e-10
AARS2	0.0604864282877254	0.491025194139259	0.568499011920846	0.568499011920846	0.165175300435314
AARSD1	-0.966932079351209	2.32373527597447e-13	9.69890978895437e-13	9.69890978895437e-13	2.8179826256384e-13
AASDH	0.211891453218694	0.180106896238951	0.23582575035875	0.23582575035875	0.0685183058353553
AASDHPPT	-1.13125735262686	1.91308348625935e-25	1.46326029502435e-24	1.46326029502435e-24	4.25144905756433e-25
AASS	1.76622785265173	5.40164832673483e-38	6.72308523924223e-37	6.72308523924223e-37	1.95336772968512e-37
AATF	0.0889437335420146	0.374520267147444	0.450580964805198	0.450580964805198	0.130914644830543
AATK	-0.927231858464919	2.95782984557579e-17	1.54745712855766e-16	1.54745712855766e-16	4.49607986576179e-17
ABAT	-1.79814146438465	1.10480641344624e-23	7.87325115887891e-23	7.87325115887891e-23	2.28754421432763e-23
ABCA1	1.71502076698461	1.49930150330197e-16	7.52919371042071e-16	7.52919371042071e-16	2.18757958602674e-16
ABCA10	0.63222154327215	0.0645844318931553	0.0929973691347899	0.0929973691347899	0.0270200441239666
ABCA13	5.86832544217216	2.0932120035626e-14	9.2931596605095e-14	9.2931596605095e-14	2.70009341569747e-14
ABCA2	-0.725409896002808	1.62754447321313e-07	4.50586863913072e-07	4.50586863913072e-07	1.30916358794674e-07
ABCA3	-2.76861726363705	3.46256181334782e-50	6.35496044588341e-49	6.35496044588341e-49	1.84641042269652e-49
ABCA4	10.7846558928798	1.12444550179225e-71	3.59596313993682e-70	3.59596313993682e-70	1.04479388624879e-70
ABCA5	-0.397685656621838	6.33783395297883e-05	0.000137934455495886	0.000137934455495886	4.00763495611608e-05
ABCA6	2.7963968120369	7.14912017392984e-10	2.35498686102468e-09	2.35498686102468e-09	6.84232785166437e-10
ABCA7	0.151613591230417	0.312888999715092	0.385687743250478	0.385687743250478	0.112060157590011
ABCA8	7.26309069674494	3.90614230593744e-42	5.55315078806527e-41	5.55315078806527e-41	1.61344757079189e-41
ABCA9	-0.25579217981864	0.547538595033248	0.623572544386532	0.623572544386532	0.181176713068059
ABCB1	-1.6544136330962	0.000182831990356834	0.000377540815217815	0.000377540815217815	0.000109693097564923
ABCB10	0.73935460268762	0.000852477524677311	0.00163185327920284	0.00163185327920284	0.000474128978250906
ABCB4	0.311136341139142	0.189239855482127	0.24664028397154	0.24664028397154	0.0716604288665366
ABCB5	0.585237634967081	0.256553303559474	0.323264484443815	0.323264484443815	0.0939233089564425
ABCB7	0.00434078310916049	0.996414934774081	1	1	0.290546328088098
ABCB8	-0.765464327130506	1.15636668299985e-07	3.23864177261668e-07	3.23864177261668e-07	9.40975475026505e-08
ABCB9	-0.479957891855039	0.00138733704251288	0.00258291378162115	0.00258291378162115	0.000750456115018166
ABCC1	0.39522194769825	0.0274727731082887	0.0422907753785124	0.0422907753785124	0.0122874294982253
ABCC10	0.150585342653267	0.377292306014953	0.453229832348398	0.453229832348398	0.131684263568811
ABCC11	0.162075134066404	0.418262692787925	0.495961447267329	0.495961447267329	0.144099777376781
ABCC12	0.371490303896448	0.479935998191036	0.557653248643399	0.557653248643399	0.162024103739739
ABCC2	1.63817939656748	0.00283635452406204	0.00506699098633721	0.00506699098633721	0.00147219562553576
ABCC3	9.52378752748721	3.53070273829423e-184	8.1328970032534e-182	8.1328970032534e-182	2.36298336101397e-182
ABCC4	2.35874378463332	7.73052814213015e-29	6.88727658581932e-28	6.88727658581932e-28	2.00107292253693e-28
ABCC5	-0.647174315053796	5.42774051111197e-12	2.08026302588892e-11	2.08026302588892e-11	6.04412783629462e-12
ABCC6	3.31310501526237	2.67140415193817e-44	4.06698252786449e-43	4.06698252786449e-43	1.18164683986948e-43
ABCC8	-3.91310162495642	8.86744607462222e-50	1.60340373048971e-48	1.60340373048971e-48	4.65863066336543e-49
ABCC9	2.30411784224278	9.83867161352317e-05	0.000209872294491125	0.000209872294491125	6.09776245318202e-05
ABCD1	-0.669832567243921	2.60692790851273e-06	6.50259136501904e-06	6.50259136501904e-06	1.88930404416365e-06
ABCD2	0.683319888431386	0.0957519967655512	0.133078194875102	0.133078194875102	0.0386653808695533
ABCD3	0.917748461100899	6.5240508605864e-06	1.57158630460988e-05	1.57158630460988e-05	4.56618630077945e-06
ABCD4	-0.204242620487342	0.101317337883217	0.140236677550802	0.140236677550802	0.04074525172566
ABCE1	-0.00778564794230264	0.964718610915892	0.977386384618638	0.977386384618638	0.283976025174246
ABCF1	0.227071696048613	0.00147867191492015	0.00274620371766077	0.00274620371766077	0.000797899406348221
ABCF2	-0.0586243179217298	0.506006496273902	0.583590976836035	0.583590976836035	0.169560215425056
ABCF3	0.0146361591060786	0.873067247957889	0.903185724433082	0.903185724433082	0.26241729581562
ABCG1	-1.19535242714882	4.18840134635606e-16	2.04580365700624e-15	2.04580365700624e-15	5.94400740532366e-16
ABCG2	7.71910734306757	1.23757877558991e-38	1.57992586821093e-37	1.57992586821093e-37	4.59041659660085e-38
ABCG4	-4.21450646813568	2.87905698477539e-94	1.48089746653786e-92	1.48089746653786e-92	4.30269321177543e-93
ABHD10	-0.614739537584976	3.07454024066054e-05	6.90048927167066e-05	6.90048927167066e-05	2.00491181989522e-05
ABHD11	2.07102621789974	6.5051584184324e-88	3.04097023242837e-86	3.04097023242837e-86	8.83542734857272e-87
ABHD12B	1.27664342363462	0.0286529587044501	0.043962749845403	0.043962749845403	0.0127732155402374
ABHD13	1.18613901953005	3.04919461575808e-08	8.9565513256069e-08	8.9565513256069e-08	2.60229309998767e-08
ABHD14A	-1.35763163250243	9.09054274439194e-14	3.88818854626926e-13	3.88818854626926e-13	1.12969890503273e-13
ABHD14A-ACY1	-0.141465705756557	0.337683729828585	0.412033256709314	0.412033256709314	0.119714749787072
ABHD14B	1.20272824202152	8.7960922382104e-08	2.49162520110704e-07	2.49162520110704e-07	7.23932553153419e-08
ABHD15	4.89725506548292	5.82304338333735e-17	2.99228747283427e-16	2.99228747283427e-16	8.6939813781601e-17
ABHD16A	-0.0656134223133248	0.469673472522607	0.547487361369587	0.547487361369587	0.159070442520575
ABHD17A	-0.0901865212052519	0.606883545973581	0.67904308903232	0.67904308903232	0.19729347613194
ABHD17B	-0.291603561149323	0.00521782634612703	0.00898506304933295	0.00898506304933295	0.00261057707662373
ABHD17C	-1.62565951044109	4.75240989347872e-67	1.3808921909863e-65	1.3808921909863e-65	4.01213155576599e-66
ABHD18	0.151078357252647	0.30461342730518	0.376684494949703	0.376684494949703	0.109444296855356
ABHD2	0.296296221248585	0.279513453032822	0.348766432917544	0.348766432917544	0.101332806444576
ABHD3	2.85187137906924	8.72624543675491e-36	9.95656460673242e-35	9.95656460673242e-35	2.89284328685802e-35
ABHD4	1.8699824077583	7.2955760966596e-32	7.24724290501923e-31	7.24724290501923e-31	2.10565981481586e-31
ABHD5	-0.346562200329985	0.00627414639996734	0.0106848047660003	0.0106848047660003	0.00310443079109959
ABHD6	-0.538128665721333	2.14570603038852e-05	4.90844151511156e-05	4.90844151511156e-05	1.42612965885084e-05
ABHD8	-0.418596483270799	0.00558500792213361	0.00958101628865532	0.00958101628865532	0.00278372910202106
ABI1	0.345775510477118	0.012765775578272	0.0207463432557316	0.0207463432557316	0.00602777385420808
ABI3	0.0566682389758483	0.911296474640664	0.934943594625531	0.934943594625531	0.271644428387935
ABI3BP	0.998704280895769	0.0157227371865032	0.0251658796417202	0.0251658796417202	0.00731185392300881
ABL1	0.0370315483321512	0.76820794271043	0.819951449965723	0.819951449965723	0.238233882998052
ABL2	-0.598631930084233	7.68492251743817e-05	0.00016586659219468	0.00016586659219468	4.81919293146501e-05
ABLIM1	-0.0965802904530769	0.740685680146082	0.796836212281158	0.796836212281158	0.231517835565918
ABLIM2	-2.77970270576968	3.19347646155193e-64	8.69128679450451e-63	8.69128679450451e-63	2.52522146450386e-63
ABLIM3	-2.60482139108179	6.3541245047412e-10	2.10357123262563e-09	2.10357123262563e-09	6.11184897511131e-10
ABO	2.99809430575088	1.90737499525844e-07	5.25768612116504e-07	5.25768612116504e-07	1.52760139674426e-07
ABR	-0.66061534282608	1.48402319658394e-08	4.47657329407955e-08	4.47657329407955e-08	1.30065193301205e-08
ABRA	-0.44087689234454	0.403915801889182	0.481535985240524	0.481535985240524	0.139908512353919
ABRACL	0.869852050885983	1.89881037756745e-14	8.44423395105124e-14	8.44423395105124e-14	2.45344116799479e-14
ABRAXAS1	0.845253351534878	2.53850043630269e-12	9.9108145258155e-12	9.9108145258155e-12	2.87955076883788e-12
ABRAXAS2	0.332202484704051	0.0196767153726226	0.0309982866619549	0.0309982866619549	0.00900643836665326
ABT1	0.258230633337532	0.0172664601389626	0.0274083377689782	0.0274083377689782	0.00796339189777494
ABTB1	-1.16411130988352	7.2973001061883e-11	2.5802733679145e-10	2.5802733679145e-10	7.49688952511068e-11
ABTB2	-1.78277103010978	8.8853949445316e-44	1.33230629479609e-42	1.33230629479609e-42	3.87096701841662e-43
ACAA1	1.2283198569306	1.15352125576365e-07	3.2312419526097e-07	3.2312419526097e-07	9.38825484494964e-08
ACAA2	1.61676405530101	3.0887287831806e-30	2.89118111188884e-29	2.89118111188884e-29	8.40022055896966e-30
ACACA	-1.46608821138321	1.17265249465946e-15	5.58864730138452e-15	5.58864730138452e-15	1.62376095239673e-15
ACACB	1.0343924211832	1.28696993835108e-19	7.62112526086142e-19	7.62112526086142e-19	2.21428996044273e-19
ACAD10	0.541523497601352	0.000108113921664597	0.000229635529992931	0.000229635529992931	6.67197600380104e-05
ACAD11	0.380930665250274	0.000167544673516463	0.000347780467659745	0.000347780467659745	0.0001010463378593
ACAD8	-0.263028733461124	0.0214577252124524	0.0336042057864538	0.0336042057864538	0.00976357859957095
ACAD9	0.618749372281667	1.53913579565845e-09	4.97418144290268e-09	4.97418144290268e-09	1.44523015347933e-09
ACADM	-0.424120490562653	0.000167532779472473	0.000347780467659745	0.000347780467659745	0.0001010463378593
ACADS	1.04262779299716	9.63316392819008e-11	3.37097110248025e-10	3.37097110248025e-10	9.79423275916724e-11
ACADSB	1.38354678468762	9.77003108309775e-10	3.20043021506092e-09	3.20043021506092e-09	9.2987324728815e-10
ACADVL	1.35758524828615	1.26399756984075e-31	1.24165496755556e-30	1.24165496755556e-30	3.60758291575614e-31
ACAN	2.95199402734956	1.28596666434488e-06	3.29823368776788e-06	3.29823368776788e-06	9.58289687157423e-07
ACAP1	0.152575655289226	0.541273133946255	0.617587594468182	0.617587594468182	0.179437807845491
ACAP2	0.0603308234622252	0.598229781457625	0.670824336566071	0.670824336566071	0.194905547781406
ACAT1	-0.970881329928297	6.76678844931588e-10	2.2355297363007e-09	2.2355297363007e-09	6.49524956213921e-10
ACAT2	-3.40847180011074	2.97884617602347e-95	1.5677410967456e-93	1.5677410967456e-93	4.55501419052241e-94
ACBD3	0.368379727847692	0.014687109251274	0.0236104899807574	0.0236104899807574	0.00685994116826988
ACBD4	0.212540176484181	0.168440842925833	0.222229497589706	0.222229497589706	0.0645679645175518
ACBD5	-0.594125309152838	0.000713954292603966	0.00137897551666635	0.00137897551666635	0.000400656272890797
ACBD6	-0.913505242727592	1.84111783091759e-33	1.92138718349338e-32	1.92138718349338e-32	5.58251990999535e-33
ACBD7	2.08433995265121	1.09792997055593e-06	2.83333316317843e-06	2.83333316317843e-06	8.23214546811726e-07
ACCS	2.5628011588935	1.07496545514751e-27	9.05912033091968e-27	9.05912033091968e-27	2.63209414785694e-27
ACCSL	-0.102230794280427	0.763568306691987	0.816187767271055	0.816187767271055	0.237140358811028
ACD	-1.16021409338702	5.41292364750924e-07	1.43627726967466e-06	1.43627726967466e-06	4.1730508682037e-07
ACE	2.68778464816116	6.48722644787736e-45	1.00987245017201e-43	1.00987245017201e-43	2.93414732234809e-44
ACE2	1.86321138678099	5.54267596555536e-08	1.59592919921263e-07	1.59592919921263e-07	4.63691368719806e-08
ACER1	0.719213560299001	0.201820000909455	0.261173025114385	0.261173025114385	0.075882863442645
ACER2	0.615494292105207	0.001074726882007	0.00203015320449481	0.00203015320449481	0.000589853559022252
ACER3	0.197479346578161	0.235697726335039	0.300126555229059	0.300126555229059	0.0872006685835328
ACHE	-2.62481038820028	4.4120895042709e-31	4.24490015622771e-30	4.24490015622771e-30	1.23334015349255e-30
ACIN1	-0.0209392897881285	0.799074002000453	0.846529506618356	0.846529506618356	0.245956039766192
ACKR1	-5.63951046183776	8.8153354341482e-140	9.93694619789727e-138	9.93694619789727e-138	2.88714323020803e-138
ACKR2	3.36555906136751	3.03392694075481e-08	8.91335208805118e-08	8.91335208805118e-08	2.58974172013965e-08
ACKR4	-0.550693198508653	0.194599879808693	0.252941649466746	0.252941649466746	0.0734912674731098
ACLY	-1.52055071846566	7.06340126573416e-33	7.19190901457904e-32	7.19190901457904e-32	2.08958275612963e-32
ACO1	0.134412532245678	0.288137533162687	0.35842983110963	0.35842983110963	0.10414047130614
ACO2	-0.277473579359715	0.00250854690517527	0.00451538442931549	0.00451538442931549	0.00131192836584379
ACOD1	1.19982646328431	0.0469152330777118	0.0692938123350201	0.0692938123350201	0.0201330627331658
ACOT1	1.24328786198731	4.53036762131387e-07	1.20835145113547e-06	1.20835145113547e-06	3.51082077167335e-07
ACOT11	2.25570651126261	8.51981051643952e-15	3.87892889089958e-14	3.87892889089958e-14	1.12700854616571e-14
ACOT12	0.649635661404643	0.173553449590837	0.22835807573409	0.22835807573409	0.0663486003938036
ACOT13	1.06430523574667	2.15909741748705e-16	1.07441121958482e-15	1.07441121958482e-15	3.12166234707024e-16
ACOT2	1.24634574819647	3.79020952382468e-07	1.01894109347829e-06	1.01894109347829e-06	2.96049593248189e-07
ACOT4	2.1959032954734	2.90886278876446e-07	7.8949087016627e-07	7.8949087016627e-07	2.29383673385887e-07
ACOT6	1.4431476495644	2.2440248504998e-05	5.11568143629429e-05	5.11568143629429e-05	1.48634245698375e-05
ACOT7	-2.2380559624671	1.14199991809694e-55	2.45947787238926e-54	2.45947787238926e-54	7.14592264836627e-55
ACOT9	1.54069505207745	9.5581814581858e-06	2.26404971827727e-05	2.26404971827727e-05	6.57811332254354e-06
ACOX1	0.325741264804911	0.0569893943734031	0.0828566990642946	0.0828566990642946	0.0240737096706313
ACOX2	4.0163357902017	3.04019149377446e-86	1.34598338724377e-84	1.34598338724377e-84	3.91070530831256e-85
ACOX3	0.164638613976575	0.230607719143694	0.294329004101009	0.294329004101009	0.0855162113913749
ACP2	0.771561315573028	1.46269222241289e-05	3.4078027239857e-05	3.4078027239857e-05	9.90124568302662e-06
ACP4	-0.0140980603999248	0.97336268298734	0.985013783484069	0.985013783484069	0.286192137907461
ACP5	1.05843800713892	0.0250182639161263	0.0387412594196133	0.0387412594196133	0.0112561306698771
ACP6	1.16261200708797	1.31604822290698e-30	1.24804716317921e-29	1.24804716317921e-29	3.62615520542487e-30
ACP7	10.2833972450316	9.34630586868308e-28	7.89740486320303e-27	7.89740486320303e-27	2.29456198442872e-27
ACPP	11.6403273975206	1.70372049815988e-54	3.57241868044236e-53	3.57241868044236e-53	1.03795312999585e-53
ACR	-0.848409334461395	0.0874276625938197	0.122559117063518	0.122559117063518	0.0356091014365246
