gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.582530211694112	0.0299649618243312	0.0684574131584129	0.0712222376605233	0.0357833381278804
A1CF	7.68668913773511	6.11908646357209e-87	1.09977981063519e-84	1.14419717943547e-84	5.74865321584809e-85
A2M	0.999100050076175	0.0150222090613425	0.0381761054208287	0.039717943284588	0.0199550118190705
A2ML1	-2.70183450396354	5.49169939655307e-14	8.07475377104344e-13	8.40087297486184e-13	4.22075026148013e-13
A3GALT2	-0.378003065535068	0.372730988154826	0.511947764752949	0.530667988666183	0.266617178788942
A4GALT	-2.4263941896593	1.16977537837888e-07	8.76442297964401e-07	9.11839620596072e-07	4.58124688776419e-07
A4GNT	0.0287920605364399	0.951171986669419	0.969552163287594	0.976208749557174	0.490464901359896
AAAS	-0.563458262033243	0.0320324775155919	0.0724334160754437	0.075358821437658	0.0378616325040982
AACS	-0.118399336394502	0.134367431359678	0.233264914645659	0.242685903867128	0.121929779830002
AADAC	0.65314871974161	0.211493193128481	0.333882557757963	0.347187854945681	0.174433446848874
AADACL2	-9.39371890991171	2.85492142096068e-47	2.13797228176551e-45	2.22431966003672e-45	1.11753835759786e-45
AADACL3	0.307412302148809	0.275192993574739	0.407613279313679	0.423541923102247	0.212795109273867
AADACL4	0.0515299869856431	0.833500263300464		0.90481144093682	0.454593604420867
AADAT	-0.0530666931908556	0.701390289713598	0.801851339965175	0.819035872801993	0.411498410300326
AAGAB	0.301866244041277	0.0723586436696941	0.141430782925015	0.147142820174785	0.0739272095395372
AAMDC	0.253798026678496	0.0119327246954043	0.0313979047832743	0.0326659879966854	0.0164119821584118
AANAT	-1.58779650660693	0.022559935380768	0.0541303805264635	0.0563165718457557	0.028294462498708
AARD	1.73730588270203	6.94666619401749e-08	5.38701621553326e-07	5.60458439023929e-07	2.81584438919325e-07
AARS2	-0.347832612287878	0.000490844809366007	0.00192866156190445	0.00200655540125085	0.00100812966222039
AARSD1	-0.0332334095916427	0.84309315121013	0.901198857475311	0.911697002676133	0.458053034958456
AASDH	0.0275883647542439	0.801122665587806	0.872638214772543	0.883932221232391	0.444103507464197
AASDHPPT	-0.0615503784207536	0.583690997617429	0.707670565888124	0.727820154258111	0.365669986391617
AASS	-0.27138648927892	0.0070677159042561	0.0198882843745295	0.0206915226712556	0.0103957945783081
AATF	-0.300482726572063	0.00745435754580944	0.0208419143900679	0.0216836674291902	0.0108942660180037
AATK	-0.73599372477722	0.00017192752518704	0.000746599432143947	0.000776752724651168	0.000390254593241334
ABAT	0.00519984573634314	0.969702469233654	0.981125051685613	0.982679552261088	0.49371594946957
ABCA1	0.0193502917530679	0.984224830621777	0.990840378082958	0.99196382104645	0.498380533736078
ABCA10	-0.265542810876377	0.449389530251247	0.586880137942238	0.607208806751112	0.30507266774974
ABCA13	0.553558839178193	0.281972187444903	0.415158934810697	0.431219662008014	0.21665254392275
ABCA2	-0.122324363657875	0.312300224775174	0.448445392789767	0.465201478217115	0.233725621932538
ABCA3	0.137596907389914	0.540349400232703	0.670967876725595	0.691267978694348	0.347305513433857
ABCA4	-1.03897668395243	3.63901190331519e-18	7.35359587922569e-17	7.65058931101742e-17	3.84379420229062e-17
ABCA5	-0.534840202300973	8.34436104290942e-07	5.60091404448713e-06	5.82712102003525e-06	2.927650809932e-06
ABCA6	2.83783114677721	2.75219836615178e-08	2.24122251810772e-07	2.33173991639746e-07	1.17150823388091e-07
ABCA7	0.32752237177378	0.286619166887264	0.419936799898027	0.436102339508536	0.219105689256422
ABCA8	-0.539339595269671	0.0324010832900681	0.0731262150129073	0.0760796007995777	0.0382237650692966
ABCA9	0.613384666051513	0.149221049250666	0.254141579643526	0.264405725394659	0.13284221031978
