gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-1.21599407015616	1.07765624364062e-13	2.07870636794164e-12	2.16266014348789e-12	9.82479801012372e-13
A1CF	5.42796103142731	0.000170395026246346	0.000721772257829933	0.000750922842570463	0.000341138448020048
A2M	-3.94282009574086	2.07896167475311e-26	1.23101928314742e-24	1.28073708753977e-24	5.81828967766466e-25
A2ML1	0.280860860916817	0.457508732871819	0.578685288299617	0.597309331383661	0.271353016241472
A3GALT2	-0.104441869244287	0.826263842404084	0.883086100490219	0.896854299745306	0.407433981989317
A4GALT	-1.31666626949566	0.000111314598785195	0.000494778331580282	0.000514761196709891	0.000233852036176509
A4GNT	-2.23193614779261	0.000571351349347526	0.00212476498636372	0.00221057895485141	0.00100424894693895
AAAS	-0.712301138203856	0.000298691177738106	0.00119183956366807	0.0012399749967232	0.000563311064713185
AACS	0.30507631054476	0.0994188056766772	0.173144219599019	0.180116550487303	0.0818255578504359
AADAC	0.427000917951119	0.247354241904382	0.361057782684239	0.374637728304579	0.170195026650276
AADACL2	-4.44816576165926	0.000144787360648176	0.000623426298935225	0.000648604935214798	0.000294656212907198
AADACL3	0.360257344775678	0.470570982846957	0.590901932019807	0.609705323336557	0.276984419651714
AADACL4	0.13400012095399	0.603450074204733		0.727435379553282	0.330468274964476
AADAT	0.0176743868969532	0.953513497256242	0.96897778709625	0.974221356166187	0.44258123821734
AAGAB	0.865771500706262	4.09643447123191e-07	3.03554658239267e-06	3.15814475227788e-06	1.4347207706811e-06
AAMDC	0.118549103263094	0.617923085299382	0.720171725215034	0.738607920414257	0.335543873992343
AANAT	-1.47976433415376	0.0311378293594873	0.0662524539171153	0.0689282256044138	0.0313135605609961
AARD	0.807529080950056	0.0499867856147516	0.0985988539492008	0.102581016211861	0.0466017634342372
AARS2	0.0847208998397355	0.592163394967756	0.699704554483906	0.718461450352482	0.326391488234
AARSD1	-0.358019131656386	0.0310946621589296	0.0661790406522663	0.0688518473605498	0.0312788625146761
AASDH	0.10803051425625	0.500732974347731	0.619258289412312	0.638121383441536	0.289893616300832
AASDHPPT	0.341657046341565	0.0147357221695353	0.0352793649246186	0.0367042106507749	0.0166744394328787
AASS	-0.0764371781170086	0.822175474147743	0.880009438699297	0.893759454627196	0.406028017753577
AATF	0.324222551255191	0.000230567736061189	0.000944591929151724	0.000982741645737874	0.000446451939967758
AATK	0.137916832509567	0.374598237237111	0.49812428691386	0.51532678151469	0.234108976985331
ABAT	-0.874216863492111	0.0240106289551765	0.0533619986249972	0.0555171569120708	0.0252210156274374
ABCA1	-0.0931961881261572	0.795450635367192	0.860935129755905	0.875182915583979	0.397588839532424
ABCA10	0.0881123658488178	0.843287176555401	0.895391867961972	0.90900009387396	0.412951722460278
ABCA13	0.757759990675967	0.101903228021191	0.176685462998494	0.183779633061251	0.0834896679738786
ABCA2	-0.614076021128632	0.00017890645041459	0.000753142420221463	0.000783559967729262	0.00035596524192393
ABCA3	-0.613548735353262	0.204452858576566	0.31077716326559	0.322750675853485	0.146623139444248
ABCA4	1.50514429367563	2.86715158916636e-05	0.00014585905703528	0.000151749941252781	6.89388263498585e-05
