gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	0.859997130145406	7.14032957603054e-07	5.58103960110554e-06	5.58103960110554e-06	2.66970265515866e-06
A1CF	0.153485033430842	0.358850262682627	0.530809296375189	0.530809296375189	0.253913802660535
A2M	0.339400098236519	0.10900823318047	0.21707898513913	0.21707898513913	0.103840213369976
A2ML1	1.14377556809265	3.99885841910296e-06	2.73682132854206e-05	2.73682132854206e-05	1.30916454455121e-05
A3GALT2	0.0213698852459702	0.865636355800746	0.921704666353829	0.921704666353829	0.440899468720759
A4GALT	1.43622158764696	5.1643593082716e-19	1.62147266266486e-17	1.62147266266486e-17	7.7563503973813e-18
A4GNT	3.58375105153704	0.00280635363483882	0.0100037476587626	0.0100037476587626	0.00478531485081122
AAAS	-0.417813740176564	0.00483524006806789	0.016090443595774	0.016090443595774	0.00769689933427625
AACS	0.0177507296179808	0.822830967490019	0.894195259264775	0.894195259264775	0.427740282906535
AADAC	0.392532553044532	0.0388554513606093	0.0943212121555153	0.0943212121555153	0.0451187607555199
AADACL2	0.0601134569849199	0.754956003373975	0.848784576724723	0.848784576724723	0.406017982329107
AADACL3	-0.0242060817608532	0.761270190758029	0.850787306207289	0.850787306207289	0.406975992413127
AADAT	-0.754965975495928	3.07900637336337e-12	5.02773694972713e-11	5.02773694972713e-11	2.40502910630969e-11
AAGAB	0.237141629280731	0.0104234570187961	0.0311210378612765	0.0311210378612765	0.0148868173938571
AAK1	-0.215086319933807	0.0344614337685378	0.0855907267295377	0.0855907267295377	0.0409425137140297
AAMDC	-0.0969725973787896	0.525152646295467	0.690698029742907	0.690698029742907	0.330396932419585
AAMP	0.296747257039653	0.00300113690624987	0.0106163705709734	0.0106163705709734	0.00507836437782341
AANAT	-0.903317257406564	0.0223920143389916	0.0596357289232696	0.0596357289232696	0.0285268830232342
AARD	1.39896733718179	0.00120372271614719	0.00476367020351491	0.00476367020351491	0.00227871219335279
AARS2	0.66834868212198	7.44343731862813e-10	9.03180400117672e-09	9.03180400117672e-09	4.32038344935553e-09
