gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-1.45626697994345	6.30233196942652e-05	0.000333409521008225	0.000340002729837779	0.000148035853724307
A1CF	-5.15402899484686	8.11707006229993e-09	8.73459959276975e-08	8.90732723109129e-08	3.8782153063462e-08
A2M	-4.73886933215039	2.99920936605622e-31	1.94183120210686e-29	1.98023112118691e-29	8.62184855798688e-30
A2ML1	4.79781021624862	1.44689704471053e-12	2.38183881594157e-11	2.42893993250343e-11	1.05755091061993e-11
A3GALT2	-0.0768628239380846	0.862874366118104	0.911898619003854	0.917030582657538	0.399271515436883
A4GALT	1.53600456461348	3.01959902221963e-10	3.84253908468968e-09	3.9185257048212e-09	1.70611070778936e-09
A4GNT	-0.886511471779233	0.134507825507893	0.235650438738355	0.240310451291925	0.104630227036256
AAAS	0.134131735809987	0.576061476642271	0.698970853098291	0.711788434845747	0.309909890058095
AACS	0.128470149397835	0.296656332338075	0.433962950141744	0.442544613754473	0.192682187403302
AADAC	-2.82527988395242	1.55155737932905e-06	1.16265369916405e-05	1.18564530003934e-05	5.16225308806427e-06
AADACL2	8.10293513007369	3.53470472640541e-25	1.56274345532564e-23	1.59364687379078e-23	6.93867592208013e-24
AADACL3	0.0496012127560488	0.734852526736543		0.831182058630422	0.361893405115859
AADACL4	-1.81752736862038	0.0199683769784465	0.0498050717866669	0.0507899723919868	0.0221137545785855
AADAT	0.51226616419846	0.0559486002896671	0.116929854252068	0.119242154588188	0.0519175659642802
AAGAB	0.588324564765675	0.00190391660399952	0.00679156496855152	0.00692586888999244	0.0030154961238159
AAMDC	-0.73751997221116	7.66461028556353e-05	0.000397593629094234	0.000405456085505171	0.000176533987812719
AANAT	0.141152426633797	0.785550725177452	0.857115492976724	0.865702244800628	0.376923358648487
AARD	0.273194998816875	0.593116560736916	0.712790125880945	0.725870895643597	0.316041338201889
AARS2	0.705588735192461	7.01341709070201e-06	4.62993242583289e-05	4.72148983324563e-05	2.05571813687682e-05
AARSD1	-0.277155887412544	0.160464334307268	0.271250285019736	0.276614288329549	0.120436775153963
AASDH	1.18942726590796	4.08800471449866e-06	2.84176931501133e-05	2.8979656062349e-05	1.26176284757286e-05
AASDHPPT	0.313544706315674	0.0684959529561995	0.137578709247694	0.14029934289315	0.0610857830819656
AASS	0.303574435568267	0.336282922092481	0.474948937154974	0.484341103031245	0.210880214741841
AATF	0.185118579289701	0.321636248234656	0.459981451495662	0.469077633747031	0.20423456013971
AATK	0.855235592732741	0.00245604067795629	0.00846431479970951	0.00863169752742769	0.00375820721549032
ABAT	-0.288918326385987	0.424216251316769	0.563799903192964	0.574949106396857	0.250330583681181
ABCA1	-0.509122629852992	0.0272435989030633	0.0646189963501398	0.0658968438933182	0.02869122712085
ABCA10	-0.522085828081511	0.310650804869632	0.448540688117262	0.457410628052888	0.199154791665019
ABCA13	0.634186058538411	0.239396584462205	0.36874604299902	0.376038035318892	0.163725484256561
ABCA2	-0.523318681098119	0.00188319897040283	0.0067330454870641	0.00686619217951864	0.00298951311836573
ABCA3	0.840488962257766	0.0356232626468795	0.0807078134989478	0.0823038191168021	0.0358347597195466
ABCA4	4.61154160948718	5.94669714844184e-10	7.30891117354957e-09	7.45344567135919e-09	3.24520098316222e-09
ABCA5	0.820329589544718	2.12078080847411e-05	0.000124353778818979	0.000126812888055027	5.52138335931234e-05
ABCA6	-2.44416539501887	0.000241883596900366	0.00111396035072508	0.00113598903544279	0.00049460516615105
ABCA7	1.25068703744014	0.000277813796176572	0.00125588392697525	0.00128071916554669	0.000557620096589352
ABCA8	-4.21669311144769	5.78557403674725e-13	9.88145393428553e-12	1.00768607395002e-11	4.38742560433144e-12
ABCA9	-4.90212814989309	1.34981002874556e-20	4.20260772330156e-19	4.28571473915592e-19	1.86598337175849e-19
ABCB1	-0.41131587939674	0.324464036970848	0.46291319454978	0.472067352332656	0.205536271874288
ABCB10	0.653401238728308	0.000242840875977777	0.00111703915424498	0.0011391287226306	0.000495972173626243
ABCB4	-2.63968301064259	1.54347046509268e-06	1.15771507401086e-05	1.18060901304714e-05	5.1403252922243e-06
ABCB5	1.17724370846785	0.0768874675914957	0.150946038253083	0.153931012254986	0.0670209584043217
ABCB7	-0.0280841338339597	0.863603773799806	0.912302348155257	0.917440928407227	0.399450178365284
ABCB8	0.170867919008801	0.410190587824644	0.55040662122776	0.56129097085266	0.244383885086931
ABCB9	0.183814591982826	0.265037279222724	0.398676665567458	0.406560539140137	0.17701486258931
ABCC1	0.293995085345175	0.260301624754621	0.393177284992538	0.400952407727947	0.174573104189906
ABCC10	0.853305427218549	5.10514979703667e-05	0.000274868086149428	0.000280303631862348	0.000122043100843821
ABCC11	0.561595769283744	0.0936123432017002	0.176653341305257	0.180146679966199	0.078435157203354
ABCC12	-0.0393698437788056	0.637895723007774	0.747876658516665	0.760763945227212	0.331233635000858
ABCC2	-2.46722847490037	4.8978539203823e-27	2.40798299488479e-25	2.45560111537301e-25	1.06915908496983e-25
ABCC3	-4.57370807639195	2.4935839310461e-11	3.59605943606779e-10	3.66717189486556e-10	1.59667224574703e-10
ABCC4	0.6760016265175	0.00660927894672507	0.0197812832225273	0.0201724602075404	0.00878300997750118
ABCC5	-0.11556959673504	0.526249202341492	0.657981589934733	0.670613939509711	0.291982676439411
ABCC6	-2.0476621632425	4.16848402045006e-14	7.95352919019041e-13	8.11081107801503e-13	3.53141530041065e-13
ABCC8	0.822055120847275	0.155425564008456	0.264320823988004	0.269547796467022	0.11736005233999
ABCC9	-3.65327518569652	7.11530541635644e-07	5.66952811599895e-06	5.78164363903731e-06	2.51730494176607e-06
ABCD1	-0.575647464561383	0.000128986880470343	0.000632227744186916	0.000644730115242958	0.000280712960973283
ABCD2	0.185358091357634	0.675690746022066	0.777132470912466	0.789390893366728	0.343697695831712
ABCD3	0.759404562315182	0.000353613390801484	0.00154702109393898	0.00157761360103122	0.000686886768194954
ABCD4	0.180801559918849	0.433505443083454	0.572067476230033	0.583380171572309	0.254001436358301
ABCE1	0.124211101762792	0.452088627067255	0.589239295783626	0.600790362898604	0.261581765309546
ABCF1	0.274284455878437	0.0798072316486463	0.155631644931462	0.158709277305058	0.0691013962477059
ABCF2	0.159227986137914	0.224644049757843	0.350948210595947	0.357888248882257	0.155823138497917
ABCF3	0.567727064086633	0.00154938586168908	0.00566254058190287	0.0057745179257094	0.00251420243415858
ABCG1	0.323442464161808	0.195152458880048	0.315349744017321	0.321585818831157	0.140017202976618
ABCG2	-2.22999628970432	6.02744679401904e-19	1.66849215904563e-17	1.70148676940287e-17	7.40820659379245e-18
ABCG4	-2.03710005363273	0.000153772281227511	0.000742441646928124	0.000757123509663035	0.000329648603648526
ABHD10	0.466536265822275	0.00159699425730366	0.00581729970280529	0.00593233742472971	0.00258291642443436
ABHD11	2.12292380046516	8.03470627626306e-21	2.54251625601012e-19	2.59279478608244e-19	1.12889267057584e-19
ABHD12B	-0.381178183212955	0.466349817387876	0.602764540115269	0.614581603338959	0.267586417253015
ABHD13	0.306288396401099	0.188122814526064	0.306619119419378	0.312682545200839	0.136140752592134
ABHD14A	-0.719983507923118	0.00147888403903405	0.00544085868283712	0.00554845224345158	0.00241577432363496
ABHD14A-ACY1	-1.17913750790933	0.000115452366522041	0.0005742163118892	0.000585571500685768	0.000254955532451167
ABHD14B	-0.44785741803253	0.0162605865712124	0.0419858452539943	0.0428161198208628	0.0186419704743775
ABHD15	0.549169419745459	0.006392777615801	0.0192454304574072	0.0196260108968519	0.00854508809298152
ABHD16A	0.432481330614098	0.030779970427048	0.0716655525711918	0.0730827465150192	0.0318199409105622
ABHD17A	0.18001395964775	0.477419611246135	0.612772981455101	0.624735174182272	0.272007242135383
ABHD17B	0.515824775675573	0.020642088694517	0.051147426814885	0.0521588726340238	0.0227097683696808
ABHD17C	0.738259960082598	0.000390540916492116	0.0016913602411976	0.00172480707031783	0.000750974226842366
ABHD18	0.370401741589898	0.144046538024066	0.249242550529397	0.254171348542968	0.110665207281626
ABHD2	1.77824099093561	1.08704228063264e-05	6.80456806250381e-05	6.93912912151416e-05	3.02126957656093e-05
ABHD3	0.260716946957687	0.168351001871548	0.281506743349938	0.287073569216882	0.124990704989284
ABHD4	-0.284496376742876	0.164656548809095	0.276464348553813	0.28193146052599	0.122751851053133
ABHD5	1.03107598449612	1.8897756158305e-06	1.3931580695265e-05	1.42070791890449e-05	6.18570650207e-06
ABHD6	0.251666703099151	0.210251309996867	0.333890473203153	0.340493192913646	0.148249399421986
ABHD8	-0.00614269426386427	0.973853049979073	0.984413515506674	0.98698786953563	0.429730643492048
ABI1	0.414981114361758	0.00713415960645205	0.0210354393578962	0.0214514174142175	0.00933986292411614
ABI3	-3.98001797069125	1.35467704070148e-23	5.33391158468566e-22	5.43939025503036e-22	2.36828916205255e-22
ABI3BP	-4.1650499767578	8.83384808491696e-08	8.040880309765e-07	8.19988957529351e-07	3.57019972840447e-07
ABL1	-0.55411672566638	0.000109110812290007	0.000545317862476428	0.000556101581354403	0.000242124445272877
ABL2	-0.669832037344329	0.000616440326245445	0.0025308563566787	0.00258090431099844	0.00112371560440614
ABLIM1	-0.58590995549301	0.152125319279808	0.260137826338353	0.265282079592814	0.115502775960119
ABLIM2	1.82519100983494	1.65545524894297e-08	1.6908590443659e-07	1.72429596226535e-07	7.50751692402921e-08
ABLIM3	-0.523779090053953	0.199369852797029	0.32055788676031	0.326896953152236	0.14232965000856
ABO	-1.35155491985243	1.14801586851221e-05	7.14290211071892e-05	7.28415376160944e-05	3.17149195029539e-05
ABR	0.775278248147249	0.00454439165321837	0.0143334521895436	0.0146168977349747	0.00636413988802461
ABRA	-2.68117632234659	0.00363590589198856	0.0118346671797709	0.0120686989851871	0.005254664156568
ABRACL	0.0914026171937888	0.713015826480349	0.804052390246095	0.815022799120602	0.354857726966362
ABRAXAS1	0.112981434036145	0.584081207258683	0.705640924401172	0.718585405859053	0.312869264552453
ABRAXAS2	0.455834199964681	0.0224601348368246	0.0549830923058097	0.0560703888190305	0.0244128271600622
ABT1	0.193217116233181	0.330798716268965	0.469655870772178	0.478943365696327	0.208530061097676
ABTB1	-0.043480995373065	0.907277675240493	0.940335883902973	0.944444997380762	0.411207643978677
ABTB2	0.164209097790539	0.687222736437074	0.785617519576639	0.797617650565807	0.347279593618031
ACAA1	0.113585405842369	0.504460427433412	0.638219369496344	0.650467982622454	0.28321120590351
ACAA2	-0.529163750702363	0.0326094740662216	0.0750891371578441	0.076574032851931	0.033340033274901
ACACA	0.59714876043763	0.00230540200011919	0.00802921236773451	0.0081879908984652	0.00356501909122751
ACACB	-0.967851277966857	0.0138585146009811	0.0367391904977869	0.037465711907398	0.0163124238744989
ACAD10	0.473229372026355	0.0309342145656164	0.0719489006746351	0.0733716978574216	0.0319457491906244
ACAD11	-0.122053558266074	0.381712562817428	0.521555867288024	0.531869690177396	0.231573974988552
ACAD8	0.939348166042852	4.10707681454978e-05	0.000226650879558999	0.00023113292487017	0.000100634368063094
ACAD9	0.418764101350571	0.031511119549719	0.073016331822754	0.0744602375703153	0.0324196951080231
ACADM	-0.213835239781555	0.206987454507135	0.329960221597136	0.336485220163035	0.146504343821629
ACADS	-0.0602030424415045	0.739270974171873	0.824288734279836	0.834754631301049	0.363448889230768
ACADSB	-0.117761520784053	0.651612556531519	0.757839361125046	0.770619878822	0.335524869793739
ACADVL	0.416367453420842	0.0738775005480709	0.146181187776205	0.149071936351849	0.0649053358327754
ACAN	0.337170960933453	0.507792748378005	0.641610814991298	0.653924974325335	0.284716366518831
ACAP1	-0.0799827842971772	0.713154529272623	0.804150199370733	0.815122299863971	0.354901049199387
ACAP2	0.214691029343865	0.354964400185736	0.494794984999016	0.504579608587597	0.219691980604921
ACAT1	-0.354067316594042	0.0146687949774875	0.0385307984182044	0.0392927490654818	0.0171079086802004
ACAT2	0.177387535852142	0.331478597816315	0.470275953296935	0.479575710419131	0.208805381507406
ACBD3	0.00255979422448314	0.989644521634788	0.994270830267284	0.996782444079719	0.43399516279515
ACBD4	0.321727814785161	0.274266610808785	0.409257621567515	0.417350734673348	0.181712871362278
ACBD5	0.255661280424516	0.341332934944557	0.480511811802409	0.490013984118005	0.213350164895346
ACBD6	-0.213192637674498	0.22106015201795	0.34629325696758	0.353141243049529	0.153756310795041
ACBD7	-0.436145027761529	0.13791527546929	0.240299625336312	0.245051576050602	0.106694494142579
ACCS	-0.0811739092383621	0.646339655804884	0.753675517149039	0.766385239192046	0.333681124324007
ACCSL	0.0410194013430454	0.874004195043675		0.923577727033362	0.402122116394098
ACD	0.337223428031707	0.182841644309856	0.300126403315022	0.306061434943198	0.133257947180365
ACE	-1.34420119283685	0.0148519696621087	0.0389590402697863	0.0397294594453423	0.0172980506650714
ACE2	1.60976408868967	0.0204271335640685	0.0507122516878542	0.0517150918724531	0.0225165479683714
ACER1	0.306654541842163	0.405797187177074	0.5460265803807	0.556824314230803	0.24243912032982
ACER2	-0.574602374801271	0.110757828454008	0.20217844019079	0.206176540403946	0.089768456244997
ACER3	0.726533446691115	0.000893527602721245	0.00351281659667392	0.00358228291944645	0.00155971191912275
ACHE	-1.56577889677435	7.08940821841788e-07	5.65471663772156e-06	5.76653926219764e-06	2.5107285553897e-06
ACIN1	0.47660491303489	0.00993838599050732	0.0277994549560937	0.0283491921421196	0.0123431269600553
ACKR1	0.11162414178622	0.826243493831739	0.887736668442636	0.893383286475984	0.388975575518465
ACKR2	1.67401757213679	4.07474919508405e-07	3.38810688042615e-06	3.45510705526203e-06	1.50434004714793e-06
ACKR4	-1.23941181006235	0.0248640567392795	0.0598268409242126	0.0610099230828535	0.0265634809859723
ACLY	-0.162901772228075	0.34766850329473	0.487391050913449	0.497029260916003	0.216404588871293
ACO1	0.0841782266957631	0.564886193125386	0.689683521573475	0.702546037793079	0.305885786666915
ACO2	-0.350753130081729	0.12076560857851	0.217041466567231	0.221333484711833	0.0963677302906507
ACOD1	-0.0223736218331021	0.961515026888855	0.97679119787803	0.979959124478857	0.426670355489107
ACOT1	-1.84742135704217	7.40448459426325e-10	8.95132770403356e-09	9.12834116386516e-09	3.97444390497762e-09
ACOT11	-0.242671891056512	0.518033333975263	0.650382260032629	0.662867192822484	0.288609773345437
ACOT12	-1.25164932633874	0.0591139152504913	0.122142972971839	0.124558363286521	0.0542322223601559
ACOT13	-0.252699633092725	0.109895106823089	0.201030486225378	0.205005885526462	0.0892587577073187
ACOT2	-1.82834306423556	1.33249242065268e-09	1.56798385681974e-08	1.59899090478322e-08	6.96194362321511e-09
ACOT4	-2.24167620558907	9.19740569479594e-09	9.79495221756865e-08	9.98864844211149e-08	4.34901831636894e-08
ACOT6	-1.54533700774576	9.655021649008e-05	0.000490324269762881	0.000500020484480952	0.00021770695586796
ACOT7	0.0679152587272738	0.799614725295443	0.868358359128478	0.876853395772209	0.381778526002215
ACOT9	-0.114960792895011	0.607845099477463	0.723522697639559	0.736697056048723	0.320755005938892
ACOX1	0.308328655428869	0.0578664294211757	0.120159035005807	0.122535192735662	0.0533513418452579
ACOX2	-0.3234585393203	0.269143873390458	0.403593588599384	0.411574694849314	0.179198006299564
ACOX3	0.823485918980509	7.00948959649793e-06	4.62931464004306e-05	4.72085983067594e-05	2.05544383623136e-05
ACP2	0.0315590866237028	0.81131145050662	0.876692275498564	0.88366197466831	0.384742954523169
ACP4	-0.119658439294456	0.813533501780767	0.878081182888217	0.885074093319155	0.385357785439785
ACP5	-1.78784072801361	1.01737268892578e-09	1.21378758584714e-08	1.23779036478402e-08	5.38929065275297e-09
ACP6	0.67494082126721	0.0742090075374448	0.146678820951088	0.149579410275829	0.0651262879869391
ACP7	2.68309529049513	8.43457090961391e-06	5.45181914182814e-05	5.55962944668786e-05	2.42064083404246e-05
ACPP	-0.186910074395192	0.563798171242001	0.68910247801765	0.702002267627048	0.305649031271461
ACR	-1.85215573867655	0.00651653596226716	0.0195571911326846	0.0199439366727261	0.00868351172762397
