gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.4949993503649	0.0131440911073621	0.0202433884124706	0.0202433884124706	0.00445916173155347
A1CF	0.317997130371862	0.539761512102424	0.607173984956961	0.607173984956961	0.133746729695064
A2M	4.77893608695465	7.7999648955334e-18	3.45448908367996e-17	3.45448908367996e-17	7.60946004203795e-18
A2ML1	7.91100133643901	2.35849754602596e-47	2.80249181297362e-46	2.80249181297362e-46	6.17325715970822e-47
A3GALT2	-0.410922752383692	0.431019254572998	0.502327559540596	0.502327559540596	0.110651427743598
A4GALT	3.29191233285735	2.52358625583759e-10	7.58373473950051e-10	7.58373473950051e-10	1.67052565724624e-10
A4GNT	0.745556949852947	0.19268714943547	0.244913670406099	0.244913670406099	0.053948955795187
AAAS	0.10577994421076	0.514980720552777	0.584506636720336	0.584506636720336	0.128753624304156
AACS	0.601209936440303	6.82438155216905e-13	2.40215794988239e-12	2.40215794988239e-12	5.29141198351151e-13
AADAC	4.04305790079184	0.00840825058717468	0.0132841604190645	0.0132841604190645	0.00292620082021537
AADACL2	11.7078101066678	1.03270960346289e-53	1.4332592385791e-52	1.4332592385791e-52	3.15714672753611e-53
AADACL3	0.0812888146574137	0.79554994178977	0.834095767311458	0.834095767311458	0.183732478489358
AADACL4	0.090560147929284	0.796876675127646	0.834095767311458	0.834095767311458	0.183732478489358
AADAT	-0.896950083984282	3.31557007398157e-05	6.76402013799988e-05	6.76402013799988e-05	1.48996102511403e-05
AAGAB	-0.316694591343448	0.0502135603546058	0.0709182835760923	0.0709182835760923	0.0156216977981392
AAMDC	1.73364372319095	4.70227345471866e-25	2.81922017915883e-24	2.81922017915883e-24	6.21010597612404e-25
AANAT	1.06308036769227	0.0775634949547708	0.106365859944928	0.106365859944928	0.0234299990962981
AARD	2.60592915081898	5.75009731509209e-05	0.000114537409280678	0.000114537409280678	2.5230007046698e-05
AARS2	0.383769341561014	0.00017441010404406	0.000331190305874279	0.000331190305874279	7.29537519966913e-05
AARSD1	-0.936701553101787	7.58979205500884e-12	2.50925871837502e-11	2.50925871837502e-11	5.52733081219341e-12
AASDH	0.346464801667907	0.00663545682043878	0.0106269672816933	0.0106269672816933	0.00234088112421957
AASDHPPT	-1.0162522471578	1.17596284485554e-16	4.92481255090777e-16	4.92481255090777e-16	1.08482509027756e-16
AASS	2.18960810471687	1.77396115547769e-81	4.17184903627988e-80	4.17184903627988e-80	9.18964216530935e-81
AATF	0.350833559409925	0.00294534728215353	0.00491462198502513	0.00491462198502513	0.00108258033853537
AATK	-0.255169708361368	0.128898924691002	0.170268293288466	0.170268293288466	0.0375062633813381
ABAT	-1.84332849091947	2.22024644645132e-19	1.05401591230451e-18	1.05401591230451e-18	2.32175924545384e-19
ABCA1	1.65424164055202	4.36800937102259e-14	1.6275605165227e-13	1.6275605165227e-13	3.5851486041707e-14
ABCA10	0.85431683074222	0.0141416218910561	0.0216613078471039	0.0216613078471039	0.00477149739159781
ABCA13	5.22358991645422	9.2786107112655e-10	2.68407840556864e-09	2.68407840556864e-09	5.91241913988451e-10
ABCA2	-0.759793268252851	2.39882454168056e-10	7.2239410816258e-10	7.2239410816258e-10	1.59127123215887e-10
ABCA3	-3.17779471227535	3.23111449457878e-32	2.53037154960066e-31	2.53037154960066e-31	5.57383761586079e-32
ABCA4	11.2653911643719	7.21367193185539e-166	6.05487995131266e-164	6.05487995131266e-164	1.33375344176131e-164
ABCA5	0.166615487492444	0.0835767283396763	0.11400767403182	0.11400767403182	0.0251133183233759
ABCA6	-0.122097975811567	0.810266048048246	0.845578879584771	0.845578879584771	0.186261949038703
ABCA7	-0.425127125763611	0.0298266881132835	0.0435438188942191	0.0435438188942191	0.00959172085732358
ABCA8	8.34464508878791	2.59809794498743e-74	5.4591192505861e-73	5.4591192505861e-73	1.20252080107322e-73
ABCA9	-0.359398612248915	0.460262358394906	0.531810794132798	0.531810794132798	0.117145919117135
ABCB1	1.17408417825999	0.00124399171190567	0.00216239140932711	0.00216239140932711	0.000476326039131441
ABCB10	0.465067974129178	0.00019779507250449	0.000373528751091533	0.000373528751091533	8.22799562288814e-05
ABCB4	-2.92281674376072	3.36682569386909e-15	1.32490048501881e-14	1.32490048501881e-14	2.91845684157945e-15
ABCB5	5.03931750923535	1.14036915523128e-06	2.62892991520083e-06	2.62892991520083e-06	5.79093945832605e-07
ABCB7	-0.074621419934897	0.598914244331981	0.6640108744157	0.6640108744157	0.146266614076614
ABCB8	-0.158343947033133	0.299373352050054	0.36451477587576	0.36451477587576	0.0802943808641078
ABCB9	-0.119597395627637	0.293041054743255	0.357660131785023	0.357660131785023	0.078784457426883
ABCC1	0.848411019885008	2.73563922652526e-08	7.12114599052599e-08	7.12114599052599e-08	1.5686277928747e-08
ABCC10	-0.0663354507416433	0.648511659829566	0.709478230179601	0.709478230179601	0.156282046707073
ABCC11	0.00150160944345678	0.992844457122804	0.995494061087676	0.995494061087676	0.219284881104998
ABCC12	-0.287014325180581	0.403705979437478	0.474488332751632	0.474488332751632	0.104519074196653
ABCC2	0.0415268954509067	0.908965489186999	0.92723999090897	0.92723999090897	0.204250049407744
ABCC3	3.41887665932493	2.41903049090279e-06	5.42991481457269e-06	5.42991481457269e-06	1.19608772273627e-06
ABCC4	1.58098387237699	7.17488664431725e-14	2.6502741396846e-13	2.6502741396846e-13	5.83795596913365e-14
ABCC5	-0.793579616129295	2.51749032573e-10	7.56912810149023e-10	7.56912810149023e-10	1.6673081444507e-10
ABCC6	0.0581604426592185	0.83088599557787	0.864125816266973	0.864125816266973	0.19034742072979
ABCC8	-6.74515243551523	1.11954332481006e-110	4.11804048146918e-109	4.11804048146918e-109	9.07111405946405e-110
ABCC9	0.495598038521566	0.356556135631729	0.426052992599476	0.426052992599476	0.0938498615697684
ABCD1	-0.582915377491255	0.000374955140410288	0.000689602810684656	0.000689602810684656	0.000151903940225857
ABCD2	1.61542319951429	0.00124392510686912	0.00216239140932711	0.00216239140932711	0.000476326039131441
ABCD3	1.24203230096595	8.54030961361918e-22	4.48174545071203e-21	4.48174545071203e-21	9.87227404680317e-22
ABCD4	-0.481492118460839	0.00282256242137813	0.00471872391242153	0.00471872391242153	0.00103942841303554
ABCE1	0.167335652476328	0.111266659174503	0.148808194065062	0.148808194065062	0.0327790877098288
ABCF1	0.366074258616804	1.18017346590869e-05	2.50210093941141e-05	2.50210093941141e-05	5.51156384009018e-06
ABCF2	0.0251202629223681	0.80882677250995	0.844579570553667	0.844579570553667	0.186041823805778
ABCF3	0.569346268289725	3.71760468813365e-07	8.91140847315038e-07	8.91140847315038e-07	1.96298222550697e-07
ABCG1	0.684481236284348	3.31957837407695e-05	6.77132196780432e-05	6.77132196780432e-05	1.49156945347448e-05
ABCG2	5.63357320601469	2.22700047487563e-25	1.35526677568598e-24	1.35526677568598e-24	2.98534692861096e-25
ABCG4	-3.33682641313572	4.72470850281596e-14	1.75797925428993e-13	1.75797925428993e-13	3.87243165811381e-14
ABHD10	-0.582643791609231	0.000340139653731534	0.000628354452807727	0.000628354452807727	0.000138412308884285
ABHD11	2.56220352516204	3.71825927653726e-72	7.48394532956096e-71	7.48394532956096e-71	1.64854430170683e-71
ABHD12B	0.5856461885769	0.279772998370594	0.343005043453342	0.343005043453342	0.0755562721186908
ABHD13	0.70077398655912	8.17937210309322e-05	0.000160455608884648	0.000160455608884648	3.53447504030879e-05
ABHD14A	-1.02808859123411	3.24616719920962e-09	9.02634685524719e-09	9.02634685524719e-09	1.98830055781823e-09
ABHD14A-ACY1	-0.140479192085077	0.461081203852516	0.532448904743556	0.532448904743556	0.117286480487495
ABHD14B	1.96284642110016	1.63688341458007e-32	1.29344117586748e-31	1.29344117586748e-31	2.84915908143654e-32
ABHD15	4.27478970743988	2.9781647589897e-34	2.46824789374252e-33	2.46824789374252e-33	5.4369932184791e-34
ABHD16A	-0.483013607666594	1.4246523317761e-05	2.99626999805769e-05	2.99626999805769e-05	6.60010678079463e-06
ABHD17A	0.491094451801884	0.00390292939424701	0.00642682102068431	0.00642682102068431	0.00141568366752892
ABHD17B	-0.526751867165711	0.000191431455249727	0.000362074597128215	0.000362074597128215	7.9756864541865e-05
ABHD17C	-1.6013697932032	2.38825927429938e-30	1.73992296160869e-29	1.73992296160869e-29	3.83265771923691e-30
ABHD18	0.0751642556588506	0.521587207622077	0.590306686959504	0.590306686959504	0.130031244509855
ABHD2	1.21971969846504	2.15131730985971e-07	5.24857562609557e-07	5.24857562609557e-07	1.15614279092881e-07
ABHD3	1.74986064140622	1.43548226525133e-28	9.84437642141072e-28	9.84437642141072e-28	2.1684940146838e-28
ABHD4	1.99573126494803	1.29616937181205e-27	8.52231361966422e-27	8.52231361966422e-27	1.87727340812632e-27
ABHD5	0.743545688566564	1.30835392010789e-08	3.49455397076889e-08	3.49455397076889e-08	7.69771394876825e-09
ABHD6	-0.561000242796241	0.00845583844584457	0.0133526599294934	0.0133526599294934	0.00294128971686206
ABHD8	-0.339267913477936	0.0233861399057353	0.0346933616350947	0.0346933616350947	0.00764216480907205
ABI1	0.438021354279052	5.89787952593985e-05	0.000117362596367378	0.000117362596367378	2.5852332019415e-05
ABI3	1.00231371626498	0.0714872212753934	0.0985470736197876	0.0985470736197876	0.0217076968780202
ABI3BP	0.802069269701759	0.0710872412130634	0.0980213794426896	0.0980213794426896	0.0215918983116315
ABL1	-0.30354347478988	0.0151722175109843	0.023143314869341	0.023143314869341	0.00509795010123321
ABL2	-1.33400791452003	3.42109893243568e-24	1.9972231281478e-23	1.9972231281478e-23	4.39943193350172e-24
ABLIM1	-0.0497579008498996	0.640599277072992	0.702331452248441	0.702331452248441	0.154707772775991
ABLIM2	-1.41325232344972	1.54158790962671e-10	4.71073919711647e-10	4.71073919711647e-10	1.03766956040671e-10
ABLIM3	-0.56037528042713	0.0727159324855496	0.100153392216285	0.100153392216285	0.0220615326227205
ABO	1.54746277787879	0.000192863592865821	0.000364652228064061	0.000364652228064061	8.03246584799644e-05
ABR	-0.215495851531581	0.0702176270019331	0.0969069576780221	0.0969069576780221	0.0213464163407004
ABRA	-0.380871105769785	0.464759823617168	0.535712930363689	0.535712930363689	0.118005471687958
ABRACL	-0.429629980208216	0.117556637053388	0.156397668933703	0.156397668933703	0.0344508777880147
ABRAXAS1	1.1239385869023	8.89323271291644e-18	3.92765777245512e-17	3.92765777245512e-17	8.65174390606524e-18
ABRAXAS2	0.385356197818181	0.00456441009728918	0.00745306201730374	0.00745306201730374	0.00164174140481255
ABT1	0.391660167390189	8.47611896063182e-05	0.000166029241805822	0.000166029241805822	3.65724959821093e-05
ABTB1	0.152058506404928	0.442100804910092	0.51319337218488	0.51319337218488	0.113044921112315
ABTB2	-1.41424227771969	9.13454095515312e-22	4.78403771232381e-21	4.78403771232381e-21	1.05381556952991e-21
ACAA1	0.622405325800136	4.64311476210063e-07	1.10527003991474e-06	1.10527003991474e-06	2.4346605245119e-07
ACAA2	1.29920480548848	3.42647852146409e-20	1.68651999590466e-19	1.68651999590466e-19	3.71502303468372e-20
ACACA	-1.32076941629945	8.06001587178586e-19	3.73859642730102e-18	3.73859642730102e-18	8.23528441912094e-19
ACACB	0.417968183689889	0.00207415851424248	0.00351900025317131	0.00351900025317131	0.000775156359327761
ACAD10	0.887086431837798	2.6785071077851e-10	8.02941530411262e-10	8.02941530411262e-10	1.76869903008886e-10
ACAD11	0.959567052985281	1.41540684463491e-18	6.47582487919362e-18	6.47582487919362e-18	1.42647811192286e-18
ACAD8	-0.0467187426403908	0.748501729060104	0.798820322235117	0.798820322235117	0.175962093831273
ACAD9	0.988548108005064	1.24795638240604e-10	3.83575218433333e-10	3.83575218433333e-10	8.44929663137079e-11
ACADM	-0.790955027816289	2.13347461652682e-10	6.45070501030719e-10	6.45070501030719e-10	1.4209447715671e-10
ACADS	0.352937515469257	0.00189465240718333	0.00323147589552021	0.00323147589552021	0.000711821230524055
ACADSB	1.30513309721492	5.02695673301339e-13	1.78179194175542e-12	1.78179194175542e-12	3.92488563593017e-13
ACADVL	1.23954467294621	8.73586010854783e-12	2.87790965580135e-11	2.87790965580135e-11	6.33938565152068e-12
ACAN	2.69266251647273	7.74508692307615e-08	1.95422883988074e-07	1.95422883988074e-07	4.30472521691383e-08
ACAP1	0.61886019166423	0.00483166512692498	0.00786584913885032	0.00786584913885032	0.00173266909429682
ACAP2	0.191701353773086	0.267421888070166	0.329115379328281	0.329115379328281	0.07249669249355
ACAT1	-0.474722914800894	8.73095247766837e-06	1.87142665169257e-05	1.87142665169257e-05	4.12233067834432e-06
ACAT2	-2.94026861385563	5.30244321602322e-173	5.01033257178722e-171	5.01033257178722e-171	1.10366322135607e-171
ACBD3	0.546979051578456	2.97389531947509e-05	6.08932987066321e-05	6.08932987066321e-05	1.3413419817277e-05
ACBD4	-0.6253726667532	0.00553147762596128	0.00894147889138179	0.00894147889138179	0.00196960606018806
ACBD5	-0.904925176533606	3.72637438991531e-10	1.10509655840751e-09	1.10509655840751e-09	2.43427838389275e-10
ACBD6	-0.887282824990348	3.94000551611765e-12	1.32537384447531e-11	1.32537384447531e-11	2.91949954566173e-12
ACBD7	0.452612308625133	0.0667508723052399	0.0924783814729311	0.0924783814729311	0.0203709009212144
ACCS	2.9496929065973	1.87184796773454e-25	1.14221813344358e-24	1.14221813344358e-24	2.51604883824706e-25
ACCSL	-0.126246780503598	0.659527512370149	0.718590357329349	0.718590357329349	0.158289242728377
ACD	-0.779275835010111	8.66682909623499e-07	2.01893361586342e-06	2.01893361586342e-06	4.44725523957197e-07
ACE	-0.47035251899371	0.111247704294377	0.148795454633435	0.148795454633435	0.0327762815004713
ACE2	2.80826397964788	5.35252446179959e-14	1.9868933429122e-13	1.9868933429122e-13	4.37667774725621e-14
ACER1	0.667524105140888	0.221582791300942	0.277792678694594	0.277792678694594	0.0611914594978363
ACER2	0.354888346436326	0.0903132947920316	0.122519239324128	0.122519239324128	0.0269882241174918
ACER3	-0.224975895325984	0.117775291247225	0.156649873219926	0.156649873219926	0.0345064327019819
ACHE	-5.30323073624356	3.83512474625782e-109	1.3785482573109e-107	1.3785482573109e-107	3.03663077981235e-108
ACIN1	0.198857222001851	0.0922281798233186	0.124966570291256	0.124966570291256	0.0275273159123387
ACKR1	-5.88414003193184	3.95600981140883e-71	7.84244156080795e-70	7.84244156080795e-70	1.72751293298093e-70
ACKR2	4.94236421305057	6.64975567302951e-36	5.80061605972392e-35	5.80061605972392e-35	1.27774484320131e-35
ACKR4	-0.251285328342006	0.566941655361041	0.633952616326334	0.633952616326334	0.139645458000456
ACLY	-1.52920566567339	4.00254296489839e-38	3.73728567965068e-37	3.73728567965068e-37	8.23239713778097e-38
ACO1	0.586900458539942	1.06374502546266e-08	2.86058222593742e-08	2.86058222593742e-08	6.30121723298268e-09
ACO2	-0.26756545500055	0.000443783628417505	0.000809210267671392	0.000809210267671392	0.000178250764390685
ACOD1	0.7352744222904	0.201102307805607	0.254359924428701	0.254359924428701	0.056029752427937
ACOT1	0.55523582570818	0.000131372932690763	0.000252658729781871	0.000252658729781871	5.56550176299623e-05
ACOT11	5.19238216547902	1.31609194432167e-89	3.55615254818423e-88	3.55615254818423e-88	7.83340171680979e-89
ACOT12	-0.940349474092175	0.120935289641621	0.160528168787414	0.160528168787414	0.0353607337125549
ACOT13	-0.205055493100834	0.10182254318456	0.137060456491714	0.137060456491714	0.0301913261774198
ACOT2	0.565803262763804	0.000108523424011137	0.0002101484391822	0.0002101484391822	4.62909597372386e-05
ACOT4	1.19782391410464	0.0164089699637004	0.0249286171201688	0.0249286171201688	0.00549121190671452
ACOT6	0.97630247281146	0.0156894262313897	0.0238837686601707	0.0238837686601707	0.00526105536507419
ACOT7	-2.8605475589926	1.17661452314973e-70	2.31508443582329e-69	2.31508443582329e-69	5.09960867775415e-70
ACOT9	2.1752646061945	8.40104030701525e-15	3.23732395713555e-14	3.23732395713555e-14	7.1310942655268e-15
ACOX1	1.12504637549205	2.42006137672241e-20	1.19938971497109e-19	1.19938971497109e-19	2.64198493317611e-20
ACOX2	3.92389713785282	2.07205516021455e-30	1.51305092217425e-29	1.51305092217425e-29	3.33290980372376e-30
ACOX3	1.5496735942771	1.34694500253726e-32	1.06647225991159e-31	1.06647225991159e-31	2.34919776880412e-32
ACP2	0.653714659907306	1.05281910740657e-06	2.43456704497005e-06	2.43456704497005e-06	5.3628019077794e-07
ACP4	-0.0403907531647039	0.930835471466737	0.944360533608403	0.944360533608403	0.208021318687036
ACP5	0.561262343587384	0.290247181340621	0.354689113417099	0.354689113417099	0.0781300091131892
ACP6	1.03255532888367	7.3426472103848e-16	2.97935132373032e-15	2.97935132373032e-15	6.56283875847937e-16
ACP7	9.80745221814843	2.50990208620232e-25	1.52331749693356e-24	1.52331749693356e-24	3.35552475155168e-25
ACPP	10.8861722406781	7.42646615500508e-48	8.91979375122547e-47	8.91979375122547e-47	1.96482931307645e-47
ACR	-1.95118314945605	0.00302910413386788	0.00504690774283974	0.00504690774283974	0.00111171990632201
ACRBP	-1.18649757113294	2.26410486283912e-06	5.09447807437635e-06	5.09447807437635e-06	1.1221985770674e-06
ACRV1	0.333245414463637	0.517331539967653	0.586584156117667	0.586584156117667	0.129211254953946
ACSBG1	-0.0876953898433633	0.466242450009174	0.537108965138271	0.537108965138271	0.118312986651159
ACSBG2	0.656570475271231	0.19109378624562	0.243064641863282	0.243064641863282	0.0535416565253869
ACSF2	4.00814005586188	1.97450227683338e-17	8.55274387275069e-17	8.55274387275069e-17	1.88397650630731e-17
ACSF3	-0.314183711372791	0.0120474217983958	0.0186618549110323	0.0186618549110323	0.00411078558408801
ACSL1	2.14838034170231	4.92075515385919e-53	6.73456342826522e-52	6.73456342826522e-52	1.48347237656815e-52
ACSL4	-3.05887049999586	5.3137734481799e-45	5.98083773268751e-44	5.98083773268751e-44	1.31744361155477e-44
ACSL5	2.36035409068892	0.00296459035889719	0.0049451623534247	0.0049451623534247	0.00108930769263539
ACSL6	-7.03872775352447	5.12864075032688e-120	2.18729597405833e-118	2.18729597405833e-118	4.81811952839545e-119
ACSM1	0.725055458764228	0.205498461256509	0.259442012851246	0.259442012851246	0.0571492218442439
ACSM2A	0.15388434411223	0.632137489775656	0.694356786068484	0.694356786068484	0.152951133742692
ACSM2B	0.865650947225885	0.0988119562528501	0.133258069367573	0.133258069367573	0.0293537460842535
ACSM3	3.73287641981205	3.47203068945638e-21	1.7805864244271e-20	1.7805864244271e-20	3.92223015324731e-21
ACSM6	-0.408373197486046	0.355022682120524	0.42439296876376	0.42439296876376	0.0934841957725773
ACSS3	-0.00290657445479456	0.989935763535975	0.993082412498263	0.993082412498263	0.218753649332889
ACTA1	0.212514795117622	0.624282742357483	0.687355684789358	0.687355684789358	0.151408949091264
ACTA2	4.82741756822576	6.58003677463497e-60	1.04564934847674e-58	1.04564934847674e-58	2.30332959302351e-59
ACTB	-0.375157419284177	0.000588570073678402	0.00106095907729554	0.00106095907729554	0.000233705347139717
ACTC1	4.4973238958677	6.28439328641513e-34	5.15961113733771e-33	5.15961113733771e-33	1.13654592129151e-33
ACTG1	-0.450125022479829	0.00156000069669584	0.00268595864635684	0.00268595864635684	0.000591656088611691
ACTL6A	0.160958529251585	0.175674863431694	0.225414648312907	0.225414648312907	0.0496537611692164
ACTL6B	-7.06893655861795	4.20204223530753e-17	1.79356847371254e-16	1.79356847371254e-16	3.95082667878507e-17
ACTL7A	-0.145845450434241	0.609054975871028	0.673219915889943	0.673219915889943	0.148295158137002
ACTN1	2.28275030060136	1.96852554900327e-20	9.78989384282119e-20	9.78989384282119e-20	2.15649273186827e-20
ACTN2	-0.161471988298122	0.660741738575173	0.719664869872738	0.719664869872738	0.158525933598301
ACTN3	-0.087637350852526	0.814579472473571	0.849630780331347	0.849630780331347	0.187154491353312
ACTN4	0.909103202620631	7.61892363443855e-29	5.2684756771008e-28	5.2684756771008e-28	1.160526323176e-28
ACTR10	-0.89596322518812	1.85026417011547e-20	9.21627796856761e-20	9.21627796856761e-20	2.0301380968158e-20
ACTR1A	-1.23598741724323	2.92531269738034e-60	4.67694370462631e-59	4.67694370462631e-59	1.03022517591235e-59
ACTR3B	-0.675165733796098	7.56610947411542e-07	1.77062446242831e-06	1.77062446242831e-06	3.90028619860344e-07
ACTR3C	0.0921129087499506	0.751888038510093	0.801025739109456	0.801025739109456	0.176447897409596
ACTR6	-0.0162822619211739	0.917228080588243	0.934158971968664	0.934158971968664	0.205774144827645
ACTR8	-0.140667155544133	0.184873745776581	0.235875461542241	0.235875461542241	0.0519580423045051
ACTRT1	0.0704586286397184	0.8794713944176	0.902311152645768	0.902311152645768	0.198758788788208
ACTRT2	0.0455203733002662	0.930123879690881	0.943759955087583	0.943759955087583	0.207889024789283
ACTRT3	0.433514198637856	0.083523378720155	0.11395460108975	0.11395460108975	0.0251016275516811
ACVR1B	-1.71421130513495	2.82430778988732e-42	2.95933445713293e-41	2.95933445713293e-41	6.51874611761411e-42
ACVR2B	-1.6548135727348	8.91932144371504e-31	6.58927398791308e-30	6.58927398791308e-30	1.45146839091039e-30
ACVRL1	6.60868104217829	3.67066531245954e-25	2.21080529124472e-24	2.21080529124472e-24	4.869905249934e-25
