gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.723928299647329	0.0122427835225568	0.0385293307610592	0.0400839161003108	0.0198895070097919
A1CF	0.0193990649255411	0.940572275279549	0.966179078385493	0.968750767176508	0.480690936641018
A2M	-4.95370716748062	1.0077496131812e-99	3.05710922654649e-96	3.18045777919987e-96	1.57813266387045e-96
A2ML1	3.37260875897615	2.74074158563037e-12	6.89412410793391e-11	7.17228892557997e-11	3.5588661173869e-11
A3GALT2	0.225213859175821	0.435742020090478	0.596143363342105	0.615699219008327	0.305507922473038
A4GALT	0.78897846549306	0.0007716920223345	0.00378803384944003	0.0039408738227956	0.00195544859756332
A4GNT	-1.92610634538232	0.00374197311745666	0.0143256557914141	0.0149036688019854	0.0073951513212155
AAAS	-0.298775676490977	0.185974121593743	0.327321359518902	0.340094059421633	0.168753550973596
AACS	0.39208102470038	0.0595716081778107	0.13788831876103	0.143451850609775	0.0711803353028324
AADAC	0.309352618232676	0.388633700159802	0.552671663606214	0.571541452797919	0.283596984470355
AADACL2	5.16267903682804	1.46598656985504e-15	5.60102878880634e-14	5.82701966556989e-14	2.89134794600692e-14
AADACL3	-0.150164824702827	0.512034477311508		0.684041995595631	0.339419382885242
AADACL4	0.0466454297389882	0.875751017981507		0.933613772716401	0.463256075838785
AADAT	0.370438073134915	0.22347355066195	0.374056434480347	0.388420238383794	0.192732841640181
AAGAB	0.648630519681564	0.00992652287187599	0.0322963318148037	0.033599427481382	0.0166719251368446
AAMDC	-0.129466818754758	0.624243102029877	0.754291813316032	0.772783100200255	0.383452426405076
AANAT	-0.178136775489197	0.66476766007045	0.783132939848058	0.800921869263723	0.397414790839084
AARD	-0.729093562388026	0.0403396992502189	0.101589333924509	0.105688270657223	0.0524421714392651
AARS2	0.426285970075813	0.0137419057673135	0.0424110594130178	0.0441222651330051	0.021893322485125
AARSD1	-0.440831214712305	0.0241868426712081	0.0676126114332629	0.0703406519262189	0.0349027995682541
AASDH	0.169074157006314	0.391088249711753	0.554706056819513	0.573654264775187	0.284645354807402
AASDHPPT	0.376184357512425	0.017216187166663	0.0510927659839454	0.0531542620798166	0.0263749695910732
AASS	0.223046205275769	0.545314685484025	0.691355597745422	0.710813876058522	0.352703501702362
AATF	0.606201798362183	5.39377233250148e-07	5.89004598555669e-06	6.12769815744229e-06	3.04054362231818e-06
AATK	0.939451913846185	6.27633570172867e-06	5.47437952408398e-05	5.69526034348927e-05	2.82596940480926e-05
ABAT	-0.562994494688971	0.138622654208898	0.263881000721708	0.274321556545171	0.136117451902358
ABCA1	-0.219755540552035	0.473733420065332	0.630757418851032	0.650723656740158	0.322886932997807
ABCA10	0.735611213805521	0.0446288416449592	0.109998418926022	0.11443664627193	0.0567830865753402
ABCA13	0.331920435835649	0.446987564170535	0.607137760664338	0.626918830558265	0.311075056732355
ABCA2	-0.540614404092685	0.00275109383196708	0.0110715285867012	0.0115182437432848	0.00571531456904678
ABCA3	-0.384644928546011	0.384166551505983	0.548066702081611	0.566821761924812	0.281255089420236
ABCA4	2.72386282960296	4.12567849070965e-10	7.76405599839751e-09	8.07732091605437e-09	4.00794000711313e-09
ABCA5	0.454385899625399	4.3191674684123e-05	0.000304005253646765	0.000316271288406247	0.00015693277054093
ABCA6	-0.0888289190044887	0.834239196670984	0.901503977901569	0.911074021581421	0.45207192564058
ABCA7	0.141452556397274	0.611362827338425	0.745190562927453	0.763732346982101	0.378961472499128
ABCA8	-0.443071311358114	0.105120205230609	0.214021915830588	0.222537810375505	0.110422527787224
ABCA9	0.24271194611638	0.537724523382339	0.685453027200884	0.705109936760288	0.349873225828823
ABCB1	2.60344663392627	3.43520279340491e-05	0.000248474754269746	0.000258500238817022	0.000128266966209526
ABCB10	0.0443120119439759	0.790575307252859	0.874957283889237	0.889113935873169	0.441175403515923
ABCB4	-0.509168852403236	0.229964562738128	0.381672227553553	0.396204913200967	0.196595571617902
ABCB5	1.26246746217751	0.0280431967963896	0.0761187761510439	0.0791900242394167	0.039293828933128
ABCB7	-0.0296919593134316	0.806081751101208	0.885283324936871	0.89899686751296	0.446079281610943
ABCB8	-0.0682504392569245	0.800307616474811	0.881047026178685	0.895092082215076	0.444141740020455
ABCB9	-0.14234621464079	0.45370133735642	0.613345979057236	0.633239616441209	0.314211409847445
ABCC1	0.944648506609073	0.00198567546905195	0.00841305181971508	0.00875250248649156	0.00434296287624813
ABCC10	0.384662125270123	0.212512290032457	0.360074443164914	0.373976127658322	0.18556572152134
ABCC11	-0.199743268326784	0.358838340069299	0.522958506328778	0.54119897904543	0.268541149035406
ABCC12	-0.248330800912989	0.298407752417766		0.476079170257725	0.236228914619036
ABCC2	-0.396274666257509	0.296278630708238	0.456795514391396	0.473541658318241	0.234969809561
ABCC3	-4.52396461783414	5.28967232950049e-14	1.7180674495474e-12	1.78738820898325e-12	8.86896136166595e-13
ABCC4	-0.394345554344527	0.197302049589778	0.34151289377813	0.354765991627928	0.17603371536008
ABCC5	0.447365614712045	0.0618924981050236	0.141874778790539	0.147599156732246	0.0732382149268747
