gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	0.835425432462624	2.86754492740156e-06	4.17863897255329e-05	4.26143428383742e-05	2.87544429686441e-05
A1CF	0.0340379503654899	0.715656785729485	0.874362826291084	0.889128286211898	0.599947972790648
A2M	0.21051489242983	0.262163927033413	0.501848900100756	0.511792505225381	0.345336978657586
A2ML1	0.207715873542111	0.241311175430338	0.477860853710843	0.487329161069617	0.3288300988726
A3GALT2	-0.0308657142754178	0.473730320233753	0.712334836051668	0.72644899735558	0.49017853785321
A4GALT	0.799018309831246	0.000717577757312058	0.00530302776542134	0.00540810165131347	0.00364916927362045
A4GNT	4.6548096591159	5.21586682929189e-07	8.84666593156742e-06	9.02195325943706e-06	6.08765085145574e-06
AAAS	-0.363079388536574	0.0121548020439667	0.0541034130238842	0.0551754149250461	0.037230148726002
AACS	0.0351605723578622	0.798462430511214	0.915716007869208	0.915247929668092	0.61757245666386
AADAC	-0.000500378183793395	0.995514101288342	1	1	0.674759741754147
AADACL2	-0.13530756040004	0.15753731948203	0.362049792074104	0.369223425745743	0.249137103405779
AADACL3	-0.06498300154564	0.273388465860497	0.515569909302196	0.525785381710745	0.354778808381248
AADAT	-0.624353767707962	0.000771863412435117	0.00564373980982814	0.00575556454449189	0.00388362324569067
AAGAB	0.0717724713272876	0.612891465585406	0.813698254640246	0.829621220755117	0.559795000670483
AAK1	-0.0544399501399968	0.388909815920628	0.636293051270022	0.648900525041713	0.437851950701277
AAMDC	0.0642512840330674	0.61540757168133	0.81540206244152	0.831359088854939	0.560967644100722
AAMP	0.190623412979192	0.0639569990763064	0.192045014095624	0.19585018291424	0.132151818845715
AANAT	-0.207386624693897	0.143031306304066	0.338829456862837	0.345543004153583	0.233158508247624
AARD	2.35773122651979	2.75833014614195e-09	7.46101262078985e-08	7.60884469398177e-08	5.13414208075855e-08
AARS2	0.57126093850747	3.91609962825199e-05	0.00043595906688691	0.000444597134661399	0.00029999624776876
AARSD1	-0.0820142666809535	0.548588257979526	0.76830203236828	0.783525124467881	0.528691210643834
AASDH	-0.0369071301766971	0.76510895686799	0.898397905517995	0.908762067641966	0.613196058078058
AASDHPPT	-0.238431337313984	0.0604960557620788	0.18398892285237	0.187634468744335	0.126608185674104
AASS	1.1369571410468	5.79851161937342e-06	7.90680076994297e-05	8.06346566377777e-05	5.44090200893412e-05
AATF	0.188568888503843	0.0525248388228364	0.166188108156199	0.169480949733777	0.114358921874611
AATK	-0.0701109506300394	0.553467028386579	0.771393772567744	0.786678124229108	0.53081872794847
ABAT	-0.00586855350030306	0.980051634503141	0.996373685607043	0.997318093638419	0.672950099310199
ABCA1	-0.311742985730488	0.137694933160283	0.330013308749866	0.336552173391037	0.227091857604133
ABCA10	-1.52159697886318	0.00064794896537867	0.00485565738926143	0.00495186710435614	0.00334132056853621
ABCA12	0.255864943262938	0.118825844055154	0.299328811141549	0.305259694919151	0.205976952911596
ABCA13	-0.24494288116484	0.161351600217232	0.366897581043416	0.37416726852573	0.252473009483277
ABCA2	0.0149886551178249	0.930310152224072	0.976003185240972	0.976345641542135	0.658798732949759
ABCA3	0.441165222459322	0.0208092718691153	0.0822532680327925	0.0838830295354358	0.0566008913468862
ABCA4	0.11464117854669	0.523166969298468	0.749569852523952	0.764421786293908	0.515801047110921
ABCA5	-0.482830407066121	0.00526301428873397	0.0275204107494285	0.0280656985787031	0.0189376035251155
ABCA6	0.11618472231212	0.285891116050636	0.530802587982207	0.541319879806429	0.365260862304572
ABCA7	0.141227712016824	0.430859262713739	0.676189252461437	0.689587227259513	0.465305699382588
ABCA8	-0.746974018011149	0.00357258512477064	0.0201090017529592	0.0205074403523896	0.013837595156217
ABCA9	-0.294302959696436	0.121809495534226	0.30418379681303	0.31021087699635	0.209317811251385
ABCB1	-0.250890165391376	0.133784766808907	0.323498835780697	0.329908623030671	0.222609057278642
ABCB10	0.796226378253369	1.20100408198418e-09	3.50025027696585e-08	3.56960403381283e-08	2.40862509602011e-08
ABCB11	0.0475311505216854	0.587712423105775	0.796521321041993	0.812104242809838	0.547975249155814
ABCB4	0.16741815623525	0.264072517807729	0.504352821528051	0.514346039207235	0.347060000587742
ABCB5	0.0197434990073702	0.482995912005127	0.720446416231112	0.734721299916251	0.495760354592761
ABCB6	-0.524071258356137	1.30756034161597e-05	0.000166246957719744	0.000169540965339176	0.000114399417989012
ABCB7	-0.34083795666447	0.0204144341908451	0.081118709456373	0.0827259908809042	0.0558201682431549
ABCB8	-0.0109795113145097	0.944072535557413	0.982533431008262	0.983027974173826	0.663307701990634
ABCB9	0.0947755494629414	0.349148066711666	0.59739504871782	0.609231799713317	0.411085091842972
ABCC1	0.177398718517473	0.0369774012562881	0.127289775828596	0.129811888095829	0.0875918360881598
ABCC10	-0.102124458810414	0.490398240137317	0.725992887429185	0.740377668574333	0.499577044447754
ABCC11	0.445168220334625	0.0477728881840473	0.155522594100043	0.15860410979805	0.107019668168479
ABCC12	0.0118115446164934	0.793143722936164	0.913564072747072	0.915247929668092	0.61757245666386
ABCC2	-1.2585374231856	1.36854292627454e-06	2.1312191534853e-05	2.17344700671371e-05	1.46655454096647e-05
ABCC3	-0.56439402880123	0.0269781235097725	0.100178523234808	0.102163454708833	0.0689357863160439
ABCC4	0.137097958552326	0.462665884537864	0.703166744288164	0.717099249551334	0.483869704439351
ABCC5	-0.0354712355857938	0.730192593716454	0.880058879014239	0.894765200109645	0.603751535356582
ABCC6	1.88707616178817	2.36495230638968e-12	1.11855487085642e-10	1.14071785247059e-10	7.69710483547401e-11
ABCC8	-1.64274312354925	3.35603275116684e-07	5.94179317249367e-06	6.05952351927258e-06	4.08872252501755e-06
ABCC9	-0.531611000331722	0.0292318387605006	0.106774902656957	0.108890534411909	0.0734749488792508
ABCD1	-0.0895271106984615	0.461250230756076	0.702121179291595	0.716032967790305	0.483150220433642
ABCD2	-0.273780155837275	0.155169730651556	0.358603897976526	0.365709254901517	0.246765882394449
ABCD3	-0.186795291207284	0.123786884187908	0.307327563446648	0.313416934040492	0.211481129474539
ABCD4	0.402063542041034	0.000380447325774653	0.00307365789696125	0.00313455917702669	0.00211507434080362
ABCE1	-0.28776903297424	0.0204964825571721	0.0813471043518167	0.0829589111796164	0.0559773334837632
ABCF1	-0.407354580321574	6.44064644399975e-09	1.63525247291368e-07	1.66765327097552e-07	1.1252652904589e-07
ABCF2	-0.2974058517449	0.0037525935793634	0.0209512425338219	0.0213663692434445	0.0144171657929304
ABCF3	-0.267826480118872	0.0112634574765574	0.050902340995613	0.0519109170404699	0.0350273969764485
ABCG1	-0.545519407713265	0.0268550005222835	0.0998332985955269	0.101811389808486	0.0686982270948052
ABCG2	-0.118683833465332	0.440128537976429	0.683992472555558	0.69754505990594	0.470675324484014
ABCG4	-0.227641128257407	0.246352926010274	0.483220650721797	0.492795156789017	0.332518332732652
ABCG5	-3.52074711774181	3.74784854010539e-05	0.000420622947341726	0.000428957146129214	0.000289443013145745
ABCG8	0.0545062585751459	0.366092652266403	0.613701039556256	0.625860876512548	0.422305723409631
ABHD1	-0.272389922608971	0.159843520303066	0.364865219784792	0.372094638178499	0.251074481965427
ABHD10	0.312524058984116	0.118834659104884	0.299328811141549	0.305259694919151	0.205976952911596
ABHD11	-0.094146088206941	0.605310919860373	0.810226742219376	0.826080217667744	0.557405674341697
ABHD12B	-1.68731667870782	0.00125474726381332	0.00850576830678368	0.00867430110880283	0.00585306917607351
ABHD13	0.0060171762827009	0.97046484487903	0.993222984895011	0.994041659533925	0.670739293479976
ABHD14A	-0.657061245783707	2.3416163324535e-05	0.00027687940548168	0.000282365478031999	0.000190528857037158
ABHD14A-ACY1	-0.760923280375749	3.87296155644588e-09	1.02580808968648e-07	1.04613339193471e-07	7.05888697382254e-08
ABHD14B	1.97892571271682	1.07954941453803e-64	1.98565122314029e-61	2.02499480180345e-61	1.36638496951839e-61
ABHD15	-0.165618737964089	0.189749915301141	0.408821088342353	0.41692144577719	0.281321807084382
ABHD16A	0.0742572367404916	0.54307508134378	0.763967533369819	0.779104741956583	0.525708514482056
ABHD17A	0.0630495088762944	0.681339471583706	0.854973834243814	0.870002143796717	0.587042421873827
ABHD17B	-0.0837095432106106	0.506962326751808	0.73788666785717	0.752507111680848	0.507761504345928
ABHD17C	0.0193380741737618	0.907874040094766	0.965933832705949	0.966013273498268	0.65182686695677
ABHD18	-0.207526989809284	0.0558162274910423	0.173582909991868	0.177022271745966	0.11944750236804
ABHD2	-0.0770002223172108	0.641037093120401	0.831470726085319	0.847746188128197	0.572024998974445
ABHD3	0.591897984020192	0.000249504716216932	0.00215119847513286	0.00219382219748659	0.00148030289943057
ABHD4	-0.446876793233585	0.00122531713292702	0.00835415972754279	0.00851968856592831	0.00574874285657155
ABHD5	-0.53773656434955	0.000192718461407491	0.00173007668662668	0.0017643563261829	0.00119051661901747
ABHD6	0.298634023228118	0.143125217865751	0.339003413442501	0.345720407498871	0.233278212883077
ABHD8	-0.0795720316517072	0.554078518316197	0.771610127809248	0.786898766320872	0.530967608349329
ABI1	-0.076982078880112	0.504561883159504	0.736808890391447	0.751407979194661	0.507019853993395
