gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	0.9439345229298	0.000272007612773261	0.000696897406435451	0.000725020458432553	0.000233028586279128
A1CF	-5.57241900134591	8.59211473160674e-08	3.67422491965754e-07	3.82249698597659e-07	1.22858749479166e-07
A2M	4.43529747129559	1.0402168206348e-15	9.87369171517152e-15	1.02721411037686e-14	3.30156548222922e-15
A2ML1	0.0231130338443872	0.962751587520032	0.972387344503178	0.976954714081437	0.314002692245829
A3GALT2	0.030417759607588	0.949761086636484	0.961927058957876	0.96672326958445	0.310714207046555
A4GALT	0.528786222996678	0.0903782330487887	0.135620398819739	0.141079511199508	0.0453443191366579
A4GNT	1.44111535208884	0.0195139089303578	0.0349065713216044	0.0363152138438075	0.0116720608970704
AAAS	0.557951132347946	0.00559888448409827	0.011315057852646	0.0117716730694651	0.00378352955645971
AACS	-0.80228555129264	1.09200225871333e-05	3.49469286457328e-05	3.63571997736882e-05	1.16855555809375e-05
AADAC	0.141770549761848	0.424518507681544	0.505958771509496	0.523893461107578	0.168384424443293
AADACL2	6.56659642205501	0.000697665197679124	0.00165734651807342	0.00172422815929433	0.000554183603662265
AADACL3	-0.988103603941963	0.108043399600904	0.158454699921433	0.164817567233652	0.0529739598927412
AADAT	-0.773696733546166	0.000360405540569416	0.000902278535465037	0.000938689671357393	0.000301703937491829
AAGAB	-1.04359982040488	9.13069967704955e-09	4.3781119833155e-08	4.55478916681327e-08	1.46395328296894e-08
AAMDC	0.29669493876612	0.0358091854834128	0.0599320344931881	0.0623505708613531	0.0200400764040913
AANAT	0.589196934256166	0.287377801164678	0.364877749529426	0.379225580996108	0.121886768838848
AARD	2.35318855848163	0.000147970377143441	0.00039938722769721	0.000415504360101185	0.000133547119258567
AARS2	-0.301900325159081	0.0236786624590278	0.0415331050267613	0.0432091590075662	0.0138878415370673
AARSD1	-0.0933017755425212	0.633710650431171	0.700891003174506	0.717992975651789	0.230769885357718
AASDH	-0.0997812746279842	0.463394266549157	0.543882826122697	0.562516788802027	0.180798335451392
AASDHPPT	0.0122817671546271	0.923570402394114	0.942307197174626	0.947924908760309	0.304672232097758
AASS	-1.10428372252158	0.000139985407418199	0.000379236341290667	0.000394540291695447	0.000126809064950679
AATF	-0.839982045170897	2.90997014434871e-20	3.93615802858597e-19	4.0950003142431e-19	1.31617269960034e-19
AATK	0.645236955055284	1.30656861417308e-06	4.78316371665893e-06	4.97618662171219e-06	1.59939449988165e-06
ABAT	2.0585833982441	6.11595528972723e-10	3.33734038381807e-09	3.4720175920835e-09	1.115940028463e-09
ABCA1	0.110050039781381	0.693903247040578	0.752889613457133	0.768700716756094	0.247067843691874
ABCA10	2.17809700681419	0.000245699209947825	0.000635116309637627	0.000660746207001581	0.000212370220337994
ABCA13	-0.570180261506618	0.178690588974212	0.243855422088562	0.253628428253177	0.0815186294243493
ABCA2	0.840301067908385	3.51934694133698e-08	1.57523381188118e-07	1.63880182345654e-07	5.26726753252384e-08
ABCA3	0.574356555544165	0.2159105045896	0.285684636660169	0.297110826752398	0.0954942927762567
ABCA4	1.73810724480336	0.00150651656273297	0.00338624850797092	0.0035228993865441	0.00113229392922896
ABCA5	1.33667169276574	4.35261157942371e-07	1.69625785103608e-06	1.76470974553972e-06	5.67194776937976e-07
ABCA6	-1.12781887178918	0.0169663367167783	0.0308093570378433	0.032052657905333	0.0103020341995813
ABCA7	-1.25612317793119	0.000250182532676626	0.000645726042188587	0.000671784091612587	0.000215917903188179
