gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	0.261362027562242	0.180576118844603	0.234015563517766	0.247329302593955	0.0711215302683646
A1CF	0.246613750617411	0.603225020086536	0.660970314004123	0.683586484202595	0.196570791723278
A2M	9.35762092756645	2.13717797957957e-46	7.469685547698e-45	7.93141539491414e-45	2.28074229039672e-45
A2ML1	4.57201859437083	4.05955928131674e-09	1.49720531138428e-08	1.58975330088963e-08	4.57146348300171e-09
A3GALT2	-0.408263496744765	0.403560959079043	0.469000746520177	0.491342472341753	0.141289479864652
A4GALT	2.10603272758311	5.33305031108236e-06	1.43819151489784e-05	1.52709163582007e-05	4.39127482512045e-06
A4GNT	3.45294744832322	5.93828525854252e-05	0.000141034274890385	0.000149752143103384	4.30624332288079e-05
AAAS	0.413643488303747	0.0142889955895111	0.023539330780967	0.0249943868921866	0.00718733698453129
AACS	0.210917995008635	0.24557978489019	0.305911196611245	0.322654553538421	0.0927819120299793
AADAC	0.145332903842429	0.431266040831267	0.496324169358535	0.519328665830468	0.149337134899574
AADACL2	6.1733658290819	0.00204769517613052	0.00389801276783605	0.00413896385315907	0.00119019234629627
AADACL3	0.333725936636762	0.243322109703655		0.320083606186705	0.0920426154404701
AADAT	-0.938517747270135	5.51989116276235e-06	1.48564549221267e-05	1.5774789250602e-05	4.53616752805733e-06
AAGAB	-0.917369286298047	7.57539810586552e-09	2.71655113655578e-08	2.88447155746605e-08	8.29452996596014e-09
AAMDC	1.76637396570154	2.28487130247403e-20	1.9488837006176e-19	2.06935165975486e-19	5.95058713874944e-20
AANAT	1.07935891210322	0.0880202346362378	0.123228328490733	0.130638662976663	0.0375661982857203
AARD	3.44367738784593	3.53975039849678e-12	1.69100154923738e-11	1.79552882578549e-11	5.16318755568049e-12
AARS2	-0.036698367930117	0.797651721701109	0.833809615263043	0.848301190411921	0.243935830319387
AARSD1	-0.558256735146076	0.000568773943518896	0.00117907716581893	0.00125196043729713	0.000360011293454393
AASDH	0.0916712115574797	0.598859701378597	0.657193315225917	0.679798201351519	0.195481440519711
AASDHPPT	-1.44325808800681	3.78665534426232e-18	2.7652887837181e-17	2.93622186509904e-17	8.44334213791533e-18
AASS	1.72157051250133	3.02786742392169e-05	7.48081859512068e-05	7.94323661859976e-05	2.28414157834743e-05
AATF	-0.229727523369737	0.0145795339191909	0.0239759071311435	0.0254579496971713	0.00732063819761131
AATK	-1.10630437232347	7.32212331477404e-11	3.14591741846024e-10	3.34037861226884e-10	9.60552737134848e-11
ABAT	-0.843233827971123	0.00463919470457678	0.00833402548590537	0.00884918349218697	0.00254465388851693
ABCA1	1.88546603120125	2.28106392853752e-08	7.85206362390985e-08	8.33742972322532e-08	2.39749497613804e-08
ABCA10	0.313010518425821	0.435162979926746	0.500196131955569	0.523349976160299	0.150493495028932
ABCA13	4.80982561081094	1.83043819428744e-06	5.20129620380902e-06	5.52280822545641e-06	1.58812792602267e-06
ABCA2	-0.110652465078993	0.467031569456286	0.531663191740534	0.555274160734869	0.159673551074457
ABCA3	-1.86503042039052	6.07045807719536e-05	0.000144014071731917	0.000152916132590187	4.39722638541903e-05
ABCA4	9.41427165973738	1.31726698436755e-24	1.49187682803767e-23	1.58409544359739e-23	4.55519385928774e-24
ABCA5	-0.181136482986373	0.105233499215469	0.144764691964236	0.153404236821088	0.0441126221516828
ABCA6	0.335425319781722	0.49485941050241	0.558519231033397	0.582544000648971	0.167515212877258
ABCA7	-0.440657840455174	0.117538552734958	0.159761862083177	0.169224127079074	0.0486617588371679
ABCA8	8.59194756658692	2.9379372723098e-44	9.19880401365499e-43	9.76741728989995e-43	2.80869940254441e-43
ABCA9	-0.799006327585137	0.0891971975067429	0.124643856934341	0.132139702730468	0.0379978343400197
ABCB1	-1.23794987552194	0.00243203554491347	0.00457746552341949	0.00486041618356033	0.00139765176665478
ABCB10	0.36786339972414	0.0363042855725487	0.0551685650020055	0.0585669014523587	0.0168413835751869
ABCB4	-1.97402781404765	1.05137311299823e-06	3.05748578081472e-06	3.24648067670778e-06	9.33551630528784e-07
ABCB5	0.0974420905266518	0.676064022611575	0.7275736624296	0.747600975180896	0.214978673482446
ABCB7	-0.0575794049141798	0.682512462644337	0.733725307659638	0.753895886957731	0.216788825994815
ABCB8	0.0202202458324103	0.939987931536273	0.95202362848296	0.957325126776172	0.27528654011715
ABCB9	-0.0175113027710002	0.893168187456844	0.914372872912241	0.921138120573674	0.264880675425987
ABCC1	-0.175551292906333	0.481103731278462	0.5452871777816	0.56929062314561	0.163704097577221
ABCC10	-0.329452748079403	0.168741532786189	0.220350725192774	0.232959371935462	0.0669893411279611
ABCC11	0.157184334161413	0.462867179325707	0.527721957069189	0.551324551836545	0.158537809268435
ABCC12	-0.0713135891636062	0.879263288967797		0.910294768739335	0.261762582391283
ABCC2	0.682025451322705	0.197241782875468	0.252564263000376	0.266834890736412	0.076730519025162
ABCC3	8.38799562409709	1.65241851457026e-28	2.34506117615452e-27	2.49001838106819e-27	7.16024813075482e-28
ABCC4	1.79417291444469	4.54289102190067e-09	1.66727983316594e-08	1.77034077967011e-08	5.09075730316255e-09
ABCC5	-1.20416956145671	1.24025425065701e-07	3.98115786696374e-07	4.22724846902704e-07	1.2155792976758e-07
ABCC6	1.98374677666326	3.97870857416756e-11	1.74383234649065e-10	1.85162529677941e-10	5.3244974699486e-11
ABCC8	-3.46765293109385	2.46274176847664e-10	1.01376461348769e-09	1.07642928352096e-09	3.09535898362094e-10
ABCC9	5.50994566101658	1.99407024586566e-10	8.27641030795773e-10	8.78800689962003e-10	2.5270620672716e-10
ABCD1	-0.129701264393574	0.574749172719627	0.634953345839699	0.658424070226834	0.189335137199397
ABCD2	1.29994963299963	0.00706611459718287	0.012282747661469	0.01304199129561	0.00375032949578675
