gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	1.22012567939826	1.08207213629467e-13	2.09041618370578e-12	2.17477420037661e-12	9.49050609904496e-13
A1CF	-5.37054667755889	0.000170224569830146	0.000721291347133868	0.000750398808107586	0.000327466845239743
A2M	3.95939153574315	2.11677709059588e-26	1.24881706894809e-24	1.29921264660496e-24	5.66963942483111e-25
A2ML1	-0.277736565478753	0.457303578995156	0.578712944328579	0.59772712864319	0.260842388095761
A3GALT2	0.107590075568449	0.826077030587248	0.882948614882433	0.892098345679861	0.389303164859897
A4GALT	1.31778209707816	0.000111122613496552	0.000493917637908901	0.000513849512077074	0.00022423900042194
A4GNT	2.23620550125364	0.000567698382634891	0.00211511428011576	0.00220046897986097	0.000960263565316957
AAAS	0.712586350740487	0.000299662088576377	0.00119576398976926	0.00124401862890266	0.000542877802342962
AACS	-0.304741100618916	0.0994907418388736	0.173498009216289	0.180417415711903	0.078732430423868
AADAC	-0.423563528265307	0.247153304085735	0.361227682836693	0.37505443387221	0.163670159022563
AADACL2	4.43957958530701	0.000143527266876864	0.000618243399782145	0.000643192396748384	0.00028068299518832
AADACL3	-0.362817786285231	0.470285000004312	0.590770398535481	0.609717414070222	0.266074833696542
AADAT	-0.0181399833709227	0.953516978834689	0.968975472408005	0.974133507620462	0.425102523000093
AAGAB	-0.862447328909848	4.12186026233328e-07	3.05731211624421e-06	3.18068888134983e-06	1.38802213224654e-06
AAMDC	-0.119146973528859	0.617939414884712	0.720146838240131	0.737552519276757	0.32186084796067
AANAT	1.48656300363246	0.0310528395642289	0.0661738685851218	0.0688442919930487	0.0300429889655357
AARD	-0.81179718511355	0.0499228525393378	0.0986558406468569	0.102637062718726	0.0447898301143838
AARS2	-0.0798835393581141	0.592253804746013	0.699782861731559	0.717194279567224	0.312976707340661
AARSD1	0.359353147491396	0.0311316243342956	0.0663141210475991	0.0689902042947771	0.0301066636950427
AASDH	-0.108514249035673	0.500808473861007	0.619258458730672	0.637923182141918	0.278383560453845
AASDHPPT	-0.343591282604991	0.0147670478153503	0.0353419378474585	0.0367681494341054	0.0160452678900893
AASS	0.0839811101137806	0.822187896501059	0.880079563463346	0.889222260410973	0.388048068823672
AATF	-0.324172394222317	0.000232140133495373	0.000950813753721103	0.000989183511433689	0.000431670200368868
AATK	-0.140028426275296	0.374692128691177	0.498560249999476	0.516082944040549	0.225213648717266
ABAT	0.87660639943265	0.0240218350779821	0.0534170670137965	0.0555726941395244	0.0242513909067058
ABCA1	0.0970378273440373	0.795472689495647	0.861067123231302	0.870567978424339	0.379907519016856
ABCA10	-0.0846226115671522	0.843248704697984	0.895441366569745	0.904405606992731	0.39467393569818
ABCA13	-0.755298736299826	0.101768885238733	0.176800137427887	0.183830750943378	0.0802219771927597
ABCA2	0.629314799823381	0.000179719724029313	0.000756180515840948	0.000786695917060424	0.000343306555580014
ABCA3	0.611384514432266	0.204475003445026	0.311216717388694	0.323326605724904	0.141096630771338
ABCA4	-1.5044076052102	2.86236835476498e-05	0.000145624770128491	0.000151501406982884	6.61137614533025e-05
ABCA5	0.250591770098765	0.0360255295643946	0.0751217506781198	0.078153262749947	0.0341053345519821
ABCA6	-1.86546418327192	0.00120389047558351	0.00409637888309127	0.0042616868255017	0.00185975927076197
ABCA7	-0.671432575692147	0.0737241151627214	0.135626553427799	0.141048966522804	0.061552416651662
ABCA8	1.2850196842692	0.000134517369496858	0.000583200093474364	0.00060673493002568	0.000264773306254745
ABCA9	-0.334977056370998	0.421008578550098	0.544590174024694	0.563053474645413	0.245711137932636
ABCB1	0.48987661207535	0.235840480288247	0.348042825393633	0.361496723123604	0.157753704039492
ABCB10	-0.394019880248344	0.012510757868642	0.0308393471613715	0.0320838582698459	0.0140010881377081
ABCB4	-2.20520944751482	4.00780655106987e-08	3.51289969639205e-07	3.65466153954132e-07	1.59485925596117e-07
ABCB5	-0.156032461664356	0.730561641557938	0.8105081021161	0.820833815108186	0.358204006983234
ABCB7	-0.089626173756526	0.291394321054769	0.410440540923701	0.425596794379646	0.185726360561687
ABCB8	0.787672067624031	0.00873444712162197	0.0227466357213174	0.0236645682795999	0.0103269907078131
ABCB9	0.421270576359155	0.00223274830226689	0.0070094404847466	0.00729230401301168	0.00318229155466313
ABCC1	-0.570556154553521	0.0014353831723765	0.00478429867037877	0.0049773673760939	0.00217207540129115
ABCC10	-0.437346738672381	0.0148288525615373	0.0354630136329001	0.0368941111906787	0.016100236392971
ABCC11	-0.0744463816701766	0.751426370123443	0.826542064634169	0.836677505891007	0.365118041735885
ABCC12	-0.604612858073991	0.267234624306789	0.383883864229429	0.398330855098799	0.17382776607789
ABCC2	-0.963771976202988	3.53312019789499e-06	2.18086642718355e-05	2.2688745319118e-05	9.90115092378228e-06
ABCC3	-0.613859210850971	0.170363379779399	0.268544227976179	0.279123081572859	0.121806636642678
ABCC4	-0.540816455426409	0.0420063530519711	0.0853650568977457	0.088809934022702	0.0387558037221647
ABCC5	-0.492135821737294	0.0598535198017361	0.11454686715394	0.119154499625262	0.0519978812157316
ABCC6	-1.25073957380171	3.40704360384013e-10	4.15426405717836e-09	4.32190793561851e-09	1.88603918583342e-09
ABCC8	0.222693274319447	0.658231301778486	0.75207522815495	0.768121032086368	0.33520065386825
ABCC9	3.40750635391067	2.4755644011366e-20	9.3070299875084e-19	9.68261193954359e-19	4.22539901618342e-19
ABCD1	0.541977611732015	0.0155360421600083	0.036895394131037	0.0383842949046932	0.0167505382782933
ABCD2	0.638391856146929	0.135355951872119	0.223058116218999	0.231860270499708	0.101181599033253
