gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	0.727664273198676	0.0122643853824908	0.0405627071365364	0.0405627071365364	0.0218691888945044
A1CF	-0.0161970521091653	0.940571577649244	0.972315944557015	0.972315944557015	0.524219475418166
A2M	4.95159273342532	1.21916898994923e-99	3.89109974832195e-96	3.89109974832195e-96	2.09786775613807e-96
A2ML1	-3.36870363932397	2.78061919666422e-12	7.35872655727489e-11	7.35872655727489e-11	3.96742210923825e-11
A3GALT2	-0.224168770532023	0.436164386036181	0.620017038336484	0.620017038336484	0.334279210792082
A4GALT	-0.78051935213342	0.000777174592316552	0.00400456963002503	0.00400456963002503	0.00215904449832268
A4GNT	1.92901751278984	0.00378277197515485	0.0152118007821724	0.0152118007821724	0.00820136939112848
AAAS	0.292780635716038	0.186086461077515	0.343342322334951	0.343342322334951	0.185111365406318
AACS	-0.39166499924673	0.0596811681060487	0.145063560083355	0.145063560083355	0.0782103222670422
AADAC	-0.310183367858799	0.388849997608887	0.575681256317156	0.575681256317156	0.310375786681295
AADACL2	-5.14786992850386	1.50006184509284e-15	6.04494619292715e-14	6.04494619292715e-14	3.25910373055853e-14
AADACL3	0.151918709148887	0.512746551262751	0.687870319556228	0.687870319556228	0.370861981737612
AADAT	-0.368323422996923	0.223454605234581	0.391855889047632	0.391855889047632	0.211267222085571
AAGAB	-0.646789225181825	0.0099363384177142	0.0340013943570339	0.0340013943570339	0.0183316885968081
AAMDC	0.131708906936162	0.624350602602697	0.776000038506458	0.776000038506458	0.418376696780044
AANAT	0.170403116666462	0.665089689662783	0.801260853664404	0.801260853664404	0.431995944047213
AARD	0.729409691133699	0.0405643954586336	0.107259699266396	0.107259699266396	0.0578285521261891
AARS2	-0.42004900939101	0.0138103927116967	0.0448030589333719	0.0448030589333719	0.0241553542165575
AARSD1	0.441505950868786	0.0242665626703204	0.0712634904477314	0.0712634904477314	0.0384213688853959
AASDH	-0.16687818858418	0.391372398448176	0.577860911772391	0.577860911772391	0.311550937459941
AASDHPPT	-0.373026567855849	0.0173150671436733	0.0539991873126321	0.0539991873126321	0.0291134027005307
AASS	-0.215060917137904	0.545191374571561	0.714314278087228	0.714314278087228	0.385119115076525
AATF	-0.60580636022345	5.64026853095601e-07	6.45677225372998e-06	6.45677225372998e-06	3.48113777491018e-06
AATK	-0.940349908960285	6.34665174216124e-06	5.82402924102409e-05	5.82402924102409e-05	3.13999741610808e-05
ABAT	0.570592460894121	0.138496430713715	0.276680776330678	0.276680776330678	0.149171112783139
ABCA1	0.222886447949062	0.47366415426334	0.654265781505616	0.654265781505616	0.352744256313919
ABCA10	-0.733778159150003	0.044831427955434	0.116007771576588	0.116007771576588	0.0625450333307202
ABCA13	-0.328247966310042	0.447183640161969	0.630842641571473	0.630842641571473	0.340115782824763
ABCA2	0.529037054122604	0.0027661053481178	0.0116988842035053	0.0116988842035053	0.00630739727602996
ABCA3	0.385143142756481	0.383913840185511	0.570331135885346	0.570331135885346	0.307491294925413
ABCA4	-2.72592508541529	4.12202193240961e-10	8.19993635360487e-09	8.19993635360487e-09	4.42095633401086e-09
ABCA5	-0.453853374819775	4.48388108095034e-05	0.000330808017983382	0.000330808017983382	0.000178353555366594
ABCA6	0.0851261190326588	0.834413061530194	0.914342074840269	0.914342074840269	0.492963141773735
ABCA7	-0.139269055796621	0.611357609807297	0.766725119903341	0.766725119903341	0.413376168924988
ABCA8	0.446635014908976	0.105200844839914	0.22470821602936	0.22470821602936	0.121150356310089
ABCA9	-0.239347153090194	0.538313050207979	0.709071370633012	0.709071370633012	0.382292426683003
ABCB1	-2.6000495602239	3.46019883064978e-05	0.000263067427058167	0.000263067427058167	0.000141831540852565
ABCB10	-0.043676150549634	0.790766787511843	0.889859254222937	0.889859254222937	0.479763346529585
ABCB4	0.512512980030808	0.230481322095506	0.400002277107132	0.400002277107132	0.21565930811379
ABCB5	-1.23848190376664	0.0281161685673617	0.0802069749728205	0.0802069749728205	0.0432432056478165
ABCB7	0.0336057417238209	0.806411013522568	0.90028732011985	0.90028732011985	0.485385588214202
ABCB8	0.0699204587236528	0.800311544133654	0.895733736939603	0.895733736939603	0.482930545694962
ABCB9	0.141898304593792	0.453952779541309	0.637299063598153	0.637299063598153	0.34359673177644
ABCC1	-0.94014896527615	0.00198440560316535	0.00884804264188673	0.00884804264188673	0.00477037972911226
ABCC10	-0.385786767691291	0.212447128981553	0.377321233643586	0.377321233643586	0.203430932375477
ABCC11	0.200749993298915	0.35966509685618	0.545790758428197	0.545790758428197	0.294260468187288
ABCC12	0.249788648453834	0.299241285616473	0.480847088497399	0.480847088497399	0.259246400205132
ABCC2	0.386032212200031	0.296395489748856	0.477524404382862	0.477524404382862	0.257454991010154
ABCC3	4.52729376872289	5.24287969884702e-14	1.79540502648499e-12	1.79540502648499e-12	9.67984003981241e-13
ABCC4	0.396628846434638	0.197340471431928	0.358062449472508	0.358062449472508	0.193047651311466
ABCC5	-0.444644568994965	0.0619337366304776	0.149048193206026	0.149048193206026	0.0803586180930996
ABCC6	1.82139463848631	4.89912983493518e-11	1.09958247406323e-09	1.09958247406323e-09	5.92834614056496e-10
ABCC8	2.25376308897047	0.00155855238893208	0.00718825983311506	0.00718825983311506	0.00387551579296773
ABCC9	5.36363162721774	5.19949143469142e-53	2.76578281049352e-50	2.76578281049352e-50	1.49115852944081e-50
ABCD1	0.440823019660254	0.0153933882235796	0.0489143148689534	0.0489143148689534	0.0263719181245393
ABCD2	-0.312637817100738	0.4338558291116	0.618281564416097	0.618281564416097	0.333343538356347
ABCD3	-0.641049757389589	0.00204859932094357	0.00908603334175027	0.00908603334175027	0.00489869127283965
ABCD4	-0.0932926990784142	0.648107842915134	0.791239033278004	0.791239033278004	0.42659272768004
ABCE1	0.191623046358916	0.162811059262224	0.311117097797458	0.311117097797458	0.167737290243976
ABCF1	-0.370167580682756	0.000585325396706489	0.00315029432736666	0.00315029432736666	0.00169846606851374
ABCF2	-0.350838185840085	0.145778297408288	0.287662924451769	0.287662924451769	0.155092085239911
ABCF3	-0.142246884381439	0.302707818994037	0.484797988310346	0.484797988310346	0.261376508879136
ABCG1	-1.79517270851566	7.80122888075273e-07	8.66936006121533e-06	8.66936006121533e-06	4.67404387323097e-06
ABCG2	-1.29441467098381	0.0227185968588706	0.0673997710864206	0.0673997710864206	0.036338263133518
ABCG4	0.689575558992513	0.0808370191805273	0.183274258230035	0.183274258230035	0.0988114368018249
ABHD10	0.233827877539988	0.286511764494093	0.466023314422254	0.466023314422254	0.251254233550979
ABHD11	-2.43625012337475	2.14874611470229e-08	3.22878441604701e-07	3.22878441604701e-07	1.74078362315621e-07
ABHD12B	0.59663190671663	0.210012391608144	0.37407944472405	0.37407944472405	0.201683137436672
ABHD13	-0.341255956848682	0.166384026198888	0.316408653329917	0.316408653329917	0.170590207015423
ABHD14A	1.1912213635608	0.000130205424339369	0.000838844635287708	0.000838844635287708	0.000452259059546955
ABHD14A-ACY1	0.715808206401056	0.023524947318521	0.0693686964766821	0.0693686964766821	0.0373997998089148
ABHD14B	0.707927233090804	0.000156731940270641	0.00099060534309562	0.00099060534309562	0.000534080116870456
ABHD15	-0.132053179896228	0.352975242976601	0.539294178640245	0.539294178640245	0.290757868371336
ABHD16A	-0.24209038740976	0.0853222273465691	0.191608795946602	0.191608795946602	0.103304962814732
ABHD17A	-0.262668608046924	0.240338316440532	0.412001309441002	0.412001309441002	0.222128528813913
ABHD17B	-0.476908294810099	0.0554613564389398	0.136899045019737	0.136899045019737	0.0738084631515434
ABHD17C	-0.44002649843551	0.051598240415144	0.129425451201645	0.129425451201645	0.0697791109098772
ABHD18	0.0570528961641975	0.6486472363611	0.791443885231718	0.791443885231718	0.426703172627812
ABHD2	-0.712583383032814	0.0950045010342584	0.208109319178143	0.208109319178143	0.112201140729932
ABHD3	-0.896286269138574	1.80490920071267e-09	3.22900684136467e-08	3.22900684136467e-08	1.74090354269882e-08
ABHD4	0.195609942208468	0.235302568964283	0.405941448165624	0.405941448165624	0.218861383688228
ABHD5	-1.14988246554441	1.29434427983768e-09	2.36328901803773e-08	2.36328901803773e-08	1.27415593278344e-08
ABHD6	0.119115233498976	0.709494295391213	0.832753013081272	0.832753013081272	0.448974790667709
ABHD8	-0.0699212542289132	0.725378775550598	0.843333418347402	0.843333418347402	0.454679165392171
ABI1	-0.0646804803675285	0.616209720397209	0.770648488879205	0.770648488879205	0.415491434480297
ABI3	-1.39402177574512	0.0200336770325258	0.0608252317513408	0.0608252317513408	0.0327936318018556
ABI3BP	6.80225373555667	3.22451094411387e-90	7.35096366373845e-87	7.35096366373845e-87	3.96323678244177e-87
ABL1	0.493150616710298	0.000169592575073709	0.00106090094591385	0.00106090094591385	0.000571979653785246
ABL2	0.109501661024948	0.548591968396984	0.716597691646878	0.716597691646878	0.386350206539236
ABLIM1	-0.0612900601991737	0.85170535410044	0.924946773559082	0.924946773559082	0.498680614196628
ABLIM2	-0.869578221285761	0.00031153773365979	0.00181442304881129	0.00181442304881129	0.000978237479452039
ABLIM3	2.90194867418039	3.55386022162121e-15	1.39342755323419e-13	1.39342755323419e-13	7.51259778345443e-14
ABO	-0.261057027188718	0.509795050362614	0.685656082063767	0.685656082063767	0.369668186219553
ABR	-0.270418147195897	0.17019931632636	0.321325248429381	0.321325248429381	0.173240965668834
ABRA	2.64825352663932	0.0017243038279017	0.00783497735924127	0.00783497735924127	0.0042241904436175
ABRACL	-1.08253172555945	0.00023053655889554	0.00138826505919058	0.00138826505919058	0.000748476444456351
ABRAXAS1	-0.146855548448584	0.339851797654938	0.524857736086084	0.524857736086084	0.282974529647939
ABRAXAS2	-0.0216912435361681	0.897538213667437	0.951152116799134	0.951152116799134	0.512809099246528
ABT1	-0.783686421790292	2.28555966852428e-05	0.000182182623328224	0.000182182623328224	9.82228870832086e-05
ABTB1	-0.404742083076309	0.0736266219755229	0.170502631473719	0.170502631473719	0.0919256755264785
ABTB2	-0.197017002739942	0.48902725797557	0.668428007089863	0.668428007089863	0.360379752273939
ACAA1	-0.379818354527054	0.0317348744703353	0.0880586205525319	0.0880586205525319	0.0474763826825106
ACAA2	0.203514598815602	0.260740078159819	0.436609671277481	0.436609671277481	0.2353960090039
ACACA	-0.10281582549859	0.703788232073804	0.829227156485069	0.829227156485069	0.447073842004254
ACACB	0.333619936725953	0.131046077398583	0.265583941196285	0.265583941196285	0.143188307373521
ACAD10	-0.342196839933607	0.0533688309207693	0.132823734471258	0.132823734471258	0.0716112790265177
