gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.148512115163382	0.168002498759966	0.291732677461354	0.291732677461354	0.136364548131985
A1CF	-0.0163016529780848	0.934802997697678	0.965672425047023	0.965672425047023	0.451384071990013
A2M	-0.13660829228277	0.0680447368354727	0.142139225801564	0.142139225801564	0.0664401104015097
A2ML1	-0.0181382881789854	0.917211105657589	0.953746705969439	0.953746705969439	0.445809635463686
A3GALT2	-0.126258060954488	0.23927273465361	0.383496661070158	0.383496661070158	0.179257768968594
A4GALT	0.52949068439837	0.00295174973572509	0.0095373497101983	0.0095373497101983	0.00445804150198494
A4GNT	4.48399472444307	9.85227773908685e-06	5.27242865734445e-05	5.27242865734445e-05	2.4644902918431e-05
AAAS	-0.252075299157405	0.000217181094352253	0.000912160596279464	0.000912160596279464	0.000426371048378453
AACS	-0.0262417763233828	0.746780934573071	0.851401616231328	0.851401616231328	0.397970490267092
AADAC	0.179856231642921	0.437320460942108	0.602149384674184	0.602149384674184	0.281462568621319
AADACL2	-0.00142414364382595	0.99943915566279	1	1	0.467429803608644
AADACL3	-0.0212114155103364	0.74200635622167	0.849701477789285	0.849701477789285	0.397175794889019
AADACL4	0.197668727856213	0.0714547017018554	0.148017642715081	0.148017642715081	0.0691878576649245
AADAT	-0.481040615679776	2.90731821436756e-06	1.69867966439886e-05	1.69867966439886e-05	7.94013501923953e-06
AAGAB	0.0118044179838634	0.907672947454717	0.947784468831425	0.947784468831425	0.443022708129195
AAK1	-0.164746360658171	0.0233639156249312	0.0578991499993633	0.0578991499993633	0.0270637883133098
AAMDC	0.263234586423439	0.063821130638646	0.135002029798339	0.135002029798339	0.0631039722754059
AAMP	0.32917775972901	3.91134656648062e-08	3.02333074992134e-07	3.02333074992134e-07	1.4131948986797e-07
AANAT	-0.162276401526645	0.415595193767864	0.580268283069512	0.580268283069512	0.271234689595507
AARD	0.390581595303886	0.0671073585582217	0.140729747886709	0.140729747886709	0.0657812784165782
AARS2	0.520842393160927	1.7943396303137e-06	1.08669246924711e-05	1.08669246924711e-05	5.0795244748317e-06
AARSD1	-0.0860139326452528	0.344473224367408	0.507074900392886	0.507074900392886	0.237021921105519
AASDH	0.146578489772431	0.383715126625578	0.549670467093317	0.549670467093317	0.256932358482901
AASDHPPT	-0.349237293900157	2.91970971578284e-05	0.00014533802244192	0.00014533802244192	6.79353232868953e-05
AASS	1.08729495550274	1.15853709815738e-43	9.7194241098446e-42	9.7194241098446e-42	4.54314850285378e-42
AATK	-0.12647223730148	0.128577161950778	0.236775481156156	0.236775481156156	0.110675916656164
ABAT	1.2592502261904	1.66392628622473e-34	9.06212443950133e-33	9.06212443950133e-33	4.2359070470332e-33
ABCA1	-0.227299349855072	6.92303400951827e-05	0.000322666997564837	0.000322666997564837	0.000150824171302723
ABCA10	-1.18686911409894	0.000248792719321432	0.00103408879481106	0.00103408879481106	0.000483363922272433
ABCA12	-0.077010859316672	0.648757365338278	0.780736694605096	0.780736694605096	0.364939599829322
ABCA13	-0.263379973495641	0.240870649034749	0.38542552269687	0.38542552269687	0.180159376379957
ABCA2	-0.322182154666537	1.64900912665458e-12	2.1086751811285e-11	2.1086751811285e-11	9.85657625789313e-12
ABCA3	0.807356481173581	8.30946558993051e-13	1.10246432040204e-11	1.10246432040204e-11	5.15324680771064e-12
ABCA4	0.21214638162102	0.371675294418204	0.536767372246634	0.536767372246634	0.250901067392772
ABCA5	0.735002467964454	2.99247757407413e-07	2.04475709514378e-06	2.04475709514378e-06	9.55780407410438e-07
ABCA6	-0.123214897813969	0.574060874959501	0.72405574954892	0.72405574954892	0.338445236813361
ABCA7	-0.365947904520482	3.35721243181144e-07	2.2771194652846e-06	2.2771194652846e-06	1.0643935044514e-06
ABCA8	-0.470631276279313	1.98065397764427e-15	3.29996421490962e-14	3.29996421490962e-14	1.54250162489076e-14
ABCA9	-0.164084290893446	0.242172505450119	0.387155476544445	0.387155476544445	0.180968008367181
ABCB1	-0.270926326397826	0.211046928745864	0.348652464783445	0.348652464783445	0.162970553141395
ABCB10	0.217362968126113	0.240581306244974	0.38515743242193	0.38515743242193	0.180034062995392
ABCB11	-1.96592400681697	3.73663407431623e-05	0.000182021198265299	0.000182021198265299	8.50821329577586e-05
