gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	1.72544052607766	6.11791831249451e-15	2.47303983001092e-14	2.47303983001092e-14	5.87725758569084e-15
A1CF	-1.59005880136938	9.87797093603316e-11	3.1490468981815e-10	3.1490468981815e-10	7.48380982200018e-11
A2M	3.54137384945188	9.15052911967609e-05	0.000185118456851632	0.000185118456851632	4.39939883531044e-05
A2ML1	-1.12454002561434	0.0164250785442954	0.0257377306308174	0.0257377306308174	0.00611665330872454
A3GALT2	0.858149273876678	0.143699077441094	0.190669356454358	0.190669356454358	0.0453131772477443
A4GALT	0.0257382353471393	0.936712436909082	0.951562554809701	0.951562554809701	0.22614185892388
A4GNT	1.21429581754581	0.0440479705926727	0.0644514495284025	0.0644514495284025	0.0153170913809302
AAAS	0.382144753724288	1.14166528851191e-10	3.6262072987965e-10	3.6262072987965e-10	8.61779664666584e-11
AACS	-0.542698401328568	1.09303552625676e-15	4.60633993237919e-15	4.60633993237919e-15	1.09471129341765e-15
AADAC	10.502788221298	1.3340287817579e-24	8.01389998374771e-24	8.01389998374771e-24	1.90452874631788e-24
AADACL2	0.131705871055876	0.551245132023016	0.623502355460918	0.623502355460918	0.148177312142708
AADACL3	-2.2774851304129	0.0148968258381042	0.0235026430626519	0.0235026430626519	0.0055854776598218
AADACL4	1.56374899394487	0.0324809698576172	0.0486034647558066	0.0486034647558066	0.0115507675396259
AADAT	-0.875433359338134	4.8492399933243e-09	1.38192556620827e-08	1.38192556620827e-08	3.28418993430517e-09
AAGAB	-1.18819823278794	5.59375413789114e-32	4.33202955862375e-31	4.33202955862375e-31	1.02952056315025e-31
AAK1	0.212628866988395	0.0580514106446098	0.0831895515250885	0.0831895515250885	0.0197702607462204
AAMDC	0.824515353893418	1.94011650023903e-12	6.83346001030851e-12	6.83346001030851e-12	1.62399344299777e-12
AAMP	0.0656332101089065	0.377192708486676	0.451832102023678	0.451832102023678	0.107379331980495
AANAT	1.03185093945289	0.0658341990532248	0.0934370367366564	0.0934370367366564	0.0222056081054935
AARD	0.745429514526994	0.134482642857894	0.179445025766191	0.179445025766191	0.0426456794630022
AARS2	-0.448774849464803	5.60026236423255e-11	1.81069219143314e-10	1.81069219143314e-10	4.30316741700217e-11
AARSD1	-0.0854463601359423	0.434781155862356	0.510252935665081	0.510252935665081	0.121263228370461
AASDH	-0.968543709075609	1.03224466790292e-15	4.35369697693525e-15	4.35369697693525e-15	1.03466989382775e-15
AASDHPPT	-0.00669826079995808	0.932850936382349	0.948419465848917	0.948419465848917	0.225394893864398
AASS	-0.797426484950942	8.79446681677604e-12	2.97580814388895e-11	2.97580814388895e-11	7.07210242835219e-12
AATF	-0.525621221632224	3.69347707885308e-06	8.44914014825296e-06	8.44914014825296e-06	2.00796495172766e-06
AATK	0.928927420444776	1.96571801868067e-25	1.21939359774809e-24	1.21939359774809e-24	2.89792755674143e-25
ABAT	1.796657452554	2.16878545214141e-118	7.50443142149972e-117	7.50443142149972e-117	1.78345192677754e-117
ABCA1	0.632137008314738	1.01677870330182e-09	3.0345503442858e-09	3.0345503442858e-09	7.21170513053793e-10
ABCA10	3.705605965872	1.42898109320362e-11	4.78197328694695e-11	4.78197328694695e-11	1.13645111713206e-11
ABCA12	-2.1844419339319	1.61124641395628e-09	4.75135064050752e-09	4.75135064050752e-09	1.12917354808946e-09
ABCA13	-0.24505593011351	0.570074262045268	0.640861261055568	0.640861261055568	0.152302711109089
ABCA2	1.04873933576301	6.28543715052716e-32	4.85899678915417e-31	4.85899678915417e-31	1.15475599670296e-31
ABCA3	-0.900011621135911	2.52041811796059e-12	8.81993403293613e-12	8.81993403293613e-12	2.09608529435362e-12
ABCA4	0.383693558047121	0.243797944943641	0.308194377135024	0.308194377135024	0.0732433711298568
ABCA5	1.00150295233799	1.30270300910888e-06	3.09461276405227e-06	3.09461276405227e-06	7.35444537592488e-07
ABCA6	0.352295702982127	0.363003257629074	0.436861391224304	0.436861391224304	0.103821495081102
ABCA7	-1.77574661621006	1.33462245750878e-115	4.47486494910066e-114	4.47486494910066e-114	1.06346584668342e-114
ABCA8	7.809470762706	2.79814482932946e-94	7.12970599296451e-93	7.12970599296451e-93	1.6943972402867e-93
ABCA9	5.7198776760109	1.6983265897716e-67	2.88632105399199e-66	2.88632105399199e-66	6.85943352122988e-67
ABCB1	5.34756442730928	5.83408867142775e-35	4.97219547312175e-34	4.97219547312175e-34	1.18165802294472e-34
ABCB10	-0.742364641765134	3.44097097556324e-18	1.61816360011469e-17	1.61816360011469e-17	3.84561711390668e-18
ABCB11	5.6393404461132	3.41220851238018e-11	1.1185035898577e-10	1.1185035898577e-10	2.65815925337708e-11
ABCB4	0.275510349588553	0.291938212584543	0.361573700044755	0.361573700044755	0.0859291365058586
ABCB5	0.762716426268285	0.152358090749623	0.200834082137846	0.200834082137846	0.0477288565427067
ABCB6	-0.113273971285544	0.515804748247344	0.590363717215354	0.590363717215354	0.140301809668195
ABCB7	-0.230776980227729	0.00145131621977248	0.00260307090175033	0.00260307090175033	0.000618628055146838
ABCB8	0.392474651197116	4.21114534457948e-06	9.59528850343337e-06	9.59528850343337e-06	2.28035074321657e-06
ABCB9	0.181633523340798	0.0415693661152919	0.0610622858856057	0.0610622858856057	0.0145116458928692
ABCC1	0.095343496446056	0.436915943796921	0.512410706591007	0.512410706591007	0.121776029474135
ABCC10	-0.780385587133275	8.56106540776932e-23	4.81831465907017e-22	4.81831465907017e-22	1.14508775946971e-22
ABCC11	0.283298709334094	0.257491017261991	0.323730258676673	0.323730258676673	0.0769355226485265
ABCC12	-3.90633573972013	6.81691691430109e-05	0.000139358950176442	0.000139358950176442	3.31190964706294e-05
ABCC2	2.96033138738238	1.15688510455748e-13	4.37779291206232e-13	4.37779291206232e-13	1.04039636922824e-13
ABCC3	3.19241925976517	8.67613724702531e-33	6.91095076016505e-32	6.91095076016505e-32	1.64240936545436e-32
ABCC4	-2.38573041675584	8.59342073369321e-93	2.14537910697873e-91	2.14537910697873e-91	5.09856148601444e-92
ABCC5	-0.148584174668896	0.28879549301475	0.358168517895927	0.358168517895927	0.0851198841690384
ABCC6	-0.00847078106111925	0.959928858629019	0.970190979269813	0.970190979269813	0.230568963074774
ABCC8	0.211277765347584	0.689170782413627	0.749373748106298	0.749373748106298	0.178091047791813
ABCC9	3.48402817381042	3.06471967461984e-05	6.4867525190357e-05	6.4867525190357e-05	1.54159730815307e-05
ABCD1	0.822504037165819	3.32162405828445e-11	1.08942972194084e-10	1.08942972194084e-10	2.58906428422772e-11
ABCD2	0.890748478586002	0.0841087656610421	0.117021773598849	0.117021773598849	0.0278105956171274
ABCD3	-0.213461373729656	0.00559455969744536	0.00933649824688937	0.00933649824688937	0.00221884841802477
ABCD4	-0.485025327547244	3.76849329745825e-08	1.0102061130977e-07	1.0102061130977e-07	2.40078686532455e-08
ABCE1	-0.0784888903248513	0.346479337273448	0.419749248243675	0.419749248243675	0.0997547400325238
ABCF1	-0.153132322217019	0.0239675030502419	0.0366600451129197	0.0366600451129197	0.00871237598428506
ABCF2	-0.348681680260974	5.91476558546041e-07	1.44413434087003e-06	1.44413434087003e-06	3.43203106017e-07
ABCF3	-0.0111340698857776	0.841559463737573	0.873707190266496	0.873707190266496	0.207639284630677
ABCG1	3.07751699832207	9.50934335037413e-88	2.19654404946359e-86	2.19654404946359e-86	5.22015659446816e-87
ABCG2	0.856739252586007	5.63475381953813e-08	1.48971387273578e-07	1.48971387273578e-07	3.54035226315241e-08
ABCG4	1.83576277381252	1.38334882451586e-33	1.13267004320629e-32	1.13267004320629e-32	2.69182627903309e-33
ABCG5	1.09314072614833	0.00501079378981857	0.00841259033067938	0.00841259033067938	0.00199927877166768
ABCG8	3.55017375555169	3.65852562703272e-07	9.0903564373536e-07	9.0903564373536e-07	2.16035203637759e-07
ABHD1	0.986640632808564	0.0177669467636611	0.0276924275637929	0.0276924275637929	0.0065811932339471
ABHD10	-0.286819731121776	0.00480245692466739	0.00808163673316512	0.00808163673316512	0.00192062659963639
ABHD11	-1.71613148966091	3.47633115662511e-114	1.1499809816591e-112	1.1499809816591e-112	2.7329662732631e-113
ABHD12B	-0.251209980978252	0.506844153898888	0.581917227858827	0.581917227858827	0.138294474685528
ABHD13	-0.507336093173688	1.64233136236538e-06	3.86479528023442e-06	3.86479528023442e-06	9.18480855110189e-07
ABHD14A	1.56002015648469	6.83384980184079e-50	8.36747596756175e-49	8.36747596756175e-49	1.98855720019766e-49
ABHD14A-ACY1	1.18113902553848	3.17064531674443e-19	1.55177749999987e-18	1.55177749999987e-18	3.68784844162349e-19
ABHD14B	1.98759175602693	7.13264771562542e-53	9.25745972453379e-52	9.25745972453379e-52	2.2000646625252e-52
ABHD15	-1.33535591765358	9.77405540578804e-41	9.75769951387991e-40	9.75769951387991e-40	2.3189482349174e-40
