gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	1.08667085368746	3.97465750273502e-07	9.53884719861542e-07	9.53884719861542e-07	2.46892180320657e-07
A1CF	5.39442229735002	2.86621624705609e-32	1.98115890093158e-31	1.98115890093158e-31	5.12779616266074e-32
A2M	8.75465415128152	1.19902734142286e-121	4.28602727974316e-120	4.28602727974316e-120	1.10934434526134e-120
A2ML1	2.5442604172709	0.00164857704568435	0.00288509320932479	0.00288509320932479	0.000746743225933958
A3GALT2	0.356986365991319	0.498896929191707	0.569805635855936	0.569805635855936	0.147481716465581
A4GALT	1.25315525664457	0.00563735069147489	0.00925173632263394	0.00925173632263394	0.00239460943747842
A4GNT	2.67779174637754	0.0023091051911896	0.00397076124766635	0.00397076124766635	0.0010277446336612
AAAS	0.203554214994596	0.161891682374014	0.210656437782252	0.210656437782252	0.0545238078980783
AACS	0.475944342414132	7.35035976182892e-06	1.60485328419235e-05	1.60485328419235e-05	4.15381144260839e-06
AADAC	10.3074680406454	2.09111313449846e-23	1.10098442909184e-22	1.10098442909184e-22	2.84965720215158e-23
AADACL2	0.0766242658404172	0.711092757712094	0.768481216889059	0.768481216889059	0.198904541841022
AADACL3	0.0193740601499353	0.797237594126006	0.843282458486083	0.843282458486083	0.21826520591714
AADACL4	3.60778452958196	0.00334120118611754	0.00563632232069224	0.00563632232069224	0.00145883866023945
AADAT	-0.968278471547998	2.57711771425235e-14	9.26188483055253e-14	9.26188483055253e-14	2.39723615661424e-14
AAGAB	-1.03978805382295	7.8055381832286e-11	2.36793996331822e-10	2.36793996331822e-10	6.1288942808195e-11
AAK1	-1.70700771876208	1.00020947462026e-54	1.185248227425e-53	1.185248227425e-53	3.06775559978179e-54
AAMDC	2.23272178765316	1.50189495449608e-52	1.70612505631889e-51	1.70612505631889e-51	4.41593125755717e-52
AAMP	0.457006102302757	1.57321149887329e-05	3.33800982855123e-05	3.33800982855123e-05	8.63970779008201e-06
AANAT	0.864929805588538	0.133610305419971	0.176713698805207	0.176713698805207	0.0457384728805366
