gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	2.05171087070372	3.88342373994123e-57	1.24883111755991e-55	1.24883111755991e-55	3.79136843276681e-56
A1CF	-1.98701346897104	0.00516972814600885	0.0101939214331091	0.0101939214331091	0.00309480692658515
A2M	3.11574415946884	2.1953047681325e-07	7.74331657359029e-07	7.74331657359029e-07	2.35081954711317e-07
A2ML1	-1.6699104278978	7.90325304948942e-05	0.000208658905858716	0.000208658905858716	6.33474596976837e-05
A3GALT2	1.27955882550286	0.0323563370018212	0.0546143401432692	0.0546143401432692	0.0165805513879379
A4GALT	0.756261219109611	0.0383224852943702	0.0636781903647616	0.0636781903647616	0.019332276190907
A4GNT	1.98602180386301	0.0019939623491331	0.00424324017249098	0.00424324017249098	0.00128821956919716
AAAS	0.565947977587101	0.00119623019845682	0.00264012994814407	0.00264012994814407	0.000801525939180124
AACS	-0.0466741782983359	0.52424511277659	0.613872399062456	0.613872399062456	0.186367588285257
AADAC	1.16774660591213	0.0645612634112996	0.101543128934445	0.101543128934445	0.0308278203668284
AADACL2	0.13614151550207	0.518811206093339	0.609282695942225	0.609282695942225	0.184974184863358
AADACL3	-0.517158575404088	0.232701566883386	0.311452302145486	0.311452302145486	0.0945548529391363
AADACL4	3.24311622826728	0.00041268537778533	0.000979809211069574	0.000979809211069574	0.000297463577000044
AADAT	-0.0608212822026825	0.696046948770264	0.765023673142676	0.765023673142676	0.232256112446951
AAGAB	-1.03281274949552	2.03261233744826e-15	1.36144893728967e-14	1.36144893728967e-14	4.13326866305953e-15
AAK1	0.0789091106604859	0.60704827592806	0.688014557604413	0.688014557604413	0.208876655802921
AAMDC	0.443815843144471	1.26904785080634e-05	3.69129066355085e-05	3.69129066355085e-05	1.12065135959283e-05
AAMP	0.235118363610177	0.0040930086613661	0.00822659290573224	0.00822659290573224	0.00249753903577921
AANAT	1.7772550460337	0.00545087598071328	0.0106983103054249	0.0106983103054249	0.00324793604239974
AARD	-2.37350007965598	3.48848660089385e-05	9.61668366508358e-05	9.61668366508358e-05	2.91956136927001e-05
AARS2	-0.230020314555744	0.0154540975495167	0.0278740581052773	0.0278740581052773	0.00846237914057953
AARSD1	0.413868352990499	4.26062530059412e-05	0.000116193376931871	0.000116193376931871	3.52755384776786e-05
AASDH	-0.978200338964118	2.55036245989114e-10	1.17506846653999e-09	1.17506846653999e-09	3.56742991725276e-10
AASDHPPT	-0.399483437952511	0.000664273601451547	0.00152745847670298	0.00152745847670298	0.000463726261261738
AASS	0.476866902438681	0.0808349596677955	0.123708592411546	0.123708592411546	0.0375571080457683
AATF	-0.00459052002049001	0.960345286944031	0.972543538364474	0.972543538364474	0.295257766962995
AATK	0.199602616601557	0.269362923268206	0.354095276609925	0.354095276609925	0.107500977118013
ABAT	0.648266730108859	0.0147617402540511	0.0267259175528818	0.0267259175528818	0.00811381128496451
ABCA1	0.525256833064719	0.039071889926774	0.0648113871163104	0.0648113871163104	0.0196763072077134
ABCA10	1.16404648758003	0.00157917797668749	0.00341133202330756	0.00341133202330756	0.00103565777349669
ABCA12	-2.70689750713142	7.13504210218181e-18	5.63668326072363e-17	5.63668326072363e-17	1.71125964749893e-17
ABCA13	-0.429583919363388	0.269616035716824	0.354293409838734	0.354293409838734	0.107561129051979
ABCA2	0.84637460458476	3.60723664633886e-19	3.09107484984193e-18	3.09107484984193e-18	9.38429820031122e-19
ABCA3	-0.814037013307961	1.77634849025901e-07	6.33792642399901e-07	6.33792642399901e-07	1.92415242023273e-07
ABCA4	-3.07718081850342	1.94139165381718e-11	9.84120041098477e-11	9.84120041098477e-11	2.98772316401297e-11
ABCA5	-0.0815131570589202	0.58378737257729	0.667996384455006	0.667996384455006	0.202799271223603
ABCA6	-0.264867214509029	0.284214749804059	0.370605922999701	0.370605922999701	0.112513499839987
ABCA7	-1.16660123081905	3.14726660530232e-29	4.28409595108855e-28	4.28409595108855e-28	1.30062311256606e-28
ABCA8	4.44320067183718	5.30400066602438e-36	9.45051653170832e-35	9.45051653170832e-35	2.86911412983276e-35
ABCA9	4.20662009503309	4.60755690385827e-95	2.96339561314691e-93	2.96339561314691e-93	8.9966725071982e-94
ABCB1	3.72614968408594	2.22890251682108e-32	3.48034679093154e-31	3.48034679093154e-31	1.05661019914377e-31
ABCB10	-1.07481463620592	5.9803876152847e-07	2.01807462711216e-06	2.01807462711216e-06	6.12674070065655e-07
ABCB11	3.61372640267064	3.78931561006871e-19	3.23907852617583e-18	3.23907852617583e-18	9.83362754396352e-19
ABCB4	-0.514528441222461	0.0403888977988939	0.0667464247605944	0.0667464247605944	0.0202637718006112
ABCB5	0.0961337448374315	0.849530946188139	0.889262760164629	0.889262760164629	0.269974275137448
ABCB6	0.848165043928959	1.66631428075274e-29	2.29712377460582e-28	2.29712377460582e-28	6.97391540196055e-29
ABCB7	-0.0279233653638511	0.708947846390043	0.775414508180183	0.775414508180183	0.235410701037621
ABCB8	0.716574991128644	8.1382376295614e-07	2.70977000055893e-06	2.70977000055893e-06	8.22668197141936e-07
ABCB9	0.421208669713467	0.00770755889847012	0.0147199996139123	0.0147199996139123	0.00446889423892414
ABCC1	0.0790903142333002	0.36119677935254	0.453422252182433	0.453422252182433	0.137655988024821
ABCC10	-0.793278250236753	9.3018318843968e-06	2.74532571531814e-05	2.74532571531814e-05	8.33462676287037e-06
ABCC11	-0.498575035811405	0.00457883553760625	0.00912024333825992	0.00912024333825992	0.00276884537914084
ABCC12	-0.565430424964407	0.274054047480837	0.359224871237667	0.359224871237667	0.109058288020267
ABCC2	0.787918249988752	5.72654108197852e-05	0.000153914692029378	0.000153914692029378	4.67274795201612e-05
ABCC3	-1.25683675075687	0.00834888542224082	0.0158364287567359	0.0158364287567359	0.00480783472094807
ABCC4	-1.68824435105063	3.87673548334773e-23	4.04288128977692e-22	4.04288128977692e-22	1.2273919414687e-22
ABCC5	0.206151012770727	0.223138171205267	0.30085049096184	0.30085049096184	0.09133621338999
ABCC6	-1.06355986737783	2.92939570278972e-20	2.64931913507396e-19	2.64931913507396e-19	8.04315715376353e-20
ABCC8	-2.49253868809877	0.00124015112414536	0.00272940524091577	0.00272940524091577	0.000828629325865584
ABCC9	1.24043430785301	0.00142529904115706	0.00309943422713151	0.00309943422713151	0.000940967671525022
ABCD1	0.797417822256084	5.49656423377105e-18	4.37424368944218e-17	4.37424368944218e-17	1.3279913679429e-17
ABCD2	0.403102488468871	0.174549052782766	0.242969922133288	0.242969922133288	0.073764056639449
ABCD3	-0.473030847192682	0.000506207468126444	0.00118381933036707	0.00118381933036707	0.000359399695935071
ABCD4	-0.0815064459789186	0.485747913172094	0.5776687273708	0.5776687273708	0.175376393713633
ABCE1	-0.191313320310747	0.0418888519029192	0.0689748764416489	0.0689748764416489	0.0209403149487355
ABCF1	-0.263065254571125	0.00636656496771682	0.0123442721625539	0.0123442721625539	0.00374763914387678
ABCF2	-0.103262753029977	0.0880398213589649	0.133342987773041	0.133342987773041	0.0404820465685799
ABCF3	0.241042394229755	0.0177241975847424	0.0315707137252783	0.0315707137252783	0.00958465926536267
ABCG1	1.48997162439282	1.40181104081998e-10	6.59041652642026e-10	6.59041652642026e-10	2.0008067404563e-10
ABCG2	-0.079539166565241	0.842841963346626	0.884240422525012	0.884240422525012	0.268449526745308
ABCG4	2.63646971386798	6.81203588343158e-57	2.17044259335635e-55	2.17044259335635e-55	6.58931973897505e-56
ABCG5	1.17614443826496	3.85020987849269e-05	0.000105533081602982	0.000105533081602982	3.20391435299861e-05
ABCG8	3.18306426836852	1.40836556844646e-14	8.9911928781152e-14	8.9911928781152e-14	2.7296665154861e-14
ABHD1	0.914410304635425	0.117627946408383	0.171925411912768	0.171925411912768	0.052195414604187
ABHD10	-0.423928838658435	7.15251538836927e-08	2.66578347122311e-07	2.66578347122311e-07	8.09314178616466e-08
ABHD11	-1.49852016862087	1.02220689767996e-69	4.27178781081183e-68	4.27178781081183e-68	1.29688644282305e-68
ABHD12B	1.20042644212509	0.000248130416339503	0.000608749905429629	0.000608749905429629	0.000184812433197954
ABHD13	-0.876751385309162	0.0010221025613643	0.00228290684406969	0.00228290684406969	0.000693075374392078
ABHD14A	1.01036498919697	6.74767515767442e-15	4.38218948584554e-14	4.38218948584554e-14	1.3304036590232e-14
ABHD14A-ACY1	1.03605472675199	3.73948236356746e-22	3.70542865819476e-21	3.70542865819476e-21	1.12494356098355e-21
ABHD14B	1.33900779878393	3.78944468664168e-39	7.45013437768042e-38	7.45013437768042e-38	2.26181137723398e-38
ABHD15	-1.52496264265986	5.45284635106085e-06	1.65537277978073e-05	1.65537277978073e-05	5.02560195167543e-06
ABHD16A	-0.91973396449176	5.55085248740516e-09	2.28329288836416e-08	2.28329288836416e-08	6.93192574879089e-09
