gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	1.47514310681067	7.6433157414142e-05	0.000388881622129096	0.000412915241466521	0.000196982738001062
A1CF	5.25747784976539	1.08522440532537e-09	1.27764786563378e-08	1.35660891882473e-08	6.47175285362823e-09
A2M	4.73981544477527	1.82016234210168e-31	1.15850489071112e-29	1.23010268283989e-29	5.86825019167762e-30
A2ML1	-4.97765423139977	4.49447542826845e-13	7.65234928194422e-12	8.12527893254676e-12	3.87619426560977e-12
A3GALT2	0.0837402808379069	0.859339851235788	0.907105696814974	0.923730274385236	0.440668932385798
A4GALT	-1.52877144173857	3.96163771842199e-10	4.87544750634198e-09	5.17675937812831e-09	2.46959214354665e-09
A4GNT	0.845989786138795	0.15074874536974	0.250770807254165	0.265780499708741	0.126791567087656
AAAS	-0.131281130556629	0.589672515117413	0.699535781676238	0.723130435500876	0.344972039808833
AACS	-0.131237267990963	0.289684396050306	0.415649660905573	0.438020427903019	0.208959259731586
AADAC	2.81995750983736	8.28145945279387e-08	7.44762108547682e-07	7.90789814654685e-07	3.77249196035458e-07
AADACL2	-8.37606203732358	1.48932539138136e-11	2.15707270463715e-10	2.29038387522569e-10	1.09263607033023e-10
AADACL3	-0.0510316037255561	0.735298258292747		0.836493632740848	0.399052370923699
AADACL4	1.80071263270271	0.0215676964916616	0.0516593015893785	0.0548519440774419	0.0261673221135667
AADAT	-0.506388406185999	0.0576814053939301	0.116362612292769	0.123492883890655	0.0589127354709206
AAGAB	-0.581705900969542	0.00174524614641013	0.00610761183625572	0.00648507379274949	0.00309372835765932
AAK1	-0.0559969900371691	0.791561931892312	0.858816761103564	0.877985189362026	0.418846070953123
AAMDC	0.739408899860723	8.80822484918219e-05	0.000440605435240278	0.000467835683999758	0.00022318273755546
AAMP	0.0669732987881348	0.698398879894411	0.787797727275055	0.809642724962045	0.386243046391871
AANAT	-0.0739275945923594	0.876419326007878	0.919238054006847	0.934483591720836	0.445798842058877
AARD	-0.236554640828521	0.637343484014062	0.738768921428835	0.761616218878802	0.363331824632892
AARS2	-0.69804255418082	2.01053896509052e-05	0.000115840600767981	0.000122999768865032	5.86774931302609e-05
AARSD1	0.28291991406586	0.158221034906097	0.260672754576334	0.276168495249232	0.131747198651754
AASDH	-1.20714784066109	3.16086887617751e-06	2.17221414881638e-05	2.30646108927655e-05	1.1003057645559e-05
AASDHPPT	-0.291313381116652	0.0709294694662331	0.137161734569523	0.145569484132301	0.0694444589934269
AASS	-0.347221140527022	0.283168445173758	0.40842229314519	0.43053847174191	0.205389964965462
AATF	-0.166101781082093	0.384228847048836	0.513250109346921	0.538088334368781	0.256697023374438
AATK	-0.85647444373478	0.00228304609724601	0.00770580459995308	0.00818203789025336	0.00390327133560463
ABAT	0.280601375498598	0.437301936851126	0.563328760071594	0.588604886029605	0.280796130554835
ABCA1	0.514576136855203	0.025591831694869	0.0594479429288494	0.0631219381742987	0.0301125532817496
ABCA10	0.491498536937845	0.344997133792454	0.474020474420917	0.497982854691985	0.237564556460591
ABCA12	-6.36618825669839	6.13382050800541e-27	2.93954327521883e-25	3.12121260614711e-25	1.4889859789594e-25
ABCA13	-0.615983096094548	0.244058416078262	0.36389895969795	0.384383673788803	0.183371648469325
ABCA2	0.534020852273948	0.00199006842843868	0.00682369001956645	0.00724540696136733	0.00345644809843573
ABCA3	-0.845860677064496	0.0330991798501462	0.0736363991603983	0.0781872678209188	0.0372995243224404
ABCA4	-4.56096246398967	6.56323611516187e-10	7.9040184227973e-09	8.39250170202628e-09	4.00367387280797e-09
ABCA5	-0.817950541131487	3.22868021697062e-05	0.000177548779464611	0.000188521629650008	8.99349383398617e-05
ABCA6	2.57444598191291	9.85572062828992e-05	0.000485603604225449	0.000515614824886737	0.00024597595283574
ABCA7	-1.22701754025668	0.000266930566524917	0.00117645838543603	0.00124916573747568	0.000595919119650674
ABCA8	4.21221451073556	5.27627561807914e-13	8.90897771201881e-12	9.45956937496241e-12	4.51272243953283e-12
ABCA9	4.90960638037351	1.3958951827636e-22	5.02090863310158e-21	5.33121027748192e-21	2.54327351440946e-21
ABCB1	0.448460410808077	0.283760624296701	0.409095347043926	0.431249346535245	0.205729090406
ABCB10	-0.688492103815966	0.000104161424927242	0.00051045301793769	0.000541999979338405	0.000258563088026031
ABCB11	4.08024209136311	1.72079081627347e-07	1.46798772567329e-06	1.55871214200771e-06	7.43589372961116e-07
ABCB4	2.73939926646282	5.41748527565342e-07	4.29549903072978e-06	4.56096899046618e-06	2.17582706922871e-06
ABCB5	-1.60278379097694	0.0351386243860646	0.0773400980341128	0.0821198622860062	0.0391755830080668
ABCB6	0.533229680122505	0.00175671698231132	0.00614379620300077	0.00652349442175748	0.00311205706035104
ABCB7	0.0284785716363861	0.867710499146708	0.912611223644684	0.928729224254808	0.443053699847858
ABCB8	-0.168045722750711	0.418564475480244	0.54678822764973	0.571734090500844	0.272747855359886
ABCB9	-0.184664107977367	0.279415555258768	0.404630547375951	0.426717355960119	0.203567087596628
ABCC1	-0.344962628295165	0.218301010371395	0.334461369345699	0.353569161246537	0.168671471674723
ABCC10	-0.853359317950983	5.05634652834652e-05	0.000267233572276608	0.000283749112185933	0.000135363559904551
ABCC11	-0.565145018026337	0.0924636110136585	0.169547836805824	0.17982384601476	0.0857856285955014
ABCC12	0.0355692875370214	0.637446120745345		0.761686258375248	0.363365237232846
ABCC2	2.48410208387654	5.68506534567112e-29	3.1294748223772e-27	3.32288228194108e-27	1.58519324117766e-27
ABCC3	4.51281103780174	2.36947964884814e-11	3.35432679394714e-10	3.56163053038416e-10	1.69908897315462e-10
ABCC4	-0.684890551442811	0.00797517869687118	0.0225251450315165	0.0239172415729881	0.0114098082544672
ABCC5	0.114015296732308	0.536738770878599	0.653976036244365	0.678264368926349	0.32356851736728
ABCC6	2.17417493895843	8.71421767649173e-16	1.89572046489661e-14	2.01287957304384e-14	9.60251620057312e-15
ABCC8	-0.8690200910981	0.137806362386071	0.233314304729701	0.247322393738736	0.117986059595678
ABCC9	3.76727328554191	6.53840711123274e-07	5.11950050314398e-06	5.43589531145784e-06	2.59321389575036e-06
ABCD1	0.561756631304149	0.00016296451102217	0.000759755005034404	0.000806709300484855	0.000384843645432042
ABCD2	-0.179433955893253	0.681212074546077	0.774553660866136	0.79673747300949	0.380086548377462
ABCD3	-0.758289041018114	0.000382021253839431	0.00161302262504786	0.00171271047231822	0.000817054844093684
ABCD4	-0.174248401377026	0.446035033093942	0.57171922822787	0.596586942988657	0.284604000250054
ABCE1	-0.0941234393890322	0.531927295434507	0.649716892939269	0.674034275039041	0.321550535485661
ABCF1	-0.362004987739973	0.012438976728854	0.0326483065109451	0.0346660335673169	0.0165375590968115
ABCF2	-0.153562377681163	0.23979616497187	0.358823679634123	0.379050457851488	0.180827418147499
ABCF3	-0.565810150482118	0.00175077181956506	0.00612431859767993	0.00650281306360994	0.00310219094221257
ABCG1	-0.383636979176853	0.19582656232208	0.307339434258907	0.325237146465807	0.155155579588072
ABCG2	2.20689544902014	6.57730485858117e-19	1.79765803986921e-17	1.90875670478564e-17	9.1057942194426e-18
ABCG4	2.01302792732112	0.000154326183836598	0.000723831559998139	0.000768565718640469	0.000366647109110958
ABCG5	1.62479843332448	0.00279705434702661	0.00919040200251089	0.00975838621857376	0.0046552741162555
ABCG8	4.50909625938673	8.0796365236656e-09	8.49900564987781e-08	9.02426026442469e-08	4.30505662374463e-08
ABHD1	0.841248039525694	0.104468840307878	0.18705662461281	0.198355509895369	0.094626227159877
ABHD10	-0.491395394346035	0.00208319000658686	0.00711007498268252	0.00754949105654783	0.00360151253693524
ABHD11	-2.13788898891569	6.24461835455104e-22	2.13170077551322e-20	2.2634439129222e-20	1.07978426200913e-20
