gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	0.84093377560943	1.10902913497662e-07	1.24112749089241e-06	1.29120545519721e-06	6.09805447901508e-07
A1CF	3.80864529362439	2.8721849051795e-06	2.33566919184034e-05	2.42991056452374e-05	1.14758863060541e-05
A2M	-0.558161353613949	0.0701432886657184	0.142722869001066	0.148445239507929	0.0701071354698956
A2ML1	-1.43872714244159	0.000786860509095828	0.00331226321127656	0.00344590894878507	0.00162742036248658
A3GALT2	0.568472014777075	0.219875288700255	0.345607377229229	0.358772269150534	0.169439560066424
A4GALT	-0.415062548423007	0.0938002544255917	0.179587638855352	0.186726291775073	0.0881863606853295
A4GNT	-0.137738749362855	0.732545005111958	0.82438454710374	0.83958932060384	0.396517951224075
AAAS	-0.100447606989966	0.62057622908157	0.734637150457467	0.75407988055487	0.356133888270356
AACS	0.270727211132455	0.153215199666047	0.262623043748336	0.272882043382981	0.128875661127083
AADAC	3.73185556331141	0.00150634195914735	0.0058067841401531	0.00604108072211598	0.00285305790858547
AADACL2	-1.06687717596867	0.0540823408078755	0.115781324360836	0.120452958073771	0.0568870505879475
AADACL3	-0.421179820029685	0.227263957070525		0.367879277814105	0.173740582397748
AADACL4	5.53332769133792	0.00389205689944	0.0129969691240336	0.013521380806669	0.00638582469263055
AADAT	-0.153387219154378	0.492945698147633	0.625512558077115	0.645238046517766	0.304730493800279
AAGAB	-0.132349503910387	0.553435369194741	0.677734181863663	0.697834365019912	0.329570476804589
AAK1	-0.170614214491834	0.206146291246995	0.32906631056225	0.341786007174341	0.161417354885311
AAMDC	0.50950843861642	0.00922915867093346	0.0269548487350937	0.0280424436539901	0.0132437752983799
AAMP	0.479137358769657	8.86159716581317e-07	8.13291174765304e-06	8.46106471113321e-06	3.99595845504554e-06
AANAT	0.109846749357028	0.779751803467152	0.85955670765337	0.871197026269629	0.411445514481404
AARD	-1.5535391391643	1.14907311781901e-06	1.02571583195546e-05	1.06710220136268e-05	5.03966842177929e-06
AARS2	-0.105307109240791	0.392178191907235	0.532011039352093	0.55024530842487	0.259867696042596
AARSD1	0.0862099339534314	0.628451163713198	0.741455574519533	0.760315030489234	0.359078600425307
AASDH	-0.89737646454189	1.54424246371539e-23	1.06118810626392e-21	1.10400573821239e-21	5.21395499815031e-22
AASDHPPT	-0.0229967483222899	0.858346004040169	0.910411016053001	0.918443615298119	0.433758948233074
AASS	0.247550218662429	0.382413898120778	0.52247314539505	0.540402095188074	0.255218981903035
AATF	0.384433207985765	0.00118893111876341	0.00474146870624354	0.00493278112367526	0.00232963452130355
AATK	0.286138099645736	0.0318730946606314	0.0752804380352648	0.078317910910891	0.0369876757796317
ABAT	-0.369515370147763	0.203964538737332	0.326555336401448	0.339208928645063	0.160200262345546
ABCA1	0.433102802555444	0.14402764711389	0.250830429521833	0.260650870577135	0.123099170808515
ABCA10	0.79706432018236	0.108575719659999	0.201003475224957	0.208950892751685	0.0986825080632886
ABCA12	-1.44253437598779	0.0240258752417471	0.0597145875459952	0.0621239975425895	0.0293396778912345
ABCA13	0.0421159375409462	0.929071267039844	0.955974209310271	0.960614141530321	0.45367507895709
ABCA2	0.255294329545416	0.146915877407047	0.254603747151348	0.264573442659906	0.12495170776631
ABCA3	-1.39772981980866	0.00270443795891008	0.00951444959946574	0.00989834591222831	0.00467475198326864
ABCA4	-1.22324717948252	0.0276932737113638	0.0672025597285831	0.0699141001722319	0.0330187570061398
ABCA5	-0.41008535089972	0.00125962556115017	0.00499227194516857	0.00519370396412276	0.0024528621369757
ABCA6	1.37005549869783	0.0139281704303784	0.0379465062675611	0.0394776010183448	0.0186443265664424
ABCA7	-0.274957273288708	0.453756760953212	0.590698659456632	0.610043845571623	0.28810911461921
ABCA8	2.98249940322997	2.55211082851921e-08	3.17439065656503e-07	3.30247340644808e-07	1.5596791871471e-07
ABCA9	4.40827711687131	3.5781106369854e-24	2.66833990551871e-22	2.77600413141185e-22	1.31104034289685e-22
ABCB1	2.96948965853547	2.04335030916319e-10	3.64993723323135e-09	3.79720770127093e-09	1.79333035941589e-09
ABCB10	-0.584758811165765	0.000109005676721759	0.000584951404931543	0.000608553473043934	0.000287405247327502
ABCB11	4.44686428066219	1.05552734762791e-07	1.18364260222873e-06	1.23140112213826e-06	5.81561292054217e-07
ABCB4	1.50870272725028	0.000455888890899071	0.00204630803252626	0.00212887403913029	0.0010054162811444
ABCB5	0.189411267934313	0.426160378725897	0.563896172677568	0.582569588522183	0.275133680261835
ABCB6	-0.864241266075374	1.2763902786877e-05	8.79667233094757e-05	9.15160721573805e-05	4.32208516061408e-05
ABCB7	0.0783083933573286	0.440956256257532	0.578868214521847	0.597976500196862	0.282409996077215
ABCB8	-0.100298281501709	0.661769977114657	0.768240813270091	0.784831275818032	0.370657036609429
ABCB9	0.0333370279658901	0.857287218675136	0.909749629670571	0.917760421403288	0.433436292100106
ABCC1	0.832720275818403	1.02282092771987e-05	7.22579100593942e-05	7.51734276571004e-05	3.55026115620989e-05
ABCC10	-0.283115101257869	0.273342624897875	0.408460246244936	0.423608890541114	0.200060345308896
ABCC11	-0.286013922429954	0.187473891142844	0.306359805109436	0.318220747669171	0.150288046555932
ABCC12	-0.10620656765347	0.7296333324205		0.837825032552971	0.395684720183456
ABCC2	1.68450727866141	1.90427379998271e-07	2.0300046983149e-06	2.11191288548082e-06	9.97405934025346e-07
ABCC3	-0.656785178571449	0.0596902559040797	0.125492914751561	0.130556399165169	0.0616586641179919
ABCC4	-1.04473197066219	0.0026286450284794	0.00928907072324956	0.00966387327618404	0.00456401616638674
ABCC5	0.689715135111444	3.26349804045921e-05	0.000204106703320183	0.000212342157194377	0.000100284121132769
ABCC6	0.297036472359609	0.17997637992643	0.296895863324723	0.30838579272132	0.145643232608681
ABCC8	-3.35546114853132	1.52806226910185e-17	6.43333557852248e-16	6.69291273866611e-16	3.16090257668918e-16
ABCC9	-1.5838358507109	0.00243575519175185	0.00872047553042696	0.00907233596824515	0.00428464724677275
ABCD1	0.287559505913273	0.110945160209483	0.204502107546408	0.212588572021737	0.100400496960925
ABCD2	-0.335480847973548	0.395014592022988	0.534811745122714	0.553148317004429	0.261238717548116
ABCD3	-0.112659783968411	0.453032592115679	0.589946886427912	0.609313420445515	0.287764152305588
ABCD4	0.144420953667753	0.23879744941509	0.368146990245012	0.382080335922544	0.180447402420569
ABCE1	-0.371760865502676	0.00761072997273138	0.0228996633700964	0.0238236365583907	0.0112513336306446
ABCF1	0.0338254997107974	0.792911795893874	0.868207889491323	0.879722588633838	0.415471933635067
ABCF2	0.197596214243126	0.375047595593137	0.51575327652978	0.533607135464495	0.252009884976569
ABCF3	-0.190878024185994	0.0987684132003967	0.186822053629126	0.194249636220289	0.0917394562911958
ABCG1	1.6521437030577	5.16694062720932e-06	3.94700149887418e-05	4.10625814383777e-05	1.93928749024667e-05
ABCG2	3.56287459133433	5.84012308738193e-09	8.30096127719329e-08	8.63589483203374e-08	4.07852653881045e-08
ABCG4	1.16728207007094	4.10147945494797e-07	4.05033273965468e-06	4.21375867280611e-06	1.99005741841985e-06
ABCG5	1.45349566019177	2.50725540618646e-05	0.000161673739452814	0.000168197075542582	7.94354551199618e-05
ABCG8	4.18196814147031	6.49396588088132e-07	6.13954818641594e-06	6.3872713874433e-06	3.01655547814693e-06
ABHD1	0.506658532974611	0.112034295957873	0.206075693151136	0.214224729704593	0.101173215093903
ABHD10	-0.618616629629905	0.00319304710344168	0.0109507884780852	0.0113926392940079	0.00538047100056725
ABHD11	0.124343050164375	0.709142175471557	0.807133966059269	0.822972147694754	0.388670057979902
ABHD12B	0.204334953562805	0.558951821670685	0.682598898083091	0.702200049241268	0.331632285025183
ABHD13	0.133363603278618	0.543843540002509	0.669939414580481	0.690019338190991	0.325879626586608
ABHD14A	-0.269921902288943	0.276990209027826	0.412681166111158	0.427952099159708	0.202111538839973
ABHD14A-ACY1	0.46114369576883	0.00953419391599759	0.0277434199165424	0.0288628327105292	0.0136312254242005
ABHD14B	-0.126702928400532	0.424105354116634	0.562121044548037	0.580729241052883	0.274264528177406
ABHD15	-0.706658137569848	0.00076273728745435	0.00322182400060093	0.00335182062744417	0.00158298469912515
ABHD16A	-0.204231074501793	0.26972979133901	0.40440014694985	0.419393827622559	0.19806967192641
ABHD17A	0.466574587742972	0.0204184825861929	0.0522144399775461	0.0543212282652751	0.0256546166216489
ABHD17B	-0.0907370370400388	0.622948142987149	0.736785942557109	0.75613642573427	0.357105145361322
ABHD17C	-0.535038290384633	0.0158378996946236	0.0423583583019606	0.0440674658437896	0.020812009923434
ABHD18	-0.0612072342429141	0.792884122189368	0.868207889491323	0.879722588633838	0.415471933635067
ABHD2	-0.815660096606015	0.00694626875183563	0.0212871815319398	0.0221460930657901	0.0104590699697671
ABHD3	0.478727284862108	0.000102246031198727	0.000552062174946371	0.000574337203171808	0.000271245721598342
ABHD4	-0.117563813562826	0.488709488905166	0.621835007290234	0.64147862776566	0.302955010257556
ABHD5	-0.299710779755782	0.137139199354691	0.241847813920309	0.251366170996452	0.118714229307811
ABHD6	-0.684339627618005	0.0458354325974413	0.101227522456235	0.105311928202966	0.0497363043880359
ABHD8	0.0345808385871995	0.822394779825207	0.888772107388432	0.898191533726147	0.42419437458275
ABI1	-0.351384715492029	0.000331426347915454	0.00154257491347159	0.00160481590967962	0.00075791616327409
ABI2	0.20601581924303	0.319614265751908	0.459671818684963	0.47628306733624	0.224937098922433
ABI3	6.45779120311212	5.24143186587381e-35	7.99679008527353e-33	8.31945070747549e-33	3.92907754884891e-33
ABI3BP	-2.36080862307522	6.24405185559426e-05	0.000358558640740789	0.000373026039895153	0.000176171275006305
ABL1	0.11435870393627	0.432857979764515	0.570983640360353	0.589904770757071	0.278597911357034
ABL2	0.380552525472939	0.0107132362341699	0.0305433944985225	0.03177578281533	0.015006942074268
ABLIM1	0.818298530413441	9.34040278312486e-05	0.000510453165571365	0.000531049321560444	0.000250801890658445
ABLIM2	-0.582800119973282	0.00506754100732752	0.0163098910299703	0.0169679750276318	0.00801356869277341
