gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.0383161252444834	0.843759494599237	0.896011854410654	0.90311475101226	0.420345157916025
A1CF	-0.968078075448601	1.19505030653539e-10	9.98549614551202e-10	1.06027554808855e-09	4.93493979802939e-10
A2M	-1.69940271603749	3.23126415043977e-24	7.66023035848495e-23	8.13375201739733e-23	3.78576838920025e-23
A2ML1	-0.22233226624725	0.441465170963121	0.56989811655992	0.602305366461799	0.280336628424329
A3GALT2	-0.00371874594641952	0.991747241332355		0.999941367772255	0.465412077116309
A4GALT	0.663076957284727	0.00132341214009254	0.00406355752900898	0.00431474873503986	0.00200825391941104
A4GNT	4.61793192407582	0.000917095219078361	0.00291221761728598	0.00309223806741822	0.00143924932828964
AAAS	-0.488539060623887	4.4478519326749e-10	3.52561370708638e-09	3.74355159839464e-09	1.74239628577678e-09
AACS	-0.288714714178452	0.000354745110256183	0.00123278119490738	0.00130898629177394	0.000609253750875961
AADACL3	-0.889242134898854	0.00574194197548345	0.0150963186554746	0.016029506499531	0.00746076335627238
AADACL4	0.0692608958164403	0.590086901148924	0.704861543764036	0.738769504861137	0.343852410600458
AADAT	-0.685497675299977	1.68866819443945e-09	1.24694814568345e-08	1.3240289809703e-08	6.16255210611437e-09
AAGAB	0.198011739201095	0.0120521450912767	0.0290762474900225	0.0308736128827187	0.0143697948329143
AAK1	-0.545892221671854	1.34370608749889e-08	8.985015618878e-08	9.54042966024452e-08	4.44049154066776e-08
AAMDC	0.0606988531206479	0.735824575785214	0.819216612183899	0.849391189306305	0.395340097369965
AAMP	0.0955107036226313	0.22913596553284	0.345000522543251	0.366326933384063	0.170502975939241
AANAT	-0.23067145971254	0.292437273366992	0.416652920963146	0.442163646306044	0.205800367586639
AARD	0.52149787728583	0.0403278686752556	0.0835521542844973	0.08871697999482	0.0412923749988103
AARS2	0.561297548372545	4.23014665989444e-08	2.66247362977777e-07	2.82705600798084e-07	1.3158231584416e-07
AARSD1	-0.130886329160557	0.189380528568843	0.297355753118624	0.315736974428491	0.146956417473321
AASDH	-0.139447976395209	0.322579066309613	0.449919812955829	0.476826913189213	0.221934016578154
AASDHPPT	-0.328214080049715	0.000363729265971116	0.00126068627243932	0.00133861633813666	0.000623044740895155
AASS	0.605410183097744	4.35308150529713e-09	3.07324368121e-08	3.26321805248417e-08	1.51883014428502e-08
AATK	0.0445936095472697	0.665230501067841	0.765756867530394	0.797741106549485	0.371300115553196
ABAT	-0.306609866785797	0.0390509384926372	0.0812556469943198	0.0862785127516308	0.0401574163490235
ABCA1	0.443137822589014	1.01803620507118e-08	6.90305481233019e-08	7.32977121814649e-08	3.41156407502671e-08
ABCA10	-0.0754123014464687	0.721500490483014	0.809400092289333	0.839419846471079	0.390699041873961
ABCA12	-0.52707709711376	0.0748866059681419	0.140308970487597	0.148982252276307	0.0693422051733482
ABCA13	0.0794797704924983	0.777613936060905	0.850359029307769	0.858751248371008	0.399696637334844
ABCA2	-0.977056874842689	2.83614848474747e-58	2.80578715160947e-56	2.97922853971518e-56	1.38665024526601e-56
ABCA3	0.949576195817443	3.16703246081962e-21	6.19477971708862e-20	6.57771368003183e-20	3.06152689064187e-20
ABCA4	0.373734471619464	0.227166780623505	0.342737796985292	0.363924336110801	0.169384712585546
ABCA5	0.81387798921673	1.60160429567333e-05	7.06417807805846e-05	7.50085441360357e-05	3.4911929292012e-05
ABCA6	-0.204888979438277	0.476821910276863	0.602883216557663	0.636759892731396	0.296373121316824
ABCA7	0.184822976449711	0.00154002505725436	0.00465840978216515	0.00494637213116959	0.00230223631300169
ABCA8	-0.966882860924946	0.0201007891202802	0.0456588883382062	0.048481319458186	0.0225651146333139
ABCA9	-0.0393577629901036	0.867533585637786	0.913393451228596	0.920325815229262	0.428355864748229
ABCB1	-0.115548897441755	0.485249247035832	0.610736554355244	0.644965480669656	0.300192324971548
ABCB10	0.327705416258139	0.0242176514016747	0.053715293774367	0.057035736349417	0.026546677015053
ABCB11	-0.00385955074938184	1		1	0.465439366863269
ABCB4	-0.523624512392298	0.0752551966923476	0.140845676758792	0.149552135362297	0.0696074511960773
ABCB5	-0.021097066580132	0.815628904108317		0.88461915756324	0.411736580611352
ABCB6	-0.880705630499598	1.66935428975217e-28	4.90726566738005e-27	5.21061118974645e-27	2.42522357312625e-27
ABCB7	-0.239366630616729	0.0732436130442126	0.137799424614328	0.146317577344327	0.0681019605601108
ABCB8	0.0702160046195508	0.371272457234284	0.50090460988694	0.530523348159942	0.246926451273745
