gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-1.72233569821882	6.4656068309221e-15	2.59108475012193e-14	2.59108475012193e-14	6.69952493258773e-15
A1CF	1.59051346089493	1.05807398274127e-10	3.34412308609479e-10	3.34412308609479e-10	8.64658556300793e-11
A2M	-3.51054613215016	9.15052822115697e-05	0.000184042336456533	0.000184042336456533	4.75861016002746e-05
A2ML1	1.12620236308635	0.0167240594922199	0.0260324329374396	0.0260324329374396	0.00673096213900714
A3GALT2	-0.851917492328445	0.144711152929919	0.19108835462461	0.19108835462461	0.0494079244638562
A4GALT	-0.023777007429246	0.936856434795908	0.952768527125741	0.952768527125741	0.246348426162573
A4GNT	-1.2075927240465	0.0445895446020136	0.0648616515260687	0.0648616515260687	0.0167706691781219
AAAS	-0.381746200590711	9.3115341003542e-11	2.95279092471232e-10	2.95279092471232e-10	7.63475467944385e-11
AACS	0.542701173893376	8.69777462170628e-16	3.66127562984509e-15	3.66127562984509e-15	9.46661716335941e-16
AADACL3	2.27607060584229	0.0151907935685558	0.0238037288678578	0.0238037288678578	0.00615470702111413
AADACL4	-1.55227325129664	0.0328966832083839	0.0489590477368648	0.0489590477368648	0.0126588819981069
AADAT	0.879774559819614	4.78720677883225e-09	1.35609807908558e-08	1.35609807908558e-08	3.50633567328922e-09
AAGAB	1.18745595827612	4.51023879612268e-32	3.48211583159625e-31	3.48211583159625e-31	9.00338046867814e-32
AAK1	-0.211456682302728	0.0577219161977829	0.08237603908416	0.08237603908416	0.0212992001773073
AAMDC	-0.82436327230304	1.96346595257903e-12	6.86731841747616e-12	6.86731841747616e-12	1.77561814432104e-12
AAMP	-0.0703458021630251	0.375574154563625	0.449021282046185	0.449021282046185	0.116099223469606
AANAT	-1.02740787753901	0.0665282491488387	0.0939493434293843	0.0939493434293843	0.0242916009858724
AARD	-0.742272253048123	0.135498393219939	0.179880183386172	0.179880183386172	0.0465099326997084
AARS2	0.449500095381951	4.90242522800841e-11	1.58126068194417e-10	1.58126068194417e-10	4.08851750723597e-11
AARSD1	0.0856620447760968	0.434308813148929	0.508763450291576	0.508763450291576	0.13154619584934
AASDH	0.968859808866003	1.03918519854007e-15	4.35511682325018e-15	4.35511682325018e-15	1.12606172917825e-15
AASDHPPT	0.00616135622864584	0.93269415886539	0.949382082649405	0.949382082649405	0.245472824961146
AASS	0.806152817009462	8.28411272002821e-12	2.78588268298828e-11	2.78588268298828e-11	7.20319568592502e-12
AATF	0.523818024333147	3.63240944552364e-06	8.25937848162884e-06	8.25937848162884e-06	2.1355500649968e-06
AATK	-0.92630590548247	1.76015826677614e-25	1.08342739612777e-24	1.08342739612777e-24	2.80131665035852e-25
ABAT	-1.79878662694526	6.40898713775393e-119	2.22160922564571e-117	2.22160922564571e-117	5.74420670608324e-118
ABCA1	-0.630817249093144	9.30182604457063e-10	2.76727708803383e-09	2.76727708803383e-09	7.15508894326558e-10
ABCA10	-3.70193007422284	1.62654531366096e-11	5.39054808421334e-11	5.39054808421334e-11	1.39378348349281e-11
