gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.796813157857504	4.84916809626725e-05	0.000102094278414632	0.000106212783935125	3.45679250734962e-05
A1CF	6.93346669101837	1.2666820446441e-108	4.23772082415484e-107	4.40867140904177e-107	1.4348425612731e-107
A2M	4.4522271707924	0.00046828899045512	0.000890587727659303	0.000926514231375328	0.00030154255771389
A2ML1	4.18352986396271	3.09993576473492e-08	8.47731229233042e-08	8.8192889242932e-08	2.87031850066839e-08
A3GALT2	-0.484569341989203	0.358275688495972	0.424046727018314	0.440899237499462	0.143494702258744
A4GALT	1.56921194360653	2.01315842696714e-08	5.58136899240005e-08	5.80652263826601e-08	1.88978606962924e-08
A4GNT	0.897952556554639	0.133083040653678	0.176046520064257	0.183148275187141	0.0596072866132215
AAAS	-0.257381105309301	0.0842764192011273	0.116160597894034	0.1208465418188	0.0393306158469114
AACS	1.01475947627373	3.51506961780753e-20	1.76127993635044e-19	1.83233035419592e-19	5.96348726085796e-20
AADACL3	3.96103187105233	0.0108045375983092	0.0173268403028225	0.0180258088302267	0.00586666487729995
AADACL4	0.233237972123841	0.444139689212568	0.510726511418113	0.529885601482339	0.172456130899969
AADAT	-0.0812006102592966	0.537332198991755	0.599707621060774	0.620282902489876	0.201876761941741
AAGAB	0.153699274747464	0.252791117390848	0.312523793920186	0.325131072119639	0.105816890619891
AAK1	-1.8956703018408	8.6049533637493e-54	1.1312901946271e-52	1.17692668850514e-52	3.83041589514248e-53
AAMDC	1.38642476914226	1.64872232237274e-15	6.81002996894738e-15	7.08474806733019e-15	2.30579626371206e-15
AAMP	0.354554285401075	0.0104008782013394	0.016707178217434	0.0173811494407861	0.00565685456401676
AANAT	0.0185245700896904	0.974134437271982	0.981419688546206	0.98466840688901	0.320469367721015
AARD	0.554378634560435	0.306947925616971	0.37087006207556	0.385774405744222	0.12555381997316
AARS2	0.245864459596906	0.0356864409884075	0.0526767840255751	0.0548017770142131	0.0178357411559692
AARSD1	-0.570726502685808	6.67548914296307e-06	1.51954848974101e-05	1.58084740816069e-05	5.14501293849034e-06
AASDH	0.173450147348856	0.29656103539976	0.359811327884953	0.374271021813307	0.121809938125016
AASDHPPT	-1.49986177392604	3.01393821857394e-30	2.14203035741481e-29	2.22844033052073e-29	7.25266352337113e-30
AASS	2.9706201404627	2.13964075019414e-40	2.04046852538792e-39	2.12278147197708e-39	6.90878707364743e-40
AATF	0.628263377557794	3.76153592251611e-07	9.51365723488248e-07	9.89744024848891e-07	3.22121274156742e-07
AATK	-1.76538602851834	2.07305737846216e-23	1.17299843415219e-22	1.22031744753475e-22	3.97163510166796e-23
ABAT	-2.89128253253532	3.57121584050802e-53	4.62852068777654e-52	4.8152362246346e-52	1.56716281089124e-52
ABCA1	1.78116161081971	5.21371647602395e-28	3.42996695425077e-27	3.56833257136028e-27	1.16134657612817e-27
ABCA10	-1.72574061354119	0.000793574491984449	0.00147014475386202	0.00152945071477115	0.000497773768401624
ABCA12	2.07912364426375	1.75208739901193e-07	4.54879472992686e-07	4.73229410420824e-07	1.54016853677366e-07
ABCA13	5.68005625107165	2.27385003090598e-14	8.89015950325711e-14	9.24879048200333e-14	3.01010372346174e-14
ABCA2	-0.982167176163861	1.75289078231326e-11	5.90394562653493e-11	6.14211208437328e-11	1.99900673402288e-11
ABCA3	-2.71096572836807	6.3437897810609e-64	1.00596126971351e-62	1.04654196734958e-62	3.40606685685847e-63
ABCA4	6.65218157081589	1.0626265801035e-11	3.62429206558301e-11	3.7704968001849e-11	1.22714277933116e-11
ABCA5	-1.56354557208005	1.60230307791437e-13	6.0145743814072e-13	6.25720362741293e-13	2.03646433271286e-13
ABCA6	1.7836717118306	0.00112079142154028	0.00203870337037828	0.00212094511022829	0.000690281046584297
ABCA7	0.691863395454267	8.27577282126986e-07	2.03403345734063e-06	2.11608681187733e-06	6.88699868809284e-07
ABCA8	3.65698501785594	0.000136316888763348	0.0002753099373061	0.000286416000390623	9.32167153004951e-05
ABCA9	-1.68878672953641	0.00259061420451491	0.00449567841922144	0.00467703506991179	0.00152218397703968
ABCB1	-3.46791865905681	1.14658842158947e-09	3.46036769698619e-09	3.59995968670665e-09	1.1716399110082e-09
ABCB10	0.517709382747069	5.90579634564583e-05	0.000123362192702196	0.000128338650536598	4.17689913720038e-05
ABCB11	0.00355816453260319	1	1	1	0.325459175372058
ABCB4	-0.528836222130763	0.0507035884858404	0.0727367148751031	0.0756709298615592	0.0246277984323799
ABCB5	-0.0761450000726802	0.816032318071702		0.865193326398354	0.281585106547016
ABCB6	0.357871934244168	0.0404907951166485	0.0590849723067406	0.0614684730121887	0.0200054785379265
ABCB7	0.216593259556595	0.0970918232923314	0.132153428544759	0.137484526755799	0.0447456007043601
ABCB8	-0.516039344971391	0.00153903296359232	0.00275143723044743	0.0028624308100961	0.000931604371013449
ABCB9	-0.259033975421765	0.0262100521910095	0.0395469299719513	0.0411422617764091	0.0133901265906914
ABCC1	0.526235210308483	0.00456517688520219	0.00766528731311109	0.00797450667981254	0.00259537636801075
ABCC10	0.107901519463073	0.467156975255977	0.533282738935667	0.553031181768638	0.179989072373456
ABCC11	-0.52378163464801	0.0291288610659605	0.0436230600623883	0.045382823846193	0.0147702564250373
ABCC12	3.69767403162219	5.29428382953248e-06	1.21607468370227e-05	1.26513140241298e-05	4.11748622966623e-06
ABCC2	-0.378730664875042	0.144672370660669	0.189836353720871	0.197494393749465	0.0642763625303053
ABCC3	3.8402289237802	2.57974416132898e-06	6.09481683586551e-06	6.34068308003408e-06	2.06363348652345e-06
ABCC4	3.12864298727928	3.08555107246043e-36	2.63697666940284e-35	2.74335288498507e-35	8.92849367701796e-36
ABCC5	-0.315831671618661	0.00578683629496224	0.00959421085969767	0.0099812434241472	0.00324848725401072
ABCC6	3.60860889323988	3.4588684250785e-21	1.81084523781145e-20	1.8838951307584e-20	6.13130955744065e-21
ABCC8	-7.37503347898536	6.56033244463809e-99	1.89112210225469e-97	1.9674103814708e-97	6.40311760371912e-98
ABCC9	0.0993382323056875	0.815818592304204	0.850381484980508	0.86502028325803	0.281528788069262
ABCD1	-0.749520149448114	9.69553915474296e-06	2.17009211975889e-05	2.25763411049522e-05	7.34767735893603e-06
ABCD2	0.0922203989131684	0.848939646165091	0.879060554597219	0.891910086565495	0.290280321279627
ABCD3	0.709149983328547	1.37314711640388e-05	3.03790343225913e-05	3.16045312114249e-05	1.02859846660908e-05
ABCD4	0.120174894034123	0.372120942044351	0.438541612805185	0.45587344481095	0.148368195422191
ABCE1	-0.0660326379564773	0.608889687644784	0.667398565534603	0.68759080791541	0.223782737337556
ABCF1	0.21000915478364	0.0752676121356385	0.104752252959551	0.108977981754517	0.0354678840755363
ABCF2	0.153800483800641	0.152863730526473	0.19948759252087	0.207534965633499	0.0675441587759468
ABCF3	0.204048662532953	0.0769226785560059	0.106892975013243	0.111205061004056	0.0361927074515795
ABCG1	-2.68254395544339	4.58234847471669e-42	4.56294349025025e-41	4.74701362861758e-41	1.5449591410498e-41
ABCG2	6.83341050876131	3.78167961438347e-56	5.20890765294996e-55	5.41903612692072e-55	1.76367502917901e-55
ABCG4	-3.47821015760936	1.5811894673551e-64	2.53915889099171e-63	2.64158911599891e-63	8.59729415364807e-64
ABCG5	-0.873910051888532	0.0343986755154795	0.0509166039270623	0.0529705908655537	0.0172397648220738
ABCG8	-0.589910805448149	0.282123994150441	0.344518209341662	0.358362975731189	0.116632518565349
ABHD1	-1.14874962571403	0.0046342055795911	0.00777960467517282	0.00809343562926242	0.00263408288582658
ABHD10	-0.771093702283031	5.47304331252136e-08	1.47320184667378e-07	1.53263113137556e-07	4.98808864167035e-08
ABHD11	2.18788283102138	3.24002158519431e-55	4.37495941692358e-54	4.55144623665853e-54	1.48130993893314e-54
ABHD12B	3.07169831733088	5.34515074141293e-07	1.33588188891067e-06	1.38977165648277e-06	4.5231393727434e-07
ABHD13	0.889023211521776	1.96396587486454e-07	5.07565996235993e-07	5.28041319534942e-07	1.71855892418215e-07
ABHD14A	-1.94503993171734	5.50605924070151e-30	3.88635227709892e-29	4.04312857794908e-29	1.31587329290251e-29
ABHD14A-ACY1	-0.333608697601983	0.0370672607409168	0.0545097035464567	0.0567086369094487	0.0184563462050226
ABHD14B	0.580476889464751	0.00142159442669567	0.00255285230890364	0.00265583492938432	0.000864365846041729
ABHD15	4.57001800103661	3.69138376413104e-70	6.56866775757804e-69	6.83364925156539e-69	2.22407385019635e-69
ABHD16A	-0.0879005488141472	0.537754432696343	0.600099707532125	0.620688928922835	0.202008906969792
ABHD17A	-0.0549747451456547	0.706222151335714	0.756650173207437	0.776458948280756	0.25270568901771
ABHD17B	-0.474900619984252	0.000675138482697207	0.00126009518371652	0.00131092769902562	0.000426653447897268
ABHD17C	-1.8115409279923	3.66930794972462e-49	4.35449234696951e-48	4.53015352062612e-48	1.4743800291318e-48
ABHD18	0.42709746092181	0.00314993071357793	0.00541605134706913	0.00563453604296547	0.00183381145414768
ABHD2	-0.36740907682454	0.0411775512243773	0.0600232459398911	0.0624445968089122	0.0203231669838692
ABHD3	2.73817167473862	1.34860153180357e-55	1.83302900193945e-54	1.90697379278318e-54	6.2064211805534e-55
ABHD4	1.97901005921701	1.30160037218656e-36	1.11759739834067e-35	1.16268152182173e-35	3.7840536931243e-36
ABHD5	-0.529890373950939	4.87224278224494e-05	0.000102540744400654	0.000106677260456671	3.47190932191783e-05
ABHD6	-0.964704999899748	2.29006113367187e-11	7.65990779521215e-11	7.96891015098499e-11	2.59355492635359e-11
ABHD8	-0.247824437302042	0.149125862203643	0.195135677865646	0.203007493789266	0.0660706515230026
ABI1	0.212486586728813	0.064234447489832	0.0904060714564032	0.0940530721518498	0.0306104353037497
ABI2	-1.02169846757366	1.84673045191222e-20	9.37316781944964e-20	9.75128345931079e-20	3.17364467348648e-20
ABI3	0.285755111881893	0.580648299943024	0.640924826787967	0.661941381281162	0.215434896096408
ABI3BP	-0.814504450096466	0.0689535401047195	0.0965772013379581	0.100473146762527	0.0326999074923678
ABL1	0.217906298503286	0.0451804871875525	0.065440937971411	0.068080839721898	0.0221575339545262
ABL2	-0.736449643171644	3.91817232160221e-08	1.06441849172425e-07	1.10735736648154e-07	3.60399615337254e-08
ABLIM1	-0.28842530471361	0.021650515065232	0.0330704786538343	0.0344045489956414	0.011197276145169
ABLIM2	-4.16075363345398	9.01830229746729e-90	2.21885285226176e-88	2.30836186161181e-88	7.51277547940487e-89
ABLIM3	-3.1891888565507	2.56674148312664e-28	1.70701271968746e-27	1.77587398614386e-27	5.77974483095071e-28
ABO	3.0414228879642	9.58955534005936e-07	2.34294316309006e-06	2.43745800271896e-06	7.93293071568936e-07
ABR	-0.831746715618862	1.23088412979405e-08	3.46627079151584e-08	3.60610091336071e-08	1.1736386295708e-08
ABRA	-0.422598016669967	0.4200780834323	0.487313077263771	0.505972926826665	0.164673531525593
ABRACL	-0.0243660545267307	0.921684801136607	0.940235633181578	0.947399132092406	0.308339740278998
ABRAXAS1	1.03487934784996	3.58552357880797e-14	1.38767265711684e-13	1.44365167560564e-13	4.698496838671e-14
ABRAXAS2	0.292505303829119	0.0231426452916881	0.0351961509286876	0.0366159713549724	0.0119170038426362
ABT1	0.21604692636279	0.145691608021717	0.191036713776584	0.198743176592359	0.0646827903645724
ABTB1	-1.27965520961079	3.68906346282995e-11	1.21907216619516e-10	1.26824980400522e-10	4.12763535377313e-11
ABTB2	-1.80183334795007	1.64286992983829e-32	1.25833592578587e-31	1.30909747224527e-31	4.26057783798592e-32
ACAA1	1.00864934364365	3.83206127949185e-14	1.4813463753038e-13	1.54110421207183e-13	5.01566506023301e-14
ACAA2	2.0007354595352	6.65396315120805e-65	1.07693444905491e-63	1.12037822026831e-63	3.64637371673336e-64
ACACA	-1.57273421772719	2.17281862265119e-19	1.05687336078128e-18	1.09950786330612e-18	3.57844922506702e-19
ACACB	0.0601854589149676	0.734022594380934	0.780340496254613	0.799529476889454	0.260214204234095
ACAD10	0.408474462088484	0.000767045366792497	0.0014243644784978	0.00148182365308605	0.000482273104180195
ACAD11	0.629313290150411	1.45330215722862e-06	3.50136907318253e-06	3.64261506738625e-06	1.18552249602936e-06
ACAD8	0.0147808571457439	0.922439865428397	0.940703952827046	0.947880255051761	0.308496326160602
ACAD9	0.788079715760629	7.6596262729786e-07	1.88823496260638e-06	1.96440677397762e-06	6.3933420875404e-07
ACADL	2.1742331261612	0.00226019265950674	0.00395101647997885	0.00411040134891603	0.0013377678334664
ACADM	-0.314750749059994	0.0129527101776565	0.0205416330594687	0.0213702870297899	0.00695515599417961
ACADS	0.835702111306423	1.89478826422261e-07	4.9038073630667e-07	5.10162802461447e-07	1.66037164994601e-07
ACADSB	0.391708404563141	0.00168222181157484	0.00299118191838845	0.00311184685118371	0.00101277911007038
ACADVL	0.900961983416367	3.29439177930933e-09	9.63840893839878e-09	1.00272244630098e-08	3.26345220500168e-09
ACAN	5.82781767261003	3.63442646038648e-13	1.33921333194452e-12	1.39323749065722e-12	4.53441924806735e-13
ACAP1	0.172111847078982	0.589106015939748	0.648868109098518	0.669478320033103	0.217887861967444
ACAP2	-0.409182065929134	0.00127716556825722	0.00230657727161661	0.00239962510322982	0.000780980007299267
ACAP3	-0.834528512471387	7.97341474101924e-10	2.4259224886724e-09	2.52378473244387e-09	8.21388897837772e-10
ACAT1	-0.65434070866958	1.23689570130308e-06	2.99886629009408e-06	3.1198412121246e-06	1.01538094818983e-06
ACAT2	-2.19349393292115	1.07274882960544e-77	2.13254175547168e-76	2.21856895629994e-76	7.22053623023424e-77
ACBD3	-0.0411531722671377	0.754591622287904	0.797776228586222	0.81637774450708	0.265697627519375
ACBD4	-0.0393389474703538	0.834147876095747	0.86581372433699	0.87901219878545	0.286082585358692
ACBD5	-0.612251026410822	2.97288412194636e-06	6.97955678893696e-06	7.26111363631571e-06	2.36319605635811e-06
ACBD6	-0.709540903563024	1.92560514237471e-09	5.72326844411117e-09	5.95414634489427e-09	1.93783155945384e-09
ACBD7	2.52713777518818	3.46888568810437e-26	2.14976876604661e-25	2.23649090824922e-25	7.27886486725895e-26
ACCS	2.68878432471504	1.19404164763014e-29	8.33853437420116e-29	8.67491267459421e-29	2.82332992549804e-29
ACCSL	-0.174207786855541	0.60363478582932		0.682601999111225	0.222159083738057
ACD	-0.699240839150051	2.89828289352115e-05	6.23767474207089e-05	6.48930390542053e-05	2.11200349779684e-05
ACE	1.20359472974288	8.83629316854047e-09	2.51548574116527e-08	2.61696098613087e-08	8.51713964527001e-09
ACE2	3.29317743134156	8.42962684931912e-37	7.2912064077663e-36	7.58533526893014e-36	2.46871696154659e-36
ACER1	0.0266087091192496	0.94407180716476	0.957846521846407	0.963990851407585	0.31373966756532
ACER2	0.407573220808972	0.038978196387787	0.0570497165697114	0.0593511146135928	0.0193163648195524
ACER3	-0.380531022366333	0.000940597801979609	0.00172619465052786	0.00179582972026969	0.000584469259867605
ACHE	-2.852474913389	7.39849148253268e-113	2.6076910021946e-111	2.71288582755652e-111	8.82933584315088e-112
ACIN1	0.393560847341742	0.000987960710312647	0.00180666962468017	0.00187955107248014	0.000611717142119054
ACKR1	-2.96864885726101	5.66731961895152e-57	7.95260706973078e-56	8.27341697825455e-56	2.69265946725191e-56
ACKR2	0.47193053008148	0.37848535784871	0.445117818676033	0.462677274971538	0.150582564375628
ACKR3	2.09624410225272	1.33202012467808e-25	8.12339801859991e-25	8.45109767135509e-25	2.75048727910795e-25
ACKR4	-0.261965652034496	0.608670481613383	0.667211044664289	0.687442506644443	0.223734471328201
ACLY	-1.0356683820685	1.63519015210857e-14	6.44059102744846e-14	6.70040587813047e-14	2.18070857175443e-14
ACMSD	0.268632175061576	0.592895591280361	0.652430902023984	0.672959295021237	0.219020777216573
ACO1	0.505489298747908	8.15558194956531e-06	1.8396721788385e-05	1.91388495689128e-05	6.22891419826821e-06
ACO2	-0.299902571994053	0.00407608389924027	0.0068982460396355	0.00717652279360379	0.00233566519044506
ACOT1	1.51835375256455	1.52928490136917e-06	3.67635891288688e-06	3.82466403549665e-06	1.24477200306791e-06
ACOT11	2.05813827184693	1.5564926412261e-09	4.65646471729945e-09	4.84430752242015e-09	1.57662433149552e-09
ACOT12	-0.0809548435166415	0.865171460834438	0.892275829908199	0.905003775208338	0.294541782387905
ACOT13	0.263946092165328	0.184898418737576	0.236272647497904	0.245803937773639	0.0799991468910133
ACOT2	1.16074072486003	1.65588643295622e-05	3.63994266646092e-05	3.7867787497252e-05	1.232441889202e-05
ACOT4	2.73490180251653	4.78242722532936e-08	1.29237813378626e-07	1.34451295036185e-07	4.37584076101819e-08
ACOT6	2.88288163956699	2.95501546060746e-15	1.20903689986574e-14	1.25780971283724e-14	4.09365711914973e-15
ACOT7	-2.01283598903284	1.47452400566834e-50	1.81939018990261e-49	1.8927847880858e-49	6.16024176287179e-50
ACOT9	2.04731563639896	5.94274314676294e-20	2.95164611332885e-19	3.07071616310104e-19	9.99392750244515e-20
ACOX1	-0.039731754121735	0.746611726255688	0.791404968132055	0.81018300839452	0.263681493812533
ACOX2	4.60599185083846	1.37283426176135e-110	4.67843725643722e-109	4.8671664385924e-109	1.58406397550284e-109
ACOX3	0.437874131121577	0.00114935828089681	0.00208720623384395	0.00217140458981433	0.000706703547200072
ACOXL	-0.229880928395181	0.229714238397412	0.287033808853063	0.298612815479942	0.0971862806816303
ACP1	0.263886542547206	0.0291777743740583	0.0436764429062386	0.0454383601656397	0.0147883312297676
ACP2	0.550269174503563	9.17681594201908e-05	0.000188318651546732	0.000195915467137682	6.37624863772614e-05
ACP4	0.132035948113879	0.792938530326656	0.830529316524133	0.8457190576	0.27524702708293
ACP5	0.27737399833252	0.497005949376454	0.562132751098498	0.582567586906866	0.189601966433198
ACP6	1.29017633651813	1.76994437225039e-20	8.99453052400167e-20	9.35737185255192e-20	3.04544252678125e-20
ACP7	7.56876242540433	1.90611227551025e-07	4.93078863034712e-07	5.12969772211811e-07	1.66950719054848e-07
ACR	-1.61553566528687	0.016862188704849	0.0262534644420936	0.0273125349396362	0.00888911509877451
ACRBP	-1.92629626340155	4.1411969875055e-15	1.68098896212924e-14	1.74880042451404e-14	5.69163144052642e-15
ACRV1	0.758961498222309	0.102122367848665	0.138416845750085	0.144000611581072	0.0468663202982478
ACSBG1	-0.318441444269497	0.0241823424586166	0.0366655634551243	0.0381446603041038	0.0124145296874209
ACSBG2	1.29116635381962	0.0198858326923926	0.0305621667709414	0.0317950512627946	0.0103479911649014
ACSF2	3.57903634883987	9.03301605875526e-34	7.13110044734348e-33	7.41877059904677e-33	2.41450696144023e-33
ACSF3	0.227936465830484	0.0931131962181416	0.127116464273916	0.132244370244626	0.0430401436874131
ACSL1	2.1598714918832	1.91189044483335e-19	9.31883823569944e-19	9.69476220826958e-19	3.15524931373161e-19
ACSL3	-1.02458743981341	1.5881249534604e-07	4.13616087562628e-07	4.30301450997719e-07	1.40045555403117e-07
ACSL4	-2.76243564565676	7.6372258297692e-66	1.25834571729731e-64	1.30910765874843e-64	4.26061099089508e-65
ACSL5	0.815674507763805	0.166391915145339	0.215332252794424	0.224018802967905	0.0729089748817697
ACSL6	-6.88435162625975	9.61992715103244e-113	3.37620471014913e-111	3.51240154657313e-111	1.14314331092323e-111
ACSM1	1.18594352115424	0.0606204338289256	0.0857079832351929	0.0891654620242675	0.0290197177420866
ACSM2A	-0.056796796114161	0.885202909833336		0.922144703004383	0.300120454613518
ACSM3	2.39500809446814	2.74699969109978e-11	9.14925433336752e-11	9.51833725422755e-11	3.09783019367403e-11
ACSM4	0.165851861013023	0.519592273124705	0.582515244219632	0.603056668360271	0.196270325987154
ACSM5	-0.233454186335925	0.443369870523192		0.529114618638173	0.172205207459281
ACSM6	0.205105923513786	0.648193034485667	0.703498440434793	0.72376483584589	0.235555906637696
ACSS3	1.70469376713058	4.51343404686542e-30	3.19257088145272e-29	3.32135988906418e-29	1.08096705060866e-29
ACTA1	6.94728440766846	7.29925423463687e-157	4.656811034966e-155	4.84466781061712e-155	1.576741590595e-155
ACTA2	2.42671207032859	2.31765412134505e-07	5.94492548501472e-07	6.18474507930693e-07	2.01288203339762e-07
ACTB	0.202470549746888	0.162793810127179	0.211140659892315	0.219658120291373	0.0714897506938064
ACTBL2	0.0806221312163012	0.592949448244047		0.672959295021237	0.219020777216573
ACTC1	6.1341091195448	3.92206616289279e-127	1.73540884519396e-125	1.80541561756387e-125	5.87589078096173e-126
ACTG1	0.00560533834184147	0.976017066021356	0.982554277467202	0.985660238106354	0.32079216829112
ACTG2	5.56490895798141	1.84033453946056e-29	1.27544869555877e-28	1.32690057489359e-28	4.31851966905576e-29
ACTL6A	0.374932012509167	0.0011994407652456	0.00217383781060809	0.0022615309033325	0.000736035982877019
ACTL6B	-11.3553934573712	0	0	0	0
ACTL7B	-4.43166682670315	0.000326097706298432	0.000631552917481137	0.000657029900300546	0.000213836409546601
ACTN1	3.00769883147456	2.05578739913185e-133	1.00113197010977e-131	1.0415178527436e-131	3.38971541489209e-132
ACTN2	-1.27634932727411	5.45345576151685e-05	0.000114305210536823	0.000118916307729803	3.87024034520316e-05
ACTN3	2.24953937157659	4.80208471684762e-05	0.000101180638043154	0.000105262287111237	3.42585771610001e-05
ACTN4	1.9658648925041	3.03954957939206e-54	4.03801340409954e-53	4.20090774798302e-53	1.36722397147264e-53
ACTR10	-1.15470526262795	2.54759014641966e-22	1.38668431911599e-21	1.44262346783367e-21	4.69515044213525e-22
ACTR1A	-0.792294992222767	9.69110132286383e-12	3.31357556656291e-11	3.4472459296369e-11	1.12193781756431e-11
ACTR1B	-0.288056934695563	0.0190026493730336	0.0293044329000033	0.0304865801324214	0.00992213722981203
ACTR2	-0.223868060995979	0.133248272102916	0.176236766477621	0.183346196182429	0.059671701817137
ACTR3	0.439716469343348	0.000294403588958485	0.000573205946801119	0.000596329200062112	0.000194080809702494
ACTR3B	0.3212272060489	0.0205726973513056	0.031544163800884	0.0328166622676997	0.0106804838401089
ACTR3C	0.00303732165062372	1		1	0.325459175372058
ACTR6	0.236388752291116	0.16217820059411	0.210514382147825	0.219006578365696	0.0712777003959553
ACTR8	-0.313849764795727	0.0230914623089226	0.0351215551288918	0.0365383663442978	0.0118917465798573
ACTRT1	0.0129552090990003	0.949187623614278		0.965481964168156	0.314224963894762
ACTRT2	2.47158132967386	0.00932662092992624	0.015060941872519	0.0156685035616655	0.00509945824849382
ACTRT3	0.546504648633977	0.0482265024452205	0.0694252431562296	0.0722258726492877	0.0235065729529644
ACVR1	0.96911476001364	3.07913232208449e-14	1.19534240616771e-13	1.24356278026828e-13	4.04728916989496e-14
ACVR1B	-1.0476155285537	2.56040473613511e-14	9.98206109824347e-14	1.03847396261435e-13	3.37980879517818e-14
ACVR1C	0.893598424099102	0.0151861221181447	0.0237924586012432	0.0247522515849143	0.00805584738942791
ACVR2A	-2.19609935821477	2.86537974268961e-45	3.06260717952408e-44	3.18615342297512e-44	1.03696286565034e-44
ACVR2B	-1.44950053293854	1.8860555719486e-24	1.10557246133454e-23	1.15017149622677e-23	3.74333866698411e-24
ACVRL1	0.872136976984499	0.111445761330237	0.149954813332437	0.156004023299189	0.0507729407776773
ACY1	0.501563530026146	0.00296888949007194	0.00511813165129703	0.00532459820150732	0.00173293933985011
ACY3	6.46201668153472	1.04915375334423e-22	5.79499019464633e-22	6.02876136653243e-22	1.96211570286656e-22
ACYP1	-1.67857209192193	1.64407021858093e-22	9.01145381213524e-22	9.37497782983013e-22	3.05117255362784e-22
ACYP2	-0.948825935435187	7.55087913877827e-07	1.86198457864105e-06	1.93709744378186e-06	6.30446136668565e-07
ADA2	-2.84751937375622	2.12404741729594e-38	1.92097914773028e-37	1.99847186669097e-37	6.50421005737499e-38
ADAD1	0.112599853321927	0.669734242127073		0.74311729165969	0.24185434094828
ADAD2	0.0907655509896685	0.744167511669538	0.789341232251618	0.808112402170662	0.263007596018396
ADAL	-0.350898132016721	0.0239564730192835	0.0363532355395415	0.0378197330120965	0.0123087791189083
ADAM10	0.87317625025225	4.25218987955582e-08	1.15230565389346e-07	1.19878991599463e-07	3.90157177503951e-08
ADAM11	-2.19308762530246	3.00206446516406e-30	2.13451322231535e-29	2.22061995254727e-29	7.22721138570772e-30
ADAM12	-7.66550890196243	1.83761933039643e-190	1.90234051436008e-188	1.97908134677412e-188	6.44110183115326e-189
ADAM15	-1.65748609552226	4.85282428464763e-19	2.32201999201454e-18	2.41569078634611e-18	7.86208731278082e-19
ADAM17	0.9597697311975	6.52088610268475e-14	2.49149919336562e-13	2.59200681574684e-13	8.43592400811718e-14
ADAM18	0.807998639877239	0.0885857158051733	0.12154045862742	0.12644342731081	0.041152173583793
ADAM19	0.116372754426519	0.603431253832546	0.662209376497347	0.682416905998449	0.222098843486206
ADAM20	-0.824496001310371	0.162698348154598	0.211050107228676	0.219563914713478	0.0714590906241095
