gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	0.279376358463566	0.124597540815765	0.19924954064194	0.20724704117816	0.0847031692900408
A1CF	-0.609175319339966	0.150180596188768	0.232700048316588	0.241973327920254	0.0988960211059635
A2M	-0.466762743263952	0.056542203503296	0.103743692973387	0.107928736237927	0.0441111533600252
A2ML1	-0.166264757605722	0.666048565226579	0.749207912501161	0.765721089690496	0.312955025655843
A3GALT2	0.116586216282188	0.761260496845057	0.8257893027131	0.837198065266153	0.342168115155733
A4GALT	0.806329185574995	3.60336707240998e-06	1.95618146477138e-05	2.03509425290068e-05	8.31755821673948e-06
A4GNT	0.367013120115429	0.374982946124746	0.48423941007811	0.501648604375955	0.205026939921625
AAAS	0.187447630406341	0.290714914671086	0.395599164640053	0.410708868808488	0.167859297994516
AACS	0.510485577575207	2.07613416516982e-15	3.27643033161029e-14	3.40860224778217e-14	1.39311717839247e-14
AADACL3	0.266248014475171	0.483741054276986	0.590461828209062	0.609086898046994	0.248937646319735
AADACL4	0.172422666451617	0.514590295888278		0.637384754198255	0.260503158119081
AADAT	0.815966080501591	0.000362661608852636	0.00128773145145704	0.00133967881985117	0.000547535160101934
AAGAB	0.18164211702032	0.0126047848001323	0.0290866056091655	0.0302599656410298	0.0123674382892617
AAK1	-0.153499559234088	0.469549450247393	0.577464431490742	0.595818064915625	0.24351459075948
AAMDC	-0.413732494883762	0.0176167862993787	0.0386732865414475	0.0402333753788424	0.0164436335807287
AAMP	0.156728507277954	0.138777287035519	0.217925598428652	0.226651895843878	0.0926340554462682
AANAT	0.392072451939836	0.343171655002122	0.451743877266069	0.46846870378319	0.191466105851528
AARD	-3.15009222000482	0.00025601040289706	0.000945888043027071	0.000984045373559876	0.000402185533708393
AARS2	0.219239755762924	0.014483181284445	0.0327193472333192	0.0340392528568262	0.0139120567456482
AARSD1	0.470330278531769	0.00358993834394363	0.00983201083882065	0.0102286363064377	0.00418050799541042
AASDH	0.00252803371090929	0.990290184070413	0.993610266979519	0.996634094153498	0.40733062299664
AASDHPPT	-0.366020303326964	8.3270452975062e-07	5.04650830622062e-06	5.25008555502563e-06	2.14574298878529e-06
AASS	1.28511083235203	2.11415559182035e-07	1.41000814592232e-06	1.46688818291457e-06	5.995264269185e-07
AATF	0.540681825536963	2.18375373182002e-11	2.39470928885793e-10	2.49131238532219e-10	1.01821504195525e-10
AATK	-0.724899089687647	2.74733386704e-06	1.52003749416734e-05	1.58135613913253e-05	6.46310200615321e-06
ABAT	-0.955750944025943	0.00026097385240911	0.000961205999251274	0.000999981259488385	0.000408698630522301
ABCA1	-0.0310294202771403	0.884688337307145	0.921060723091436	0.928841391051352	0.379623318830332
ABCA10	-2.46789358575723	9.9588656433557e-10	8.93075563600233e-09	9.29102427162235e-09	3.79730005930738e-09
ABCA12	-0.4190132383428	0.0341922954686448	0.0678160240286653	0.0705517372701619	0.0288349387847895
ABCA13	-0.208659428464583	0.38396700651148	0.493333613861443	0.510921673751074	0.208816901701798
ABCA2	-0.202697690923862	0.0270390673967587	0.0556953637711787	0.0579421269269541	0.0236813117244929
ABCA3	0.0994924375162549	0.245462996648451	0.345977130059386	0.359410718649686	0.146893421365032
ABCA4	-3.57376634966723	1.34080288350103e-31	5.54512951317259e-30	5.7688212505205e-30	2.3577535303231e-30
ABCA5	-1.02472613388247	5.17966155934778e-05	0.000224081872196029	0.000233121383929817	9.52781759193424e-05
ABCA6	-0.629418650549714	0.0455156357345454	0.0863815708740479	0.0898662223357956	0.0367288903170478
ABCA7	0.569592812542193	1.02721688014463e-06	6.12751509878597e-06	6.37470039803226e-06	2.60538014882269e-06
ABCA8	-3.23549570725485	2.61750250924228e-07	1.71992380447617e-06	1.78930590691676e-06	7.31300578689333e-07
ABCA9	-1.35066691821655	0.000622760612128059	0.00209410412168087	0.00217858073995524	0.000890399651446976
ABCB1	-1.2606549853881	0.0210964984486345	0.0450211804050985	0.0468373446693139	0.0191427173679667
ABCB10	-0.301091145072772	0.129061817066731	0.205133015538663	0.21336691981567	0.0872044021825377
ABCB11	-0.707152394436923	0.103340826598534	0.17084920285021	0.177741297059963	0.0726439860811293
ABCB4	-0.806433034810987	0.000133406312881708	0.00052728292014418	0.000548553628465914	0.000224197318294505
ABCB5	-0.553752901541937	0.139035928719494	0.218243286555628	0.226982335979115	0.0927691084079707
ABCB6	0.969898099595967	2.30578907991866e-05	0.000107852481544363	0.000112203274238497	4.58581839272205e-05
ABCB7	0.226046522627923	0.00966138812848431	0.023178319282153	0.0241133377513723	0.0098552728091621
ABCB8	0.322609946063545	0.0676583956942985	0.120525670251965	0.125387702150343	0.0512467425433571
ABCB9	0.279655262672203	0.0620274590790716	0.112133111086383	0.116656585312468	0.047678280173977
ABCC1	0.0506963377413123	0.717413035985496	0.790349947950021	0.806630389245938	0.329674913699035
ABCC10	-0.0515115775671036	0.790310241514092	0.848842190885609	0.859910571590247	0.351450859349495
ABCC11	-0.729047421578069	8.67382059720517e-05	0.000357374435619517	0.000371790998514496	0.000151953319616345
ABCC12	3.06426455215586	1.1216385980546e-09	1.00011762318411e-08	1.04046258684112e-08	4.25243603634348e-09
ABCC2	-1.91941210445151	0.000111720038200993	0.000448077930991314	0.000466153492727537	0.000190519864530666
ABCC3	-4.69313498561832	1.46935546423314e-13	1.96630820660793e-12	2.04562950971775e-12	8.36061647400663e-13
ABCC4	0.737246302533409	5.95800070021477e-08	4.26385615328414e-07	4.43586104306425e-07	1.81296430936628e-07
ABCC5	0.377272816238593	5.15555576468666e-05	0.000223140804330114	0.000232142353180369	9.48780398940498e-05
ABCC6	-0.969022144815127	4.00994530257967e-08	2.94003116616755e-07	3.05863266643093e-07	1.250082409225e-07
ABCC8	-3.41252728895727	9.12189979948692e-29	3.16097833051694e-27	3.28849288771398e-27	1.34402772745827e-27
ABCC9	-1.43187770910441	0.0236035935138666	0.049503877990185	0.0515008752554027	0.0210487316515829
