gene	log2FoldChange	pvalue	padj	padj_mine	qval_mine
A1BG	-0.469542781840954	0.0130325150228552	0.0264213816081041	0.027487225920849	0.0111631298894315
A1CF	6.49221338169182	6.53308240212352e-39	2.02132587103295e-37	2.1028665987587e-37	8.54017537080197e-38
A2M	0.734475698541558	0.114828159859339	0.176956418994917	0.18409487963967	0.0747647310541483
A2ML1	-2.50862034431985	0.000453922306156072	0.00125614679881119	0.00130682003540965	0.000530726594214959
A3GALT2	-0.273623232175285	0.532752744097699	0.626947177225147	0.64687357228455	0.262708711684716
A4GALT	-1.69795872665863	6.21223011170571e-06	2.31289996920778e-05	2.40620285982467e-05	9.77208654736252e-06
A4GNT	0.280753364213912	0.590992424803542	0.679265021543591	0.699341725694886	0.284017111930881
AAAS	-0.556306099082413	0.00264855216403657	0.00628806701572797	0.00654172901441833	0.00265673119941959
AACS	0.362421831497748	5.84713075228457e-05	0.000187500043215671	0.000195063835967506	7.92194506606934e-05
AADACL3	1.32645726093152	0.0479409461828544	0.0834416806777819	0.086807736326023	0.0352544137704305
AADACL4	0.216493446288931	0.517245006676884		0.631852153968823	0.256608203606353
AADAT	0.651447275903518	0.0232119396741052	0.0440831345374145	0.0458614578261656	0.0186252847816066
AAGAB	0.525165538603974	0.000773540096968791	0.00204654427298547	0.00212910231656156	0.000864672403686929
AAK1	-0.195242408853167	0.149502849497856	0.221376115755191	0.230306476682375	0.0935322145998235
AAMDC	-0.319554913888799	0.15200003600545	0.224367374464147	0.233418403421874	0.094796032290974
AAMP	-0.0731074704525372	0.612819757030174	0.698174093314445	0.717842529104156	0.291530670123738
AANAT	-0.774493174876201	0.178363160504126	0.256541211280839	0.266890139852557	0.108389595441962
AARD	-1.27095236740883	0.0617349647887232	0.103710708350927	0.107894421008583	0.043818151730992
AARS2	-0.195749489995674	0.0829105367836344	0.134005050614554	0.139410843664862	0.0566176215929328
AARSD1	0.266143470662817	0.083501807968945	0.134752823445574	0.140188781815431	0.0569335583355403
AASDH	-0.0294648701713412	0.878784172017641	0.913561029703677	0.92239409944584	0.374603285577428
AASDHPPT	-0.396137553985697	0.000496715301049217	0.0013647026965899	0.00141975510184724	0.000576591856113147
AASS	0.804891410936191	0.00132785106538903	0.00335118499483341	0.00348637253046946	0.00141588785687742
AATF	0.177129912333422	0.151081413353221	0.223251644114733	0.232257664266141	0.0943246321576719
AATK	-1.69261344845742	1.81568346822471e-15	1.74161712628081e-14	1.81187434206759e-14	7.35839574428907e-15
ABAT	-0.889925476581104	0.00641550203304185	0.0139866441673999	0.0145508684521601	0.00590940806479452
ABCA1	0.157051052520827	0.3155444518784	0.411833603317939	0.427802575622327	0.17373945746497
ABCA10	-2.72514514166468	5.8751988850481e-07	2.49756646817902e-06	2.59831884575319e-06	1.05523092264105e-06
ABCA12	-4.19418487735647	1.49724783472419e-21	2.12088634763857e-20	2.20644336676566e-20	8.96082200794123e-21
ABCA13	0.470590372580072	0.354921020683862	0.45258754264459	0.469699420686375	0.190754631158893
ABCA2	-0.415866501447138	0.000754163083730168	0.00199895722354244	0.00207959559513614	0.000844566702105282
ABCA3	0.232343272473818	0.318010944093078	0.414380948367009	0.430415697648582	0.174800700264808
ABCA4	-4.73985697443333	3.34821978831879e-35	8.96125166109386e-34	9.32275051303592e-34	3.7861614410804e-34
ABCA5	-1.70796093036921	8.59638631702536e-10	5.07313952109327e-09	5.27779107893081e-09	2.1434199112359e-09
ABCA6	1.80968868447063	0.00245156598724381	0.00586352457861568	0.00610006044254039	0.00247736047462726
ABCA7	0.828870382171006	0.000241351454388837	0.000700395793236998	0.000728649912721164	0.000295919771716928
ABCA8	-3.10676296392776	0.00387694694660381	0.00888905791072554	0.0092476444509881	0.00375565931880229
ABCA9	-0.791602185196726	0.116611013698667	0.179301007517987	0.18653404937655	0.0757553282382211
ABCB1	-4.80162022742938	1.7826098256249e-14	1.57497357647804e-13	1.63850835501883e-13	6.65432068141889e-14
ABCB10	0.0901655824357936	0.483614126411193	0.580449797340545	0.599971622159333	0.243660861500667
ABCB11	-0.59456317664592	0.228553449937602	0.315576695409188	0.328197004338071	0.133287578721041
ABCB4	2.39379053754863	9.2359935634236e-09	4.86789798443652e-08	5.06427005379654e-08	2.0567046150266e-08
ABCB5	-6.54502334990679	1.83102190106997e-06	7.30456143761798e-06	7.59922904360694e-06	3.08620379217607e-06
ABCB6	0.705288641025379	0.00536544738951654	0.0119296587912255	0.0124109038360234	0.00504032425701013
ABCB7	0.315934247404618	0.0110886831414928	0.0228778797328868	0.023800778404979	0.00966598745065904
ABCB8	-0.529211287581242	0.0023284366048842	0.00559259689426439	0.00581820347614723	0.0023628925419538
ABCB9	-0.209732421868928	0.0970531191348447	0.153280976871958	0.159464365003366	0.0647617705909737
ABCC1	-0.103926410386088	0.553666191053135	0.645329663272526	0.665285233007781	0.270186067192522
ABCC10	0.008653380172548	0.97748341982575	0.9841199516993	0.990673892110331	0.402333118938278
ABCC11	-0.608671248740062	0.0113739542949731	0.0233989860886462	0.0243429063051019	0.00988615678252189
ABCC12	6.44457847226174	1.57327934738348e-09	9.02620357543815e-09	9.39032260181062e-09	3.81360386128185e-09
ABCC2	-0.729515524466899	0.0699142907578061	0.115517890571521	0.120177907542328	0.0488067291911594
ABCC3	0.369046473580509	0.466008195885056	0.563601126019141	0.583080919452786	0.236801198441911
ABCC4	1.79447746748028	3.86091098237622e-37	1.11492271526162e-35	1.15989894144229e-35	4.71058904933481e-36
ABCC5	0.481753529540202	0.000905849254927247	0.00236633530171441	0.00246179378533156	0.000999785277196959
ABCC6	2.21775176575144	6.99517724178235e-17	7.49125682496666e-16	7.79345576371379e-16	3.16508327280443e-16
ABCC8	-1.08614455864727	0.024771911215782	0.0467598232352949	0.0486461247315425	0.0197561954982077
ABCC9	-0.120490038494402	0.781933754339465	0.839461883409052	0.851878967381918	0.345965634740394
ABCD1	-0.347729900953536	0.0885831466113907	0.141657300420042	0.147371786901142	0.0598507249859375
ABCD2	-0.847552966037579	0.0953085345949741	0.150887609832959	0.156974449014556	0.0637505643063926
ABCD3	-0.313129629963235	0.0463278661543047	0.0809852035789991	0.0842521644038142	0.0342165432559032
ABCD4	0.412891975149981	0.0258076572841526	0.0484869351554791	0.0504429087243271	0.0204859065702694
ABCE1	-0.136557924306929	0.220090029056852	0.305969753232752	0.318232006887574	0.129240587540189
ABCF1	-0.235614223501508	0.0103206262660136	0.0214518889176138	0.0223172628083365	0.00906350114134558
ABCF2	0.111502415787618	0.283352907612889	0.376887988630962	0.391743516063549	0.159095128979277
ABCF3	-0.473645407020087	0.000698439091326178	0.00186416530618273	0.00193936614234952	0.000787616626448736
ABCG1	-3.26990393805694	4.62577738560721e-49	1.99320145987159e-47	2.07360764269994e-47	8.42134871006377e-48
ABCG2	1.10573280227346	3.90741563585644e-08	1.90905495298893e-07	1.98606664732578e-07	8.06582665599186e-08
ABCG4	-0.106334112001575	0.787792644109043	0.844110369636085	0.856474136903099	0.34783182794507
ABCG5	-0.031898977202012	0.936498008887876	0.954651466296801	0.962003113629034	0.390689323920932
ABCG8	0.230986445092446	0.650424377341292	0.730983512639937	0.747007360672215	0.30337511029879
